date,open,high,low,close,volume
2001-11-29,12.4501,13.4411,12.4346,12.9147,371100
2001-11-30,12.9147,13.2708,12.8992,13.2708,165300
2001-12-03,13.2244,13.2244,12.8063,12.8063,127500
2001-12-04,12.8063,12.8063,12.2952,12.2952,95400
2001-12-05,12.4811,13.7354,12.4811,13.6270,598200
2001-12-06,13.6889,13.6889,13.5372,13.5403,157200
2001-12-07,13.6270,13.6270,13.4411,13.6270,215100
2001-12-10,13.5960,13.6022,13.5526,13.5805,119100
2001-12-11,13.5650,13.6672,13.5526,13.5526,378600
2001-12-12,13.5495,13.5495,13.0416,13.1005,114600
2001-12-13,13.0850,13.2553,12.9766,12.9766,113700
2001-12-14,12.9611,12.9611,12.5585,12.6638,233400
2001-12-17,12.6948,13.0076,12.6948,12.6979,106200
2001-12-18,12.7133,12.8837,12.6979,12.6979,101400
2001-12-19,12.6979,12.7133,12.6173,12.7133,157800
2001-12-20,12.7598,13.2213,12.7598,13.1005,97200
2001-12-21,13.1779,14.2154,13.1624,14.0420,659400
2001-12-24,14.0296,14.2619,13.9986,14.1844,50700
2001-12-26,14.2154,14.5437,14.1844,14.2464,378000
2001-12-27,14.6335,14.7574,14.3083,14.5406,349200
2001-12-28,14.6180,14.6180,14.5251,14.5716,295500
2001-12-31,14.5871,15.4078,14.4632,15.4078,255900
2002-01-02,15.0206,15.0206,14.7574,14.7977,132300
2002-01-03,14.7760,14.7760,14.0296,14.0296,89700
2002-01-04,14.1225,14.1225,12.6979,13.1624,346500
2002-01-07,13.1624,13.3482,12.3417,12.9456,601500
2002-01-08,12.8682,12.9456,12.5430,12.7288,442200
2002-01-09,12.7443,12.8837,12.7288,12.7598,60000
2002-01-10,12.7598,13.1314,12.7598,13.0385,216300
2002-01-11,13.3173,13.7044,13.3018,13.4721,340800
2002-01-14,13.4721,13.5341,13.2863,13.2863,230700
2002-01-15,13.7044,14.3548,13.7044,14.2495,1030200
2002-01-16,14.2247,14.6645,14.0915,14.5251,526200
2002-01-17,14.5561,14.8038,14.5561,14.6180,42900
2002-01-18,14.5871,14.8658,14.4632,14.6490,70500
2002-01-22,14.6521,14.6521,14.1535,14.4632,130800
2002-01-23,14.6025,14.6025,14.4632,14.5251,38700
2002-01-24,14.5561,14.6180,14.2464,14.3238,125100
2002-01-25,14.3703,14.6490,14.2309,14.5251,88800
2002-01-28,14.7729,14.7729,14.1782,14.3393,75300
2002-01-29,14.3548,14.4322,14.3393,14.3579,27300
2002-01-30,14.3703,14.4632,14.2774,14.4477,67800
2002-01-31,14.4787,14.5871,14.3857,14.5096,36600
2002-02-01,14.6180,14.6180,14.5406,14.5871,9000
2002-02-04,14.5561,14.5561,14.3393,14.3486,13200
2002-02-05,14.2928,14.2928,14.1999,14.2123,39300
2002-02-06,14.1813,14.1844,14.0915,14.1535,54300
2002-02-07,13.7818,13.8902,13.5650,13.8438,216000
2002-02-08,13.8283,13.8902,13.7818,13.8747,71100
2002-02-11,13.8438,14.0915,13.8128,14.0606,21600
2002-02-12,14.0915,14.3083,14.0915,14.3083,14100
2002-02-13,14.2464,14.2774,13.9057,13.9367,74100
2002-02-14,13.9676,13.9676,13.7509,13.8283,58500
2002-02-15,13.8128,13.8128,13.7818,13.8128,17100
2002-02-19,13.8438,13.8716,13.7663,13.7818,9900
