date,open,high,low,close,volume
1995-04-04,2.2847,2.3090,2.1875,2.2964,40387200
1995-04-05,2.2604,2.3090,2.2118,2.2118,12236800
1995-04-06,2.2118,2.2847,2.2118,2.2487,3776000
1995-04-07,2.2604,2.2604,2.2118,2.2118,1920800
1995-04-10,2.2118,2.2604,2.2118,2.2361,2047200
1995-04-11,2.2118,2.2604,2.2118,2.2244,4096800
1995-04-12,2.2118,2.2361,2.2118,2.2244,2457600
1995-04-13,2.2118,2.2361,2.2118,2.2361,2297600
1995-04-17,2.2118,2.2964,2.2118,2.2964,2233600
1995-04-18,2.2487,2.2964,2.2361,2.2847,2441600
1995-04-19,2.2361,2.2604,2.1875,2.2118,1422400
1995-04-20,2.1875,2.1875,2.1146,2.1262,1023200
1995-04-21,2.1146,2.1875,2.1146,2.1758,2803200
1995-04-24,2.1389,2.1875,2.1389,2.1389,644800
1995-04-25,2.1389,2.1875,2.1389,2.1875,484800
1995-04-26,2.1389,2.1875,2.1389,2.1389,151200
1995-04-27,2.1389,2.1875,2.1389,2.1632,3552000
1995-04-28,2.1632,2.1875,2.1505,2.1505,1076000
1995-05-01,2.1875,2.1875,2.1505,2.1505,2287200
1995-05-02,2.1505,2.2487,2.1505,2.2118,1212000
1995-05-03,2.1875,2.2487,2.1632,2.2244,791200
1995-05-04,2.2118,2.2487,2.1875,2.1875,1011200
1995-05-05,2.1875,2.2361,2.1875,2.1875,164000
1995-05-08,2.1875,2.2487,2.1875,2.1875,59200
1995-05-09,2.1875,2.2118,2.1262,2.1389,592800
1995-05-10,2.1875,2.1875,2.1262,2.1389,817600
1995-05-11,2.1389,2.1875,2.1262,2.1389,615200
1995-05-12,2.1875,2.1875,2.1262,2.1389,1013600
1995-05-15,2.1758,2.1758,2.1029,2.1029,3689600
1995-05-16,2.1029,2.1262,2.1029,2.1146,2481600
1995-05-17,2.1262,2.1262,2.1029,2.1087,328000
1995-05-18,2.1029,2.1146,2.0173,2.0533,514400
1995-05-19,2.0416,2.0533,2.0173,2.0300,1853600
1995-05-22,2.0533,2.0659,2.0173,2.0659,432800
1995-05-23,2.0173,2.1505,2.0173,2.1389,809600
1995-05-24,2.1146,2.1875,2.1146,2.1875,1676800
1995-05-25,2.1875,2.1875,2.1146,2.1875,209600
