date,open,high,low,close,volume
1983-04-06,0.8206,0.8206,0.8062,0.8112,3346800
1983-04-07,0.8112,0.8183,0.8062,0.8183,4804496
1983-04-08,0.8183,0.8256,0.8087,0.8135,6312208
1983-04-11,0.8136,0.8184,0.8088,0.8159,3143600
1983-04-12,0.8207,0.8280,0.8159,0.8232,8654000
1983-04-13,0.8257,0.8353,0.8257,0.8353,4747296
1983-04-14,0.8519,0.8592,0.8519,0.8519,12136304
1983-04-15,0.8567,0.8592,0.8471,0.8592,4327008
1983-04-18,0.8592,0.8592,0.8496,0.8542,3015200
1983-04-19,0.8542,0.8615,0.8471,0.8519,9541408
1983-04-20,0.8542,0.8759,0.8542,0.8759,5328400
1983-04-21,0.8759,0.8902,0.8711,0.8759,5855904
1983-04-22,0.8781,0.8927,0.8781,0.8877,4512208
1983-04-25,0.8902,0.8950,0.8831,0.8902,4711696
1983-04-26,0.8927,0.9071,0.8781,0.9046,3482000
1983-04-27,0.8998,0.9094,0.8902,0.8927,7966000
1983-04-28,0.8950,0.8998,0.8902,0.8975,3592704
1983-04-29,0.8950,0.9021,0.8854,0.8902,4355296
1983-05-02,0.8736,0.8854,0.8638,0.8663,4594208
1983-05-03,0.8615,0.8736,0.8542,0.8663,4772400
1983-05-04,0.8638,0.8711,0.8542,0.8567,2911808
1983-05-05,0.8615,0.8686,0.8542,0.8592,16470400
1983-05-06,0.8615,0.8806,0.8592,0.8736,15030400
1983-05-09,0.8781,0.8781,0.8686,0.8711,5221504
1983-05-10,0.8711,0.8806,0.8686,0.8711,4401808
1983-05-11,0.8638,0.8736,0.8638,0.8711,2697904
1983-05-12,0.8686,0.8759,0.8663,0.8686,3125600
1983-05-13,0.8711,0.8736,0.8663,0.8686,3004496
1983-05-16,0.8615,0.8615,0.8519,0.8592,2616000
1983-05-17,0.8615,0.8663,0.8542,0.8663,3767408
1983-05-18,0.8711,0.8781,0.8686,0.8711,7249600
1983-05-19,0.8711,0.8711,0.8519,0.8542,4084608
1983-05-20,0.8519,0.8542,0.8423,0.8519,4056000
1983-05-23,0.8232,0.8471,0.8232,0.8423,5007696
1983-05-24,0.8423,0.8423,0.8353,0.8399,5417600
1983-05-25,0.8399,0.8423,0.8353,0.8399,7085600
1983-05-26,0.8399,0.8471,0.8280,0.8423,5214400
1983-05-27,0.8376,0.8496,0.8353,0.8376,3517904
1983-05-31,0.8303,0.8353,0.8257,0.8303,8076400
1983-06-01,0.8280,0.8353,0.8184,0.8184,5531600
1983-06-02,0.8232,0.8280,0.8064,0.8113,9017504
1983-06-03,0.8113,0.8232,0.8088,0.8207,3026000
1983-06-06,0.8232,0.8328,0.8207,0.8280,4266304
1983-06-07,0.8328,0.8592,0.8328,0.8446,7071408
1983-06-08,0.8399,0.8471,0.8376,0.8376,5178800
1983-06-09,0.8376,0.8446,0.8232,0.8446,8176304
1983-06-10,0.8423,0.8423,0.8184,0.8184,4897200
1983-06-13,0.8184,0.8207,0.8088,0.8088,8803600
1983-06-14,0.8207,0.8303,0.8088,0.8280,7075008
1983-06-15,0.8280,0.8615,0.8257,0.8615,11337808
1983-06-16,0.8950,0.8950,0.8854,0.8950,12763408
1983-06-17,0.8950,0.9094,0.8927,0.9094,4373200
1983-06-20,0.9141,0.9166,0.9021,0.9046,3321808
1983-06-21,0.8902,0.8927,0.8736,0.8854,11120400
1983-06-22,0.8877,0.8902,0.8831,0.8854,8864096
1983-06-23,0.8854,0.8854,0.8663,0.8711,4850704
1983-06-24,0.8759,0.9333,0.8759,0.9260,13127104
1983-06-27,0.9260,0.9260,0.9071,0.9094,5535200
1983-06-28,0.9117,0.9141,0.9021,0.9117,4430096
1983-06-29,0.9117,0.9117,0.8998,0.9071,5089600
1983-06-30,0.9117,0.9406,0.9094,0.9214,2854896
1983-07-01,0.9189,0.9310,0.9166,0.9310,2149200
1983-07-05,0.9285,0.9310,0.9046,0.9141,3970400
1983-07-06,0.9166,0.9237,0.9117,0.9237,1732096
1983-07-07,0.9189,0.9260,0.9141,0.9141,2958304
1983-07-08,0.9189,0.9214,0.9046,0.9071,2216896
1983-07-11,0.9095,0.9143,0.8833,0.8856,3724400
1983-07-12,0.8856,0.8856,0.8687,0.8687,3842208
1983-07-13,0.8616,0.8616,0.8521,0.8593,10799696
1983-07-14,0.8808,0.8928,0.8712,0.8903,6030608
1983-07-15,0.9095,0.9143,0.8856,0.9047,4669008
1983-07-18,0.9022,0.9047,0.8928,0.9022,2922608
1983-07-19,0.9072,0.9311,0.9072,0.9262,4658304
1983-07-20,0.9334,0.9407,0.9334,0.9382,5317808
1983-07-21,0.9430,0.9501,0.9382,0.9501,4298400
1983-07-22,0.9466,0.9501,0.9430,0.9478,2968896
1983-07-25,0.9478,0.9551,0.9430,0.9526,2234608
1983-07-26,0.9574,0.9717,0.9551,0.9692,5909296
1983-07-27,0.9646,0.9717,0.9453,0.9478,7217504
1983-07-28,0.9478,0.9478,0.9239,0.9239,4433904
1983-07-29,0.9216,0.9334,0.9118,0.9311,5403200
1983-08-01,0.9262,0.9262,0.9072,0.9168,6012704
1983-08-02,0.9191,0.9191,0.9072,0.9072,3118496
1983-08-03,0.9143,0.9168,0.9047,0.9095,6354896
1983-08-04,0.9095,0.9095,0.8976,0.9072,5870096
1983-08-05,0.9072,0.9168,0.9047,0.9143,4665408
