date,open,high,low,close,volume
2001-07-19,11.2275,11.3688,11.1532,11.2796,34994300
2001-07-20,11.1903,11.1903,11.0045,11.1606,9238500
2001-07-23,11.1532,11.1606,10.8186,11.1532,7501000
2001-07-24,11.1160,11.1309,10.9301,11.0491,3537300
2001-07-25,10.9301,11.1160,10.8929,11.1160,4208100
2001-07-26,11.1160,11.1457,10.7814,10.7814,6335300
2001-07-27,10.7888,10.8483,10.7814,10.7888,3524000
2001-07-30,10.7814,10.9896,10.7814,10.9301,3654300
2001-07-31,10.9375,11.1606,10.8558,11.1234,1429000
2001-08-01,11.1532,11.5249,11.0788,11.5249,2087900
2001-08-02,11.4506,11.5249,11.2275,11.4506,1717400
2001-08-03,11.4506,11.4506,11.1383,11.2647,983600
2001-08-06,11.2647,11.3167,11.1680,11.2275,777400
2001-08-07,11.2275,11.5621,11.2275,11.5249,788900
2001-08-08,11.4506,11.5993,11.1532,11.1532,2190300
2001-08-09,11.1903,11.5249,11.1532,11.5249,928000
2001-08-10,11.4506,11.4506,11.2424,11.2944,703300
2001-08-13,11.2647,11.4060,11.0788,11.1606,1770400
2001-08-14,11.1903,11.1978,10.8929,10.9301,1000800
2001-08-15,10.9673,11.0788,10.9301,10.9970,530900
2001-08-16,10.9896,10.9896,10.4468,10.4468,1522700
2001-08-17,10.4542,11.0045,10.3353,10.7963,2342400
2001-08-20,10.8558,11.4134,10.7740,11.4134,1434900
2001-08-21,11.3391,11.5993,11.1606,11.4952,1038200
2001-08-22,11.3911,11.4432,10.9896,11.4060,829000
2001-08-23,11.4878,11.4878,11.3391,11.3391,470000
2001-08-24,11.3391,11.5101,11.1532,11.4506,689000
2001-08-27,11.5101,11.6365,11.4506,11.5101,827700
2001-08-28,11.4655,11.5844,11.3391,11.4208,736900
2001-08-29,11.3688,11.3837,11.1532,11.1606,397400
2001-08-30,11.1829,11.1829,11.0416,11.1160,640100
2001-08-31,11.1532,11.2275,11.0788,11.0788,3337900
2001-09-04,11.1532,11.6365,11.1532,11.4357,1068600
2001-09-05,11.4357,11.4357,11.0788,11.0862,1053200
2001-09-06,10.9673,11.1606,10.7070,10.7814,1384500
2001-09-07,10.7442,10.8855,10.6699,10.7963,1408500
2001-09-10,10.8409,11.2721,10.8186,11.2647,622100
2001-09-17,11.2573,11.2573,10.7591,10.8558,1934300
2001-09-18,10.8558,11.1532,10.6699,10.8186,902800
2001-09-19,10.9227,10.9227,10.2014,10.3724,2415400
2001-09-20,10.3353,10.3353,9.5471,9.6289,3498900
2001-09-21,9.6661,9.6661,9.0415,9.4802,2051800
2001-09-24,9.8743,9.8743,9.6289,9.8148,1964200
2001-09-25,9.8148,9.8148,9.4430,9.5174,1827300
2001-09-26,9.6363,9.6363,9.0712,9.0712,3327200
2001-09-27,9.1159,9.1159,8.6326,8.8110,2347500
2001-09-28,8.9969,10.0007,8.9969,9.4802,2844000
2001-10-01,9.4058,9.6661,9.4058,9.4430,878800
2001-10-02,9.3315,9.4430,9.0118,9.3538,1900400
2001-10-03,9.7107,9.7107,9.3687,9.6289,2539400
2001-10-04,10.2609,10.2609,9.6438,10.0304,3108500
2001-10-05,10.2163,10.2163,9.9040,10.0750,2172300
2001-10-08,10.1791,10.1791,9.8371,9.8371,576100
2001-10-09,10.2609,10.2609,9.9486,9.9635,1601100
2001-10-10,9.9263,10.2237,9.8891,10.1643,1700400
2001-10-11,11.5249,11.5249,10.9301,11.2721,4214100
2001-10-12,11.3465,12.3057,9.4802,12.3057,5193300
2001-10-15,12.2759,13.3466,12.2759,13.0120,3277900
2001-10-16,13.1236,13.4210,12.5659,12.9749,1996000
2001-10-17,13.1236,13.1905,12.5287,12.6254,1877100
2001-10-18,12.6254,12.6254,12.3503,12.4172,942000
2001-10-19,12.4172,12.5287,12.2982,12.5287,2062500
2001-10-22,12.6403,13.0641,12.6180,13.0120,469600
2001-10-23,13.0120,13.1830,12.8410,13.1013,915400
2001-10-24,13.2054,13.2054,13.0641,13.1905,472600
2001-10-25,13.1905,13.1979,12.7369,13.1905,265100
2001-10-26,13.1607,13.2202,13.0120,13.1013,566500
2001-10-29,13.1756,13.1830,12.9377,13.0492,616200
2001-10-30,12.9823,12.9823,12.7518,12.9005,574700
2001-10-31,12.9525,13.0864,12.7146,13.0641,718600
2001-11-01,13.0269,13.8225,13.0269,13.6143,1089900
2001-11-02,13.7556,14.2017,13.4582,13.5697,2372800
2001-11-05,13.5697,13.5846,13.2128,13.4582,1552700
2001-11-06,13.3689,13.3689,12.9005,13.3615,562600
2001-11-07,14.0530,14.0530,13.3541,14.0530,1987000
2001-11-08,13.9043,14.8486,13.9043,14.8337,1747200
2001-11-09,14.6850,14.8337,14.6107,14.8337,1325400
2001-11-12,14.6850,14.6850,14.1273,14.4917,2398300
2001-11-13,14.6478,15.7929,14.6181,15.4657,1463000
2001-11-14,15.6144,15.9119,14.8486,15.0270,1391400
2001-11-15,14.9081,15.2055,14.9081,15.0568,628200
2001-11-16,15.0568,15.8003,15.0196,15.6442,639100
2001-11-19,15.6888,16.5439,15.6888,16.3580,1430000
2001-11-20,16.3282,16.3282,15.7260,15.8003,1017400
2001-11-21,15.7706,15.7706,14.7222,15.1311,1442600
2001-11-23,15.3319,15.3319,15.0642,15.2798,286500
2001-11-26,15.3765,16.0606,15.0716,15.9862,1064900
2001-11-27,16.0606,16.9156,15.9862,16.7298,1210000
2001-11-28,16.4323,16.4323,15.5103,16.2464,1415900
2001-11-29,16.2316,16.5364,15.6219,15.9342,1326400
2001-11-30,15.9565,16.8487,15.9193,16.8041,2075400
2001-12-03,17.8451,17.8451,16.7298,17.0272,1244400
2001-12-04,16.9156,18.2168,16.8413,17.9938,2087000
2001-12-05,18.1425,19.9270,18.0979,19.8155,3386200
2001-12-06,20.2021,20.2021,19.2578,19.5180,3190200
2001-12-07,19.2950,19.2950,18.4399,18.4845,1115400
2001-12-10,18.5886,19.4809,18.2168,18.2912,1732100
2001-12-11,18.2540,18.4994,18.2168,18.4102,1713200
2001-12-12,18.4027,18.8117,18.2466,18.7150,2044100
2001-12-13,18.6778,18.6853,17.2502,17.3246,1446600
2001-12-14,17.3618,17.7335,16.8338,17.5848,1156200
2001-12-17,17.6964,18.9604,17.6294,18.9306,1428100
2001-12-18,19.1463,19.4065,18.9678,19.2950,2640200
2001-12-19,19.2578,19.6147,18.9232,19.3545,1160100
2001-12-20,20.5218,20.8192,19.0422,20.1129,2425100
2001-12-21,19.8155,20.2616,19.4214,19.4437,1900500
2001-12-24,19.4437,19.4437,19.2950,19.3396,181100
2001-12-26,19.4139,19.5106,19.3396,19.5106,667000
2001-12-27,19.5032,19.5552,19.3322,19.5478,702000
2001-12-28,19.5478,19.7708,19.3322,19.7411,1174700
2001-12-31,19.7485,20.0237,19.4065,20.0162,920700
2002-01-02,20.0013,20.0088,19.2950,19.4883,900500
2002-01-03,19.5329,19.5329,18.8117,18.8786,698200
