date,open,high,low,close,volume
1984-07-19,1.4771,1.4850,1.4600,1.4600,170400
1984-07-20,1.4685,1.4850,1.4441,1.4441,51400
1984-07-23,1.4190,1.4270,1.3695,1.3860,628800
1984-07-24,1.3860,1.4270,1.3860,1.4190,223200
1984-07-25,1.4355,1.4355,1.4025,1.4270,393600
1984-07-26,1.4270,1.4441,1.4270,1.4441,259400
1984-07-27,1.4600,1.5510,1.4600,1.5510,153800
1984-07-30,1.5345,1.5510,1.4850,1.4850,76800
1984-07-31,1.4930,1.5015,1.4850,1.4930,55200
1984-08-01,1.4850,1.5345,1.4850,1.5345,508800
1984-08-02,1.5345,1.6421,1.5345,1.6335,483400
1984-08-03,1.6500,1.7985,1.6500,1.7900,655400
1984-08-06,1.8480,1.8731,1.8150,1.8480,487400
1984-08-07,1.8315,1.8645,1.8315,1.8560,269800
1984-08-08,1.8731,1.8731,1.7820,1.7820,388800
1984-08-09,1.7655,1.7820,1.7325,1.7820,297800
1984-08-10,1.8645,1.8975,1.8480,1.8560,408200
1984-08-13,1.8401,1.8810,1.8150,1.8731,259400
1984-08-14,1.8645,1.8731,1.8150,1.8150,116200
1984-08-15,1.7820,1.7985,1.7655,1.7820,280800
1984-08-16,1.7490,1.8150,1.7411,1.7985,266600
1984-08-17,1.8150,1.8401,1.7820,1.8230,61000
1984-08-20,1.8071,1.8560,1.7900,1.8480,137000
1984-08-21,1.8645,1.8975,1.8645,1.8890,88800
1984-08-22,1.8890,1.9220,1.8810,1.8890,187400
1984-08-23,1.9061,1.9801,1.8975,1.9721,444000
1984-08-24,1.9801,1.9801,1.9306,1.9306,242600
1984-08-27,1.9471,1.9550,1.9141,1.9306,224200
1984-08-28,1.9391,1.9391,1.8975,1.9141,218400
1984-08-29,1.9141,1.9220,1.8731,1.9141,96000
1984-08-30,1.9141,1.9220,1.8810,1.8810,45600
1984-08-31,1.8810,1.9061,1.8645,1.8731,88800
1984-09-04,1.8810,1.8810,1.8401,1.8480,73000
1984-09-05,1.8315,1.8315,1.7655,1.7820,140200
1984-09-06,1.7820,1.8315,1.7820,1.8150,115200
1984-09-07,1.8315,1.8480,1.8230,1.8315,207400
1984-09-10,1.8150,1.8315,1.7985,1.8230,184800
1984-09-11,1.8150,1.8230,1.7820,1.7820,601000
1984-09-12,1.7820,1.7820,1.7081,1.7160,129600
1984-09-13,1.7325,1.7985,1.7240,1.7820,104200
1984-09-14,1.8071,1.8071,1.7741,1.7820,153600
1984-09-17,1.7900,1.8071,1.7741,1.7985,93600
1984-09-18,1.8150,1.8150,1.7655,1.7820,168000
1984-09-19,1.7655,1.7655,1.6665,1.6830,341800
1984-09-20,1.6665,1.7160,1.6665,1.7160,113000
1984-09-21,1.6995,1.7655,1.6910,1.7160,122600
1984-09-24,1.6995,1.7160,1.6910,1.6995,130600
1984-09-25,1.6995,1.6995,1.6500,1.6500,473800
1984-09-26,1.6500,1.6751,1.6335,1.6665,561600
1984-09-27,1.6665,1.6751,1.5510,1.5761,321600
1984-09-28,1.5590,1.5761,1.5015,1.5101,298600
1984-10-01,1.4850,1.4850,1.4190,1.4520,885600
1984-10-02,1.4270,1.4520,1.4270,1.4441,501600
1984-10-03,1.4270,1.4441,1.4190,1.4190,835200
1984-10-04,1.4190,1.4520,1.4190,1.4520,1750600
1984-10-05,1.4520,1.5431,1.4520,1.5345,136800
1984-10-08,1.5345,1.5345,1.4850,1.4850,57600
1984-10-09,1.4685,1.5180,1.4685,1.5015,435400
1984-10-10,1.5101,1.5180,1.4930,1.5015,1005800
1984-10-11,1.5180,1.5510,1.5180,1.5510,228200
1984-10-12,1.5590,1.5675,1.5431,1.5675,240200
1984-10-15,1.5840,1.6170,1.5510,1.6005,249800
1984-10-16,1.6005,1.6335,1.5840,1.5920,216000
1984-10-17,1.5920,1.6091,1.5675,1.5840,46600
1984-10-18,1.5675,1.6170,1.5590,1.6170,106600
1984-10-19,1.6665,1.6995,1.6421,1.6421,372200
1984-10-22,1.6500,1.6830,1.6250,1.6250,201600
1984-10-23,1.6250,1.6500,1.6250,1.6500,52800
1984-10-24,1.6335,1.6500,1.6250,1.6421,93800
1984-10-25,1.6421,1.6421,1.5510,1.5761,338600
1984-10-26,1.5510,1.5510,1.4600,1.4930,105600
1984-10-29,1.5101,1.5101,1.4850,1.4930,117800
1984-10-30,1.5015,1.5101,1.4850,1.5015,225600
1984-10-31,1.5015,1.5180,1.4930,1.5180,302400
1984-11-01,1.5260,1.6170,1.5260,1.6005,588200
1984-11-02,1.5840,1.5840,1.5260,1.5260,238600
1984-11-05,1.5180,1.5590,1.5180,1.5590,44200
1984-11-06,1.5761,1.6005,1.5675,1.6005,159400
1984-11-07,1.6091,1.6091,1.5840,1.5840,101800
1984-11-08,1.5920,1.6005,1.5761,1.5840,33600
1984-11-09,1.5840,1.6091,1.5590,1.5761,212200
1984-11-12,1.5675,1.5761,1.5510,1.5675,137800
1984-11-13,1.5590,1.5761,1.5260,1.5260,233000
1984-11-14,1.5260,1.5260,1.4930,1.4930,77000
1984-11-15,1.4930,1.5180,1.4930,1.5180,28800
1984-11-16,1.5345,1.5431,1.5015,1.5015,72200
1984-11-19,1.5015,1.5345,1.5015,1.5101,51400
1984-11-20,1.5180,1.5345,1.5101,1.5101,437800
1984-11-21,1.5101,1.5180,1.5101,1.5101,103400
1984-11-23,1.5180,1.5431,1.5101,1.5431,196800
1984-11-26,1.5510,1.5675,1.5431,1.5510,67400
1984-11-27,1.5590,1.5840,1.5345,1.5675,151400
1984-11-28,1.5840,1.5840,1.5675,1.5840,75400
1984-11-29,1.5761,1.5840,1.5590,1.5761,432000
1984-11-30,1.5590,1.5590,1.5345,1.5345,60000
1984-12-03,1.5260,1.5260,1.4930,1.4930,67200
1984-12-04,1.4930,1.5015,1.4850,1.4930,104200
1984-12-05,1.4930,1.5015,1.4850,1.4850,16800
1984-12-06,1.4930,1.5260,1.4930,1.5015,33600
1984-12-07,1.4930,1.5180,1.4930,1.5180,62600
1984-12-10,1.5260,1.5260,1.4930,1.4930,175200
1984-12-11,1.5101,1.5101,1.4850,1.4850,244800
1984-12-12,1.4685,1.4685,1.4190,1.4355,324000
1984-12-13,1.4355,1.4355,1.3860,1.3860,355200
1984-12-14,1.3860,1.3860,1.3451,1.3695,674400
1984-12-17,1.3610,1.3860,1.3530,1.3860,413800
1984-12-18,1.4025,1.4685,1.4025,1.4685,828000
1984-12-19,1.5015,1.5510,1.5015,1.5180,429800
1984-12-20,1.5180,1.5510,1.5180,1.5431,141800
1984-12-21,1.5431,1.5920,1.5345,1.5840,172800
1984-12-24,1.6005,1.6250,1.6005,1.6250,285800
1984-12-26,1.6250,1.6250,1.6005,1.6005,48200
1984-12-27,1.5840,1.5840,1.5260,1.5345,99400
1984-12-28,1.5510,1.5675,1.5431,1.5431,84200
1984-12-31,1.5590,1.5761,1.5431,1.5590,73000
1985-01-02,1.5761,1.5761,1.5180,1.5180,149800
1985-01-03,1.5180,1.5345,1.5180,1.5260,297800
1985-01-04,1.5101,1.5345,1.5101,1.5260,509000
1985-01-07,1.5260,1.5510,1.5260,1.5431,28800
1985-01-08,1.5431,1.5510,1.5101,1.5101,58600
1985-01-09,1.5015,1.5260,1.4930,1.5180,120000
1985-01-10,1.5345,1.5510,1.5180,1.5345,304800
1985-01-11,1.5590,1.6091,1.5590,1.6005,1200200
1985-01-14,1.5920,1.6250,1.5840,1.6250,173000
1985-01-15,1.6421,1.6995,1.6421,1.6665,746400
1985-01-16,1.6580,1.6830,1.6500,1.6751,235200
1985-01-17,1.6910,1.6995,1.6580,1.6665,127400
1985-01-18,1.6910,1.6910,1.6500,1.6665,74600
1985-01-21,1.6500,1.7081,1.6335,1.6995,181000
1985-01-22,1.7325,1.7411,1.7160,1.7160,196800
1985-01-23,1.7160,1.7655,1.7160,1.7655,343200
1985-01-24,1.7490,1.7741,1.7490,1.7490,448800
1985-01-25,1.7570,1.7655,1.6830,1.7160,466600
1985-01-28,1.7325,1.7820,1.7160,1.7741,550600
1985-01-29,1.7900,1.7900,1.7570,1.7741,283200
1985-01-30,1.7820,1.7985,1.7570,1.7655,1380000
1985-01-31,1.7655,1.7741,1.7411,1.7741,697000
1985-02-01,1.7741,1.7741,1.6995,1.6995,577000
1985-02-04,1.6335,1.7160,1.6335,1.7160,908200
1985-02-05,1.7490,1.7741,1.7411,1.7490,565000
1985-02-06,1.7570,1.8071,1.7411,1.7900,471400
1985-02-07,1.8071,1.8480,1.7985,1.8480,173000
1985-02-08,1.8480,1.8975,1.8480,1.8975,304800
1985-02-11,1.9141,1.9966,1.9141,1.9550,638600
1985-02-12,1.9471,1.9550,1.9306,1.9550,556800
1985-02-13,1.9391,1.9636,1.9220,1.9636,511200
1985-02-14,1.9636,1.9801,1.9636,1.9636,588200
1985-02-15,1.9550,1.9636,1.9471,1.9471,447400
1985-02-19,1.9306,1.9306,1.8731,1.8810,926400
1985-02-20,1.8645,1.8645,1.8401,1.8480,448800
1985-02-21,1.8645,1.8645,1.8401,1.8480,237800
1985-02-22,1.8480,1.8645,1.8480,1.8480,427200
1985-02-25,1.8480,1.8560,1.8150,1.8315,261600
1985-02-26,1.8150,1.8230,1.7900,1.8230,202600
1985-02-27,1.8230,1.8315,1.7985,1.8150,436800
1985-02-28,1.8230,1.8315,1.8150,1.8315,37000
1985-03-01,1.8230,1.8315,1.7985,1.8315,212200
1985-03-04,1.8401,1.8401,1.7820,1.7900,451400
1985-03-05,1.7741,1.7820,1.7570,1.7820,775200
1985-03-06,1.7741,1.7820,1.7490,1.7490,295200
1985-03-07,1.7655,1.7655,1.6830,1.6830,133000
1985-03-08,1.6830,1.6995,1.6751,1.6995,82600
1985-03-11,1.6910,1.6995,1.6830,1.6830,708000
1985-03-12,1.6910,1.7325,1.6751,1.7325,173000
1985-03-13,1.7490,1.7741,1.7160,1.7160,110400
1985-03-14,1.7240,1.7240,1.6335,1.7160,976800
1985-03-15,1.7240,1.7325,1.6995,1.7081,240000
1985-03-18,1.7240,1.7490,1.7160,1.7490,134400
1985-03-19,1.7570,1.7985,1.7490,1.7900,152200
1985-03-20,1.7820,1.7985,1.7570,1.7741,305800
1985-03-21,1.7741,1.7820,1.7570,1.7570,50600
1985-03-22,1.7570,1.7570,1.7490,1.7570,80200
1985-03-25,1.7490,1.7570,1.7160,1.7240,86600
1985-03-26,1.7081,1.7240,1.6580,1.6580,374600
1985-03-27,1.6751,1.7081,1.6751,1.7081,922600
1985-03-28,1.7081,1.7240,1.6995,1.7240,296200
1985-03-29,1.7081,1.7490,1.6580,1.7490,116200
1985-04-01,1.7490,1.7570,1.7325,1.7325,24200
1985-04-02,1.7490,1.7570,1.7411,1.7490,97000
1985-04-03,1.7490,1.7490,1.6910,1.6910,61000
1985-04-04,1.6751,1.6751,1.6250,1.6500,214600
1985-04-08,1.6421,1.7081,1.6335,1.6995,158400
1985-04-09,1.6995,1.7081,1.6830,1.7081,33600
1985-04-10,1.7160,1.7160,1.6910,1.6910,177800
1985-04-11,1.6751,1.7081,1.6751,1.6830,144200
1985-04-12,1.6995,1.6995,1.6665,1.6665,350400
1985-04-15,1.6580,1.6830,1.6580,1.6665,44200
1985-04-16,1.6500,1.7424,1.6500,1.7226,76800
1985-04-17,1.7424,1.7837,1.7325,1.7325,81600
1985-04-18,1.7532,1.7837,1.7424,1.7532,241000
1985-04-19,1.7532,1.7532,1.6707,1.6814,117800
1985-04-22,1.6707,1.6814,1.6599,1.6814,255400
1985-04-23,1.6599,1.6599,1.6088,1.6294,1337000
1985-04-24,1.6294,1.6500,1.6187,1.6401,821000
1985-04-25,1.6599,1.6599,1.6401,1.6599,477600
1985-04-26,1.6707,1.6707,1.6088,1.6088,984000
1985-04-29,1.5882,1.5989,1.5469,1.5675,545000
1985-04-30,1.5675,1.5675,1.5263,1.5263,379400
1985-05-01,1.5263,1.5263,1.4949,1.5057,615400
1985-05-02,1.5164,1.5164,1.4850,1.4850,533800
1985-05-03,1.4850,1.5469,1.4850,1.5469,646600
1985-05-06,1.5675,1.5989,1.5675,1.5989,221000
1985-05-07,1.6187,1.6814,1.6187,1.6707,757000
1985-05-08,1.6294,1.6500,1.6187,1.6187,631400
1985-05-09,1.6401,1.6707,1.6088,1.6707,591400
1985-05-10,1.6814,1.7424,1.6707,1.7325,1063400
1985-05-13,1.7532,1.8150,1.7532,1.7944,500200
1985-05-14,1.7944,1.8150,1.7837,1.7944,370600
1985-05-15,1.7738,1.7944,1.7738,1.7837,257800
1985-05-16,1.7944,1.7944,1.7424,1.7738,128200
1985-05-17,1.7738,1.8249,1.7738,1.8249,292800
1985-05-20,1.8357,1.8563,1.8150,1.8150,182400
1985-05-21,1.7944,1.8150,1.7944,1.8150,187400
1985-05-22,1.8249,1.8249,1.7944,1.7944,408200
1985-05-23,1.8150,1.8150,1.7837,1.8150,448800
1985-05-24,1.7944,1.8051,1.7837,1.8051,204200
1985-05-28,1.8150,1.8150,1.7837,1.8051,785800
1985-05-29,1.8051,1.8051,1.7532,1.7532,367400
1985-05-30,1.7738,1.7837,1.7532,1.7639,463400
1985-05-31,1.7837,1.8150,1.7738,1.8150,199200
1985-06-03,1.8357,1.8357,1.7738,1.7944,529000
1985-06-04,1.7944,1.7944,1.6599,1.6913,1394600
1985-06-05,1.6707,1.6814,1.5675,1.6088,496800
1985-06-06,1.5882,1.6088,1.5469,1.6088,672000
1985-06-07,1.6088,1.6294,1.5675,1.6294,316800
1985-06-10,1.6187,1.6187,1.5576,1.5576,361000
1985-06-11,1.5675,1.5989,1.5576,1.5882,373000
1985-06-12,1.5675,1.5774,1.5469,1.5675,518600
1985-06-13,1.5469,1.5989,1.5362,1.5675,724800
1985-06-14,1.5675,1.6088,1.5675,1.5989,104200
1985-06-17,1.6088,1.6187,1.5774,1.5774,65000
1985-06-18,1.5675,1.6088,1.5675,1.6088,511200
1985-06-19,1.6088,1.6401,1.5989,1.5989,249600
1985-06-20,1.6088,1.6187,1.5989,1.6088,411400
1985-06-21,1.5989,1.6913,1.5882,1.6913,397000
1985-06-24,1.6913,1.7424,1.6814,1.7424,502600
1985-06-25,1.7532,1.8357,1.7532,1.7738,218600
1985-06-26,1.7532,1.7738,1.7325,1.7738,117800
1985-06-27,1.7738,1.7738,1.7424,1.7639,89000
1985-06-28,1.7325,1.7325,1.6401,1.6814,334600
1985-07-01,1.6814,1.6814,1.6187,1.6500,529000
1985-07-02,1.6500,1.7012,1.6500,1.7012,1442600
1985-07-03,1.6913,1.7119,1.6913,1.7119,230600
1985-07-05,1.7119,1.7325,1.7119,1.7119,170600
1985-07-08,1.7325,1.7532,1.7012,1.7119,312200
1985-07-09,1.7012,1.7119,1.6913,1.6913,830600
1985-07-10,1.6913,1.7012,1.6913,1.6913,190600
1985-07-11,1.6913,1.7012,1.6913,1.7012,661000
1985-07-12,1.6913,1.7119,1.6913,1.7119,120000
1985-07-15,1.7119,1.7119,1.6707,1.6913,105800
1985-07-16,1.6707,1.7639,1.6599,1.7532,319200
1985-07-17,1.8769,1.9074,1.8563,1.8876,1276800
1985-07-18,1.8769,1.9182,1.8769,1.8975,609600
1985-07-19,1.8769,1.8876,1.8563,1.8876,257000
1985-07-22,1.8662,1.8769,1.8662,1.8662,196800
1985-07-23,1.8769,1.9487,1.8563,1.9388,888000
1985-07-24,1.9388,1.9388,1.8876,1.9289,326400
1985-07-25,1.9487,1.9702,1.9388,1.9487,326600
1985-07-26,1.9487,1.9702,1.9388,1.9702,72000
1985-07-29,1.9487,1.9594,1.9182,1.9182,340800
1985-07-30,1.9182,1.9388,1.9182,1.9289,31200
1985-07-31,1.9487,1.9900,1.9388,1.9487,545000
1985-08-01,1.9702,1.9801,1.9388,1.9594,103200
1985-08-02,1.9594,1.9594,1.9289,1.9388,304800
1985-08-05,1.9289,1.9487,1.9182,1.9487,178600
1985-08-06,1.9289,1.9487,1.9182,1.9182,181000
1985-08-07,1.8975,1.8975,1.8464,1.8563,344200
1985-08-08,1.8357,1.8464,1.7837,1.8464,116200
1985-08-09,1.8464,1.8769,1.8464,1.8464,89800
1985-08-12,1.8563,1.8662,1.8051,1.8051,571200
1985-08-13,1.7944,1.7944,1.7532,1.7532,55200
1985-08-14,1.7639,1.8249,1.7639,1.8249,81800
1985-08-15,1.8464,1.8563,1.8357,1.8357,108000
1985-08-16,1.8563,1.8662,1.8357,1.8357,355200
1985-08-19,1.8464,1.8563,1.8464,1.8563,41800
1985-08-20,1.8662,1.8876,1.8563,1.8563,139400
1985-08-21,1.8662,1.8769,1.7325,1.7325,189600
1985-08-22,1.7532,1.8150,1.7532,1.8051,468000
1985-08-23,1.7944,1.8150,1.7944,1.7944,122400
1985-08-26,1.8150,1.8150,1.7944,1.8051,81800
1985-08-27,1.7944,1.8357,1.7837,1.8150,261600
1985-08-28,1.8150,1.8357,1.8150,1.8357,351400
1985-08-29,1.8464,1.8464,1.8249,1.8249,89000
1985-08-30,1.8464,1.8563,1.8357,1.8357,696200
1985-09-03,1.8357,1.8464,1.8249,1.8357,187400
1985-09-04,1.8357,1.8357,1.8150,1.8150,425000
1985-09-05,1.8357,1.8357,1.7944,1.7944,165800
1985-09-06,1.8150,1.8357,1.7738,1.7837,89000
1985-09-09,1.7738,1.8150,1.7738,1.7837,493000
1985-09-10,1.7837,1.7944,1.7738,1.7738,19400
1985-09-11,1.7738,1.7738,1.7325,1.7325,153800
1985-09-12,1.7119,1.7325,1.7119,1.7325,271200
1985-09-13,1.7325,1.7325,1.6913,1.6913,1066600
1985-09-16,1.6913,1.6913,1.6294,1.6401,648200
1985-09-17,1.6401,1.6401,1.6088,1.6401,69800
1985-09-18,1.6088,1.6500,1.5989,1.6500,989800
1985-09-19,1.6500,1.7012,1.6500,1.7012,379400
1985-09-20,1.7119,1.7119,1.6707,1.6707,228200
1985-09-23,1.6913,1.7012,1.6814,1.6913,261600
1985-09-24,1.7119,1.7532,1.7119,1.7532,314400
1985-09-25,1.7532,1.7532,1.7325,1.7325,93600
1985-09-26,1.7012,1.7012,1.6814,1.6814,280800
1985-09-30,1.6707,1.6814,1.6500,1.6707,108200
