date,open,high,low,close,volume
1983-04-05,3.5978,3.5978,3.5336,3.5978,2311301
1983-04-06,3.5978,3.6203,3.5544,3.6203,1735000
1983-04-07,3.6203,3.6620,3.6203,3.6411,1425799
1983-04-08,3.6411,3.7070,3.5753,3.6203,2981600
1983-04-11,3.6203,3.6411,3.5978,3.6203,979601
1983-04-12,3.5978,3.6203,3.5544,3.5978,511201
1983-04-13,3.5753,3.5978,3.4678,3.4903,3254600
1983-04-14,3.4903,3.5336,3.4036,3.5111,1689501
1983-04-15,3.5336,3.5336,3.4452,3.4903,6907400
1983-04-18,3.4903,3.5336,3.3811,3.4903,6438201
1983-04-19,3.4903,3.5978,3.4452,3.5111,5320499
1983-04-20,3.5544,3.6203,3.5336,3.5753,4040699
1983-04-21,3.9879,4.0313,3.9220,3.9446,15391701
1983-04-22,3.9220,4.1821,3.9220,4.0521,6328199
1983-04-25,4.0313,4.1388,3.9012,3.9446,3506301
1983-04-26,3.9446,4.0521,3.8371,4.0313,7526102
1983-04-27,4.0313,4.1180,3.9220,4.0105,5773100
1983-04-28,4.0105,4.0521,3.9671,4.0105,1269402
1983-04-29,3.9879,4.0313,3.9220,3.9671,1873999
1983-05-02,3.9012,3.9220,3.8579,3.9012,1643898
1983-05-03,3.9012,3.9012,3.8145,3.9012,1266101
1983-05-04,3.9012,3.9446,3.8579,3.9012,1155600
1983-05-05,3.9012,3.9446,3.8371,3.8371,1160501
1983-05-06,3.8579,3.9012,3.7070,3.8579,6305702
1983-05-09,3.8579,3.8804,3.7920,3.8371,2233599
1983-05-10,3.8579,3.9446,3.8579,3.9446,1225999
1983-05-11,3.9671,4.0105,3.9446,3.9446,2397701
1983-05-12,3.9879,4.0746,3.9671,4.0746,5866800
1983-05-13,4.1180,4.2047,4.0746,4.1388,6361200
1983-05-16,4.1180,4.1613,4.0521,4.1613,1910601
1983-05-17,4.1613,4.2047,4.1180,4.1180,3171099
1983-05-18,4.1388,4.2047,4.0972,4.0972,5561700
1983-05-19,4.1613,4.1613,4.0521,4.0972,2345301
1983-05-20,4.1180,4.1388,3.9446,4.0521,1051502
1983-05-23,4.0105,4.0972,3.9879,4.0746,1288001
1983-05-24,4.0746,4.1388,4.0521,4.0972,2082800
1983-05-25,4.1388,4.1821,4.1180,4.1613,1571501
1983-05-26,4.1821,4.4214,4.1821,4.3780,4629201
1983-05-27,4.4439,4.5081,4.4214,4.4439,2074501
1983-05-31,4.4873,4.4873,4.3988,4.4439,2817200
1983-06-01,4.4439,4.5081,4.4214,4.5081,3320899
1983-06-02,4.5289,4.5948,4.5081,4.5948,8165401
1983-06-03,4.5948,4.5948,4.4647,4.4873,2057201
1983-06-06,4.5289,4.5289,4.4214,4.4647,1001201
1983-06-07,4.4873,4.5289,4.4439,4.4873,1401300
1983-06-08,4.4647,4.4647,4.3139,4.3347,1217899
1983-06-09,4.3139,4.3572,4.2480,4.3347,2204000
1983-06-10,4.3572,4.3780,4.2913,4.3572,1880000
1983-06-13,4.3988,4.4214,4.3780,4.3988,2240598
1983-06-14,4.3988,4.4439,4.3780,4.4214,1364000
1983-06-15,4.3780,4.3988,4.3139,4.3572,670501
1983-06-16,4.3988,4.3988,4.2688,4.2913,2000001
1983-06-17,4.2913,4.2913,4.2480,4.2913,986600
1983-06-20,4.3347,4.3572,4.2480,4.3347,2305101
1983-06-21,4.3780,4.4439,4.3347,4.4439,1612302
1983-06-22,4.4873,4.5081,4.4439,4.4873,2143000
1983-06-23,4.4873,4.4873,4.4439,4.4647,1524002
1983-06-24,4.4647,4.5081,4.4439,4.4647,1403501
1983-06-27,4.4647,4.5081,4.3988,4.5081,681899
1983-06-28,4.5081,4.5081,4.3988,4.4214,1117901
1983-06-29,4.4439,4.5081,4.3988,4.4214,852599
1983-06-30,4.3780,4.4214,4.3347,4.3780,1415701
1983-07-01,4.3347,4.4214,4.3347,4.4214,170900
1983-07-05,4.4214,4.4214,4.3780,4.3780,360501
1983-07-06,4.4214,4.4439,4.3780,4.3780,957700
1983-07-07,4.3988,4.5081,4.3780,4.5081,2028301
1983-07-08,4.5081,4.5289,4.3780,4.3988,2284700
1983-07-11,4.4214,4.4647,4.3780,4.4214,411301
1983-07-12,4.4214,4.4214,4.2913,4.3572,412601
1983-07-13,4.3347,4.3988,4.3347,4.3347,1647500
1983-07-14,4.3347,4.3780,4.3347,4.3347,2367401
1983-07-15,4.3572,4.3572,4.3347,4.3572,1144398
1983-07-18,4.3347,4.3572,4.1821,4.2272,1150301
1983-07-19,4.2047,4.2272,4.1388,4.1613,2075699
1983-07-20,4.2272,4.2480,4.1821,4.2272,1700200
1983-07-21,4.2047,4.2272,4.0972,4.1180,3220300
1983-07-22,3.9550,4.1180,3.7920,3.9671,1463400
1983-07-25,3.9220,3.9446,3.8579,3.9220,3606599
1983-07-26,3.8579,3.9446,3.7920,3.9446,3401598
1983-07-27,4.0313,4.0521,3.9220,3.9671,3543099
1983-07-28,3.9220,3.9671,3.8145,3.8804,2451600
1983-07-29,3.8145,3.8371,3.7070,3.7712,1777299
1983-08-01,3.7504,3.8145,3.7070,3.7712,1734301
1983-08-02,3.7712,3.8145,3.7278,3.7278,1056699
1983-08-03,3.7504,3.7712,3.6845,3.7712,2310900
1983-08-04,3.7504,3.9220,3.5978,3.7070,2799100
1983-08-05,3.7070,3.7070,3.6411,3.7070,1390601
1983-08-08,3.7070,3.7070,3.5753,3.6203,687599
1983-08-09,3.6620,3.6620,3.5544,3.6203,977802
1983-08-10,3.6203,3.6203,3.4452,3.5111,2771300
1983-08-11,3.5111,3.5753,3.4903,3.5336,1950699
1983-08-12,3.5336,3.5753,3.5111,3.5753,1439201
1983-08-15,3.5544,3.6620,3.5336,3.6203,4421199
1983-08-16,3.5111,3.5319,3.3811,3.4452,3035799
1983-08-17,3.4244,3.4452,3.2944,3.3377,12827700
1983-08-18,3.3377,3.3811,3.2944,3.3603,5496701
1983-08-19,3.3603,3.4452,3.3169,3.4244,3507101
1983-08-22,3.4678,3.5319,3.4244,3.4452,1954199
1983-08-23,3.5111,3.5319,3.4678,3.4886,1715101
1983-08-24,3.4886,3.5111,3.4452,3.4452,2556600
1983-08-25,3.4678,3.5319,3.4452,3.4886,3548799
1983-08-26,3.4678,3.5544,3.4678,3.5319,1359801
1983-08-29,3.5544,3.5544,3.4886,3.5111,560301
