date,open,high,low,close,volume
1998-01-02,13.5185,13.5374,13.3236,13.4588,444000
1998-01-05,13.5374,13.5594,13.2230,13.3613,564300
1998-01-06,13.2450,13.2639,13.1255,13.1664,253600
1998-01-07,13.1664,13.1664,12.8520,13.0469,358100
1998-01-08,13.0658,13.0658,12.8111,12.8897,325100
1998-01-09,12.8709,13.1444,12.8709,13.0092,306600
1998-01-12,12.9306,13.1444,12.8897,13.1255,268300
1998-01-13,13.1255,13.1255,12.9495,13.0281,193300
1998-01-14,13.0281,13.0281,12.9306,12.9683,139500
1998-01-15,12.9495,12.9495,12.6540,12.6728,155400
1998-01-16,12.7734,12.8300,12.7137,12.7325,251100
1998-01-20,11.7894,11.8303,11.4750,11.6511,1051500
1998-01-21,11.5945,11.5945,11.2392,11.5725,1026300
1998-01-22,11.4373,11.5159,11.3587,11.4373,492700
1998-01-23,11.3587,11.4373,11.2015,11.3178,323500
1998-01-26,11.3367,11.3964,11.1795,11.3776,273000
1998-01-27,11.3776,11.4561,11.2581,11.3964,563700
1998-01-28,11.3367,11.4750,11.3367,11.4750,284000
1998-01-29,11.4750,11.6322,11.4373,11.5536,383800
1998-01-30,11.5536,11.5945,11.4939,11.5159,486500
1998-02-02,11.5536,11.5945,11.4750,11.5347,233000
1998-02-03,11.5159,11.5725,11.4373,11.5159,189200
1998-02-04,11.5159,11.5159,11.3964,11.4750,557800
1998-02-05,11.6133,11.6731,11.5159,11.6133,210000
1998-02-06,11.6322,11.8083,11.5536,11.8083,251100
1998-02-09,11.7705,11.9277,11.7705,11.9089,271700
1998-02-10,11.8869,12.0440,11.8869,11.9277,357200
1998-02-11,11.8869,11.9089,11.8303,11.8680,280600
1998-02-12,11.7894,11.9277,11.7517,11.8869,496100
1998-02-13,11.8303,11.9089,11.7705,11.7894,181800
1998-02-17,11.7705,11.9466,11.6731,11.9466,360600
1998-02-18,11.9466,12.0252,11.9277,11.9466,267600
1998-02-19,11.9466,12.0063,11.9466,12.0063,386300
1998-02-20,11.9875,12.0440,11.8869,12.0440,798600
1998-02-23,12.0440,12.1446,11.9655,12.1446,347100
1998-02-24,12.0849,12.1038,11.9875,12.1038,228500
1998-02-25,12.1226,12.1824,12.0661,12.0661,342500
1998-02-26,12.0252,12.0849,11.9655,12.0063,152800
1998-02-27,11.9875,12.1006,11.9655,12.0849,218800
1998-03-02,12.0063,12.1038,12.0063,12.0849,219700
1998-03-03,12.0849,12.1038,12.0661,12.0849,416300
1998-03-04,12.0661,12.1038,12.0252,12.0661,146700
1998-03-05,12.0063,12.0849,11.9875,12.0440,293600
1998-03-06,11.9474,12.1871,11.9474,12.1871,3544900
1998-03-09,12.1455,12.1647,12.0656,12.0848,309000
1998-03-10,12.0848,12.2254,12.0656,12.1871,290000
1998-03-11,12.1647,12.4268,12.1647,12.3853,543800
1998-03-12,12.3853,12.3853,12.2862,12.3245,241700
1998-03-13,12.2862,12.3853,12.2670,12.3661,425000
1998-03-16,12.3661,12.6857,12.3469,12.6250,395400
1998-03-17,12.6250,12.8839,12.6250,12.8839,351500
1998-03-18,12.8263,13.1044,12.8263,13.0660,668800
1998-03-19,13.0245,13.2642,12.9861,13.2642,431500
1998-03-20,13.3441,13.5647,13.3058,13.5231,521300
1998-03-23,13.5039,13.5231,13.3633,13.4432,293400
1998-03-24,13.4240,13.5039,13.3441,13.4432,291300
1998-03-25,13.4240,13.5647,13.3857,13.5647,222000
1998-03-26,13.5455,13.5455,13.3857,13.4048,452000
1998-03-27,13.3249,13.3633,13.1236,13.2259,412800
1998-03-30,13.2259,13.3633,13.1843,13.2642,366000
1998-03-31,13.1843,13.5039,13.1459,13.4656,414900
1998-04-01,13.4847,13.4847,13.3058,13.4240,200100
1998-04-02,13.3857,13.4847,13.3633,13.4847,386000
1998-04-03,13.4847,13.6030,13.4240,13.5838,254700
1998-04-06,13.5231,13.5455,13.4432,13.4847,179800
1998-04-07,13.4432,13.4432,13.3058,13.3633,235300
1998-04-08,13.3249,13.3857,13.2642,13.3857,453200
1998-04-09,13.3633,13.3857,13.2035,13.3857,731700
1998-04-13,13.4240,13.4240,13.3058,13.3633,796600
1998-04-14,13.3249,13.5231,13.2834,13.5039,526400
1998-04-15,13.4656,13.5838,13.4240,13.5231,357100
1998-04-16,13.4432,13.4432,13.3441,13.4048,325300
1998-04-17,13.4048,13.4656,13.2834,13.4656,287900
1998-04-20,13.4048,13.4048,13.2834,13.3249,149800
1998-04-21,13.2642,13.2642,13.1236,13.2035,373900
1998-04-22,13.1651,13.1651,13.1044,13.1044,285400
1998-04-23,13.1236,13.2035,12.7049,12.7049,387700
1998-04-24,12.7049,12.9638,12.6058,12.7464,398800
1998-04-27,12.7049,12.7241,12.2063,12.6441,128000
1998-04-28,12.6665,12.6857,12.4843,12.5451,592600
1998-04-29,12.5866,12.5866,12.4268,12.4843,242900
1998-04-30,12.5259,12.7464,12.5259,12.6665,442400
1998-05-01,12.6857,12.6857,12.5451,12.5642,258000
1998-05-04,12.6058,12.6250,12.4652,12.5451,175300
1998-05-05,12.4843,12.5259,12.3245,12.4460,165800
1998-05-06,12.5067,12.5067,12.3853,12.4652,135300
1998-05-07,12.4268,12.4652,12.4268,12.4652,118300
1998-05-08,12.4268,12.4843,12.3469,12.4044,163500
1998-05-11,12.4044,12.5451,12.3853,12.4268,288200
1998-05-12,12.4268,12.4460,12.3661,12.4460,100100
1998-05-13,12.4044,12.4268,12.3053,12.3661,124900
1998-05-14,12.3469,12.4044,12.3245,12.3661,175900
1998-05-15,12.3661,12.4268,12.3053,12.3245,225400
