date,open,high,low,close,volume
1991-06-26,2.1319,2.2980,2.1319,2.2426,16197600
1991-06-27,2.2980,2.3534,2.2282,2.2703,5980800
1991-06-28,2.2703,2.3257,2.2149,2.2559,2315202
1991-07-01,2.2980,2.2980,2.2426,2.2703,1730802
1991-07-02,2.2980,2.2980,2.2703,2.2980,1234002
1991-07-03,2.2703,2.2980,2.2149,2.2703,1179600
1991-07-05,2.2703,2.2703,2.1873,2.1873,223602
1991-07-08,2.1873,2.2703,2.1873,2.1873,534000
1991-07-09,2.2282,2.3811,2.1873,2.3534,3010002
1991-07-10,2.3811,2.5472,2.3811,2.5472,1202400
1991-07-11,2.5472,2.6579,2.4918,2.5882,2193600
1991-07-12,2.6302,2.6302,2.5195,2.5472,712002
1991-07-15,2.5749,2.5749,2.5195,2.5472,392400
1991-07-16,2.5472,2.6856,2.5195,2.6856,1489602
1991-07-17,2.6302,2.8794,2.6302,2.8241,3632802
1991-07-18,2.8241,2.9071,2.7687,2.8241,3646800
1991-07-19,2.8517,2.8517,2.6856,2.6856,1414800
1991-07-22,2.7410,2.7687,2.6856,2.6856,484800
1991-07-23,2.6856,2.7133,2.5328,2.5605,760002
1991-07-24,2.5472,2.6302,2.4918,2.4918,508800
1991-07-25,2.5694,2.5694,2.4856,2.4856,205200
1991-07-26,2.4711,2.5135,2.4577,2.5135,480000
1991-07-29,2.5415,2.5415,2.4577,2.5415,75600
1991-07-30,2.5415,2.7504,2.4856,2.7370,612000
1991-07-31,2.7370,2.8207,2.7090,2.7928,1349202
1991-08-01,2.8207,2.8207,2.7649,2.8207,311202
1991-08-02,2.7928,2.8487,2.7928,2.7928,706800
1991-08-05,2.7649,2.8487,2.7370,2.7370,724800
1991-08-06,2.7090,2.7649,2.6811,2.7649,136800
1991-08-07,2.7649,2.7649,2.7370,2.7649,204402
1991-08-08,2.7649,2.7649,2.7370,2.7649,435600
1991-08-09,2.7649,2.7649,2.7090,2.7224,343200
1991-08-12,2.6811,2.7090,2.6532,2.7090,128802
1991-08-13,2.6532,2.7090,2.6532,2.7090,127602
1991-08-14,2.7090,2.7370,2.6532,2.7370,119202
1991-08-15,2.7370,2.7370,2.6811,2.7370,157602
1991-08-16,2.6811,2.7649,2.6811,2.7090,90402
1991-08-19,2.5415,2.6253,2.4856,2.5828,402402
1991-08-20,2.6253,2.6811,2.5973,2.6811,259602
1991-08-21,2.7090,2.7370,2.6532,2.6811,400002
1991-08-22,2.7370,2.7370,2.6811,2.7370,51600
1991-08-23,2.7370,2.7928,2.6811,2.7649,114000
1991-08-26,2.7370,2.7928,2.7370,2.7928,19200
1991-08-27,2.7928,2.9045,2.7370,2.9045,538800
1991-08-28,2.9325,3.0442,2.8766,2.9883,635202
1991-08-29,2.9883,2.9883,2.9325,2.9459,260400
1991-08-30,2.9883,2.9883,2.9325,2.9604,157602
1991-09-03,2.9604,2.9604,2.9325,2.9604,230802
1991-09-04,2.9325,2.9738,2.9325,2.9325,436002
1991-09-05,2.9325,2.9604,2.9325,2.9325,144000
1991-09-06,2.9604,2.9604,2.9325,2.9325,667602
1991-09-09,2.9325,2.9604,2.9325,2.9604,106002
1991-09-10,2.9325,2.9604,2.9325,2.9325,266802
1991-09-11,2.9604,3.0162,2.9325,2.9883,424002
1991-09-12,2.9883,3.0297,2.9883,2.9883,408000
1991-09-13,3.0442,3.0442,2.9883,3.0162,358800
1991-09-16,3.0721,3.0721,2.9883,3.0162,295200
1991-09-17,3.0442,3.0442,2.9883,3.0162,98400
1991-09-18,3.0162,3.0162,2.9883,2.9883,200802
1991-09-19,3.0162,3.0162,2.9883,2.9883,382002
1991-09-20,2.9883,3.0162,2.9883,2.9883,280002
1991-09-23,2.9883,3.0442,2.9883,3.0442,613602
1991-09-24,3.0442,3.0442,2.9883,3.0162,140400
1991-09-25,3.0442,3.1000,2.9883,3.0442,814800
1991-09-26,3.1280,3.1280,3.0442,3.1000,185202
1991-09-27,3.1280,3.1280,3.0162,3.0442,222000
1991-09-30,3.0162,3.0721,3.0162,3.0162,173202
1991-10-01,3.0017,3.0442,2.9604,2.9883,2244402
1991-10-02,3.0162,3.0442,3.0162,3.0162,86802
1991-10-03,3.0297,3.0297,2.7928,2.8766,387600
1991-10-04,2.8766,2.8766,2.7928,2.8487,456402
1991-10-07,2.8207,2.8207,2.6811,2.7649,947202
1991-10-08,2.7649,2.7928,2.6811,2.7928,178002
1991-10-09,2.7370,2.9045,2.7370,2.8766,254400
1991-10-10,2.8207,2.9325,2.8207,2.9325,76002
1991-10-11,2.9325,2.9883,2.9045,2.9045,70002
1991-10-14,2.9738,3.0576,2.9604,3.0162,282000
1991-10-15,3.0162,3.1000,3.0162,3.1000,680802
1991-10-16,3.0442,3.1559,3.0442,3.1280,398802
1991-10-17,3.1000,3.2117,3.1000,3.1559,371202
1991-10-18,3.1838,3.1838,3.1000,3.1280,62802
1991-10-21,3.1000,3.1559,3.1000,3.1559,139200
1991-10-22,3.1559,3.1838,3.0721,3.0721,198402
1991-10-23,3.0721,3.1559,3.0721,3.1559,12000
1991-10-24,3.0721,3.1559,2.9883,3.0442,178800
1991-10-25,3.0442,3.0442,2.9604,2.9604,158400
1991-10-28,2.9604,3.0162,2.9604,3.0162,137202
1991-10-29,3.0162,3.0162,2.9604,3.0162,84000
1991-10-30,3.0162,3.0162,2.9604,2.9883,220002
1991-10-31,2.9883,3.0162,2.9883,3.0162,769602
1991-11-01,3.0162,3.0162,2.9604,2.9883,320802
1991-11-04,3.0442,3.0442,2.9604,3.0162,238800
1991-11-05,2.9604,3.0442,2.9604,2.9883,82800
1991-11-06,3.0442,3.0442,2.9883,3.0442,175602
1991-11-07,3.0442,3.0442,2.9883,2.9883,296400
1991-11-08,2.9883,3.0442,2.9883,3.0442,24402
1991-11-11,3.0442,3.0442,2.9883,3.0442,214002
1991-11-12,3.1000,3.1000,3.0162,3.0162,326400
1991-11-13,3.0721,3.0721,3.0162,3.0721,342000
1991-11-14,3.0442,3.1000,3.0297,3.0442,192000
1991-11-15,3.1000,3.1000,2.9883,3.0162,366000
1991-11-18,2.9045,2.9883,2.9045,2.9459,271200
1991-11-19,2.9045,2.9883,2.8766,2.9045,330000
1991-11-20,2.9883,2.9883,2.9045,2.9045,192402
1991-11-21,2.9045,2.9604,2.8487,2.9325,354000
1991-11-22,2.9325,3.0162,2.9045,2.9604,282000
1991-11-25,2.9883,3.0442,2.8766,2.8766,394002
1991-11-26,2.9325,2.9325,2.8207,2.8207,538002
1991-11-27,2.8766,2.8766,2.7928,2.8766,1076400
1991-11-29,2.8487,2.8766,2.8342,2.8342,382002
1991-12-02,2.8207,2.9325,2.8207,2.9325,756402
1991-12-03,2.9325,2.9325,2.8766,2.9325,134802
1991-12-04,2.9325,2.9604,2.9045,2.9045,490002
1991-12-05,2.9045,2.9883,2.9045,2.9325,439200
1991-12-06,2.9883,3.0162,2.9045,2.9883,174000
1991-12-09,3.0162,3.1280,2.9325,3.0721,348402
1991-12-10,3.0442,3.1280,3.0442,3.0442,50400
1991-12-11,3.1000,3.1000,2.8621,2.9604,415200
1991-12-12,2.9883,3.0721,2.9883,3.0721,319602
1991-12-13,3.1280,3.1838,3.0721,3.1000,192000
1991-12-16,3.0442,3.1000,3.0442,3.1000,615600
1991-12-17,3.1000,3.1838,3.0442,3.1000,623202
1991-12-18,3.1414,3.2676,3.1000,3.2676,969600
1991-12-19,3.2397,3.3514,3.1838,3.3514,407202
1991-12-20,3.3514,3.4910,3.3514,3.4352,526002
1991-12-23,3.4352,3.4910,3.4352,3.4486,950802
1991-12-24,3.4910,3.4910,3.3793,3.3793,204000
1991-12-26,3.3793,3.4352,3.3793,3.3793,747600
1991-12-27,3.4352,3.5190,3.3793,3.4631,680802
1991-12-30,3.5190,3.6586,3.5190,3.6586,457200
1991-12-31,3.7424,3.8262,3.6307,3.8262,1462800
1992-01-02,3.7145,3.7703,3.6027,3.6865,216402
1992-01-03,3.6865,3.7145,3.6027,3.7145,682002
1992-01-06,3.7424,3.7703,3.6586,3.7703,316002
1992-01-07,3.7703,3.7982,3.7145,3.7424,171600
1992-01-08,3.7703,3.7703,3.6865,3.7703,196002
1992-01-09,3.7145,3.7703,3.6865,3.7145,110802
1992-01-10,3.7145,3.7703,3.6586,3.7703,224400
1992-01-13,3.6865,3.7703,3.6865,3.7703,96402
1992-01-14,3.7703,3.8262,3.7424,3.7982,154002
1992-01-15,3.7703,3.8262,3.7424,3.7982,81600
1992-01-16,3.7982,3.7982,3.7424,3.7424,143202
1992-01-17,3.7982,3.7982,3.7424,3.7424,97200
1992-01-20,3.7982,3.8262,3.7424,3.7703,241200
1992-01-21,3.7703,3.8262,3.7145,3.7424,1138800
1992-01-22,3.7982,3.7982,3.7424,3.7982,217602
1992-01-23,3.7982,3.8541,3.7569,3.8541,712800
1992-01-24,3.7703,3.8541,3.7703,3.8262,298002
1992-01-27,3.8541,3.8541,3.7145,3.7145,159600
1992-01-28,3.7982,3.7982,3.7145,3.7982,693600
1992-01-29,3.7982,3.7982,3.7145,3.7145,215202
1992-01-30,3.7145,3.7982,3.7010,3.7010,896400
1992-01-31,3.7982,3.7982,3.6865,3.6865,190800
1992-02-03,3.6586,3.7145,3.6586,3.7145,108000
1992-02-04,3.7145,3.7424,3.6586,3.7424,56802
1992-02-05,3.7424,3.7424,3.6865,3.7424,130002
1992-02-06,3.7424,3.7424,3.6865,3.7145,240000
1992-02-07,3.7145,3.7145,3.5748,3.5748,165600
1992-02-10,3.6027,3.6027,3.4910,3.4910,284802
1992-02-11,3.5190,3.5190,3.4072,3.4072,347202
1992-02-12,3.4910,3.5469,3.4072,3.5469,1860000
1992-02-13,3.5469,3.5469,3.4631,3.4910,584400
1992-02-14,3.5190,3.5190,3.4910,3.4910,62400
1992-02-18,3.5190,3.5469,3.4910,3.4910,609600
1992-02-19,3.5469,3.6027,3.5469,3.5748,622002
1992-02-20,3.6027,3.7703,3.5748,3.7424,1218000
1992-02-21,3.6865,3.7982,3.6865,3.7424,955200
1992-02-24,3.7085,3.7647,3.6523,3.6523,167202
1992-02-25,3.6523,3.7085,3.5681,3.6242,262800
1992-02-26,3.6523,3.6523,3.5962,3.6108,769200
1992-02-27,3.6523,3.6523,3.5962,3.5962,140802
1992-02-28,3.6523,3.6523,3.5962,3.6523,198402
1992-03-02,3.6523,3.7366,3.6242,3.6950,1125600
1992-03-03,3.7085,3.9052,3.7085,3.8636,828402
1992-03-04,3.8209,3.8209,3.6804,3.7512,502800
1992-03-05,3.7085,3.7928,3.7085,3.7647,592800
1992-03-06,3.7366,3.7928,3.7085,3.7085,1613202
1992-03-09,3.7928,3.7928,3.7085,3.7085,154002
1992-03-10,3.7085,3.8490,3.7085,3.8490,2141202
1992-03-11,3.7928,3.8490,3.7928,3.7928,816000
1992-03-12,3.8209,3.8209,3.7085,3.7647,616800
1992-03-13,3.7928,3.7928,3.7085,3.7085,342000
1992-03-16,3.7085,3.7647,3.7085,3.7647,332802
1992-03-17,3.7647,3.7647,3.7085,3.7085,166002
1992-03-18,3.7085,3.8490,3.7085,3.8209,1060002
1992-03-19,3.8771,4.0176,3.8490,4.0176,1621602
1992-03-20,4.0176,4.1019,3.9895,4.0738,1028400
1992-03-23,4.0738,4.0738,4.0176,4.0738,649602
1992-03-24,4.0738,4.0738,3.9614,4.0176,122400
1992-03-25,4.0176,4.1580,3.9614,4.1300,899202
1992-03-26,4.1580,4.2142,4.1580,4.2008,1513602
1992-03-27,4.2142,4.2142,4.1300,4.1300,715200
1992-03-30,4.1580,4.2142,4.1580,4.2142,48000
1992-03-31,4.2142,4.2423,4.1580,4.1861,801600
1992-04-01,4.1300,4.2142,3.9895,4.0738,1681200
1992-04-02,4.1019,4.1019,3.8771,3.9052,402402
1992-04-03,3.8771,3.9895,3.7647,3.8209,776802
1992-04-06,3.9052,3.9895,3.8209,3.9895,510000
1992-04-07,4.0176,4.0457,3.9333,3.9333,1720002
1992-04-08,3.9333,4.0176,3.9052,3.9333,696000
1992-04-09,3.9614,3.9614,3.9333,3.9614,747600
1992-04-10,3.9614,3.9614,3.9333,3.9333,769602
1992-04-13,3.9614,3.9614,3.9333,3.9614,605202
1992-04-14,3.9614,4.0176,3.9333,3.9760,1425600
1992-04-15,4.0176,4.0457,3.9614,4.0457,396402
1992-04-16,3.9895,4.0457,3.8490,3.8490,603600
1992-04-20,3.8490,3.8771,3.7366,3.7793,835602
1992-04-21,3.7928,3.9052,3.7928,3.8209,840000
1992-04-22,3.8771,3.8771,3.7928,3.8355,809202
1992-04-23,3.8490,3.8490,3.7928,3.8490,321600
1992-04-24,3.8490,3.9052,3.8209,3.8490,330402
1992-04-27,3.9052,3.9052,3.8490,3.8490,446400
1992-04-28,3.8490,3.9052,3.8490,3.8490,418800
1992-04-29,3.8490,3.9895,3.8490,3.9760,833202
1992-04-30,3.9052,3.9895,3.9052,3.9895,395202
1992-05-01,3.9333,3.9895,3.9052,3.9895,406800
1992-05-04,4.0176,4.0738,3.9333,4.0457,2281200
1992-05-05,4.0738,4.0738,3.4276,3.4692,3982002
1992-05-06,3.5400,3.6523,3.2871,3.2871,3510000
1992-05-07,3.3714,3.3714,2.7814,2.9915,16466400
1992-05-08,3.0623,3.1747,2.9781,3.1747,2160402
1992-05-11,3.2028,3.2444,3.1466,3.2028,1463202
1992-05-12,3.2028,3.2309,3.0623,3.2309,1628400
1992-05-13,3.2590,3.2871,3.1747,3.2590,1576800
1992-05-14,3.2590,3.2590,3.2028,3.2590,351600
1992-05-15,3.2590,3.2590,3.1747,3.1747,870000
1992-05-18,3.2590,3.2590,3.0343,3.0904,676002
1992-05-19,3.0623,3.0904,2.8657,2.9781,1298802
1992-05-20,3.0343,3.0623,2.9781,3.0623,534402
1992-05-21,2.9781,3.0623,2.9500,2.9781,913200
1992-05-22,3.0343,3.1185,2.9781,3.0623,1300002
1992-05-26,3.0904,3.1747,3.0343,3.1185,732000
1992-05-27,3.1747,3.2590,3.1185,3.2309,1834800
1992-05-28,3.2028,3.3152,3.2028,3.2309,570402
1992-05-29,3.2309,3.2871,3.2309,3.2590,164400
1992-06-01,3.2871,3.3433,3.2871,3.3433,408402
1992-06-02,3.3152,3.3433,3.2590,3.2590,281202
1992-06-03,3.2871,3.2871,3.1466,3.2028,242802
1992-06-04,3.2028,3.2028,3.1466,3.1466,128802
1992-06-05,3.1747,3.1747,3.0623,3.1466,182802
1992-06-08,3.1466,3.1466,2.8938,2.9500,855600
1992-06-09,2.9219,2.9781,2.8095,2.8938,1747602
1992-06-10,2.8938,2.9500,2.8657,2.8938,791202
1992-06-11,2.9219,3.0343,2.8938,3.0062,1844400
1992-06-12,3.0343,3.0623,3.0062,3.0062,320802
1992-06-15,3.0623,3.0623,3.0062,3.0477,412800
1992-06-16,3.0904,3.1185,3.0062,3.1185,6439200
1992-06-17,3.2028,3.2028,2.8376,2.8938,1527600
1992-06-18,2.8938,3.0062,2.8376,3.0062,513600
1992-06-19,3.0343,3.0904,2.9781,3.0343,415602
1992-06-22,3.0904,3.0904,2.8376,2.9781,517200
1992-06-23,2.9781,3.0062,1.8543,1.9105,12468402
1992-06-24,1.8824,2.0790,1.8824,2.0082,8636400
1992-06-25,2.0509,2.0790,1.9666,1.9801,3412800
1992-06-26,2.0509,2.0509,1.9666,2.0228,2272002
1992-06-29,2.0509,2.1633,1.9666,2.1633,1483200
1992-06-30,2.1914,2.1914,2.0509,2.1633,751200
1992-07-01,2.1633,2.2195,2.0790,2.1914,880800
1992-07-02,2.1914,2.3038,2.1633,2.2757,622002
1992-07-06,2.3038,2.3600,2.2195,2.3319,1466400
1992-07-07,2.3600,2.4162,2.2757,2.3038,1798800
1992-07-08,2.2476,2.3319,2.2476,2.3038,1114800
1992-07-09,2.3319,2.4162,2.3038,2.3881,556800
1992-07-10,2.3881,2.4162,2.3600,2.3881,213600
1992-07-13,2.4162,2.4724,2.3881,2.4443,984402
1992-07-14,2.4724,2.5847,2.3881,2.5566,1212402
1992-07-15,2.5566,2.5847,2.4724,2.5420,493200
1992-07-16,2.4724,2.5566,2.4724,2.5285,202002
1992-07-17,2.3319,2.3319,2.1352,2.1914,3132000
1992-07-20,2.1633,2.2195,2.0790,2.1633,972000
1992-07-21,2.1914,2.2195,1.9947,1.9947,1064802
1992-07-22,1.9947,2.1071,1.9666,2.0509,1067202
1992-07-23,2.1071,2.1487,2.0509,2.1352,952800
1992-07-24,2.1352,2.2195,2.1352,2.1633,607602
1992-07-27,2.2195,2.2757,2.1633,2.2330,1944402
1992-07-28,2.2476,2.2476,2.1914,2.2195,1394802
1992-07-29,2.2476,2.2476,2.1352,2.1914,532002
1992-07-30,2.2195,2.2476,2.1352,2.1633,1184400
1992-07-31,2.3319,2.4016,2.2330,2.4016,2672802
1992-08-03,2.3319,2.4162,2.3319,2.4162,412800
1992-08-04,2.3600,2.4162,2.2757,2.3038,853200
1992-08-05,2.3319,2.3319,2.1914,2.1914,352002
1992-08-06,2.1914,2.2476,2.1352,2.1633,337200
1992-08-07,2.1352,2.1914,2.1352,2.1914,261600
1992-08-10,2.1633,2.1914,2.1352,2.1352,223200
1992-08-11,2.1352,2.2476,2.1352,2.2195,408000
1992-08-12,2.2195,2.3319,2.1914,2.3319,204000
1992-08-13,2.2757,2.4162,2.2757,2.3735,156402
1992-08-14,2.4162,2.5285,2.3600,2.5004,745200
1992-08-17,2.5285,2.5285,2.3600,2.3881,436800
1992-08-18,2.3881,2.4016,2.2195,2.3038,1239600
1992-08-19,2.3038,2.3319,2.2476,2.3319,344400
1992-08-20,2.3319,2.3319,2.2757,2.3319,411600
1992-08-21,2.3319,2.3319,2.1914,2.2757,206400
1992-08-24,2.1914,2.2476,2.1768,2.1768,366402
1992-08-25,2.1633,2.1633,2.1071,2.1352,289602
1992-08-26,2.1633,2.1633,2.0790,2.1352,236400
1992-08-27,2.1352,2.1914,2.1071,2.1633,500400
1992-08-28,2.1914,2.1914,2.1352,2.1633,77202
1992-08-31,2.1914,2.2195,2.1352,2.2195,223602
1992-09-01,2.2757,2.2757,2.1914,2.2476,258402
1992-09-02,2.2757,2.4443,2.2757,2.4443,538800
1992-09-03,2.4162,2.4443,2.3319,2.3600,139602
1992-09-04,2.3881,2.3881,2.3319,2.3600,168000
1992-09-08,2.3319,2.3600,2.2757,2.2757,193200
1992-09-09,2.3319,2.3319,2.2195,2.3038,300000
1992-09-10,2.2892,2.4162,2.2757,2.4162,198000
1992-09-11,2.4162,2.5566,2.4162,2.5139,841200
1992-09-14,2.5847,2.5847,2.5004,2.5566,466800
1992-09-15,2.5566,2.5566,2.5285,2.5285,403602
1992-09-16,2.4724,2.5285,2.4724,2.5285,116400
1992-09-17,2.5285,2.5566,2.5004,2.5004,770400
1992-09-18,2.5285,2.5566,2.5004,2.5004,292002
1992-09-21,2.5285,2.5285,2.4724,2.5285,180402
1992-09-22,2.4724,2.5566,2.4443,2.5285,894402
1992-09-23,2.5004,2.5566,2.4724,2.4724,72000
1992-09-24,2.5285,2.5566,2.4724,2.5566,431202
1992-09-25,2.5285,2.5566,2.4724,2.4724,444000
1992-09-28,2.4724,2.5004,2.3319,2.3319,350802
