date,open,high,low,close,volume
1984-07-19,0.1684,0.1745,0.1684,0.1745,866400
1984-07-20,0.1721,0.1770,0.1721,0.1721,1946400
1984-07-23,0.1745,0.1745,0.1671,0.1671,1332000
1984-07-24,0.1671,0.1721,0.1671,0.1671,626400
1984-07-25,0.1671,0.1671,0.1635,0.1635,854400
1984-07-26,0.1635,0.1647,0.1622,0.1635,638400
1984-07-27,0.1647,0.1647,0.1622,0.1635,108000
1984-07-30,0.1622,0.1622,0.1598,0.1598,674400
1984-07-31,0.1598,0.1684,0.1598,0.1684,746400
1984-08-01,0.1684,0.1758,0.1671,0.1758,1392000
1984-08-02,0.1782,0.1819,0.1770,0.1819,3134400
1984-08-03,0.1819,0.1881,0.1807,0.1868,3240000
1984-08-06,0.1904,0.1966,0.1893,0.1966,10980000
1984-08-07,0.1954,0.2016,0.1917,0.2003,3024000
1984-08-08,0.2003,0.2027,0.1966,0.1979,9276000
1984-08-09,0.1942,0.2016,0.1942,0.2003,5030400
1984-08-10,0.2065,0.2126,0.2065,0.2126,5294400
1984-08-13,0.2102,0.2114,0.2040,0.2053,2654400
1984-08-14,0.2076,0.2102,0.2076,0.2089,2196000
1984-08-15,0.2102,0.2126,0.2065,0.2114,1982400
1984-08-16,0.2089,0.2199,0.2089,0.2199,3372000
1984-08-17,0.2199,0.2199,0.2151,0.2175,1092000
1984-08-20,0.2151,0.2188,0.2151,0.2175,804000
1984-08-21,0.2199,0.2225,0.2175,0.2175,2424000
1984-08-22,0.2188,0.2212,0.2151,0.2175,2726400
1984-08-23,0.2199,0.2199,0.2138,0.2163,1332000
1984-08-24,0.2163,0.2163,0.2138,0.2138,470400
1984-08-27,0.2138,0.2163,0.2138,0.2138,626400
1984-08-28,0.2138,0.2163,0.2138,0.2151,626400
1984-08-29,0.2175,0.2188,0.2138,0.2151,528000
1984-08-30,0.2163,0.2225,0.2163,0.2212,1742400
1984-08-31,0.2225,0.2225,0.2188,0.2199,4646400
1984-09-04,0.2199,0.2212,0.2188,0.2199,2268000
1984-09-05,0.2212,0.2237,0.2212,0.2225,2652000
1984-09-06,0.2237,0.2261,0.2225,0.2237,2258400
1984-09-07,0.2237,0.2261,0.2212,0.2212,1032000
1984-09-10,0.2212,0.2225,0.2188,0.2199,1526400
1984-09-11,0.2212,0.2249,0.2199,0.2249,432000
1984-09-12,0.2249,0.2323,0.2212,0.2310,2114400
1984-09-13,0.2335,0.2335,0.2274,0.2274,888000
1984-09-14,0.2323,0.2323,0.2249,0.2249,1392000
1984-09-17,0.2237,0.2237,0.2138,0.2138,1464000
1984-09-18,0.2151,0.2151,0.2114,0.2151,1226400
1984-09-19,0.2151,0.2163,0.2114,0.2114,972000
1984-09-20,0.2102,0.2114,0.2065,0.2065,698400
1984-09-21,0.2076,0.2114,0.2053,0.2089,1188000
1984-09-24,0.2102,0.2163,0.2089,0.2138,2174400
1984-09-25,0.2126,0.2163,0.2126,0.2163,612000
1984-09-26,0.2188,0.2188,0.2138,0.2151,1466400
1984-09-27,0.2163,0.2188,0.2163,0.2163,506400
1984-09-28,0.2151,0.2151,0.2114,0.2126,612000
1984-10-01,0.2114,0.2163,0.2102,0.2138,938400
1984-10-02,0.2151,0.2151,0.2114,0.2126,362400
1984-10-03,0.2114,0.2114,0.2089,0.2102,492000
1984-10-04,0.2114,0.2114,0.2102,0.2102,168000
1984-10-05,0.2151,0.2163,0.2138,0.2151,972000
1984-10-08,0.2175,0.2188,0.2151,0.2151,890400
1984-10-09,0.2163,0.2163,0.2138,0.2138,528000
1984-10-10,0.2163,0.2163,0.2151,0.2151,504000
1984-10-11,0.2163,0.2188,0.2163,0.2175,1142400
1984-10-12,0.2199,0.2212,0.2199,0.2212,1764000
1984-10-15,0.2212,0.2237,0.2199,0.2237,854400
1984-10-16,0.2225,0.2237,0.2225,0.2237,278400
1984-10-17,0.2225,0.2225,0.2199,0.2199,614400
1984-10-18,0.2212,0.2249,0.2199,0.2249,696000
1984-10-19,0.2249,0.2323,0.2249,0.2286,2628000
1984-10-22,0.2065,0.2114,0.2065,0.2101,266400
1984-10-23,0.2126,0.2151,0.2126,0.2151,1020000
1984-10-24,0.2138,0.2151,0.2138,0.2138,396000
1984-10-25,0.2138,0.2151,0.2138,0.2151,1464000
1984-10-26,0.2151,0.2151,0.2126,0.2138,216000
1984-10-29,0.2138,0.2151,0.2114,0.2114,1752000
1984-10-30,0.2126,0.2151,0.2089,0.2138,1910400
1984-10-31,0.2151,0.2151,0.2138,0.2138,324000
1984-11-01,0.2151,0.2188,0.2138,0.2188,4692000
1984-11-02,0.2199,0.2237,0.2199,0.2225,2916000
1984-11-05,0.2225,0.2261,0.2212,0.2249,1598400
1984-11-06,0.2299,0.2360,0.2299,0.2360,2318400
1984-11-07,0.2347,0.2360,0.2310,0.2347,3420000
1984-11-08,0.2360,0.2372,0.2360,0.2360,540000
1984-11-09,0.2372,0.2409,0.2360,0.2384,2928000
1984-11-12,0.2397,0.2409,0.2360,0.2372,1178400
1984-11-13,0.2360,0.2384,0.2347,0.2372,278400
1984-11-14,0.2347,0.2384,0.2347,0.2372,420000
1984-11-15,0.2384,0.2458,0.2384,0.2433,1610400
1984-11-16,0.2446,0.2446,0.2409,0.2409,3446400
1984-11-19,0.2335,0.2360,0.2335,0.2347,2018400
1984-11-20,0.2335,0.2360,0.2335,0.2347,2150400
1984-11-21,0.2360,0.2360,0.2299,0.2323,578400
1984-11-23,0.2323,0.2372,0.2323,0.2372,914400
1984-11-26,0.2384,0.2384,0.2372,0.2372,1668000
1984-11-27,0.2335,0.2397,0.2335,0.2397,780000
1984-11-28,0.2384,0.2397,0.2372,0.2397,1080000
1984-11-29,0.2384,0.2397,0.2360,0.2372,2460000
1984-11-30,0.2360,0.2372,0.2299,0.2299,1896000
1984-12-03,0.2286,0.2299,0.2212,0.2273,1512000
1984-12-04,0.2261,0.2273,0.2225,0.2273,1164000
1984-12-05,0.2299,0.2299,0.2163,0.2163,1058400
1984-12-06,0.2163,0.2237,0.2151,0.2225,1070400
1984-12-07,0.2212,0.2237,0.2212,0.2212,2258400
1984-12-10,0.2199,0.2199,0.2114,0.2138,1430400
1984-12-11,0.2126,0.2151,0.2126,0.2151,648000
1984-12-12,0.2176,0.2212,0.2176,0.2212,530400
1984-12-13,0.2225,0.2299,0.2225,0.2261,756000
1984-12-14,0.2286,0.2372,0.2286,0.2360,1790400
1984-12-17,0.2347,0.2347,0.2310,0.2310,1634400
1984-12-18,0.2323,0.2360,0.2310,0.2360,2436000
1984-12-19,0.2360,0.2360,0.2335,0.2360,4550400
1984-12-20,0.2347,0.2347,0.2286,0.2299,1368000
1984-12-21,0.2286,0.2299,0.2249,0.2249,1118400
1984-12-24,0.2249,0.2261,0.2249,0.2261,1430400
1984-12-26,0.2261,0.2261,0.2249,0.2249,2162400
1984-12-27,0.2261,0.2286,0.2261,0.2261,324000
1984-12-28,0.2261,0.2261,0.2261,0.2261,960000
1984-12-31,0.2273,0.2310,0.2273,0.2286,2088000
1985-01-02,0.2286,0.2323,0.2286,0.2299,1406400
1985-01-03,0.2286,0.2299,0.2261,0.2261,552000
1985-01-04,0.2261,0.2310,0.2249,0.2299,1200000
1985-01-07,0.2323,0.2347,0.2310,0.2323,840000
1985-01-08,0.2360,0.2360,0.2323,0.2323,3146400
1985-01-09,0.2347,0.2360,0.2335,0.2335,926400
1985-01-10,0.2347,0.2433,0.2323,0.2433,2054400
1985-01-11,0.2458,0.2581,0.2446,0.2556,3156000
1985-01-14,0.2556,0.2556,0.2483,0.2483,2184000
1985-01-15,0.2507,0.2520,0.2470,0.2470,2810400
1985-01-16,0.2470,0.2494,0.2470,0.2494,2222400
1985-01-17,0.2520,0.2544,0.2507,0.2544,566400
1985-01-18,0.2556,0.2594,0.2544,0.2556,1730400
