date,open,high,low,close,volume
1983-01-03,2.9170,2.9170,2.7585,2.7585,157200
1983-01-04,2.7585,2.8913,2.7585,2.7842,165600
1983-01-05,2.7842,2.9170,2.7842,2.8656,353600
1983-01-06,2.8656,2.9170,2.7842,2.7842,254400
1983-01-07,2.7842,2.8656,2.7842,2.7842,406800
1983-01-10,2.7842,2.8099,2.7585,2.7842,178000
1983-01-11,2.7842,2.8378,2.6514,2.7307,392800
1983-01-12,2.6771,2.6771,2.3559,2.5700,678800
1983-01-13,2.5700,2.7307,2.5443,2.6514,234800
1983-01-14,2.6514,2.7307,2.5700,2.6514,177600
1983-01-17,2.6771,2.7585,2.6771,2.6771,203200
1983-01-18,2.6771,2.6771,2.5700,2.6514,290000
1983-01-19,2.6514,2.6514,2.5700,2.5957,90800
1983-01-20,2.5957,2.6236,2.4373,2.4373,488400
1983-01-21,2.4373,2.5443,2.2231,2.3023,337600
1983-01-24,2.3023,2.4887,2.2231,2.4887,305600
1983-01-25,2.5165,2.6236,2.5165,2.6236,274400
1983-01-26,2.6236,2.6514,2.5957,2.6236,124800
1983-01-27,2.6236,2.7585,2.5957,2.6771,139600
1983-01-28,2.6771,2.8378,2.6514,2.8099,342000
1983-01-31,2.8099,2.8913,2.6514,2.6514,97200
1983-02-01,2.6514,2.6771,2.5700,2.5700,103200
1983-02-02,2.5700,2.7842,2.5700,2.7842,113600
1983-02-03,2.7842,2.8378,2.7585,2.7842,255600
1983-02-04,2.8099,2.8913,2.8099,2.8656,168400
1983-02-07,2.8656,2.9727,2.8378,2.9448,217200
1983-02-08,2.9448,2.9727,2.8378,2.8378,108400
1983-02-09,2.8378,2.8656,2.7307,2.7842,314000
1983-02-10,2.7842,2.9984,2.7307,2.9984,234000
1983-02-11,2.9984,3.0241,2.9448,2.9727,212400
1983-02-14,2.9727,2.9727,2.8913,2.9448,53600
1983-02-15,2.9448,2.9448,2.8378,2.8656,152400
1983-02-16,2.8656,2.8913,2.7585,2.7585,140000
1983-02-17,2.7585,2.8656,2.7307,2.8099,117600
1983-02-18,2.8099,2.8656,2.7842,2.8378,44800
1983-02-22,2.8913,2.9984,2.8913,2.9984,167200
1983-02-23,2.9984,3.0519,2.9727,3.0241,370000
1983-02-24,3.0241,3.1312,3.0241,3.1055,452000
1983-02-25,3.1055,3.1055,2.9984,3.0519,194400
1983-02-28,3.0519,3.1055,3.0241,3.0798,175200
1983-03-01,3.0798,3.2125,3.0519,3.2125,324000
