date,open,high,low,close,volume
1993-06-03,7.7019,7.7666,7.5077,7.6061,56603000
1993-06-04,7.5413,7.6061,7.4119,7.4119,12644400
1993-06-07,7.3135,7.3782,7.2488,7.2825,10043800
1993-06-08,7.2825,7.3135,7.1530,7.1841,6974600
1993-06-09,7.2177,7.3782,7.2177,7.3135,4043200
1993-06-10,7.2825,7.3135,7.2177,7.2488,2605400
1993-06-11,7.2488,7.3472,7.2488,7.2488,2641600
1993-06-14,7.2825,7.3135,7.1841,7.1841,1806200
1993-06-15,7.2488,7.2488,7.1841,7.2177,2257600
1993-06-16,7.2177,7.2488,7.1841,7.2488,2391600
1993-06-17,7.2488,7.3135,7.2177,7.2488,2126800
1993-06-18,7.2488,7.2488,7.1530,7.1530,2128600
1993-06-21,7.1530,7.1530,7.0236,7.0883,2101000
1993-06-22,7.0883,7.1841,7.0883,7.1841,1593600
1993-06-23,7.1841,7.2488,7.1530,7.1530,1948000
1993-06-24,7.1530,7.2825,7.0546,7.2825,3305200
1993-06-25,7.3782,7.4119,7.2825,7.3782,2468000
1993-06-28,7.3472,7.5077,7.3472,7.5077,2522600
1993-06-29,7.4766,7.5077,7.3135,7.4430,1190800
1993-06-30,7.5077,7.5724,7.4766,7.5077,2553800
1993-07-01,7.6061,7.6371,7.4119,7.6371,2857800
1993-07-02,7.4766,7.4766,7.4119,7.4430,1077200
1993-07-06,7.4766,7.5413,7.4119,7.4119,1237600
1993-07-07,7.3782,7.4430,7.3472,7.3782,1667200
1993-07-08,7.4119,7.5077,7.3782,7.4766,1588600
1993-07-09,7.5413,7.5724,7.3782,7.3782,1731200
1993-07-12,7.4430,7.4430,7.2177,7.3135,1738600
1993-07-13,7.3472,7.4766,7.3472,7.4119,1305000
1993-07-14,7.4119,7.5724,7.4119,7.5724,1805600
1993-07-15,7.5724,7.6061,7.5413,7.6061,1235400
1993-07-16,7.7019,7.8002,7.6371,7.7355,2590200
1993-07-19,7.7666,7.8650,7.7355,7.8650,2590000
1993-07-20,8.1549,8.1549,7.9297,7.9297,3977600
1993-07-21,7.9944,7.9944,7.7355,7.7355,1779000
1993-07-22,7.7666,7.7666,7.6371,7.6708,1095200
1993-07-23,7.6708,7.8002,7.6708,7.7355,1060400
1993-07-26,7.7666,7.8960,7.7355,7.8960,990000
