date,open,high,low,close,volume
2019-06-11,9.9854,10.2011,9.9404,10.0483,268169400
2019-06-12,10.0752,10.2011,9.9854,10.1112,16955751
2019-06-13,10.0573,10.0573,9.6978,9.9045,15375399
2019-06-14,9.8865,9.9224,9.7517,9.8236,12995016
2019-06-17,9.6798,9.7337,9.5315,9.5719,11991150
2019-06-18,9.6438,9.7067,9.5764,9.7067,6940340
2019-06-19,9.6618,9.6798,9.4012,9.5180,7823884
2019-06-20,9.6348,9.8371,9.6258,9.7697,7407696
2019-06-21,9.8236,9.9404,9.7472,9.9045,15210912
2019-06-24,9.9314,10.0573,9.6978,10.0123,23175767
2019-06-25,10.0842,10.3359,10.0213,10.2999,12362023
2019-06-26,10.2460,10.3718,10.1831,10.3449,9356126
2019-06-27,10.3988,10.4258,10.3089,10.3269,5419324
2019-06-28,10.2550,10.3359,10.2190,10.3269,7604545
2019-07-01,10.2280,10.2730,10.1561,10.2730,7762394
2019-07-02,10.3089,10.4258,10.2909,10.4078,6608736
2019-07-03,10.5696,10.5785,10.4707,10.4977,3013458
2019-07-05,10.4078,10.4707,10.3808,10.4347,3565063
2019-07-08,10.3179,10.3449,10.2011,10.2820,3031014
2019-07-09,10.1381,10.1381,9.8326,9.9045,6698071
2019-07-10,9.9135,9.9854,9.8326,9.8505,3606028
2019-07-11,9.8326,9.9584,9.7697,9.9584,4404543
2019-07-12,9.9764,10.0303,9.8775,10.0213,5162567
2019-07-15,9.8865,9.9584,9.7966,9.9584,3025163
2019-07-16,9.9674,9.9674,9.7247,9.7966,5764858
2019-07-17,9.8236,10.0932,9.7876,10.0483,8203866
2019-07-18,10.0393,10.2190,9.7786,10.1381,8345719
2019-07-19,10.1831,10.2550,10.1022,10.1292,3358112
2019-07-22,9.9494,9.9494,9.5809,9.6528,8515464
2019-07-23,9.7067,9.7786,9.6708,9.7607,2969530
2019-07-24,9.7427,9.7966,9.5899,9.6978,3836784
2019-07-25,9.6708,9.9764,9.6708,9.8685,4477810
2019-07-26,9.8236,10.0033,9.7337,9.8505,3171773
2019-07-29,9.8505,9.8505,9.6798,9.7697,1736629
2019-07-30,9.6978,9.7202,9.4551,9.5360,3826461
2019-07-31,9.5719,9.8416,9.5045,9.5270,6685894
2019-08-01,9.5360,9.6528,9.4191,9.4461,3703248
2019-08-02,9.5090,9.6348,9.4551,9.4731,3722701
2019-08-05,9.4551,9.5315,9.2394,9.2574,5603145
2019-08-06,9.2574,9.3023,9.0866,9.2034,4701463
2019-08-07,9.1315,9.3967,9.1046,9.3742,5080965
2019-08-08,9.3562,9.5719,9.3562,9.5360,5529700
2019-08-09,9.5360,9.5742,9.3293,9.4101,3043162
2019-08-12,9.2933,9.3562,9.1855,9.2304,2505115
2019-08-13,9.1675,9.4551,9.1225,9.3742,3282534
2019-08-14,9.2663,9.2663,8.9158,8.9428,5040521
2019-08-15,8.8709,8.8934,8.7091,8.7181,3684899
2019-08-16,8.8080,8.9427,8.7226,8.9158,4034392
2019-08-19,8.9787,9.2394,8.9697,9.0866,4407214
2019-08-20,9.0057,9.1001,8.9248,8.9608,5153180
2019-08-21,8.8529,8.9338,8.3766,8.6732,5604218
2019-08-22,8.6732,8.7271,8.4395,8.5743,7288567
2019-08-23,8.5833,8.7361,8.4395,8.4844,8490203
2019-08-26,8.5473,8.7361,8.5114,8.7361,3921716
2019-08-27,8.7630,8.9113,8.6821,8.7900,8439977
2019-08-28,8.7540,8.8349,8.6282,8.7271,4492233
2019-08-29,8.7361,8.8259,8.6776,8.7540,3479390
2019-08-30,8.8170,8.8799,8.7540,8.8259,3963166
2019-09-03,8.8439,8.8529,8.6732,8.7271,3920586
2019-09-04,8.7630,8.7990,8.6642,8.7271,3760547
2019-09-05,8.8349,8.9158,8.7451,8.7810,4043084
2019-09-06,8.7810,8.8799,8.7810,8.8709,4116645
2019-09-09,8.8619,8.8619,8.7361,8.8170,5670146
2019-09-10,8.7948,9.1950,8.7402,9.1495,8869181
2019-09-11,9.0586,9.2314,9.0495,9.2223,5563828
2019-09-12,9.1404,9.2032,9.0131,9.1859,6843663
2019-09-13,9.2223,9.4451,9.1950,9.2950,7566295
2019-09-16,9.1131,9.1859,8.7539,8.7948,5847017
2019-09-17,8.8221,8.8767,8.7675,8.8767,4649019
2019-09-18,8.9130,9.0085,8.8312,8.9312,3945746
2019-09-19,8.9221,9.0495,8.8630,8.9039,4722671
2019-09-20,8.8585,8.8812,8.7493,8.7857,14366655
2019-09-23,8.6948,8.8494,8.6857,8.7766,4666333
2019-09-24,8.8221,8.8494,8.7129,8.7311,4375166
2019-09-25,8.7675,8.8403,8.7311,8.7766,2931800
2019-09-26,8.8130,8.8312,8.6766,8.7402,3572570
2019-09-27,8.7857,8.8676,8.7493,8.8494,4738120
2019-09-30,8.8130,8.9767,8.7675,8.8676,6016611
2019-10-01,8.8676,8.9403,8.6493,8.6857,4468248
2019-10-02,8.6129,8.6493,8.4856,8.5674,6013907
2019-10-03,8.5129,8.6948,8.3764,8.6857,6150913
2019-10-04,8.6857,8.6948,8.5856,8.6311,6760068
2019-10-07,8.5856,8.6493,8.5310,8.5401,6178227
2019-10-08,8.4310,8.4674,8.3491,8.3946,5356259
2019-10-09,8.4401,8.5401,8.3764,8.4765,4385618
2019-10-10,8.4765,8.5765,8.4492,8.4765,3307511
2019-10-11,8.5674,8.8403,8.5674,8.7311,5551835
2019-10-14,8.6311,8.7948,8.6311,8.7220,4507160
