date,open,high,low,close,volume
1996-06-21,3.0300,3.0950,3.0000,3.0000,1881200
1996-06-24,3.0625,3.2200,3.0000,3.2200,1606000
1996-06-25,3.2200,3.2800,3.1550,3.1550,1895600
1996-06-26,3.1875,3.1875,3.1250,3.1550,399200
1996-06-27,3.1875,3.3450,3.1550,3.2500,348400
1996-06-28,3.2500,3.3450,3.2500,3.2800,157200
1996-07-01,3.3125,3.3125,3.2200,3.2200,117200
1996-07-02,3.2200,3.2500,3.2200,3.2500,85600
1996-07-03,3.1875,3.4050,3.1875,3.4050,370400
1996-07-05,3.3125,3.3125,3.2200,3.2500,238800
1996-07-08,3.1875,3.2800,3.1875,3.2800,55200
1996-07-09,3.2800,3.3125,3.1875,3.2650,739600
1996-07-10,3.2500,3.2800,3.1875,3.2800,184000
1996-07-11,3.2500,3.2800,3.0950,3.1250,367600
1996-07-12,3.0950,3.1250,3.0625,3.0950,54800
1996-07-15,3.0300,3.0950,2.9375,2.9700,158800
1996-07-16,2.9700,3.0000,2.7200,2.7200,190800
1996-07-17,2.7800,3.0950,2.7500,3.0300,117600
1996-07-18,3.0300,3.1875,3.0300,3.1875,127600
1996-07-19,3.2200,3.2200,3.1550,3.2200,30800
1996-07-22,3.1550,3.2200,3.1250,3.1875,177600
1996-07-23,3.1875,3.2200,3.0950,3.0950,83200
1996-07-24,3.0625,3.2188,3.0000,3.2188,46400
1996-07-25,3.2188,3.2813,3.1563,3.1563,25600
1996-07-26,3.1875,3.1875,3.1250,3.1563,159600
1996-07-29,3.0625,3.0775,3.0625,3.0625,27200
1996-07-30,3.0625,3.0625,2.9375,2.9375,145200
1996-07-31,2.9050,2.9700,2.9050,2.9050,118800
1996-08-01,3.3125,3.3125,3.2188,3.2188,15600
1996-08-02,3.2188,3.2500,3.2188,3.2500,134400
1996-08-05,3.3125,3.3125,3.2188,3.2500,60400
1996-08-06,3.1250,3.1875,3.0950,3.1875,152000
1996-08-07,3.2200,3.2800,3.1250,3.2200,180400
1996-08-08,3.1875,3.2813,3.1875,3.2813,136800
1996-08-09,3.2813,3.3125,3.1875,3.2656,233200
1996-08-12,3.0938,3.1250,3.0625,3.0938,179600
1996-08-13,3.2800,3.3450,3.2500,3.3450,93200
1996-08-14,3.3450,3.3450,3.2800,3.2800,131200
1996-08-15,3.0313,3.0938,2.9375,2.9688,36400
1996-08-16,2.9688,3.0000,2.7188,2.7188,40400
1996-08-19,3.2188,3.2188,3.1563,3.2188,92000
1996-08-20,3.1250,3.1250,3.0300,3.0300,32800
1996-08-21,3.0300,3.0625,2.8750,2.8750,60400
1996-08-22,3.1563,3.2188,3.1250,3.1875,421600
1996-08-23,3.1875,3.2188,3.0938,3.0938,102000
1996-08-26,3.0938,3.1250,3.0938,3.0938,44800
1996-08-27,2.7500,2.7500,2.6250,2.7500,153600
1996-08-28,2.6250,2.8125,2.6250,2.8125,28400
1996-08-29,3.0625,3.0781,3.0625,3.0625,23600
1996-08-30,3.0625,3.0625,2.9375,2.9375,297200
1996-09-03,2.7500,2.7500,2.7500,2.7500,11200
1996-09-04,2.8450,2.9050,2.8125,2.8125,767600
1996-09-05,3.0625,3.1250,3.0625,3.1250,332000
1996-09-06,3.1250,3.1875,3.0938,3.1875,31600
1996-09-09,3.3125,3.3438,3.2813,3.3438,80000
1996-09-10,2.6550,2.6875,2.6550,2.6875,123600
1996-09-11,2.7500,2.7500,2.5625,2.7200,609200
1996-09-12,3.3750,3.3750,3.3125,3.3750,74000
1996-09-13,3.2813,3.3438,3.2500,3.3438,628400
1996-09-16,3.2500,3.2500,3.1875,3.2344,315200
1996-09-17,2.8125,3.0950,2.8125,3.0625,590000
1996-09-18,3.0625,3.0950,3.0000,3.0000,167200
1996-09-19,3.2500,3.2813,3.0938,3.0938,156000
1996-09-20,3.1250,3.1250,3.0313,3.0313,36000
1996-09-23,2.7813,2.8750,2.7500,2.7813,216800
1996-09-24,2.8450,2.9375,2.8125,2.8125,57600
1996-09-25,2.8125,2.9375,2.8125,2.8125,8400
1996-09-26,2.7188,2.7500,2.7188,2.7188,548000
1996-09-27,2.7500,2.7500,2.6250,2.7500,304800
1996-09-30,2.8125,2.8750,2.7500,2.8438,44000
1996-10-01,2.8750,2.9375,2.8750,2.8750,90400
1996-10-02,2.9375,3.0000,2.8750,2.9375,20000
1996-10-03,2.7500,2.7500,2.7500,2.7500,152000
1996-10-04,2.8438,2.9063,2.8125,2.8125,38000
1996-10-07,3.3125,3.3125,3.1875,3.2800,90400
1996-10-08,3.2500,3.3125,3.2500,3.3125,51200
1996-10-09,2.7500,2.7500,2.6563,2.7500,57600
1996-10-10,2.6563,2.6875,2.6563,2.6875,220800
1996-10-11,2.7188,2.7500,2.5625,2.7188,226400
1996-10-14,3.5625,3.5625,3.4375,3.5300,298400
1996-10-15,3.5000,3.7800,3.5000,3.7500,142800
1996-10-16,2.7813,2.8750,2.7500,2.7813,208800
1996-10-17,2.8125,3.0938,2.8125,3.0625,250000
1996-10-18,3.0625,3.0938,3.0000,3.0000,276400
1996-10-21,3.8750,3.8750,3.7200,3.7200,277600
1996-10-22,3.6250,3.7200,3.3450,3.4375,146800
1996-10-23,3.0000,3.0000,2.8438,2.9063,105200
1996-10-24,2.8438,2.9375,2.8125,2.8125,10800
1996-10-25,2.8125,2.9375,2.8125,2.8125,121600
1996-10-28,3.2500,3.2800,3.2500,3.2800,381200
1996-10-29,3.2500,3.2500,3.1250,3.2500,122400
1996-10-30,2.9375,2.9375,2.8750,2.9063,82000
1996-10-31,3.0000,3.0625,2.9375,3.0625,44800
1996-11-01,2.8750,2.9375,2.8750,2.8750,40000
1996-11-04,3.1875,3.2813,3.1875,3.1875,45200
1996-11-05,3.0950,3.0950,3.0150,3.0950,364800
1996-11-06,3.0950,3.1875,3.0625,3.1250,304400
1996-11-07,3.3125,3.3125,3.1875,3.2813,60800
1996-11-08,3.2500,3.3125,3.2500,3.3125,32800
1996-11-11,3.3438,3.5625,3.2500,3.4375,6800
1996-11-12,3.1250,3.1250,3.0000,3.0300,18800
1996-11-13,3.0000,3.0625,3.0000,3.0475,137600
1996-11-14,3.5625,3.5625,3.4375,3.5313,69200
1996-11-15,3.5000,3.7813,3.5000,3.7500,8400
1996-11-18,3.7813,3.8438,3.7813,3.7813,400
1996-11-19,3.0000,3.0000,2.9375,2.9375,85600
1996-11-20,2.9700,2.9700,2.9700,2.9700,55600
1996-11-21,3.8750,3.8750,3.7188,3.7188,28400
1996-11-22,3.5938,3.7188,3.3438,3.4375,6800
1996-11-25,3.1875,3.2500,3.1250,3.2500,63600
1996-11-26,2.8750,2.9050,2.8450,2.8450,217200
1996-11-27,2.8450,2.9050,2.8450,2.9050,71600
1996-11-29,3.2500,3.2500,3.1250,3.2500,0
1996-12-02,2.8450,2.9050,2.8450,2.9050,9200
1996-12-03,2.8450,2.9050,2.8450,2.9050,4400
1996-12-04,3.0938,3.0938,3.0000,3.0313,102800
1996-12-05,3.0938,3.0938,3.0156,3.0938,3200
1996-12-06,3.0938,3.1875,3.0625,3.1250,12400
1996-12-09,2.7800,2.7800,2.7500,2.7500,1600
1996-12-10,2.7500,3.0300,2.7500,2.9050,78400
1996-12-11,3.0625,3.1250,3.0625,3.1250,58400
1996-12-12,3.1250,3.1250,3.0000,3.0313,7600
1996-12-13,3.0625,3.0625,3.0000,3.0469,15600
1996-12-16,3.1550,3.1550,3.1550,3.1550,47600
1996-12-17,3.0625,3.6550,3.0625,3.6550,193600
1996-12-18,3.0000,3.0000,3.0000,3.0000,495200
1996-12-19,2.9688,3.0000,2.9375,2.9375,100400
1996-12-20,2.9688,2.9688,2.9688,2.9688,79200
1996-12-23,3.4050,3.4050,3.2500,3.2500,420800
1996-12-24,3.2500,3.2500,3.2500,3.2500,0
1996-12-26,2.9063,2.9063,2.8438,2.8438,111200
1996-12-27,2.9063,2.9063,2.8438,2.9063,64400
1996-12-30,3.3450,3.4375,3.3125,3.3125,244800
1996-12-31,3.2800,3.3750,3.2800,3.3750,187200
1997-01-02,3.3125,3.3125,3.2500,3.2500,26000
1997-01-03,3.3125,3.3125,3.2200,3.2200,764000
1997-01-06,3.2200,3.2500,3.2200,3.2200,32400
1997-01-07,3.2200,3.2200,3.1875,3.2200,303600
1997-01-08,2.0158,2.1250,1.9375,2.0000,6864000
1997-01-09,2.0000,2.0313,1.9688,2.0000,4145600
1997-01-10,2.0313,2.0625,2.0000,2.0313,624400
1997-01-13,2.0625,2.2500,2.0000,2.2188,1210000
1997-01-14,2.2500,2.3438,2.2188,2.2813,1521600
1997-01-15,2.3438,2.3438,2.2188,2.2188,1072000
1997-01-16,2.2188,2.2813,2.2188,2.2500,296400
1997-01-17,2.2813,2.3125,2.2188,2.2813,231600
1997-01-20,2.3125,2.4063,2.2813,2.4063,226400
1997-01-21,2.4063,2.5000,2.3750,2.4375,302800
1997-01-22,2.4845,2.5000,2.4688,2.5000,129200
1997-01-23,2.5000,2.5000,2.4688,2.5000,82800
1997-01-24,2.5000,2.5000,2.2813,2.3125,106400
1997-01-27,2.3750,2.3750,2.3125,2.3125,24400
1997-01-28,2.3750,2.4375,2.3438,2.3750,140000
1997-01-29,2.4063,2.4063,2.2500,2.3125,39600
1997-01-30,2.3125,2.3438,2.2500,2.3438,45200
1997-01-31,2.3125,2.3750,2.3125,2.3750,25600
1997-02-03,2.3750,2.3750,2.3125,2.3750,35200
1997-02-04,2.3750,2.3750,2.3125,2.3125,46800
1997-02-05,2.3750,2.3750,2.1875,2.2500,120000
1997-02-06,2.1563,2.2500,2.1563,2.2500,14000
1997-02-07,2.2500,2.2500,2.1250,2.2188,87600
1997-02-10,2.2188,2.2188,2.1250,2.2188,49600
1997-02-11,2.2500,2.2500,2.1875,2.1875,45600
1997-02-12,2.2500,2.3125,2.1875,2.3125,26000
1997-02-13,2.3125,2.3750,2.2813,2.3438,75200
1997-02-14,2.3750,2.3750,2.2188,2.2500,203600
1997-02-18,2.2500,2.2813,2.1875,2.2813,101600
1997-02-19,2.2813,2.2813,2.1563,2.1563,142000
1997-02-20,2.1875,2.2265,2.0938,2.1563,183600
1997-02-21,2.0938,2.1250,2.0313,2.0313,97600
1997-02-24,2.0000,2.0625,1.9688,2.0000,203200
1997-02-25,2.0313,2.0938,1.9688,2.0625,221200
1997-02-26,2.0625,2.1250,2.0313,2.0938,62400
1997-02-27,2.0625,2.1250,2.0313,2.0938,0
1997-02-28,2.1250,2.1250,2.0625,2.0625,12400
1997-03-03,2.1250,2.1250,1.9688,1.9688,81600
1997-03-04,1.9688,2.0313,1.9375,1.9688,154400
1997-03-05,1.9688,2.0000,1.9375,2.0000,184000
1997-03-06,2.0000,2.0313,2.0000,2.0000,119200
1997-03-07,2.0000,2.0625,2.0000,2.0000,131600
1997-03-10,2.0313,2.0938,2.0000,2.0313,42800
1997-03-11,2.1250,2.1250,2.1250,2.1250,6400
1997-03-12,2.1250,2.1563,2.0625,2.1250,44400
1997-03-13,2.1563,2.1875,2.1250,2.1875,136400
1997-03-14,2.1563,2.1875,2.1563,2.1563,40400
1997-03-17,2.1250,2.1875,2.0938,2.1875,42400
1997-03-18,2.1875,2.1875,2.0938,2.0938,48400
1997-03-19,2.1875,2.1875,2.0625,2.0625,46400
1997-03-20,2.1563,2.1563,2.0625,2.1563,18000
1997-03-21,2.0625,2.1250,1.9688,2.0000,90400
1997-03-24,2.0313,2.0313,1.9375,1.9688,137200
1997-03-25,1.9688,2.0000,1.9063,1.9375,23600
1997-03-26,2.0000,2.0000,1.9375,2.0000,22000
1997-03-27,2.0625,2.0625,1.9375,2.0625,199600
1997-03-31,2.0625,2.0625,1.9375,2.0313,4400
1997-04-01,1.9375,2.0313,1.7813,1.7813,212800
1997-04-02,1.7500,1.8125,1.7188,1.7188,89600
1997-04-03,1.7500,1.7813,1.7188,1.7813,208400
1997-04-04,1.7813,1.7813,1.7188,1.7500,115600
1997-04-07,1.7500,1.7813,1.7148,1.7188,109600
1997-04-08,1.7188,1.7813,1.7188,1.7500,332000
1997-04-09,1.7500,1.7500,1.6875,1.7188,220400
1997-04-10,1.6875,1.7188,1.6875,1.7188,146800
1997-04-11,1.6563,1.7188,1.6250,1.6563,235200
1997-04-14,1.6875,1.6875,1.5938,1.5938,582000
1997-04-15,1.6250,1.6250,1.5938,1.6250,92000
1997-04-16,1.6250,1.6250,1.5938,1.6250,416000
1997-04-17,1.6250,1.6250,1.4688,1.5000,270400
1997-04-18,1.5000,1.5000,1.4375,1.5000,470000
1997-04-21,1.5000,1.5313,1.4063,1.5313,402800
1997-04-22,1.4375,1.5000,1.3438,1.4063,296800
1997-04-23,1.4063,1.4063,1.3750,1.4063,155200
1997-04-24,1.4375,1.5313,1.4063,1.5313,540400
1997-04-25,1.5313,1.5625,1.5313,1.5313,195200
1997-04-28,1.5313,1.5625,1.5000,1.5313,133200
1997-04-29,1.5313,1.5625,1.5000,1.5625,111200
1997-04-30,1.5625,1.7188,1.5000,1.7188,1154800
1997-05-01,1.7188,1.7188,1.6250,1.6875,131600
1997-05-02,1.6563,1.6875,1.5938,1.6563,28000
1997-05-05,1.6875,1.6875,1.5938,1.5938,116400
1997-05-06,1.6250,1.6875,1.5938,1.5938,138000
1997-05-07,1.6250,1.6250,1.5625,1.5938,83200
1997-05-08,1.5938,1.6250,1.5470,1.5625,59200
1997-05-09,1.5938,1.5938,1.5625,1.5938,73600
1997-05-12,1.5938,1.6250,1.5625,1.5938,160400
1997-05-13,1.5938,1.6563,1.5938,1.5938,434800
1997-05-14,1.6250,1.6563,1.5938,1.6250,288400
1997-05-15,1.6563,1.6563,1.5938,1.5938,338000
1997-05-16,1.6563,1.6563,1.5938,1.6563,90400
1997-05-19,1.6563,1.6875,1.5938,1.6875,192400
1997-05-20,1.6875,1.8125,1.6563,1.8125,246400
1997-05-21,1.8750,2.0313,1.7813,2.0000,256000
1997-05-22,2.0313,2.0313,1.8750,1.8750,252400
1997-05-23,1.9375,1.9375,1.8750,1.9375,165200
1997-05-27,1.9375,1.9375,1.8750,1.9375,155600
1997-05-28,2.0000,2.0000,1.9375,2.0000,182000
1997-05-29,2.0000,2.0625,2.0000,2.0313,588400
1997-05-30,2.0313,2.1875,2.0000,2.1563,388400
1997-06-02,2.1563,2.2188,2.1563,2.2188,114800
1997-06-03,2.2188,2.2813,2.1563,2.2500,159600
1997-06-04,2.2813,2.2813,2.2188,2.2813,28400
1997-06-05,2.2500,2.3125,2.0938,2.1250,192800
1997-06-06,2.1250,2.2188,2.0938,2.2188,79600
1997-06-09,2.1875,2.2188,2.1875,2.1875,6000
1997-06-10,2.1875,2.2813,2.1875,2.1875,36000
1997-06-11,2.1875,2.1875,2.0938,2.1563,74800
1997-06-12,2.0938,2.0938,2.0625,2.0625,14000
1997-06-13,2.1563,2.1563,2.0625,2.1563,7600
1997-06-16,2.1563,2.1563,2.1095,2.1563,23200
1997-06-17,2.1563,2.1563,2.0625,2.0783,93600
1997-06-18,2.0938,2.0938,1.9688,1.9688,62400
1997-06-19,1.9688,2.0625,1.9688,2.0313,80800
1997-06-20,2.0000,2.0313,2.0000,2.0313,36400
1997-06-23,2.0625,2.0625,1.8750,1.8750,175200
1997-06-24,1.7188,1.9063,1.6250,1.6875,1051600
1997-06-25,1.6875,1.8125,1.6563,1.8125,730400
1997-06-26,1.8125,1.9063,1.8125,1.9063,82400
1997-06-27,1.9375,1.9375,1.8438,1.9375,86400
