date,open,high,low,close,volume
1984-09-07,3.6496,3.6764,3.6357,3.6496,228697
1984-09-10,3.6229,3.6229,3.5962,3.5962,381301
1984-09-11,3.6090,3.6764,3.6090,3.6357,209203
1984-09-12,3.6357,3.6764,3.6357,3.6357,229500
1984-09-13,3.6357,3.6892,3.6357,3.6892,487897
1984-09-14,3.6892,3.7961,3.6892,3.7566,216000
1984-09-17,3.7566,3.8229,3.7566,3.7833,103903
1984-09-18,3.7833,3.8229,3.7694,3.8229,147103
1984-09-19,3.8229,3.8496,3.8229,3.8496,236797
1984-09-20,3.8496,3.8496,3.8100,3.8229,847800
1984-09-21,3.8100,3.8100,3.7833,3.7961,404197
1984-09-24,3.7961,3.8229,3.7961,3.7961,233503
1984-09-25,3.7961,3.8100,3.7961,3.7961,299700
1984-09-26,3.7961,3.8368,3.7961,3.8229,45900
1984-09-27,3.8229,3.8635,3.8229,3.8496,230101
1984-09-28,3.8496,3.8635,3.7961,3.8100,183600
1984-10-01,3.8100,3.8496,3.7961,3.8368,197100
1984-10-02,3.8368,3.8763,3.7961,3.8229,1127203
1984-10-03,3.8100,3.8100,3.7694,3.7694,176101
1984-10-04,3.7694,3.7833,3.6892,3.6892,169297
1984-10-05,3.6892,3.7833,3.6357,3.7694,205801
1984-10-08,3.7694,3.7694,3.7298,3.7427,149803
1984-10-09,3.7031,3.7031,3.6892,3.6892,130903
1984-10-10,3.6764,3.6764,3.5555,3.6357,451501
1984-10-11,3.6625,3.7159,3.6625,3.7031,58597
1984-10-12,3.7159,3.7694,3.7159,3.7694,53197
1984-10-15,3.7694,3.7961,3.7427,3.7427,406897
1984-10-16,3.7694,3.8368,3.7694,3.8100,271897
1984-10-17,3.8100,3.8496,3.8100,3.8496,158497
1984-10-18,3.8635,3.9298,3.8635,3.9170,1038697
1984-10-19,3.9170,3.9704,3.9170,3.9437,345600
1984-10-22,3.9437,3.9437,3.9031,3.9031,693097
1984-10-23,3.9170,3.9833,3.9170,3.9833,490597
1984-10-24,3.9833,4.0100,3.9437,3.9833,230803
1984-10-25,3.9833,4.0100,3.9704,3.9833,163897
1984-10-26,3.9833,4.0239,3.9833,4.0239,468997
1984-10-29,4.0239,4.0367,4.0100,4.0100,165301
1984-10-30,4.0100,4.0635,4.0100,4.0635,189000
1984-10-31,4.0635,4.1041,4.0635,4.0635,614797
1984-11-01,4.0635,4.1041,4.0635,4.0902,594000
1984-11-02,4.0902,4.1437,4.0902,4.1041,252997
1984-11-05,4.1041,4.1041,4.0506,4.0635,325897
1984-11-06,4.0635,4.0635,3.9972,4.0239,167400
1984-11-07,4.0100,4.0100,3.9437,3.9437,151801
1984-11-08,3.9437,3.9833,3.9298,3.9298,177397
1984-11-09,3.9298,3.9437,3.8763,3.9031,112597
1984-11-12,3.8763,3.8763,3.7961,3.8496,116100
1984-11-13,3.8496,3.8496,3.8100,3.8100,104497
1984-11-14,3.8100,3.8100,3.7427,3.7961,107197
1984-11-15,3.7833,3.7833,3.7427,3.7566,124801
1984-11-16,3.7427,3.7427,3.6892,3.7427,97801
1984-11-19,3.7427,3.7694,3.7159,3.7298,118800
1984-11-20,3.7298,3.7427,3.7031,3.7159,214603
1984-11-21,3.7159,3.7298,3.7159,3.7298,62100
1984-11-23,3.7298,3.7298,3.6892,3.6892,60703
1984-11-26,3.6892,3.7159,3.6764,3.6892,74797
1984-11-27,3.6892,3.8229,3.6892,3.7961,157201
1984-11-28,3.7961,3.9031,3.7961,3.8902,51901
1984-11-29,3.8763,3.8763,3.8100,3.8229,121500
1984-11-30,3.8229,3.8496,3.8229,3.8229,127501
1984-12-03,3.8229,3.8496,3.8100,3.8100,411703
1984-12-04,3.8100,3.8368,3.8100,3.8229,518400
1984-12-05,3.8229,3.8496,3.8100,3.8368,50497
1984-12-06,3.8368,3.8368,3.8229,3.8229,61297
1984-12-07,3.8229,3.8635,3.8229,3.8229,137700
1984-12-10,3.8229,3.8763,3.8100,3.8100,309103
1984-12-11,3.8368,3.8902,3.8368,3.8902,84301
1984-12-12,3.8902,3.9031,3.8635,3.8763,27000
1984-12-13,3.8763,3.8763,3.8368,3.8763,139597
1984-12-14,3.8635,3.8635,3.8229,3.8229,94500
1984-12-17,3.8229,3.8368,3.7833,3.8368,110700
1984-12-18,3.8368,3.9833,3.8100,3.9704,321901
1984-12-19,3.9704,4.0774,3.9704,3.9972,279403
1984-12-20,3.9972,4.0367,3.9833,4.0100,180097
1984-12-21,4.0100,4.0635,4.0100,4.0100,416401
1984-12-24,4.0100,4.0506,4.0100,4.0100,86400
1984-12-26,4.0100,4.0367,3.9972,3.9972,120103
1984-12-27,3.9972,4.0239,3.9704,4.0239,81000
1984-12-28,4.0367,4.0902,4.0367,4.0774,65401
1984-12-31,4.0774,4.1041,4.0635,4.0774,80197
1985-01-02,4.0774,4.1041,4.0506,4.0635,190303
1985-01-03,4.0635,4.1576,4.0367,4.1576,105300
1985-01-04,4.1437,4.1437,4.1169,4.1169,63997
1985-01-07,4.1169,4.1308,4.0635,4.1041,68803
1985-01-08,4.1041,4.1576,4.0902,4.1576,188197
1985-01-09,4.1576,4.1704,4.1308,4.1437,207097
1985-01-10,4.1437,4.2239,4.1169,4.2110,263203
1985-01-11,4.2110,4.2239,4.1971,4.2239,419803
1985-01-14,4.2239,4.2838,4.1843,4.2645,207097
1985-01-15,4.2645,4.2645,4.2378,4.2645,428497
1985-01-16,4.2645,4.2912,4.2645,4.2912,365803
1985-01-17,4.2838,4.2838,4.2239,4.2239,704700
1985-01-18,4.2110,4.2110,4.1576,4.1704,355003
1985-01-21,4.1704,4.1971,4.1704,4.1971,1339200
1985-01-22,4.1971,4.2110,4.1041,4.1169,347497
1985-01-23,4.1169,4.1704,4.1169,4.1704,301003
1985-01-24,4.1704,4.2378,4.1576,4.1704,738403
1985-01-25,4.1971,4.3308,4.1971,4.3041,493297
1985-01-28,4.3308,4.4110,4.3308,4.3843,344797
1985-01-29,4.3843,4.3982,4.2912,4.3041,264600
1985-01-30,4.3041,4.3714,4.3041,4.3447,544003
1985-01-31,4.3447,4.3575,4.3041,4.3180,593197
1985-02-01,4.3180,4.3575,4.3041,4.3447,171997
1985-02-04,4.3447,4.4249,4.3447,4.4110,294901
1985-02-05,4.4912,4.5981,4.4912,4.5981,513000
1985-02-06,4.5981,4.5981,4.5447,4.5586,151200
1985-02-07,4.5714,4.6388,4.5714,4.6249,477097
1985-02-08,4.6249,4.6249,4.5447,4.5447,147697
1985-02-11,4.5447,4.5447,4.4784,4.5447,225403
1985-02-12,4.5179,4.5179,4.4645,4.4645,244897
1985-02-13,4.4912,4.5714,4.4912,4.5714,103201
1985-02-14,4.5981,4.6848,4.5981,4.6516,435301
1985-02-15,4.6516,4.7318,4.6249,4.6922,670903
1985-02-19,4.6922,4.7318,4.6848,4.6848,618300
1985-02-20,4.6848,4.7190,4.6655,4.6848,220597
1985-02-21,4.6848,4.6922,4.6516,4.6922,255697
1985-02-22,4.7051,4.7457,4.7051,4.7051,179503
1985-02-25,4.6848,4.6848,4.5981,4.5981,708001
1985-02-26,4.5981,4.6922,4.5981,4.6848,101797
1985-02-27,4.6848,4.6922,4.6516,4.6516,112003
1985-02-28,4.6516,4.7318,4.6249,4.7051,394801
1985-03-01,4.7051,4.7853,4.6655,4.7853,219301
1985-03-04,4.7853,4.8922,4.7853,4.8526,1494997
1985-03-05,4.8526,4.8655,4.7318,4.7853,450097
1985-03-06,4.7724,4.7724,4.6655,4.7051,1265497
1985-03-07,4.7051,4.7051,4.6848,4.7051,106603
1985-03-08,4.7051,4.7318,4.6848,4.6922,134197
1985-03-11,4.6922,4.7190,4.6848,4.6848,135601
1985-03-12,4.6848,4.6848,4.6516,4.6848,144403
1985-03-13,4.6848,4.7190,4.6655,4.6655,346201
1985-03-14,4.6655,4.6848,4.5981,4.6516,182203
1985-03-15,4.6388,4.6388,4.5981,4.5981,263203
1985-03-18,4.5714,4.5714,4.4377,4.5318,306403
