date,open,high,low,close,volume
1979-05-15,2.0301,2.0576,2.0027,2.0301,22002
1979-05-16,2.0433,2.1805,2.0433,2.1673,65598
1979-05-17,2.8898,2.9263,2.8898,2.9263,42899
1979-05-18,2.9263,3.0361,2.9263,3.0171,118602
1979-05-21,3.0171,3.0902,2.9805,3.0727,106200
1979-05-22,3.0727,3.1458,3.0727,3.1092,126999
1979-05-23,3.1092,3.1092,3.0171,3.0171,85401
1979-05-24,3.0171,3.0361,2.9439,2.9805,80199
1979-05-25,2.9805,3.0361,2.9439,3.0171,63198
1979-05-29,3.0171,3.1824,3.0171,3.1268,122801
1979-05-30,3.1824,3.3287,3.1824,3.3097,113598
1979-05-31,3.2921,3.2921,3.2365,3.2921,80199
1979-06-01,3.2921,3.3287,3.2921,3.2921,103001
1979-06-04,3.2921,3.3828,3.2921,3.3653,70601
1979-06-05,3.3828,3.5292,3.3828,3.4750,135801
1979-06-06,3.5116,3.6213,3.5116,3.5482,147798
1979-06-07,3.5482,3.6023,3.5292,3.5292,141399
1979-06-08,3.5292,3.5848,3.4384,3.4926,53199
1979-06-11,3.4926,3.5292,3.4384,3.5116,48600
1979-06-12,3.5116,3.5292,3.4750,3.4926,47799
1979-06-13,3.4926,3.5116,3.3653,3.4019,75402
1979-06-14,3.4019,3.4560,3.3287,3.4019,58199
1979-06-15,3.4384,3.5657,3.4384,3.5116,106799
1979-06-18,3.5116,3.5116,3.4384,3.4750,34601
1979-06-19,3.4750,3.5116,3.4384,3.5116,113598
1979-06-20,3.5116,3.5657,3.5116,3.5292,151799
1979-06-21,3.5292,3.5292,3.4560,3.4926,388800
1979-06-22,3.4926,3.4926,3.4194,3.4750,69800
1979-06-25,3.4750,3.4750,3.2556,3.3287,73400
1979-06-26,3.3287,3.4019,3.3097,3.3463,77000
1979-06-27,3.3463,3.4384,3.3463,3.3828,123800
1979-06-28,3.3828,3.4194,3.3097,3.3463,63198
1979-06-29,3.3463,3.4384,3.3463,3.4384,135198
1979-07-02,3.4384,3.4560,3.3653,3.3653,40199
1979-07-03,3.3653,3.4194,3.3653,3.4194,44802
1979-07-05,3.4194,3.4194,3.3653,3.4194,17802
1979-07-06,3.4194,3.4750,3.4019,3.4384,98402
1979-07-09,3.4926,3.8598,3.4926,3.8598,223200
1979-07-10,3.8598,3.8774,3.6755,3.7311,168602
1979-07-11,3.7311,3.7311,3.6389,3.6579,172602
1979-07-12,3.6579,3.6945,3.6213,3.6389,85401
1979-07-13,3.6023,3.6023,3.4750,3.5116,89402
1979-07-16,3.5116,3.5482,3.4560,3.5482,26199
1979-07-17,3.5482,3.5482,3.3828,3.3828,58199
1979-07-18,3.3463,3.3463,3.2365,3.3287,81801
1979-07-19,3.3287,3.4194,3.2731,3.3653,34601
1979-07-20,3.3653,3.3653,3.3097,3.3097,19800
1979-07-23,3.3097,3.4019,3.3097,3.3463,47799
1979-07-24,3.3828,3.4384,3.3828,3.4384,23999
1979-07-25,3.4384,3.4926,3.4384,3.4560,23598
1979-07-26,3.4560,3.4750,3.4384,3.4384,22001
1979-07-27,3.4384,3.4750,3.4194,3.4194,40199
1979-07-30,3.4194,3.4194,3.3463,3.3463,79002
1979-07-31,3.3463,3.3828,3.3463,3.3828,69399
1979-08-01,3.3828,3.4750,3.3828,3.4194,53199
1979-08-02,3.4194,3.4750,3.3828,3.4750,98402
1979-08-03,3.4750,3.4750,3.4194,3.4384,61002
1979-08-06,3.4384,3.4750,3.4194,3.4384,40199
1979-08-07,3.4384,3.4926,3.4384,3.4750,42399
1979-08-08,3.5116,3.6213,3.5116,3.5657,77999
1979-08-09,3.5657,3.6213,3.5292,3.6023,34601
1979-08-10,3.6023,3.6023,3.4926,3.5116,40599
1979-08-13,3.5116,3.5848,3.5116,3.5482,40199
1979-08-14,3.5482,3.5657,3.4926,3.5116,40599
1979-08-15,3.5116,3.5657,3.4560,3.5482,54000
1979-08-16,3.5482,3.6213,3.5116,3.5657,61002
1979-08-17,3.5657,3.6389,3.5482,3.6389,52601
1979-08-20,3.6389,3.6579,3.5848,3.6389,26199
1979-08-21,3.6389,3.6579,3.4926,3.5116,40599
1979-08-22,3.5116,3.6213,3.5116,3.6023,99801
1979-08-23,3.6023,3.6389,3.6023,3.6389,44802
1979-08-24,3.6389,3.6945,3.6023,3.6579,48600
1979-08-27,3.6579,3.6945,3.6023,3.6389,43799
1979-08-28,3.6389,3.6945,3.5482,3.5482,37400
1979-08-29,3.5482,3.7852,3.4926,3.7677,81198
1979-08-30,3.7677,4.0603,3.6945,4.0603,197600
1979-08-31,4.0603,4.1891,4.0603,4.1525,315198
1979-09-04,4.1525,4.1700,3.8598,3.8964,106799
1979-09-05,3.8042,3.8042,3.6579,3.7852,173399
1979-09-06,3.7852,3.7852,3.7486,3.7852,64602
1979-09-07,3.7852,3.9696,3.7852,3.9696,74799
1979-09-10,3.9696,4.0603,3.8964,3.9330,105201
1979-09-11,3.9330,3.9506,3.8598,3.8598,59400
1979-09-12,3.8598,3.9696,3.8408,3.9506,72801
1979-09-13,3.9506,4.1159,3.8774,4.0427,114399
1979-09-14,4.0603,4.2798,4.0603,4.2066,169601
1979-09-17,4.2256,4.3720,4.2256,4.2622,228798
1979-09-18,4.2622,4.2622,4.1335,4.1891,111002
1979-09-19,4.1891,4.1891,4.1159,4.1159,62402
1979-09-20,4.1159,4.1335,4.0793,4.1159,80199
1979-09-21,4.1335,4.2798,4.1335,4.2798,128799
1979-09-24,4.2622,4.2622,4.1335,4.1525,261999
1979-09-25,4.1525,4.2622,4.1159,4.2256,215402
1979-09-26,4.2256,4.2988,4.2256,4.2256,66402
1979-09-27,4.2066,4.2066,4.1335,4.1700,35402
1979-09-28,4.1700,4.2256,4.1700,4.1700,58199
1979-10-01,4.1700,4.2256,4.1700,4.1891,47799
1979-10-02,4.2256,4.3354,4.2256,4.3164,105201
1979-10-03,4.3720,4.4992,4.3720,4.4261,197600
1979-10-04,4.4261,4.6090,4.4085,4.5724,146601
1979-10-05,4.6280,4.9206,4.6280,4.9206,181602
1979-10-08,4.9206,4.9206,4.7553,4.8285,245399
1979-10-09,4.8109,4.8109,4.2256,4.2256,262602
1979-10-10,4.1525,4.1525,3.8042,4.0793,418001
1979-10-11,4.0793,4.2256,3.9696,4.0427,192402
1979-10-12,4.0427,4.2432,4.0427,4.1159,116402
1979-10-15,4.1159,4.1891,4.0603,4.0793,124799
1979-10-16,4.0793,4.1700,4.0793,4.1525,74799
1979-10-17,4.1525,4.1891,4.1159,4.1335,46998
1979-10-18,4.1335,4.3354,4.1159,4.3164,94802
1979-10-19,4.2798,4.2798,4.1700,4.2256,164399
1979-10-22,4.1159,4.1159,3.9140,3.9696,120600
1979-10-23,3.9696,4.0062,3.8774,3.9506,67401
1979-10-24,3.9506,4.0603,3.9330,4.0603,58199
1979-10-25,4.0603,4.0603,3.9871,3.9871,39600
1979-10-26,4.0237,4.0793,4.0237,4.0427,59400
1979-10-29,4.0427,4.0603,4.0237,4.0237,21600
1979-10-30,4.0427,4.1700,4.0427,4.1700,77999
1979-10-31,4.1700,4.2256,4.1335,4.1700,46998
1979-11-01,4.1891,4.3895,4.1891,4.2256,126999
1979-11-02,4.2256,4.3354,4.2066,4.2988,31199
1979-11-05,4.3720,4.4817,4.3720,4.4261,83799
1979-11-06,4.4261,4.6646,4.3720,4.5724,162198
1979-11-07,4.5724,4.6456,4.4451,4.4817,198801
1979-11-08,4.4817,4.5183,4.4085,4.4817,53199
1979-11-09,4.4992,4.6280,4.4992,4.5914,129600
1979-11-12,4.5914,4.7377,4.5548,4.6646,75402
1979-11-13,4.6821,4.7919,4.6821,4.7187,109400
1979-11-14,4.7187,4.9016,4.6821,4.8841,91400
1979-11-15,4.9206,5.2308,4.9206,5.0304,194202
1979-11-16,5.0304,5.2499,5.0304,5.2308,124799
1979-11-19,5.3771,5.5059,5.3771,5.4503,335399
1979-11-20,5.4503,5.5791,5.3771,5.4327,195399
1979-11-21,5.4137,5.4137,5.1943,5.3596,237002
1979-11-23,5.3962,5.5600,5.3962,5.4503,100998
1979-11-26,5.5425,5.7429,5.5425,5.7429,284801
1979-11-27,5.7429,5.7429,5.4137,5.4327,297198
1979-11-28,5.4327,5.5791,5.2864,5.3962,408200
1979-11-29,5.3962,5.3962,5.2308,5.2864,160799
1979-11-30,5.2499,5.2499,5.1211,5.2133,83201
1979-12-03,5.1943,5.1943,5.1211,5.1767,57200
1979-12-04,5.2133,5.3040,5.2133,5.2133,120600
1979-12-05,5.2499,5.3771,5.2499,5.2499,134402
1979-12-06,5.2499,5.3040,5.2133,5.2864,106200
1979-12-07,5.2864,5.3230,4.8841,4.9016,117000
1979-12-10,4.9572,5.3040,4.9572,5.2308,123800
1979-12-11,5.2308,5.3596,5.2308,5.2308,45599
1979-12-12,5.2308,5.5235,5.2133,5.4503,131000
1979-12-13,5.5059,5.7429,5.5059,5.6888,181998
1979-12-14,5.6888,5.6888,5.5966,5.6332,43799
1979-12-17,5.6332,5.6698,5.5791,5.6156,47799
