date,open,high,low,close,volume
1991-11-08,0.2606,0.2606,0.2606,0.2606,176057600
1991-11-11,0.2606,0.2606,0.2606,0.2606,23718400
1991-11-12,0.2606,0.2606,0.2606,0.2606,26195200
1991-11-13,0.2606,0.2606,0.2535,0.2535,38118400
1991-11-14,0.2359,0.2465,0.2359,0.2465,41670400
1991-11-15,0.2465,0.2465,0.2324,0.2324,43494400
1991-11-18,0.2289,0.2324,0.2148,0.2183,17747200
1991-11-19,0.2183,0.2254,0.2113,0.2183,19916800
1991-11-20,0.2218,0.2218,0.2183,0.2218,1945600
1991-11-21,0.2183,0.2183,0.2113,0.2113,3366400
1991-11-22,0.2113,0.2113,0.1972,0.2007,5222400
1991-11-25,0.2042,0.2183,0.1972,0.2078,11315200
1991-11-26,0.2113,0.2148,0.2078,0.2078,6585600
1991-11-27,0.2113,0.2148,0.2113,0.2148,6758400
1991-11-29,0.2113,0.2183,0.2113,0.2183,1971200
1991-12-02,0.2148,0.2324,0.2148,0.2218,4070400
1991-12-03,0.2254,0.2289,0.2218,0.2289,4454400
1991-12-04,0.2324,0.2535,0.2324,0.2359,19648000
1991-12-05,0.2359,0.2465,0.2289,0.2430,10099200
1991-12-06,0.2430,0.2430,0.2394,0.2430,2899200
1991-12-09,0.2430,0.2430,0.2394,0.2394,4716800
1991-12-10,0.2324,0.2359,0.2289,0.2289,4748800
1991-12-11,0.2289,0.2324,0.2218,0.2218,3961600
1991-12-12,0.2254,0.2324,0.2183,0.2289,3955200
1991-12-13,0.2324,0.2394,0.2324,0.2359,3014400
1991-12-16,0.2394,0.2394,0.2324,0.2359,5510400
1991-12-17,0.2324,0.2324,0.2289,0.2289,2195200
1991-12-18,0.2289,0.2289,0.2183,0.2218,3974400
1991-12-19,0.2183,0.2183,0.2113,0.2183,3161600
1991-12-20,0.2218,0.2218,0.2042,0.2183,4115200
1991-12-23,0.2183,0.2289,0.2113,0.2289,3833600
1991-12-24,0.2254,0.2430,0.2254,0.2430,4857600
1991-12-26,0.2430,0.2535,0.2430,0.2535,4288000
1991-12-27,0.2500,0.2535,0.2394,0.2535,6726400
1991-12-30,0.2535,0.2535,0.2465,0.2500,5260800
1991-12-31,0.2500,0.2535,0.2465,0.2535,12588800
1992-01-02,0.2500,0.2500,0.2430,0.2500,2912000
1992-01-03,0.2535,0.2570,0.2500,0.2535,12038400
1992-01-06,0.2570,0.2782,0.2535,0.2606,39193600
1992-01-07,0.2606,0.2711,0.2570,0.2676,23987200
1992-01-08,0.2676,0.2854,0.2676,0.2782,73504000
1992-01-09,0.2817,0.2817,0.2711,0.2711,18982400
1992-01-10,0.2747,0.2747,0.2711,0.2711,8966400
1992-01-13,0.2711,0.2782,0.2711,0.2747,5862400
1992-01-14,0.2711,0.2782,0.2711,0.2747,9676800
1992-01-15,0.2747,0.2782,0.2711,0.2747,5811200
1992-01-16,0.2747,0.2854,0.2711,0.2854,61542400
1992-01-17,0.2854,0.2994,0.2817,0.2854,18380800
1992-01-20,0.2854,0.2854,0.2747,0.2747,8256000
1992-01-21,0.2747,0.2782,0.2676,0.2711,8211200
1992-01-22,0.2711,0.2711,0.2641,0.2641,4595200
1992-01-23,0.2676,0.2676,0.2606,0.2641,4697600
1992-01-24,0.2606,0.2641,0.2606,0.2641,4256000
1992-01-27,0.2606,0.2641,0.2570,0.2641,6899200
1992-01-28,0.2606,0.2641,0.2606,0.2606,2246400
1992-01-29,0.2606,0.2711,0.2570,0.2570,10880000
1992-01-30,0.2535,0.2782,0.2394,0.2641,15308800
1992-01-31,0.2570,0.2606,0.2570,0.2570,2342400
1992-02-03,0.2535,0.2641,0.2535,0.2641,1139200
1992-02-04,0.2430,0.2465,0.2254,0.2430,37568000
1992-02-05,0.2430,0.2500,0.2359,0.2359,11372800
1992-02-06,0.2359,0.2430,0.2359,0.2359,3987200
1992-02-07,0.2394,0.2465,0.2394,0.2430,5395200
1992-02-10,0.2394,0.2430,0.2394,0.2394,4736000
1992-02-11,0.2394,0.2430,0.2359,0.2359,8588800
1992-02-12,0.2394,0.2394,0.2359,0.2394,6086400
1992-02-13,0.2430,0.2465,0.2394,0.2394,2137600
1992-02-14,0.2394,0.2430,0.2324,0.2324,3059200
1992-02-18,0.2359,0.2359,0.2324,0.2324,2214400
1992-02-19,0.2324,0.2324,0.2254,0.2254,4729600
