date,open,high,low,close,volume
1997-05-28,8.3470,8.6505,8.3470,8.4967,1862700
1997-05-29,8.4967,8.6505,8.4967,8.6505,296800
1997-05-30,8.5493,8.9539,8.5493,8.9013,220400
1997-06-02,8.9539,9.0025,8.6990,8.9013,66800
1997-06-03,8.8002,8.9539,8.7516,8.9539,180000
1997-06-04,8.8528,9.0025,8.8002,8.8528,99900
1997-06-05,8.6990,8.8528,8.5979,8.8528,291600
1997-06-06,8.7516,8.7516,8.6505,8.6990,0
1997-06-09,8.6990,8.8002,8.6990,8.6990,0
1997-06-10,8.6990,8.8002,8.6990,8.8002,57600
1997-06-11,8.6505,8.7516,8.5493,8.5979,146600
1997-06-12,8.5979,8.7516,8.5493,8.6505,73300
1997-06-13,8.5979,8.6505,8.5979,8.5979,134200
1997-06-16,8.5979,8.7516,8.5979,8.7516,73200
1997-06-17,8.6505,8.6990,8.6505,8.6505,53300
1997-06-18,8.6990,8.7516,8.6505,8.6990,54100
1997-06-19,8.6990,8.7516,8.6990,8.6990,44100
1997-06-20,8.6990,8.8002,8.6990,8.7516,37800
1997-06-23,8.7516,8.8528,8.6505,8.6505,80800
1997-06-24,8.7233,8.7233,8.5979,8.7233,116000
1997-06-25,8.6990,8.7759,8.6221,8.7759,127400
1997-06-26,8.7759,8.8244,8.6990,8.7759,52100
1997-06-27,8.6747,8.8528,8.6747,8.8002,44500
1997-06-30,8.8002,8.8770,8.6747,8.8770,60300
1997-07-01,8.7516,9.1562,8.7516,9.1036,121300
1997-07-02,9.1551,9.1795,9.0045,9.1795,77300
1997-07-03,9.2080,9.2812,9.1307,9.2568,46000
1997-07-07,9.2568,9.3585,9.2080,9.2568,122200
1997-07-08,9.2568,9.2568,9.1062,9.2568,50400
1997-07-09,9.2568,9.3341,9.1795,9.2812,97000
1997-07-10,9.2568,9.2568,9.2568,9.2568,99000
1997-07-11,9.2568,9.3097,9.2080,9.2568,136100
1997-07-14,9.3585,9.7166,9.3341,9.6637,106600
1997-07-15,9.3585,9.7166,9.3341,9.5864,85400
1997-07-16,9.8183,9.8427,9.7654,9.8183,68800
1997-07-17,9.7654,9.7654,9.6637,9.7654,53000
1997-07-18,9.6881,9.7166,9.6637,9.6637,126500
1997-07-21,9.7166,9.7410,9.6881,9.6881,111800
1997-07-22,9.7654,9.7654,9.6881,9.7166,38800
1997-07-23,9.7654,9.7898,9.7410,9.7898,180000
1997-07-24,9.7898,9.8427,9.7654,9.7898,47600
1997-07-25,9.7898,9.8915,9.7654,9.8671,25500
1997-07-28,9.8427,9.9200,9.8427,9.8427,96800
1997-07-29,9.8915,9.8915,9.8183,9.8183,19900
1997-07-30,9.8915,9.9444,9.7898,9.9444,59600
1997-07-31,10.0217,10.1723,10.0217,10.0462,83500
1997-08-01,10.0950,10.1967,10.0217,10.0950,18700
1997-08-04,10.0462,10.5019,10.0462,10.4775,25700
1997-08-05,10.4286,10.4531,10.1235,10.3757,393700
1997-08-06,10.3757,10.3757,10.2984,10.3513,59700
1997-08-07,10.4531,10.4775,10.4002,10.4002,23800
1997-08-08,10.3757,10.5792,10.3269,10.5792,25500
1997-08-11,10.4531,10.6565,10.4286,10.4286,9600
1997-08-12,10.5019,10.5304,10.3757,10.3757,44600
1997-08-13,10.4002,10.5019,10.4002,10.4002,47300
1997-08-14,10.4775,10.5304,10.4002,10.4286,8800
1997-08-15,10.4002,10.4002,10.4002,10.4002,2800
1997-08-18,10.4002,10.4286,10.4002,10.4002,4900
1997-08-19,10.4775,10.6321,10.4002,10.6036,22600
1997-08-20,10.5792,10.6565,10.5792,10.6036,68800
1997-08-21,10.6565,10.7053,10.5792,10.6036,43200
1997-08-22,10.5792,10.6809,10.5548,10.6321,22000
1997-08-25,10.6809,10.7826,10.6321,10.6809,16300
1997-08-26,10.5792,10.6565,10.4286,10.4286,19200
1997-08-27,10.4775,10.5304,10.4531,10.4775,3900
1997-08-28,10.5019,10.6809,10.5019,10.6321,8300
1997-08-29,10.6321,10.6809,10.5792,10.6565,4600
1997-09-02,10.6321,10.7053,10.5548,10.6565,14600
1997-09-03,10.6565,11.0105,10.6321,11.0105,19000
1997-09-04,10.9617,11.2424,10.9373,11.2424,31100
1997-09-05,10.7826,11.5964,10.7826,11.5964,51700
1997-09-08,11.4947,11.5476,11.2139,11.2139,90400
1997-09-09,11.1122,11.1651,10.8844,10.9861,0
1997-09-10,10.9617,10.9861,10.5792,10.6321,41300
1997-09-11,10.6321,10.7582,10.6321,10.7338,102800
