date,open,high,low,close,volume
1983-12-28,1.2255,1.2712,1.2255,1.2255,19200
1983-12-29,1.2255,1.2712,1.2255,1.2255,93900
1983-12-30,1.2255,1.2712,1.2255,1.2255,79800
1984-01-03,1.2255,1.2528,1.2159,1.2159,33000
1984-01-04,1.2159,1.2255,1.1975,1.1975,51600
1984-01-05,1.1975,1.2255,1.1975,1.1975,35100
1984-01-06,1.2159,1.2528,1.2159,1.2159,60600
1984-01-09,1.2255,1.2712,1.2255,1.2255,40200
1984-01-10,1.2255,1.2528,1.2255,1.2255,44400
1984-01-11,1.2255,1.2528,1.2159,1.2159,60000
1984-01-12,1.2159,1.2528,1.2159,1.2159,27900
1984-01-13,1.2159,1.2528,1.2159,1.2159,32700
1984-01-16,1.2255,1.2528,1.2255,1.2255,31800
1984-01-17,1.2255,1.2528,1.2159,1.2159,75600
1984-01-18,1.2159,1.2255,1.2159,1.2159,54600
1984-01-19,1.2159,1.2528,1.2159,1.2159,65700
1984-01-20,1.2159,1.2255,1.2159,1.2159,46500
1984-01-23,1.2159,1.2528,1.2159,1.2159,84900
1984-01-24,1.2159,1.2528,1.2159,1.2159,27600
1984-01-25,1.2159,1.2528,1.2159,1.2159,28200
1984-01-26,1.2159,1.2528,1.2159,1.2159,16500
1984-01-27,1.2528,1.3081,1.2528,1.2528,21900
1984-01-30,1.2528,1.2808,1.2528,1.2528,47400
1984-01-31,1.2528,1.2808,1.2255,1.2255,28800
1984-02-01,1.2528,1.2808,1.2528,1.2528,20700
1984-02-02,1.2712,1.3081,1.2712,1.2712,28500
1984-02-03,1.3081,1.3361,1.3081,1.3081,14100
1984-02-06,1.3081,1.3265,1.2808,1.2808,39900
1984-02-07,1.2808,1.3265,1.2808,1.2808,23100
1984-02-08,1.3265,1.3633,1.3265,1.3265,33300
1984-02-09,1.3265,1.3633,1.3265,1.3265,14100
1984-02-10,1.3361,1.3633,1.3361,1.3361,43500
1984-02-13,1.3265,1.3265,1.2808,1.2808,31800
1984-02-14,1.2808,1.3265,1.2808,1.2808,14400
1984-02-15,1.2808,1.3265,1.2808,1.2808,8400
1984-02-16,1.2808,1.3081,1.2808,1.2808,11100
1984-02-17,1.3081,1.3361,1.3081,1.3081,25200
1984-02-21,1.3081,1.3265,1.2808,1.2808,23100
1984-02-22,1.2808,1.3081,1.2712,1.2712,6600
1984-02-23,1.2712,1.2808,1.2712,1.2712,51900
1984-02-24,1.2712,1.3081,1.2712,1.2712,18600
1984-02-27,1.2712,1.2808,1.2528,1.2528,15600
1984-02-28,1.2528,1.2808,1.2528,1.2528,21600
1984-02-29,1.2528,1.2808,1.2528,1.2528,12000
1984-03-01,1.2528,1.2808,1.2528,1.2528,3300
1984-03-02,1.2528,1.2808,1.2528,1.2528,17700
1984-03-05,1.2528,1.2808,1.2528,1.2528,15300
1984-03-06,1.2712,1.3265,1.2712,1.2712,12900
1984-03-07,1.2712,1.2712,1.2528,1.2528,24300
1984-03-08,1.2528,1.2808,1.2528,1.2528,12300
1984-03-09,1.2712,1.2808,1.2712,1.2712,3300
1984-03-12,1.2808,1.3265,1.2808,1.2808,18000
1984-03-13,1.2808,1.3265,1.2808,1.2808,8400
1984-03-14,1.2808,1.3265,1.2808,1.2808,19800
1984-03-15,1.2808,1.3265,1.2808,1.2808,3600
1984-03-16,1.2808,1.3265,1.2808,1.2808,68700
1984-03-19,1.2808,1.3265,1.2808,1.2808,13800
1984-03-20,1.2808,1.3265,1.2808,1.2808,39000
1984-03-21,1.2808,1.3265,1.2808,1.2808,3600
1984-03-22,1.2808,1.3265,1.2808,1.2808,8100
1984-03-23,1.2808,1.3265,1.2808,1.2808,19500
1984-03-26,1.2896,1.3265,1.2896,1.2896,43200
1984-03-27,1.2896,1.3265,1.2896,1.2896,21300
1984-03-28,1.2896,1.3265,1.2896,1.2896,12300
1984-03-29,1.2896,1.3265,1.2896,1.2896,26100
1984-03-30,1.2896,1.3265,1.2896,1.2896,20700
1984-04-02,1.2896,1.3081,1.2808,1.2808,30000
1984-04-03,1.2808,1.2808,1.2528,1.2528,15900
1984-04-04,1.2528,1.2808,1.2528,1.2528,66000
1984-04-05,1.2528,1.2712,1.2255,1.2255,46500
1984-04-06,1.2255,1.2712,1.2255,1.2255,23100
1984-04-09,1.2255,1.2712,1.2255,1.2255,6900
1984-04-10,1.2255,1.2712,1.2255,1.2255,6300
1984-04-11,1.2528,1.2808,1.2528,1.2528,25500
1984-04-12,1.2528,1.2712,1.2528,1.2528,15000
1984-04-13,1.2528,1.2712,1.2255,1.2255,14400
1984-04-16,1.2255,1.2528,1.2255,1.2255,18900
