date,open,high,low,close,volume
1994-03-11,5.8982,5.9725,5.8982,5.9725,2359000
1994-03-14,5.9354,5.9354,5.8982,5.8982,536500
1994-03-15,5.8982,5.9354,5.8982,5.8982,215700
1994-03-16,5.8982,6.1156,5.8982,6.1156,338600
1994-03-17,6.1156,6.1156,5.9725,6.0412,195900
1994-03-18,6.0412,6.0412,5.9354,6.0069,285700
1994-03-21,6.0069,6.0069,5.9725,5.9725,38900
1994-03-22,5.9725,5.9725,5.9354,5.9354,78400
1994-03-23,5.9354,6.1499,5.9354,6.0784,209200
1994-03-24,6.0412,6.0412,6.0069,6.0069,155000
1994-03-25,6.0069,6.0412,6.0069,6.0069,91500
1994-03-28,6.0069,6.0412,5.9725,6.0412,111200
1994-03-29,6.0412,6.0412,5.8982,5.8982,101200
1994-03-30,5.8982,5.9354,5.8295,5.8638,105000
1994-03-31,5.8638,5.8982,5.8638,5.8982,108300
1994-04-04,5.8295,5.8295,5.7208,5.7551,42300
1994-04-05,5.7923,5.9725,5.7923,5.9354,55600
1994-04-06,5.9354,5.9725,5.9354,5.9725,31800
1994-04-07,5.9725,6.0069,5.9354,5.9354,52000
1994-04-08,5.9354,5.9354,5.8638,5.8638,24000
1994-04-11,5.8638,5.8982,5.8295,5.8295,44400
1994-04-12,5.8295,5.8638,5.7923,5.8638,15100
1994-04-13,5.8638,5.8638,5.8295,5.8295,30500
1994-04-14,5.8295,5.8638,5.8295,5.8295,38800
1994-04-15,5.8295,5.8638,5.7551,5.7551,12200
1994-04-18,5.7551,5.8295,5.7551,5.7551,39800
1994-04-19,5.7923,5.8295,5.7923,5.7923,24500
1994-04-20,5.7923,5.7923,5.7551,5.7923,72000
1994-04-21,5.7923,5.8295,5.7923,5.7923,15000
1994-04-22,5.7923,5.8638,5.7551,5.8638,20700
1994-04-25,5.8638,5.8638,5.7923,5.7923,27300
1994-04-26,5.8295,5.8638,5.8295,5.8638,64000
1994-04-28,5.8638,5.9354,5.8638,5.8982,27100
1994-04-29,5.8982,5.8982,5.8638,5.8638,5500
1994-05-02,5.8638,5.8982,5.8638,5.8982,11700
1994-05-03,5.8982,5.8982,5.8295,5.8638,29000
1994-05-04,5.8638,5.8638,5.7923,5.7923,39600
1994-05-05,5.7923,5.8295,5.7551,5.8295,7600
1994-05-06,5.8295,5.8295,5.7208,5.7551,13600
1994-05-09,5.7551,5.7923,5.7551,5.7923,3700
1994-05-10,5.7923,5.7923,5.7551,5.7923,75100
1994-05-11,5.7923,5.8295,5.7551,5.7923,81400
1994-05-12,5.7923,5.8295,5.7923,5.7923,7100
1994-05-13,5.7923,5.8295,5.7923,5.7923,14500
1994-05-16,5.7923,5.8295,5.7551,5.7923,12600
1994-05-17,5.7923,5.8295,5.7551,5.7551,13400
1994-05-18,5.7551,5.8295,5.7551,5.8295,6700
1994-05-19,5.8295,5.8638,5.8295,5.8638,36500
1994-05-20,5.8638,5.9354,5.8638,5.8638,26800
1994-05-23,5.8982,6.0069,5.8982,6.0069,36200
1994-05-24,6.0069,6.1156,5.9725,6.1156,116200
1994-05-25,6.1842,6.2586,6.1842,6.2214,283300
1994-05-26,6.1842,6.1842,6.1499,6.1499,50200
1994-05-27,6.1499,6.1842,6.1156,6.1156,10000
1994-05-31,6.1156,6.1499,6.1156,6.1499,41400
1994-06-01,6.1499,6.2586,6.1499,6.2214,166300
1994-06-02,6.2214,6.2586,6.2214,6.2214,243600
1994-06-03,6.2214,6.2586,6.2214,6.2214,42400
1994-06-06,6.2586,6.5074,6.2586,6.4703,87200
1994-06-07,6.4703,6.4703,6.2586,6.2586,19700
1994-06-08,6.2586,6.3272,6.2214,6.2586,16100
1994-06-09,6.2586,6.2929,6.2586,6.2929,25000
1994-06-10,6.2929,6.3272,6.2929,6.2929,23900
1994-06-13,6.2929,6.2929,6.2586,6.2929,72800
