date,open,high,low,close,volume
1972-06-01,1.9816,1.9816,1.9816,1.9816,0
1972-06-02,1.9727,1.9727,1.9727,1.9727,0
1972-06-05,1.9340,1.9340,1.9340,1.9340,0
1972-06-06,1.8304,1.8304,1.8304,1.8304,0
1972-06-07,1.8086,1.8086,1.8086,1.8086,0
1972-06-08,1.8521,1.8521,1.8521,1.8521,0
1972-06-09,1.8390,1.8390,1.8390,1.8390,0
1972-06-12,1.8691,1.8691,1.8691,1.8691,0
1972-06-13,1.8691,1.8691,1.8691,1.8691,0
1972-06-14,1.8477,1.8477,1.8477,1.8477,0
1972-06-15,1.8262,1.8262,1.8262,1.8262,0
1972-06-16,1.8217,1.8217,1.8217,1.8217,0
1972-06-19,1.8045,1.8045,1.8045,1.8045,0
1972-06-20,1.8086,1.8086,1.8086,1.8086,0
1972-06-21,1.8477,1.8477,1.8477,1.8477,0
1972-06-22,1.8822,1.8822,1.8822,1.8822,0
1972-06-23,1.7872,1.7872,1.7872,1.7872,0
1972-06-26,1.7354,1.7354,1.7354,1.7354,0
1972-06-27,1.8086,1.8086,1.8086,1.8086,0
1972-06-28,1.8262,1.8262,1.8262,1.8262,0
1972-06-29,1.8691,1.8691,1.8691,1.8691,0
1972-06-30,1.9254,1.9254,1.9254,1.9254,0
1972-07-03,1.9986,1.9986,1.9986,1.9986,0
1972-07-05,2.0721,2.0721,2.0721,2.0721,0
1972-07-06,2.0721,2.0721,2.0721,2.0721,0
1972-07-07,2.0376,2.0376,2.0376,2.0376,0
1972-07-10,2.0203,2.0203,2.0203,2.0203,0
1972-07-11,2.0245,2.0245,2.0245,2.0245,0
1972-07-12,2.0203,2.0203,2.0203,2.0203,0
1972-07-13,1.9381,1.9381,1.9381,1.9381,0
1972-07-14,1.9513,1.9513,1.9513,1.9513,0
1972-07-17,1.9340,1.9340,1.9340,1.9340,0
1972-07-18,1.9513,1.9513,1.9513,1.9513,0
1972-07-19,1.9513,1.9513,1.9513,1.9513,0
1972-07-20,1.8521,1.8521,1.8521,1.8521,0
1972-07-21,1.8908,1.8908,1.8908,1.8908,0
