date,open,high,low,close,volume
1986-05-29,2.9130,2.9396,2.9130,2.9332,15736000
1986-05-30,2.9199,2.9529,2.9199,2.9529,6500800
1986-06-02,2.9396,2.9465,2.9130,2.9263,314400
1986-06-03,2.9199,2.9529,2.9130,2.9465,154400
1986-06-04,2.9263,2.9529,2.9066,2.9066,192000
1986-06-05,2.8933,2.9263,2.8864,2.9263,84000
1986-06-06,2.9396,2.9465,2.9130,2.9263,367200
1986-06-09,2.9332,2.9396,2.8598,2.8667,497600
1986-06-10,2.8800,2.8800,2.8465,2.8667,141600
1986-06-11,2.8667,2.8667,2.8332,2.8534,318400
1986-06-12,2.8465,2.8465,2.7534,2.7869,348800
1986-06-13,2.8066,2.8800,2.8066,2.8667,602400
1986-06-16,2.8667,2.8800,2.8534,2.8731,590400
1986-06-17,2.8598,2.9066,2.8598,2.8933,294400
1986-06-18,2.9130,2.9130,2.8731,2.9130,104000
1986-06-19,2.8997,2.9066,2.8731,2.8997,386400
1986-06-20,2.8864,2.9130,2.8598,2.9130,540000
1986-06-23,2.8997,2.8997,2.8465,2.8465,146400
1986-06-24,2.8534,2.8534,2.8199,2.8332,244800
1986-06-25,2.8199,2.8933,2.8199,2.8864,669600
1986-06-26,2.8997,2.9066,2.8332,2.8731,142400
1986-06-27,2.8864,2.8864,2.8268,2.8731,508800
1986-06-30,2.8800,2.8864,2.8731,2.8731,91200
1986-07-01,2.8864,2.9130,2.8731,2.9130,566400
1986-07-02,2.8933,2.8933,2.8332,2.8465,1055200
1986-07-03,2.8401,2.8401,2.8135,2.8332,341600
1986-07-07,2.8401,2.8401,2.7401,2.7603,336000
1986-07-08,2.7534,2.7534,2.6603,2.7135,1145600
1986-07-09,2.7268,2.7268,2.6805,2.7135,460000
1986-07-10,2.7268,2.7470,2.6603,2.7401,258400
1986-07-11,2.7534,2.7603,2.7337,2.7603,210400
1986-07-14,2.7534,2.7534,2.6869,2.6938,216800
1986-07-15,2.7071,2.7071,2.5672,2.5874,804800
1986-07-16,2.5938,2.6204,2.5805,2.6204,378400
1986-07-17,2.6337,2.6539,2.6140,2.6140,158400
1986-07-18,2.6007,2.6071,2.5539,2.5938,346400
1986-07-21,2.5805,2.5805,2.5475,2.5608,312800
1986-07-22,2.5672,2.6071,2.5539,2.6007,693600
1986-07-23,2.5874,2.6140,2.5672,2.5741,508800
1986-07-24,2.5608,2.5608,2.4874,2.5140,1747200
1986-07-25,2.4874,2.5273,2.4874,2.5209,2258400
1986-07-28,2.5209,2.5273,2.4677,2.4943,748800
1986-07-29,2.4741,2.4874,2.4342,2.4874,981600
1986-07-30,2.5007,2.5672,2.4741,2.5672,264000
1986-07-31,2.5539,2.5539,2.5209,2.5342,1360000
1986-08-01,2.5273,2.5406,2.4874,2.5007,2578400
1986-08-04,2.5007,2.5741,2.4810,2.5608,543200
1986-08-05,2.5874,2.6071,2.5741,2.6071,521600
1986-08-06,2.6204,2.6337,2.6071,2.6273,1025600
1986-08-07,2.6140,2.6273,2.6007,2.6007,1778400
1986-08-08,2.6007,2.6273,2.6007,2.6140,1547200
1986-08-11,2.6071,2.6470,2.6071,2.6406,456800
1986-08-12,2.6470,2.6470,2.6273,2.6406,629600
1986-08-13,2.6337,2.6736,2.6337,2.6736,1331200
1986-08-14,2.6603,2.6938,2.6603,2.6736,1867200
1986-08-15,2.6736,2.7071,2.6736,2.6869,1726400
1986-08-18,2.6805,2.6869,2.6672,2.6736,168000
1986-08-19,2.6672,2.6869,2.6603,2.6869,189600
1986-08-20,2.6736,2.6869,2.6672,2.6736,172000
1986-08-21,2.6672,2.6869,2.6539,2.6539,460800
1986-08-22,2.6406,2.6805,2.6337,2.6736,360000
1986-08-25,2.6736,2.6736,2.6539,2.6539,92000
1986-08-26,2.6672,2.6938,2.6603,2.6938,399200
1986-08-27,2.6869,2.7135,2.6736,2.7002,12080000
1986-08-28,2.7071,2.7268,2.6869,2.7204,10240000
1986-08-29,2.7135,2.7268,2.6869,2.7135,200800
1986-09-02,2.7002,2.7071,2.6539,2.6672,584000
1986-09-03,2.6539,2.6805,2.6539,2.6805,544000
1986-09-04,2.6805,2.7135,2.6603,2.7135,726400
1986-09-05,2.6869,2.6938,2.6539,2.6672,524800
1986-09-08,2.6603,2.6672,2.6470,2.6603,800800
1986-09-09,2.6470,2.6539,2.6204,2.6273,412800
1986-09-10,2.6204,2.6204,2.5805,2.6071,1096000
1986-09-11,2.6007,2.6007,2.4475,2.4608,853600
1986-09-12,2.4608,2.4608,2.3145,2.3145,860000
1986-09-15,2.3411,2.3411,2.2346,2.3145,637600
1986-09-16,2.3145,2.3145,2.2416,2.3012,768800
1986-09-17,2.3145,2.3278,2.2815,2.3145,588800
1986-09-18,2.3278,2.3278,2.2479,2.2745,593600
1986-09-19,2.2879,2.3012,2.2612,2.3012,530400
1986-09-22,2.3145,2.3278,2.2948,2.3278,247200
1986-09-23,2.3411,2.3480,2.2879,2.3480,1021600
1986-09-24,2.3677,2.4741,2.3480,2.4741,673600
1986-09-25,2.4741,2.4874,2.3943,2.4475,786400
