date,open,high,low,close,volume
1981-10-27,0.9105,0.9105,0.8958,0.9011,7902800
1981-10-28,0.9039,0.9227,0.9017,0.9208,8542304
1981-10-29,0.9133,0.9133,0.8880,0.8939,12468600
1981-10-30,0.8767,0.8873,0.8626,0.8695,20808400
1981-11-03,0.8463,0.8595,0.8385,0.8595,17826800
1981-11-04,1.6907,1.6907,1.6488,1.6713,10684952
1981-11-05,1.6788,1.7008,1.6538,1.6763,15323400
1981-11-06,1.6964,1.6964,1.6488,1.6889,13890300
1981-11-10,1.7114,1.7170,1.6732,1.7026,8894700
1981-11-11,1.6964,1.7170,1.6964,1.7064,6523900
1981-11-12,1.6995,1.7189,1.6926,1.7189,6679800
1981-11-13,1.7114,1.7828,1.7114,1.7828,15894700
1981-11-17,1.7815,1.7866,1.7102,1.7521,7501200
1981-11-18,1.7521,1.7828,1.7033,1.7033,7301700
1981-11-19,1.7590,1.7640,1.6907,1.7346,11480400
1981-11-20,1.7396,1.7415,1.7008,1.7008,9582600
1981-11-24,1.7170,1.7521,1.7033,1.7239,10488500
1981-11-25,1.7183,1.7415,1.6958,1.7258,8751100
1981-11-26,1.7452,1.7640,1.7139,1.7502,8127500
1981-12-01,1.7797,1.8016,1.7797,1.7828,9606800
1981-12-02,1.7834,1.7859,1.7534,1.7671,7604700
1981-12-03,1.7678,1.8129,1.7678,1.7765,7564600
1981-12-04,1.7828,1.8172,1.7778,1.7984,6729600
1981-12-08,1.8417,1.8943,1.8417,1.8648,18231900
1981-12-31,2.0859,2.0978,2.0740,2.0978,105200
1982-01-04,2.1372,2.1604,2.1059,2.1447,489600
1982-01-05,2.0978,2.1291,2.0665,2.0665,539400
1982-01-06,2.0276,2.0508,1.9963,2.0195,473400
1982-01-07,2.0508,2.0896,2.0114,2.0896,405600
1982-01-08,2.1134,2.1447,2.0740,2.0821,791800
1982-01-11,2.0427,2.0978,1.9882,1.9963,286600
1982-01-12,2.0276,2.0508,1.9963,2.0508,306400
1982-01-13,2.0508,2.0821,2.0114,2.0114,440800
1982-01-14,2.0427,2.0896,1.9963,2.0589,656200
1982-01-15,2.0896,2.1134,2.0589,2.0896,369400
1982-01-18,2.0978,2.1372,2.0589,2.1372,216200
1982-01-19,2.1209,2.1523,2.0821,2.0821,424000
1982-01-20,2.0740,2.0978,2.0427,2.0896,746400
1982-01-21,2.0978,2.1209,2.0740,2.0896,273800
1982-01-22,2.0978,2.1134,2.0821,2.1059,343400
1982-01-25,2.0821,2.1059,2.0589,2.1059,625200
1982-01-26,2.1134,2.1372,2.0896,2.0978,1046400
1982-01-27,2.1291,2.1523,2.1059,2.1134,694000
1982-01-28,2.1685,2.2230,2.1134,2.1917,1918000
1982-01-29,2.2305,2.2618,2.1992,2.2543,1770000
1982-02-01,2.2074,2.2305,2.1836,2.1917,488400
1982-02-02,2.1685,2.1836,2.1523,2.1685,762200
1982-02-03,2.1291,2.1685,2.0821,2.0821,722600
1982-02-04,2.1134,2.1291,2.0978,2.1291,660600
1982-02-05,2.1836,2.2387,2.1291,2.2149,949400
1982-02-08,2.1760,2.2074,2.1447,2.1604,731400
1982-02-09,2.1209,2.1447,2.0896,2.0978,956000
