date,open,high,low,close,volume
1984-09-07,0.0215,0.0226,0.0215,0.0215,363690
1984-09-10,0.0215,0.0226,0.0215,0.0215,666023
1984-09-11,0.0215,0.0215,0.0215,0.0215,2592000
1984-09-12,0.0215,0.0226,0.0215,0.0215,707333
1984-09-13,0.0215,0.0226,0.0215,0.0215,707333
1984-09-14,0.0215,0.0226,0.0215,0.0215,99023
1984-09-17,0.0215,0.0226,0.0209,0.0209,1071023
1984-09-18,0.0209,0.0215,0.0209,0.0209,4554023
1984-09-19,0.0215,0.0215,0.0215,0.0215,2286023
1984-09-20,0.0215,0.0215,0.0215,0.0215,4554023
1984-09-21,0.0215,0.0215,0.0209,0.0209,768690
1984-09-24,0.0209,0.0215,0.0209,0.0209,363690
1984-09-25,0.0209,0.0215,0.0209,0.0209,1517333
1984-09-26,0.0209,0.0215,0.0209,0.0209,201690
1984-09-27,0.0209,0.0215,0.0209,0.0209,2894333
1984-09-28,0.0209,0.0226,0.0209,0.0209,1416690
1984-10-01,0.0209,0.0226,0.0209,0.0209,99023
1984-10-02,0.0215,0.0226,0.0215,0.0215,4818690
1984-10-03,0.0215,0.0226,0.0215,0.0215,261023
1984-10-04,0.0215,0.0226,0.0215,0.0215,162000
1984-10-05,0.0215,0.0226,0.0215,0.0215,707333
1984-10-08,0.0215,0.0226,0.0215,0.0215,1314023
1984-10-09,0.0215,0.0226,0.0215,0.0215,1071023
1984-10-10,0.0215,0.0226,0.0215,0.0215,99023
1984-10-11,0.0226,0.0226,0.0226,0.0226,1782000
1984-10-12,0.0226,0.0232,0.0226,0.0226,1377000
1984-10-15,0.0226,0.0239,0.0226,0.0226,567000
1984-10-16,0.0232,0.0242,0.0232,0.0232,1679333
1984-10-17,0.0232,0.0242,0.0232,0.0232,162000
1984-10-18,0.0232,0.0245,0.0232,0.0232,2894333
1984-10-19,0.0232,0.0245,0.0232,0.0232,666023
1984-10-22,0.0232,0.0242,0.0232,0.0232,302333
1984-10-23,0.0232,0.0245,0.0232,0.0232,567000
1984-10-24,0.0232,0.0245,0.0232,0.0232,2997000
1984-10-25,0.0242,0.0255,0.0242,0.0242,666023
1984-10-26,0.0242,0.0242,0.0239,0.0239,707333
1984-10-29,0.0239,0.0245,0.0239,0.0239,261023
1984-10-30,0.0239,0.0245,0.0239,0.0239,59333
1984-10-31,0.0239,0.0245,0.0239,0.0239,2934023
1984-11-01,0.0245,0.0255,0.0245,0.0245,1679333
1984-11-02,0.0245,0.0255,0.0242,0.0242,504023
1984-11-05,0.0242,0.0255,0.0242,0.0242,201690
1984-11-06,0.0242,0.0255,0.0242,0.0242,99023
1984-11-07,0.0242,0.0245,0.0239,0.0239,504023
1984-11-08,0.0239,0.0242,0.0239,0.0239,567000
1984-11-09,0.0239,0.0245,0.0239,0.0239,59333
1984-11-12,0.0242,0.0249,0.0242,0.0242,201690
1984-11-13,0.0242,0.0242,0.0242,0.0242,0
1984-11-14,0.0242,0.0249,0.0239,0.0239,2592000
1984-11-15,0.0239,0.0242,0.0232,0.0232,201690
1984-11-16,0.0232,0.0232,0.0232,0.0232,0
1984-11-19,0.0232,0.0239,0.0232,0.0232,302333
1984-11-20,0.0232,0.0242,0.0232,0.0232,2187000
1984-11-21,0.0239,0.0245,0.0239,0.0239,59333
1984-11-23,0.0239,0.0249,0.0239,0.0239,2691023
1984-11-26,0.0239,0.0249,0.0239,0.0239,504023
1984-11-27,0.0239,0.0249,0.0239,0.0239,1274333
1984-11-28,0.0239,0.0242,0.0239,0.0239,99023
1984-11-29,0.0239,0.0242,0.0232,0.0232,162000
1984-11-30,0.0232,0.0242,0.0232,0.0232,162000
1984-12-03,0.0232,0.0242,0.0232,0.0232,261023
1984-12-04,0.0232,0.0242,0.0232,0.0232,405000
1984-12-05,0.0232,0.0232,0.0226,0.0226,1011690
1984-12-06,0.0226,0.0226,0.0215,0.0215,1578690
1984-12-07,0.0215,0.0226,0.0209,0.0209,201690
1984-12-10,0.0209,0.0215,0.0209,0.0209,606690
1984-12-11,0.0226,0.0232,0.0226,0.0226,2226690
1984-12-12,0.0226,0.0232,0.0226,0.0226,99023
1984-12-13,0.0232,0.0239,0.0232,0.0232,2997000
1984-12-14,0.0232,0.0239,0.0232,0.0232,1719023
1984-12-17,0.0255,0.0259,0.0255,0.0255,1782000
1984-12-18,0.0259,0.0265,0.0259,0.0259,2025000
1984-12-19,0.0259,0.0265,0.0259,0.0259,666023
1984-12-20,0.0259,0.0265,0.0259,0.0259,59333
1984-12-21,0.0259,0.0265,0.0259,0.0259,162000
1984-12-24,0.0265,0.0269,0.0265,0.0265,1377000
1984-12-26,0.0265,0.0265,0.0259,0.0259,201690
1984-12-27,0.0259,0.0265,0.0259,0.0259,2226690
1984-12-28,0.0259,0.0265,0.0259,0.0259,1011690
1984-12-31,0.0259,0.0259,0.0259,0.0259,0
1985-01-02,0.0262,0.0265,0.0262,0.0262,59333
1985-01-03,0.0269,0.0275,0.0269,0.0269,3501023
1985-01-04,0.0275,0.0299,0.0275,0.0275,1173690
1985-01-07,0.0275,0.0285,0.0275,0.0275,810000
1985-01-08,0.0275,0.0275,0.0269,0.0269,302333
1985-01-09,0.0275,0.0285,0.0275,0.0275,1578690
1985-01-10,0.0275,0.0285,0.0275,0.0275,1011690
1985-01-11,0.0285,0.0292,0.0285,0.0285,4149023
1985-01-14,0.0299,0.0299,0.0292,0.0299,2187000
