date,open,high,low,close,volume
1984-09-07,0.1972,0.1972,0.1972,0.1972,143269
1984-09-10,0.1972,0.1998,0.1972,0.1985,146264
1984-09-11,0.2011,0.2011,0.2011,0.2011,236250
1984-09-12,0.2011,0.2024,0.2011,0.2011,1282500
1984-09-13,0.1998,0.1998,0.1985,0.1985,210769
1984-09-14,0.1985,0.2011,0.1985,0.1985,565481
1984-09-17,0.1985,0.1985,0.1972,0.1972,1248750
1984-09-18,0.1972,0.1972,0.1959,0.1972,362981
1984-09-19,0.1959,0.1959,0.1933,0.1946,340495
1984-09-20,0.1946,0.1998,0.1946,0.1972,1293764
1984-09-21,0.1946,0.1946,0.1920,0.1946,1029502
1984-09-24,0.1946,0.1959,0.1946,0.1946,78764
1984-09-25,0.1946,0.1972,0.1946,0.1972,143269
1984-09-26,0.1972,0.1985,0.1972,0.1972,109519
1984-09-27,0.1972,0.1972,0.1972,0.1972,28013
1984-09-28,0.1972,0.1972,0.1946,0.1972,1062998
1984-10-01,0.1972,0.2024,0.1972,0.2024,753764
1984-10-02,0.2011,0.2011,0.1985,0.1985,295481
1984-10-03,0.1972,0.1972,0.1972,0.1972,78764
1984-10-04,0.1972,0.1972,0.1946,0.1946,320498
1984-10-05,0.1946,0.1946,0.1933,0.1933,340495
1984-10-08,0.1933,0.1946,0.1933,0.1946,244519
1984-10-09,0.1946,0.1946,0.1946,0.1946,53241
1984-10-10,0.1933,0.1933,0.1933,0.1933,45014
1984-10-11,0.1946,0.2011,0.1946,0.2011,2036264
1984-10-12,0.1998,0.1998,0.1998,0.1998,104245
1984-10-15,0.1972,0.1972,0.1972,0.1972,197016
1984-10-16,0.1972,0.1972,0.1959,0.1972,188241
1984-10-17,0.1972,0.1972,0.1959,0.1959,295481
1984-10-18,0.1959,0.1972,0.1933,0.1972,374245
1984-10-19,0.1972,0.1972,0.1972,0.1972,137995
1984-10-22,0.1972,0.1998,0.1972,0.1972,109519
1984-10-23,0.1985,0.2011,0.1985,0.1985,1580513
1984-10-24,0.1985,0.2011,0.1972,0.1998,154491
1984-10-25,0.1985,0.1985,0.1972,0.1985,1859245
1984-10-26,0.1985,0.1985,0.1985,0.1985,0
1984-10-29,0.1972,0.1972,0.1972,0.1972,17002
1984-10-30,0.1972,0.2076,0.1972,0.2037,5081991
1984-10-31,0.2037,0.2037,0.2024,0.2024,1690495
1984-11-01,0.2024,0.2024,0.2011,0.2011,252998
1984-11-02,0.2011,0.2011,0.1998,0.2011,53241
1984-11-05,0.2011,0.2011,0.1985,0.2011,197016
1984-11-06,0.2011,0.2037,0.2011,0.2024,1260014
1984-11-07,0.2024,0.2037,0.1985,0.2024,514519
1984-11-08,0.2024,0.2050,0.2011,0.2050,2553736
1984-11-09,0.2050,0.2050,0.2050,0.2050,84502
1984-11-12,0.2050,0.2050,0.2011,0.2011,221991
1984-11-13,0.2011,0.2011,0.1972,0.1972,551264
1984-11-14,0.1972,0.2011,0.1972,0.2011,171745
1984-11-15,0.2011,0.2024,0.1998,0.2011,2748009
1984-11-16,0.2024,0.2037,0.2024,0.2037,312019
1984-11-19,0.2050,0.2089,0.2050,0.2050,3105000
1984-11-20,0.2076,0.2115,0.2076,0.2102,4207486
1984-11-21,0.2102,0.2115,0.2089,0.2115,573750
1984-11-23,0.2102,0.2102,0.2102,0.2102,278269
1984-11-26,0.2102,0.2102,0.2050,0.2076,171745
1984-11-27,0.2076,0.2076,0.2050,0.2050,5031745
1984-11-28,0.2050,0.2076,0.2050,0.2050,1172981
1984-11-29,0.2050,0.2050,0.2050,0.2050,956264
1984-11-30,0.2050,0.2063,0.2037,0.2050,252998
1984-12-03,0.2050,0.2063,0.2050,0.2063,78764
1984-12-04,0.2076,0.2115,0.2076,0.2115,239245
1984-12-05,0.2089,0.2089,0.2063,0.2076,657998
1984-12-06,0.2076,0.2154,0.2076,0.2154,1392019
1984-12-07,0.2140,0.2140,0.2102,0.2102,289491
1984-12-10,0.2102,0.2102,0.2076,0.2089,568013
1984-12-11,0.2089,0.2089,0.2063,0.2063,135000
1984-12-12,0.2050,0.2050,0.2011,0.2050,221991
1984-12-13,0.2050,0.2076,0.2050,0.2076,323241
1984-12-14,0.2076,0.2102,0.2050,0.2102,1290769
1984-12-17,0.2089,0.2089,0.2050,0.2089,669516
1984-12-18,0.2089,0.2166,0.2089,0.2166,374245
1984-12-19,0.2166,0.2166,0.2128,0.2128,244519
1984-12-20,0.2128,0.2140,0.2128,0.2128,272995
1984-12-21,0.2128,0.2140,0.2024,0.2024,458241
1984-12-24,0.2037,0.2076,0.2037,0.2076,264516
1984-12-26,0.2076,0.2089,0.2076,0.2076,660741
1984-12-27,0.2076,0.2076,0.2037,0.2037,247514
1984-12-28,0.2050,0.2050,0.2050,0.2050,42019
1984-12-31,0.2102,0.2154,0.2102,0.2140,438750
1985-01-02,0.2140,0.2140,0.2115,0.2140,405000
1985-01-03,0.2140,0.2166,0.2140,0.2166,1352995
1985-01-04,0.2166,0.2166,0.2166,0.2166,287002
1985-01-07,0.2166,0.2180,0.2166,0.2166,303750
1985-01-08,0.2166,0.2206,0.2154,0.2206,745495
1985-01-09,0.2206,0.2206,0.2192,0.2206,602016
1985-01-10,0.2206,0.2258,0.2180,0.2258,1358269
1985-01-11,0.2258,0.2258,0.2206,0.2206,450014
1985-01-14,0.2206,0.2258,0.2180,0.2258,4455000
1985-01-15,0.2258,0.2296,0.2258,0.2284,896991
1985-01-16,0.2270,0.2270,0.2232,0.2244,332016
1985-01-17,0.2244,0.2296,0.2244,0.2296,3240000
1985-01-18,0.2296,0.2322,0.2218,0.2310,8184502
1985-01-21,0.2296,0.2296,0.2258,0.2284,252998
1985-01-22,0.2284,0.2284,0.2258,0.2258,770513
1985-01-23,0.2258,0.2310,0.2258,0.2296,2449491
1985-01-24,0.2284,0.2284,0.2258,0.2258,239245
1985-01-25,0.2244,0.2244,0.2232,0.2244,430481
1985-01-28,0.2244,0.2258,0.2244,0.2244,677995
1985-01-29,0.2244,0.2244,0.2218,0.2244,163013
1985-01-30,0.2244,0.2244,0.2232,0.2232,146264
1985-01-31,0.2244,0.2258,0.2244,0.2244,2208009
1985-02-01,0.2244,0.2284,0.2244,0.2284,345769
1985-02-04,0.2284,0.2284,0.2258,0.2270,205495
1985-02-05,0.2270,0.2270,0.2232,0.2232,779245
1985-02-06,0.2232,0.2244,0.2192,0.2244,405000
1985-02-07,0.2258,0.2284,0.2258,0.2284,1656745
1985-02-08,0.2284,0.2336,0.2232,0.2232,1988255
1985-02-11,0.2192,0.2192,0.2166,0.2166,576745
1985-02-12,0.2180,0.2192,0.2180,0.2192,202500
1985-02-13,0.2192,0.2244,0.2180,0.2244,379519
1985-02-14,0.2244,0.2244,0.2244,0.2244,75769
1985-02-15,0.2244,0.2258,0.2244,0.2244,86991
1985-02-19,0.2258,0.2284,0.2258,0.2270,168750
1985-02-20,0.2258,0.2258,0.2244,0.2244,143269
1985-02-21,0.2244,0.2296,0.2244,0.2244,852019
1985-02-22,0.2244,0.2258,0.2232,0.2232,67500
1985-02-25,0.2232,0.2232,0.2206,0.2218,92981
1985-02-26,0.2218,0.2258,0.2206,0.2258,289491
1985-02-27,0.2284,0.2284,0.2284,0.2284,939516
1985-02-28,0.2284,0.2322,0.2284,0.2322,1150495
1985-03-01,0.2322,0.2348,0.2310,0.2348,542995
1985-03-04,0.2336,0.2336,0.2296,0.2296,205495
1985-03-05,0.2296,0.2336,0.2284,0.2336,261731
1985-03-06,0.2310,0.2310,0.2296,0.2296,3029231
1985-03-07,0.2322,0.2322,0.2322,0.2322,489502
1985-03-08,0.2322,0.2336,0.2322,0.2322,50498
1985-03-11,0.2322,0.2322,0.2322,0.2322,205495
1985-03-12,0.2322,0.2336,0.2322,0.2322,1020769
1985-03-13,0.2322,0.2336,0.2310,0.2336,1571991
1985-03-14,0.2336,0.2336,0.2322,0.2336,379519
1985-03-15,0.2336,0.2336,0.2140,0.2140,990014
1985-03-18,0.2180,0.2296,0.2180,0.2270,7402514
1985-03-19,0.2284,0.2322,0.2284,0.2296,1560769
1985-03-20,0.2284,0.2284,0.2284,0.2284,59231
1985-03-21,0.2284,0.2322,0.2270,0.2310,666731
1985-03-22,0.2310,0.2322,0.2296,0.2322,464231
1985-03-25,0.2296,0.2296,0.2296,0.2296,78764
1985-03-26,0.2296,0.2322,0.2296,0.2296,1847981
1985-03-27,0.2310,0.2310,0.2310,0.2310,7473009
1985-03-28,0.2310,0.2362,0.2296,0.2362,877500
1985-03-29,0.2362,0.2388,0.2362,0.2362,1197998
1985-04-01,0.2348,0.2348,0.2310,0.2322,1071731
1985-04-02,0.2310,0.2310,0.2258,0.2258,2685741
1985-04-03,0.2258,0.2284,0.2244,0.2284,860498
1985-04-04,0.2284,0.2322,0.2284,0.2322,95513
1985-04-08,0.2322,0.2322,0.2310,0.2322,5242514
1985-04-09,0.2322,0.2336,0.2296,0.2322,219502
1985-04-10,0.2322,0.2322,0.2310,0.2322,1459519
1985-04-11,0.2322,0.2362,0.2322,0.2348,491991
1985-04-12,0.2348,0.2348,0.2336,0.2348,210769
1985-04-15,0.2348,0.2348,0.2348,0.2348,177019
1985-04-16,0.2336,0.2336,0.2322,0.2322,117998
1985-04-17,0.2322,0.2362,0.2322,0.2362,405000
1985-04-18,0.2362,0.2374,0.2362,0.2362,221991
1985-04-19,0.2362,0.2362,0.2348,0.2362,135000
1985-04-22,0.2362,0.2362,0.2362,0.2362,354502
1985-04-23,0.2362,0.2362,0.2348,0.2362,540000
1985-04-24,0.2362,0.2362,0.2348,0.2362,104245
1985-04-25,0.2362,0.2388,0.2348,0.2362,3321759
1985-04-26,0.2348,0.2348,0.2336,0.2336,416264
1985-04-29,0.2336,0.2336,0.2322,0.2336,84502
1985-04-30,0.2336,0.2362,0.2322,0.2362,1206731
1985-05-01,0.2362,0.2362,0.2336,0.2336,379519
1985-05-02,0.2336,0.2348,0.2336,0.2348,92981
1985-05-03,0.2348,0.2362,0.2348,0.2348,497981
1985-05-06,0.2348,0.2400,0.2336,0.2362,792998
1985-05-07,0.2362,0.2362,0.2336,0.2336,92981
1985-05-08,0.2336,0.2362,0.2322,0.2322,424491
1985-05-09,0.2322,0.2322,0.2310,0.2322,53241
1985-05-10,0.2322,0.2322,0.2310,0.2322,104245
1985-05-13,0.2322,0.2348,0.2322,0.2348,75769
1985-05-14,0.2348,0.2362,0.2336,0.2348,315014
1985-05-15,0.2362,0.2374,0.2362,0.2374,1350000
1985-05-16,0.2374,0.2374,0.2362,0.2362,1504491
1985-05-17,0.2348,0.2348,0.2348,0.2348,36745
1985-05-20,0.2362,0.2388,0.2362,0.2374,197016
1985-05-21,0.2362,0.2362,0.2336,0.2362,525741
1985-05-22,0.2336,0.2336,0.2284,0.2284,422002
1985-05-23,0.2284,0.2362,0.2284,0.2362,230513
1985-05-24,0.2362,0.2388,0.2348,0.2374,430481
1985-05-28,0.2362,0.2362,0.2348,0.2362,315014
1985-05-29,0.2362,0.2362,0.2336,0.2362,104245
1985-05-30,0.2362,0.2362,0.2348,0.2348,230513
1985-05-31,0.2348,0.2362,0.2322,0.2322,514519
1985-06-03,0.2336,0.2400,0.2336,0.2388,1383750
1985-06-04,0.2388,0.2388,0.2362,0.2388,289491
1985-06-05,0.2388,0.2400,0.2388,0.2400,812995
1985-06-06,0.2400,0.2414,0.2400,0.2414,852019
1985-06-07,0.2414,0.2439,0.2400,0.2400,1425769
1985-06-10,0.2400,0.2400,0.2400,0.2400,62016
1985-06-11,0.2400,0.2439,0.2400,0.2439,168750
1985-06-12,0.2439,0.2504,0.2426,0.2439,863241
1985-06-13,0.2439,0.2452,0.2400,0.2414,312019
1985-06-14,0.2439,0.2478,0.2439,0.2478,247514
1985-06-17,0.2478,0.2478,0.2439,0.2478,104245
1985-06-18,0.2478,0.2491,0.2465,0.2478,641250
1985-06-19,0.2491,0.2504,0.2491,0.2504,210769
1985-06-20,0.2504,0.2517,0.2491,0.2517,396731
1985-06-21,0.2517,0.2595,0.2517,0.2595,1175513
1985-06-24,0.2595,0.2595,0.2582,0.2595,1698764
1985-06-25,0.2582,0.2582,0.2569,0.2582,261731
1985-06-26,0.2569,0.2569,0.2543,0.2543,168750
1985-06-27,0.2543,0.2556,0.2530,0.2543,927998
1985-06-28,0.2543,0.2556,0.2465,0.2491,2601745
1985-07-01,0.2517,0.2556,0.2517,0.2556,1277016
1985-07-02,0.2569,0.2595,0.2569,0.2595,272995
1985-07-03,0.2595,0.2647,0.2569,0.2647,1310513
1985-07-05,0.2647,0.2699,0.2647,0.2685,1192514
1985-07-08,0.2685,0.2699,0.2673,0.2673,1555495
1985-07-09,0.2673,0.2673,0.2673,0.2673,1031991
1985-07-10,0.2673,0.2673,0.2660,0.2673,171745
1985-07-11,0.2673,0.2711,0.2673,0.2673,728241
1985-07-12,0.2673,0.2699,0.2660,0.2699,261731
1985-07-15,0.2673,0.2673,0.2647,0.2673,686264
1985-07-16,0.2699,0.2725,0.2699,0.2725,315014
1985-07-17,0.2725,0.2763,0.2725,0.2763,686264
