date,open,high,low,close,volume
1984-09-07,0.6499,0.6544,0.6499,0.6499,182400
1984-09-10,0.6499,0.6499,0.6454,0.6499,86400
1984-09-11,0.6499,0.6544,0.6499,0.6499,128000
1984-09-12,0.6499,0.6544,0.6454,0.6499,134400
1984-09-13,0.6499,0.6522,0.6454,0.6522,57600
1984-09-14,0.6544,0.6658,0.6544,0.6612,246400
1984-09-17,0.6634,0.6860,0.6634,0.6793,284800
1984-09-18,0.6815,0.6995,0.6815,0.6838,310400
1984-09-19,0.6793,0.6793,0.6634,0.6634,208000
1984-09-20,0.6612,0.6612,0.6454,0.6567,217600
1984-09-21,0.6612,0.6950,0.6612,0.6883,483200
1984-09-24,0.6860,0.6860,0.6793,0.6815,124800
1984-09-25,0.6815,0.6883,0.6815,0.6815,214400
1984-09-26,0.6815,0.6883,0.6815,0.6883,179200
1984-09-27,0.6883,0.6883,0.6838,0.6838,326400
1984-09-28,0.6838,0.6883,0.6793,0.6793,166400
1984-10-01,0.6793,0.6793,0.6703,0.6703,108800
1984-10-02,0.6703,0.6703,0.6658,0.6658,131200
1984-10-03,0.6658,0.6703,0.6522,0.6522,256000
1984-10-04,0.6589,0.6815,0.6589,0.6793,1158400
1984-10-05,0.6793,0.6838,0.6769,0.6815,121600
1984-10-08,0.6815,0.6860,0.6769,0.6860,67200
1984-10-09,0.6860,0.6860,0.6815,0.6838,92800
1984-10-10,0.6838,0.6860,0.6815,0.6860,608000
1984-10-11,0.6860,0.6950,0.6815,0.6950,624000
1984-10-12,0.6928,0.6928,0.6883,0.6928,128000
1984-10-15,0.6928,0.6950,0.6905,0.6905,137600
1984-10-16,0.6905,0.6950,0.6905,0.6950,425600
1984-10-17,0.6950,0.6950,0.6905,0.6928,249600
1984-10-18,0.6928,0.7040,0.6928,0.7040,601600
1984-10-19,0.7085,0.7176,0.7085,0.7085,496000
1984-10-22,0.7085,0.7085,0.7040,0.7040,688000
1984-10-23,0.7040,0.7130,0.7040,0.7109,54400
1984-10-24,0.7130,0.7401,0.7130,0.7356,1075200
1984-10-25,0.7311,0.7311,0.7221,0.7266,192000
1984-10-26,0.7266,0.7266,0.7221,0.7244,265600
1984-10-29,0.7244,0.7289,0.7244,0.7244,307200
1984-10-30,0.7244,0.7401,0.7244,0.7401,406400
1984-10-31,0.7492,0.7672,0.7492,0.7537,502400
1984-11-01,0.7582,0.7717,0.7582,0.7717,326400
1984-11-02,0.7672,0.7672,0.7515,0.7515,134400
1984-11-05,0.7515,0.7627,0.7470,0.7627,505600
1984-11-06,0.7627,0.7786,0.7605,0.7786,112000
1984-11-07,0.7786,0.7831,0.7650,0.7786,352000
1984-11-08,0.7786,0.7831,0.7717,0.7831,256000
1984-11-09,0.7831,0.7831,0.7717,0.7741,342400
1984-11-12,0.7741,0.7807,0.7717,0.7717,147200
1984-11-13,0.7717,0.7762,0.7717,0.7762,73600
1984-11-14,0.7762,0.7831,0.7762,0.7831,448000
1984-11-15,0.7853,0.7988,0.7853,0.7966,502400
1984-11-16,0.7988,0.8102,0.7988,0.8033,1481600
1984-11-19,0.8033,0.8078,0.7807,0.7853,540800
1984-11-20,0.7853,0.7943,0.7807,0.7853,755200
1984-11-21,0.7853,0.7876,0.7717,0.7807,496000
1984-11-23,0.7807,0.7853,0.7807,0.7853,262400
1984-11-26,0.7831,0.7831,0.7696,0.7741,192000
1984-11-27,0.7741,0.7741,0.7627,0.7627,416000
1984-11-28,0.7627,0.7696,0.7537,0.7605,1392000
1984-11-29,0.7605,0.7650,0.7582,0.7650,176000
1984-11-30,0.7717,0.7898,0.7717,0.7898,368000
1984-12-03,0.7898,0.7921,0.7831,0.7831,220800
1984-12-04,0.7831,0.7988,0.7831,0.7988,291200
1984-12-05,0.7988,0.8123,0.7943,0.7943,838400
1984-12-06,0.7943,0.8123,0.7762,0.8011,1552000
1984-12-07,0.8011,0.8033,0.7943,0.7943,188800
1984-12-10,0.7943,0.7943,0.7876,0.7876,297600
1984-12-11,0.7921,0.7988,0.7921,0.7988,70400
1984-12-12,0.7988,0.7988,0.7898,0.7898,182400
1984-12-13,0.7898,0.7988,0.7876,0.7921,179200
1984-12-14,0.7921,0.8033,0.7898,0.7966,358400
1984-12-17,0.7966,0.8102,0.7943,0.8102,188800
1984-12-18,0.8102,0.8123,0.8033,0.8033,908800
1984-12-19,0.8033,0.8102,0.7898,0.7898,201600
1984-12-20,0.7898,0.7943,0.7853,0.7876,492800
1984-12-21,0.7876,0.7898,0.7696,0.7696,169600
1984-12-24,0.7696,0.7741,0.7696,0.7741,76800
1984-12-26,0.7786,0.7853,0.7786,0.7853,121600
1984-12-27,0.7831,0.7831,0.7762,0.7762,51200
1984-12-28,0.7762,0.8011,0.7762,0.8011,681600
1984-12-31,0.8078,0.8214,0.8078,0.8123,630400
1985-01-02,0.8123,0.8147,0.7921,0.7921,348800
1985-01-03,0.7921,0.7966,0.7876,0.7876,70400
1985-01-04,0.7876,0.7988,0.7853,0.7943,518400
1985-01-07,0.7943,0.7988,0.7853,0.7988,582400
1985-01-08,0.7988,0.8011,0.7966,0.7966,118400
1985-01-09,0.8011,0.8033,0.8011,0.8011,54400
1985-01-10,0.8033,0.8078,0.8033,0.8057,422400
1985-01-11,0.8057,0.8123,0.8033,0.8057,179200
1985-01-14,0.8057,0.8259,0.8033,0.8259,345600
1985-01-15,0.8304,0.8710,0.8304,0.8575,1488000
1985-01-16,0.8598,0.8800,0.8598,0.8643,630400
1985-01-17,0.8643,0.8733,0.8598,0.8710,422400
1985-01-18,0.8755,0.8914,0.8755,0.8914,1827200
1985-01-21,0.8914,0.8914,0.8845,0.8869,588800
1985-01-22,0.8869,0.9026,0.8869,0.8869,640000
1985-01-23,0.8869,0.8891,0.8800,0.8891,889600
1985-01-24,0.8891,0.8914,0.8824,0.8845,332800
1985-01-25,0.8845,0.8891,0.8800,0.8845,240000
1985-01-28,0.8824,0.8824,0.8755,0.8824,336000
1985-01-29,0.8824,0.8824,0.8755,0.8824,297600
1985-01-30,0.8824,0.8981,0.8779,0.8800,432000
1985-01-31,0.8800,0.8936,0.8755,0.8891,204800
1985-02-01,0.8845,0.8845,0.8779,0.8845,252800
1985-02-04,0.8845,0.8959,0.8824,0.8936,656000
1985-02-05,0.8936,0.9004,0.8869,0.8869,556800
1985-02-06,0.8869,0.8914,0.8845,0.8914,329600
1985-02-07,0.8914,0.8936,0.8800,0.8800,492800
1985-02-08,0.8800,0.8845,0.8688,0.8688,227200
1985-02-11,0.8643,0.8643,0.8484,0.8575,774400
1985-02-12,0.8598,0.8688,0.8598,0.8665,515200
1985-02-13,0.8665,0.8665,0.8598,0.8665,550400
1985-02-14,0.8665,0.8665,0.8598,0.8620,374400
1985-02-15,0.8620,0.8620,0.8484,0.8484,352000
1985-02-19,0.8530,0.8620,0.8530,0.8620,195200
1985-02-20,0.8598,0.8598,0.8553,0.8598,233600
1985-02-21,0.8598,0.8800,0.8553,0.8800,1321600
1985-02-22,0.8800,0.8891,0.8779,0.8779,700800
1985-02-25,0.8779,0.8800,0.8665,0.8665,761600
1985-02-26,0.8643,0.8643,0.8575,0.8575,499200
1985-02-27,0.8575,0.8643,0.8575,0.8575,460800
1985-02-28,0.8575,0.8620,0.8575,0.8598,102400
1985-03-01,0.8598,0.8643,0.8575,0.8598,227200
1985-03-04,0.8598,0.8620,0.8553,0.8598,233600
1985-03-05,0.8598,0.8598,0.8553,0.8598,1494400
1985-03-06,0.8598,0.8643,0.8598,0.8598,86400
1985-03-07,0.8598,0.8643,0.8598,0.8643,323200
1985-03-08,0.8643,0.8665,0.8575,0.8575,243200
1985-03-11,0.8575,0.8620,0.8575,0.8620,137600
1985-03-12,0.8665,0.8710,0.8665,0.8688,355200
1985-03-13,0.8688,0.8733,0.8598,0.8665,355200
1985-03-14,0.8643,0.8643,0.8553,0.8553,118400
1985-03-15,0.8553,0.8643,0.8508,0.8643,208000
1985-03-18,0.8643,0.8665,0.8598,0.8643,812800
1985-03-19,0.8643,0.8643,0.8575,0.8598,592000
1985-03-20,0.8598,0.8598,0.8530,0.8530,115200
1985-03-21,0.8530,0.8575,0.8484,0.8575,505600
1985-03-22,0.8575,0.8575,0.8484,0.8530,294400
1985-03-25,0.8530,0.8575,0.8484,0.8484,182400
1985-03-26,0.8484,0.8484,0.8349,0.8439,297600
1985-03-27,0.8439,0.8484,0.8418,0.8418,140800
1985-03-28,0.8418,0.8463,0.8394,0.8394,41600
1985-03-29,0.8463,0.8530,0.8463,0.8508,928000
1985-04-01,0.8508,0.8553,0.8484,0.8484,348800
1985-04-02,0.8484,0.8530,0.8484,0.8484,1494400
1985-04-03,0.8508,0.8598,0.8508,0.8598,140800
1985-04-04,0.8598,0.8620,0.8484,0.8530,512000
1985-04-08,0.8530,0.8575,0.8484,0.8530,332800
1985-04-09,0.8530,0.8530,0.8463,0.8463,518400
1985-04-10,0.8463,0.8530,0.8463,0.8484,502400
1985-04-11,0.8484,0.8508,0.8439,0.8439,803200
1985-04-12,0.8439,0.8439,0.8394,0.8439,121600
1985-04-15,0.8439,0.8439,0.8304,0.8349,147200
1985-04-16,0.8349,0.8530,0.8349,0.8508,854400
1985-04-17,0.8508,0.8598,0.8484,0.8598,192000
1985-04-18,0.8598,0.8665,0.8553,0.8665,156800
1985-04-19,0.8665,0.8800,0.8665,0.8800,323200
1985-04-22,0.8824,0.8959,0.8824,0.8914,265600
1985-04-23,0.8914,0.9071,0.8914,0.9026,284800
1985-04-24,0.9049,0.9206,0.9049,0.9206,188800
1985-04-25,0.9206,0.9432,0.9206,0.9432,256000
1985-04-26,0.9432,0.9432,0.9342,0.9365,153600
1985-04-29,0.9365,0.9456,0.9320,0.9342,300800
1985-04-30,0.9342,0.9365,0.9185,0.9230,249600
1985-05-01,0.9230,0.9297,0.9206,0.9206,211200
