date,open,high,low,close,volume
1972-06-01,0.6056,0.6060,0.5999,0.6023,3146912
1972-06-02,0.6023,0.6107,0.6023,0.6083,1136416
1972-06-05,0.6083,0.6119,0.6071,0.6095,480704
1972-06-06,0.6095,0.6132,0.6060,0.6060,1338112
1972-06-07,0.6060,0.6083,0.6023,0.6047,894304
1972-06-08,0.6047,0.6083,0.6012,0.6083,369792
1972-06-09,0.6047,0.6047,0.6012,0.6012,527808
1972-06-12,0.6012,0.6071,0.5987,0.6023,376512
1972-06-13,0.6023,0.6071,0.5987,0.6035,231904
1972-06-14,0.6023,0.6023,0.5903,0.5951,352992
1972-06-15,0.5951,0.6012,0.5951,0.5999,443808
1972-06-16,0.5999,0.6012,0.5951,0.5951,363104
1972-06-19,0.5951,0.5975,0.5915,0.5964,504288
1972-06-20,0.5964,0.6012,0.5964,0.5999,316000
1972-06-21,0.5999,0.6035,0.5975,0.6012,595008
1972-06-22,0.5987,0.5987,0.5927,0.5951,484096
1972-06-23,0.5951,0.5987,0.5879,0.5879,541312
1972-06-26,0.5879,0.5927,0.5844,0.5927,238688
1972-06-27,0.5927,0.5939,0.5892,0.5915,292512
1972-06-28,0.5915,0.5951,0.5915,0.5927,3573888
1972-06-29,0.5927,0.5964,0.5915,0.5964,369792
1972-06-30,0.5964,0.6035,0.5964,0.5999,648800
1972-07-03,0.5999,0.6012,0.5964,0.5975,302496
1972-07-05,0.5975,0.6012,0.5964,0.5999,2840992
1972-07-06,0.5999,0.6083,0.5987,0.5999,2067712
1972-07-07,0.5999,0.6012,0.5975,0.5999,527808
1972-07-10,0.5999,0.6060,0.5999,0.5999,282400
1972-07-11,0.5999,0.6012,0.5964,0.5964,699296
1972-07-12,0.5964,0.5999,0.5964,0.5964,480704
1972-07-13,0.5964,0.5999,0.5951,0.5987,242016
1972-07-14,0.5987,0.6012,0.5951,0.5999,228608
1972-07-17,0.5975,0.5975,0.5939,0.5939,706016
1972-07-18,0.5939,0.5975,0.5867,0.5939,1045600
1972-07-19,0.5939,0.6047,0.5867,0.5964,2111392
1972-07-20,0.6012,0.6071,0.6012,0.6023,847200
1972-07-21,0.6023,0.6071,0.6012,0.6071,1435616
1972-07-24,0.6071,0.6119,0.6047,0.6071,1603712
1972-07-25,0.6071,0.6203,0.6060,0.6143,2272800
1972-07-26,0.6143,0.6167,0.6119,0.6119,1667616
1972-07-27,0.6132,0.6191,0.6132,0.6167,1879392
1972-07-28,0.6167,0.6203,0.6155,0.6180,830400
1972-07-31,0.6180,0.6215,0.6155,0.6180,433696
1972-08-01,0.6191,0.6239,0.6191,0.6239,1852512
1972-08-02,0.6300,0.6527,0.6300,0.6479,4263104
1972-08-03,0.6479,0.6695,0.6455,0.6611,3698304
1972-08-04,0.6611,0.6684,0.6599,0.6671,1344800
1972-08-07,0.6671,0.6695,0.6611,0.6623,860704
1972-08-08,0.6623,0.6647,0.6575,0.6636,1045600
1972-08-09,0.6636,0.6743,0.6636,0.6719,2938496
1972-08-10,0.6719,0.7031,0.6719,0.6947,2736704
1972-08-11,0.6947,0.6947,0.6827,0.6911,864000
1972-08-14,0.6887,0.6887,0.6719,0.6743,793408
1972-08-15,0.6731,0.6731,0.6623,0.6707,1744896
1972-08-16,0.6684,0.6684,0.6588,0.6636,769888
1972-08-17,0.6623,0.6623,0.6539,0.6575,658912
1972-08-18,0.6575,0.6623,0.6527,0.6588,632000
1972-08-21,0.6588,0.6611,0.6551,0.6551,201696
1972-08-22,0.6551,0.6707,0.6527,0.6659,527808
1972-08-23,0.6659,0.6707,0.6527,0.6527,413504
1972-08-24,0.6503,0.6503,0.6383,0.6455,743008
1972-08-25,0.6443,0.6443,0.6383,0.6443,342912
1972-08-28,0.6420,0.6420,0.6359,0.6420,689216
1972-08-29,0.6420,0.6455,0.6383,0.6455,544608
1972-08-30,0.6443,0.6443,0.6407,0.6420,252096
1972-08-31,0.6420,0.6588,0.6420,0.6588,268896
1972-09-01,0.6588,0.6623,0.6575,0.6575,352992
1972-09-05,0.6575,0.6611,0.6527,0.6527,188192
1972-09-06,0.6527,0.6527,0.6443,0.6455,625312
1972-09-07,0.6455,0.6503,0.6431,0.6455,258816
1972-09-08,0.6455,0.6455,0.6431,0.6455,480704
1972-09-11,0.6455,0.6468,0.6407,0.6407,215104
1972-09-12,0.6407,0.6443,0.6335,0.6359,941312
1972-09-13,0.6335,0.6335,0.6287,0.6311,958208
1972-09-14,0.6335,0.6371,0.6335,0.6371,497504
1972-09-15,0.6371,0.6371,0.6287,0.6348,457216
1972-09-18,0.6348,0.6371,0.6323,0.6371,215104
1972-09-19,0.6371,0.6407,0.6287,0.6383,1677696
1972-09-20,0.6383,0.6407,0.6359,0.6383,248704
1972-09-21,0.6371,0.6371,0.6335,0.6335,211808
1972-09-22,0.6335,0.6371,0.6300,0.6335,285696
1972-09-25,0.6335,0.6371,0.6203,0.6203,316000
1972-09-26,0.6203,0.6251,0.6167,0.6167,282400
1972-09-27,0.6167,0.6335,0.6167,0.6311,1385088
1972-09-28,0.6311,0.6323,0.6263,0.6275,137792
1972-09-29,0.6275,0.6287,0.6191,0.6228,524416
1972-10-02,0.6203,0.6203,0.6143,0.6143,524416
1972-10-03,0.6143,0.6143,0.5975,0.6083,1301088
1972-10-04,0.6083,0.6167,0.6035,0.6083,584992
1972-10-05,0.6060,0.6060,0.5951,0.5975,793408
1972-10-06,0.5975,0.6107,0.5892,0.6047,1677696
1972-10-09,0.6060,0.6143,0.6060,0.6143,127712
1972-10-10,0.6132,0.6132,0.6071,0.6119,285696
1972-10-11,0.6119,0.6203,0.6095,0.6107,568192
1972-10-12,0.6107,0.6119,0.6060,0.6071,605088
1972-10-13,0.6071,0.6180,0.6060,0.6132,225216
1972-10-16,0.6095,0.6095,0.6060,0.6083,504288
1972-10-17,0.6083,0.6359,0.6047,0.6359,1711296
1972-10-18,0.6359,0.6420,0.6348,0.6396,1243904
1972-10-19,0.6396,0.6431,0.6287,0.6311,699296
1972-10-20,0.6311,0.6348,0.6239,0.6263,833792
1972-10-23,0.6348,0.6420,0.6348,0.6407,790112
1972-10-24,0.6407,0.6479,0.6300,0.6479,780000
1972-10-25,0.6479,0.6575,0.6479,0.6551,500896
1972-10-26,0.6599,0.6707,0.6599,0.6611,1082592
1972-10-27,0.6611,0.6671,0.6539,0.6575,719392
1972-10-30,0.6575,0.6611,0.6539,0.6599,255488
