date,open,high,low,close,volume
1992-03-03,0.3971,0.4113,0.3971,0.4042,638400
1992-03-04,0.4042,0.4325,0.4042,0.4325,182400
1992-03-05,0.4325,0.4325,0.4325,0.4325,0
1992-03-06,0.4218,0.4396,0.4184,0.4184,107208
1992-03-09,0.4396,0.4396,0.4184,0.4184,64008
1992-03-10,0.4396,0.4396,0.4184,0.4184,9600
1992-03-11,0.4396,0.4396,0.4184,0.4184,35208
1992-03-12,0.4396,0.4396,0.4184,0.4184,144000
1992-03-13,0.4396,0.4396,0.4254,0.4396,73608
1992-03-16,0.4430,0.4430,0.4184,0.4184,187200
1992-03-17,0.4184,0.4254,0.4184,0.4254,121608
1992-03-18,0.4467,0.4467,0.4254,0.4467,331200
1992-03-19,0.4254,0.4254,0.4254,0.4254,6408
1992-03-20,0.4254,0.4254,0.4254,0.4254,0
1992-03-23,0.4184,0.4254,0.4184,0.4254,86400
1992-03-24,0.4184,0.4184,0.4184,0.4184,11208
1992-03-25,0.4325,0.4325,0.4325,0.4325,9600
1992-03-26,0.4184,0.4254,0.4184,0.4254,43200
1992-03-27,0.4254,0.4325,0.4254,0.4325,678408
1992-03-30,0.4218,0.4467,0.4218,0.4218,24000
1992-03-31,0.4254,0.4325,0.4184,0.4184,28800
1992-04-01,0.4467,0.4467,0.4467,0.4467,54408
1992-04-02,0.4254,0.4467,0.4254,0.4396,268800
1992-04-03,0.4396,0.4504,0.4362,0.4504,513600
1992-04-06,0.4467,0.4467,0.4254,0.4254,139200
1992-04-07,0.4538,0.4538,0.4254,0.4396,81600
1992-04-08,0.4325,0.4325,0.4254,0.4254,4800
1992-04-09,0.4254,0.4467,0.4254,0.4467,33600
1992-04-10,0.4467,0.4467,0.4254,0.4467,124800
1992-04-13,0.4467,0.4467,0.4184,0.4396,148800
1992-04-14,0.4396,0.4396,0.4396,0.4396,16008
1992-04-15,0.4396,0.4396,0.4396,0.4396,20808
1992-04-16,0.4184,0.4254,0.4184,0.4254,164808
1992-04-20,0.4184,0.4184,0.4184,0.4184,35208
1992-04-21,0.4254,0.4254,0.4113,0.4113,227208
1992-04-22,0.4254,0.4254,0.4254,0.4254,11208
1992-04-23,0.4254,0.4254,0.4254,0.4254,11208
1992-04-24,0.4254,0.4254,0.4184,0.4184,25608
1992-04-27,0.4079,0.4079,0.4079,0.4079,24000
1992-04-28,0.4284,0.4284,0.4107,0.4107,184008
1992-04-29,0.4175,0.4284,0.4175,0.4284,126408
1992-04-30,0.4284,0.4284,0.4284,0.4284,14400
1992-05-01,0.4141,0.4175,0.4141,0.4175,43200
1992-05-04,0.4141,0.4141,0.4141,0.4141,6408
1992-05-05,0.4141,0.4141,0.4141,0.4141,14400
1992-05-06,0.4284,0.4284,0.4141,0.4284,428808
1992-05-07,0.4284,0.4284,0.4284,0.4284,9600
1992-05-08,0.4141,0.4213,0.4141,0.4213,35208
1992-05-11,0.4213,0.4284,0.4141,0.4284,88008
1992-05-12,0.4284,0.4284,0.4284,0.4284,1608
1992-05-13,0.4284,0.4284,0.4141,0.4141,395208
1992-05-14,0.4213,0.4213,0.4213,0.4213,11208
1992-05-15,0.4141,0.4141,0.4141,0.4141,73608
1992-05-18,0.4141,0.4141,0.4141,0.4141,0
1992-05-19,0.4213,0.4213,0.4070,0.4070,30408
1992-05-20,0.4070,0.4213,0.4070,0.4213,153600
1992-05-21,0.4213,0.4213,0.4141,0.4141,14400
1992-05-22,0.4070,0.4070,0.4070,0.4070,4800
1992-05-26,0.4070,0.4070,0.4070,0.4070,30408
1992-05-27,0.4141,0.4141,0.4141,0.4141,4800
1992-05-28,0.4141,0.4141,0.4070,0.4070,4800
1992-05-29,0.3998,0.4070,0.3927,0.4070,168000
1992-06-01,0.3927,0.3998,0.3856,0.3856,121608
1992-06-02,0.3856,0.3998,0.3856,0.3856,222408
1992-06-03,0.3856,0.3927,0.3856,0.3856,40008
1992-06-04,0.3856,0.3927,0.3856,0.3856,35208
1992-06-05,0.3927,0.4070,0.3927,0.3998,192000
1992-06-08,0.4070,0.4070,0.4070,0.4070,1608
1992-06-09,0.3927,0.3927,0.3927,0.3927,16008
1992-06-10,0.3927,0.3964,0.3927,0.3964,107208
1992-06-11,0.3927,0.3998,0.3927,0.3998,164808
1992-06-12,0.3927,0.4070,0.3927,0.4070,86400
1992-06-15,0.3998,0.3998,0.3998,0.3998,1608
1992-06-16,0.3998,0.3998,0.3998,0.3998,0
1992-06-17,0.3927,0.3927,0.3927,0.3927,19200
1992-06-18,0.3927,0.3964,0.3927,0.3927,414408
1992-06-19,0.3893,0.3893,0.3856,0.3856,115200
1992-06-22,0.3856,0.3856,0.3856,0.3856,76800
1992-06-23,0.4070,0.4070,0.3964,0.4070,139200
1992-06-24,0.3856,0.3856,0.3856,0.3856,110400
1992-06-25,0.3856,0.3998,0.3856,0.3998,950400
1992-06-26,0.3927,0.3998,0.3927,0.3998,273600
1992-06-29,0.3964,0.3998,0.3856,0.3856,481608
1992-06-30,0.3964,0.3998,0.3964,0.3998,480000
1992-07-01,0.3964,0.3998,0.3856,0.3856,489600
1992-07-02,0.3927,0.3964,0.3927,0.3964,81600
1992-07-06,0.3964,0.3998,0.3964,0.3998,912000
1992-07-07,0.3856,0.3998,0.3856,0.3998,744000
1992-07-08,0.3856,0.3856,0.3856,0.3856,11208
1992-07-09,0.3856,0.3856,0.3856,0.3856,28800
1992-07-10,0.3927,0.3964,0.3927,0.3927,92808
1992-07-13,0.3998,0.3998,0.3856,0.3998,59208
1992-07-14,0.3927,0.3927,0.3856,0.3856,395208
1992-07-15,0.3356,0.3856,0.3356,0.3641,1542408
1992-07-16,0.3641,0.3641,0.3641,0.3641,0
1992-07-17,0.3641,0.3641,0.3641,0.3641,0
1992-07-20,0.3641,0.3641,0.3641,0.3641,0
1992-07-21,0.3679,0.3998,0.3641,0.3641,712008
1992-07-22,0.3641,0.3641,0.3641,0.3641,35208
1992-07-23,0.3641,0.3641,0.3604,0.3604,174408
1992-07-24,0.3570,0.3570,0.3570,0.3570,20808
1992-07-27,0.3570,0.3570,0.3570,0.3570,9600
1992-07-28,0.3679,0.3679,0.3641,0.3641,48000
1992-07-29,0.3598,0.3670,0.3598,0.3670,115200
1992-07-30,0.3598,0.3598,0.3598,0.3598,14400
1992-07-31,0.3598,0.3598,0.3598,0.3598,0
1992-08-03,0.3598,0.3598,0.3598,0.3598,38400
1992-08-04,0.3670,0.3742,0.3670,0.3742,48000
1992-08-05,0.3633,0.3670,0.3633,0.3670,48000
1992-08-06,0.3886,0.3886,0.3886,0.3886,1608
1992-08-07,0.3886,0.3886,0.3886,0.3886,4800
1992-08-10,0.3598,0.3598,0.3598,0.3598,110400
1992-08-11,0.3886,0.3886,0.3598,0.3598,40008
1992-08-12,0.3598,0.3814,0.3598,0.3598,81600
1992-08-13,0.3598,0.3633,0.3598,0.3598,67200
1992-08-14,0.3598,0.3598,0.3598,0.3598,0
1992-08-17,0.3598,0.3742,0.3563,0.3563,115200
1992-08-18,0.3814,0.3814,0.3491,0.3526,1425600
1992-08-19,0.3454,0.3454,0.3454,0.3454,57600
1992-08-20,0.3382,0.3598,0.3382,0.3382,124800
1992-08-21,0.3382,0.3382,0.3310,0.3310,107208
1992-08-24,0.3670,0.3670,0.3310,0.3310,83208
1992-08-25,0.3417,0.3417,0.3417,0.3417,68808
1992-08-26,0.3417,0.3417,0.3417,0.3417,0
1992-08-27,0.3238,0.3238,0.3238,0.3238,9600
1992-08-28,0.3238,0.3454,0.3238,0.3310,428808
1992-08-31,0.3310,0.3598,0.3310,0.3454,54408
1992-09-01,0.3526,0.3526,0.3382,0.3454,35208
1992-09-02,0.3382,0.3454,0.3382,0.3454,97608
1992-09-03,0.3454,0.3742,0.3454,0.3742,78408
1992-09-04,0.3742,0.3742,0.3454,0.3707,115200
1992-09-08,0.3454,0.3742,0.3454,0.3742,30408
1992-09-09,0.3742,0.3742,0.3491,0.3742,913608
1992-09-10,0.3742,0.3742,0.3417,0.3417,83208
1992-09-11,0.3563,0.3563,0.3382,0.3454,62400
1992-09-14,0.3454,0.3454,0.3454,0.3454,0
1992-09-15,0.3382,0.3454,0.3382,0.3382,422400
1992-09-16,0.3382,0.3382,0.3382,0.3382,0
1992-09-17,0.3382,0.3382,0.3382,0.3382,11208
1992-09-18,0.3382,0.3382,0.3382,0.3382,0
1992-09-21,0.3670,0.3670,0.3670,0.3670,1608
1992-09-22,0.3382,0.3382,0.3382,0.3382,4800
1992-09-23,0.3382,0.3491,0.3382,0.3491,168000
1992-09-24,0.3382,0.3563,0.3382,0.3563,86400
