date,open,high,low,close,volume
1992-05-19,4.2500,4.3450,4.2200,4.2825,7799600
1992-05-20,4.3450,4.3750,4.3125,4.3750,2560400
1992-05-21,4.3750,4.3750,4.3125,4.3750,1854000
1992-05-22,4.4075,4.5950,4.3750,4.5325,3206400
1992-05-26,4.5000,4.5325,4.3750,4.3750,1727600
1992-05-27,4.4075,4.4700,4.4075,4.4375,794000
1992-05-28,4.4700,4.5000,4.4375,4.4700,250800
1992-05-29,4.5000,4.5950,4.4700,4.5625,1041600
1992-06-01,4.5625,4.6575,4.5625,4.6250,859600
1992-06-02,4.6875,4.6875,4.5625,4.6575,1385600
1992-06-03,4.6250,4.6250,4.4700,4.5000,1222000
1992-06-04,4.5000,4.5000,4.3750,4.3750,464000
1992-06-05,4.3450,4.3450,4.2500,4.3125,940800
1992-06-08,4.3125,4.3450,4.3125,4.3125,844000
1992-06-09,4.3125,4.3450,4.1250,4.1250,1579200
1992-06-10,4.1250,4.1575,4.1250,4.1250,676800
1992-06-11,4.1575,4.1575,4.0325,4.0950,1413600
1992-06-12,4.1575,4.2200,4.1575,4.1875,208400
1992-06-15,4.1575,4.1575,4.1250,4.1575,1178000
1992-06-16,4.1575,4.1575,4.0950,4.1250,256000
1992-06-17,4.0950,4.0950,3.8750,3.9375,1033200
1992-06-18,3.9375,3.9375,3.9075,3.9375,277200
1992-06-19,3.9075,3.9375,3.8750,3.9375,394800
1992-06-22,3.8750,3.8750,3.5000,3.5950,752400
1992-06-23,3.6575,4.0000,3.6575,3.9700,1240000
1992-06-24,3.9700,4.0000,3.8450,3.9375,368000
1992-06-25,3.9700,3.9700,3.8125,3.8750,344400
1992-06-26,3.8450,3.8750,3.8125,3.8750,290000
1992-06-29,3.8750,4.2500,3.8750,4.2200,474400
1992-06-30,4.2200,4.2825,4.1875,4.2825,532400
1992-07-01,4.2500,4.2500,4.2200,4.2200,191200
1992-07-02,4.2500,4.4700,4.2500,4.4375,1210400
1992-07-06,4.4375,4.5950,4.4075,4.5950,1128400
1992-07-07,4.6250,4.7200,4.5950,4.5950,784000
1992-07-08,4.6250,4.6250,4.4075,4.4375,355200
1992-07-09,4.4700,4.5625,4.2200,4.5325,102400
1992-07-10,4.5325,4.5325,4.4375,4.4700,129600
1992-07-13,4.4700,4.5950,4.4700,4.5325,219200
1992-07-14,4.5625,4.6575,4.5325,4.6575,225600
1992-07-15,4.6250,4.6575,4.5625,4.5625,335600
1992-07-16,4.6250,4.7500,4.5625,4.7500,765600
1992-07-17,4.7825,4.7825,4.6250,4.6575,440000
1992-07-20,4.5950,4.6575,4.4375,4.5000,201600
1992-07-21,4.5325,4.9075,4.5325,4.7500,700400
1992-07-22,4.7500,4.9075,4.7200,4.8450,218800
1992-07-23,4.8125,4.9075,4.7825,4.8125,330800
1992-07-24,4.7500,4.7825,4.6875,4.7200,308800
1992-07-27,4.7200,4.7200,4.6250,4.6250,71200
1992-07-28,4.6875,4.8750,4.6875,4.8450,453200
1992-07-29,4.8750,5.0950,4.8750,5.0000,1081600
1992-07-30,4.9700,5.0000,4.9075,5.0000,422800
1992-07-31,4.9375,5.0000,4.9375,5.0000,154400
1992-08-03,5.0000,5.0000,4.9700,4.9700,63600
1992-08-04,5.0000,5.0000,4.9375,4.9700,201200
1992-08-05,4.9375,4.9700,4.9075,4.9375,750400
1992-08-06,4.9375,5.0000,4.9075,5.0000,208000
1992-08-07,4.9700,5.0625,4.9075,4.9075,643200
1992-08-10,4.9375,5.0325,4.8125,4.8450,277200
1992-08-11,4.8125,4.8125,4.5625,4.6250,764400
1992-08-12,4.5950,4.5950,4.5000,4.5625,319200
1992-08-13,4.5950,4.5950,4.5000,4.5000,251600
1992-08-14,4.5000,4.5000,4.3125,4.3450,984400
1992-08-17,4.3450,4.4375,4.3125,4.4375,472800
1992-08-18,4.4075,4.4375,4.4075,4.4075,565600
1992-08-19,4.4375,4.5625,4.4375,4.5325,782800
1992-08-20,4.5950,4.5950,4.5000,4.5625,254800
1992-08-21,4.5950,4.6575,4.5625,4.5625,297600
1992-08-24,4.5950,4.5950,4.4700,4.5000,164400
1992-08-25,4.5625,4.6250,4.5000,4.6250,221600
1992-08-26,4.6250,4.8125,4.6250,4.7500,418000
1992-08-27,4.7500,4.8450,4.7500,4.8125,94000
1992-08-28,4.7500,4.8450,4.7500,4.8450,263200
1992-08-31,4.8450,4.8450,4.7825,4.8450,204000
1992-09-01,4.7200,4.7825,4.6575,4.7825,586800
1992-09-02,4.7825,4.7825,4.6575,4.7825,454400
1992-09-03,4.7825,4.7825,4.5000,4.5000,788400
1992-09-04,4.5325,4.5950,4.5000,4.5950,38000
1992-09-08,4.5950,4.6575,4.5950,4.6250,210400
1992-09-09,4.6250,4.7825,4.6250,4.7825,521200
1992-09-10,4.8750,4.9075,4.8125,4.9075,1064800
1992-09-11,4.9075,4.9700,4.9075,4.9700,210800
1992-09-14,4.9700,5.0000,4.9075,4.9375,340000
1992-09-15,4.9700,5.0000,4.9075,4.9700,446000
1992-09-16,4.9700,4.9700,4.9375,4.9375,122400
1992-09-17,4.9700,5.1250,4.9375,5.0950,611600
1992-09-18,5.0950,5.0950,4.8750,4.9075,263200
1992-09-21,4.8750,4.9075,4.8750,4.9075,59200
1992-09-22,4.8750,4.9075,4.7825,4.7825,220000
1992-09-23,4.8125,4.8125,4.6875,4.7200,176800
1992-09-24,4.6875,4.7825,4.6875,4.7200,154400
1992-09-25,4.7200,4.7500,4.5950,4.5950,192000
1992-09-28,4.5950,4.5950,4.4375,4.4375,175600
1992-09-29,4.4375,4.4700,4.3750,4.4700,333200
1992-09-30,4.4700,4.4700,4.3450,4.4375,341200
1992-10-01,4.4700,4.5000,4.4700,4.4700,252800
1992-10-02,4.4700,4.4700,4.1875,4.1875,196800
1992-10-05,4.1875,4.1875,4.0000,4.1250,418800
1992-10-06,4.1875,4.4375,4.1875,4.2200,342400
1992-10-07,4.2200,4.4375,4.2200,4.3750,303600
1992-10-08,4.3750,4.5625,4.3750,4.5625,404400
1992-10-09,4.5000,4.5325,4.4375,4.4375,155600
1992-10-12,4.5000,4.5000,4.4375,4.4375,76000
1992-10-13,4.4375,4.4700,4.4375,4.4375,98800
1992-10-14,4.5325,4.6250,4.5000,4.5000,190800
1992-10-15,4.5000,4.5325,4.4700,4.4700,119200
1992-10-16,4.4700,4.5325,4.4700,4.5000,344400
1992-10-19,4.5000,4.5950,4.5000,4.5625,201600
1992-10-20,4.5625,4.7500,4.5625,4.6575,560800
1992-10-21,4.6250,4.6575,4.5625,4.5625,53600
1992-10-22,4.6250,4.6250,4.5625,4.5950,242400
1992-10-23,4.5625,4.5950,4.5625,4.5625,343200
1992-10-26,4.5000,4.6575,4.5000,4.6575,322000
1992-10-27,4.6250,4.8450,4.6250,4.7825,346000
1992-10-28,4.7825,4.9700,4.7825,4.9700,440000
1992-10-29,4.9700,5.1575,4.8750,5.1250,360400
1992-10-30,5.1250,5.2200,5.0625,5.1875,449600
1992-11-02,5.2200,5.2200,4.8125,4.9700,239200
1992-11-03,4.9700,5.0000,4.9075,4.9075,266800
1992-11-04,4.9075,5.0325,4.9075,4.9375,220400
1992-11-05,4.9700,5.0000,4.9075,5.0000,396400
1992-11-06,5.0000,5.0325,4.9075,4.9375,332800
1992-11-09,4.9075,4.9075,4.7500,4.8450,148800
1992-11-10,4.8450,4.9075,4.8450,4.9075,148800
1992-11-11,4.9075,5.0625,4.9075,5.0325,329600
1992-11-12,5.0625,5.0950,5.0325,5.0325,436400
1992-11-13,5.0325,5.0325,4.8750,4.9075,237600
1992-11-16,4.7500,4.7825,4.7500,4.7500,3570800
1992-11-17,4.7825,4.7825,4.7500,4.7500,592400
1992-11-18,4.7500,4.8125,4.7200,4.8125,651200
1992-11-19,4.8125,4.8750,4.8125,4.8450,1478400
1992-11-20,4.8750,4.8750,4.8125,4.8125,1189600
1992-11-23,4.8450,4.8750,4.8450,4.8450,327200
1992-11-24,4.8450,4.8450,4.7500,4.7500,834400
1992-11-25,4.7825,4.7825,4.7200,4.7500,265600
1992-11-27,4.7500,4.7500,4.6575,4.7200,158800
1992-11-30,4.6875,4.7200,4.6575,4.6875,220800
1992-12-01,4.7200,4.7500,4.7200,4.7500,380000
1992-12-02,4.7200,4.7500,4.7200,4.7200,798400
1992-12-03,4.7500,4.8125,4.7500,4.7825,954800
