date,open,high,low,close,volume
1993-08-13,2.2754,2.2862,2.2414,2.2414,14796800
1993-08-16,2.2530,2.2530,2.1741,2.2189,3422400
1993-08-17,2.1965,2.2189,2.1858,2.1858,732800
1993-08-18,2.1858,2.2414,2.1858,2.2189,1084800
1993-08-19,2.2082,2.2638,2.1965,2.2638,832800
1993-08-20,2.2638,2.2978,2.2530,2.2862,464000
1993-08-23,2.2754,2.2754,2.2530,2.2530,146400
1993-08-24,2.2638,2.2638,2.2414,2.2414,354400
1993-08-25,2.2414,2.2638,2.2414,2.2638,214400
1993-08-26,2.2638,2.2862,2.2638,2.2638,287200
1993-08-27,2.2638,2.3086,2.2638,2.2862,330400
1993-08-30,2.2978,2.3086,2.2754,2.2862,120800
1993-08-31,2.2978,2.2978,2.2754,2.2978,233600
1993-09-01,2.2754,2.2862,2.2754,2.2862,196800
1993-09-02,2.2862,2.2862,2.2414,2.2414,132000
1993-09-03,2.2414,2.2638,2.1965,2.1965,51200
1993-09-07,2.2189,2.2638,2.2189,2.2189,984800
1993-09-08,2.2414,2.2414,2.1185,2.1517,208800
1993-09-09,2.1293,2.1517,2.1293,2.1409,277600
1993-09-10,2.1517,2.1517,2.0513,2.0620,152000
1993-09-13,2.0620,2.1069,2.0620,2.0620,320800
1993-09-14,2.0845,2.0845,1.9500,1.9500,1212000
1993-09-15,1.9052,2.0620,1.8379,2.0620,1803200
1993-09-16,2.0620,2.0620,1.9948,2.0513,248000
1993-09-17,2.0289,2.1293,2.0289,2.1185,784800
1993-09-20,2.1517,2.1741,2.0845,2.0845,484800
1993-09-21,2.0620,2.0620,1.9948,2.0289,240000
1993-09-22,2.0289,2.0289,1.9840,2.0065,152000
1993-09-23,1.9948,1.9948,1.9500,1.9616,946400
1993-09-24,1.9616,2.0289,1.9616,2.0172,480800
1993-09-27,2.0172,2.0845,2.0172,2.0737,86400
1993-09-28,2.0737,2.0845,2.0737,2.0737,98400
1993-09-29,2.2414,2.2414,2.2082,2.2414,788800
1993-09-30,2.2414,2.3758,2.2414,2.3651,1268000
1993-10-01,2.3651,2.3651,2.2862,2.3310,548800
1993-10-04,2.3086,2.3310,2.2978,2.2978,387200
1993-10-05,2.2530,2.2530,2.1741,2.1741,482400
1993-10-06,2.1741,2.1965,2.1741,2.1965,42400
1993-10-07,2.1858,2.2082,2.1858,2.2082,8000
1993-10-08,2.2082,2.2414,2.2082,2.2414,905600
1993-10-11,2.2306,2.3534,2.2306,2.3534,713600
1993-10-12,2.3427,2.3651,2.3310,2.3534,176800
1993-10-13,2.3651,2.3651,2.3310,2.3310,346400
1993-10-14,2.3534,2.3875,2.3534,2.3651,383200
1993-10-15,2.3758,2.3875,2.3651,2.3651,144000
1993-10-18,2.3651,2.3982,2.3651,2.3651,160000
1993-10-19,2.3758,2.3758,2.3534,2.3651,396800
1993-10-20,2.3651,2.3758,2.3651,2.3758,304000
1993-10-21,2.3758,2.3875,2.3758,2.3758,90400
1993-10-22,2.3758,2.3875,2.3758,2.3758,80000
1993-10-25,2.3758,2.3875,2.3758,2.3758,87200
1993-10-26,2.3875,2.3875,2.3310,2.3310,502400
1993-10-27,2.3310,2.3310,2.2978,2.2978,40000
1993-10-28,2.2978,2.3310,2.2978,2.3310,90400
