date,open,high,low,close,volume
1997-06-18,8.6070,8.8540,8.6070,8.8112,7918300
1997-06-19,8.8540,8.8935,8.7288,8.7717,1472400
1997-06-20,8.6465,8.8112,8.6465,8.6893,1030200
1997-06-23,8.6893,8.6893,8.6070,8.6070,628900
1997-06-24,8.6267,8.6465,8.5839,8.5839,541800
1997-06-25,8.6662,8.7486,8.6465,8.7091,570500
1997-06-26,8.8112,8.8935,8.7486,8.8935,488700
1997-06-27,8.8935,8.9363,8.8112,8.8540,586400
1997-06-30,8.8112,9.0582,8.6465,8.9759,629800
1997-07-01,8.9363,8.9363,8.7717,8.7717,269700
1997-07-02,8.6893,8.7717,8.6893,8.6893,350800
1997-07-03,8.7091,8.8112,8.7091,8.7717,173000
1997-07-07,8.8540,8.8738,8.7288,8.8112,449500
1997-07-08,8.7914,8.8540,8.7717,8.7914,239400
1997-07-09,8.7717,8.7914,8.7288,8.7288,226000
1997-07-10,8.7091,8.7288,8.7091,8.7091,425100
1997-07-11,8.7091,8.7288,8.6893,8.7288,326300
1997-07-14,8.7914,8.9561,8.7717,8.8738,311000
1997-07-15,8.8112,8.8738,8.7486,8.7914,534400
1997-07-16,8.7914,8.8540,8.7717,8.8540,443700
1997-07-17,8.8935,8.9133,8.8738,8.9133,443800
1997-07-18,8.8935,8.9133,8.6893,8.7717,359600
1997-07-21,8.6893,8.7717,8.6465,8.7717,422700
1997-07-22,8.8309,8.8738,8.8112,8.8540,246500
1997-07-23,8.8540,8.8738,8.8309,8.8540,196900
1997-07-24,8.8738,8.9363,8.8112,8.9133,481800
1997-07-25,8.8540,9.0187,8.8540,8.9956,225800
1997-07-28,8.9363,8.9759,8.8935,8.9759,127600
1997-07-29,8.9759,8.9759,8.9561,8.9759,350200
1997-07-30,8.9759,9.0780,8.9561,9.0385,126600
1997-07-31,9.0780,9.2229,9.0582,9.1834,203500
1997-08-01,9.2032,9.2032,8.9759,9.1834,85200
1997-08-04,9.2032,9.2229,8.9561,9.1834,115600
1997-08-05,9.1208,9.3250,9.0780,9.2657,152900
1997-08-06,9.2032,9.6775,9.2032,9.6775,234900
1997-08-07,9.6544,9.6775,9.6347,9.6347,358900
1997-08-08,9.5523,9.5523,9.2229,9.5523,387300
1997-08-11,9.5128,9.5325,9.1010,9.2855,164700
1997-08-12,9.3053,9.3481,9.2032,9.2032,437100
1997-08-13,9.2229,9.3053,9.0582,9.1208,323000
1997-08-14,9.0780,9.1406,9.0582,9.0582,89800
1997-08-15,9.1010,9.1406,9.0582,9.1010,120200
1997-08-18,9.1010,9.1603,9.0582,9.1603,177000
1997-08-19,9.1603,9.3250,9.1406,9.3053,161300
1997-08-20,9.3481,9.5325,9.2855,9.4502,206500
1997-08-21,9.4700,9.5721,9.4074,9.5523,133000
1997-08-22,9.3678,9.7170,9.3678,9.6347,449700
1997-08-25,9.6347,9.6775,9.5951,9.6544,227300
1997-08-26,9.6775,9.6775,9.6347,9.6347,266800
1997-08-27,9.6347,9.7170,9.6347,9.6544,183200
1997-08-28,9.6775,9.7994,9.6347,9.7368,177900
1997-08-29,9.7994,9.8817,9.7368,9.8191,176600
1997-09-02,9.7994,9.9443,9.7796,9.8422,194000
1997-09-03,9.8817,10.0069,9.8422,9.8619,296000
1997-09-04,9.8817,9.9015,9.7170,9.7598,250400
1997-09-05,9.7994,10.3758,9.7598,10.1716,395800
1997-09-08,10.2934,10.3363,10.2111,10.2737,193200
1997-09-09,10.2309,10.3560,10.2111,10.2111,242300
1997-09-10,10.2539,10.3132,10.0464,10.0662,328500
1997-09-11,10.0662,10.1485,9.9015,9.9245,110400
1997-09-12,10.0266,10.0892,10.0069,10.0662,63400
1997-09-15,10.0662,10.2111,10.0464,10.2111,249600
1997-09-16,10.3758,10.5833,10.2539,10.5010,425200
1997-09-17,10.6656,10.9127,10.4186,10.4581,552400
1997-09-18,10.5010,10.5833,10.4186,10.5405,223600
1997-09-19,10.6228,10.6656,10.4581,10.5405,110500
1997-09-22,10.5405,10.6228,10.5010,10.5405,213500
1997-09-23,10.5010,10.5207,10.3363,10.3955,198400
1997-09-24,10.4384,10.5010,10.4186,10.5010,83300
1997-09-25,10.4581,10.5833,10.4581,10.5833,111400
1997-09-26,10.5405,10.7052,10.4581,10.7052,116800
1997-09-29,10.7875,10.9522,10.7480,10.9522,59300
1997-09-30,10.9127,10.9127,10.7875,10.8303,282700
1997-10-01,10.8699,11.1597,10.7875,11.1169,67900
1997-10-02,11.2421,11.2816,11.1597,11.1993,136000
1997-10-03,11.2421,11.3640,11.1169,11.1993,73700
1997-10-06,11.1993,11.2421,10.9522,11.0346,235200
1997-10-07,10.9522,10.9522,10.7052,10.8303,101300
1997-10-08,10.9950,11.0346,10.8699,10.9522,98200
1997-10-09,10.8303,10.9127,10.7875,10.8303,88200
1997-10-10,10.7875,10.8303,10.3758,10.7052,158300
1997-10-13,10.7875,10.7875,10.7480,10.7875,130400
1997-10-14,10.8303,10.9950,10.7875,10.9522,215700
1997-10-15,10.9522,11.0346,10.9522,10.9950,247000
1997-10-16,10.9522,10.9950,10.6228,10.6656,167300
1997-10-17,10.5833,10.6228,10.4186,10.5405,266700
1997-10-20,10.5010,10.5405,10.4581,10.5405,57700
1997-10-21,10.5405,10.5405,10.3758,10.3758,178400
1997-10-22,10.4384,10.6228,10.4186,10.4581,100600
