date,open,high,low,close,volume
1977-01-03,16.8402,16.9441,16.8402,16.9441,47700
1977-01-04,16.9441,17.0005,16.8922,17.0005,34000
1977-01-05,17.0005,17.0005,16.8402,16.8922,15300
1977-01-06,16.8402,16.8402,16.6193,16.7839,38800
1977-01-07,16.7839,16.8402,16.6193,16.8402,20400
1977-01-10,16.8402,17.0568,16.8402,17.0005,42700
1977-01-11,17.0005,17.1087,17.0005,17.0568,22000
1977-01-12,17.0568,17.0568,16.8402,17.0568,34800
1977-01-13,17.0568,17.2690,17.0568,17.1650,34300
1977-01-14,17.1650,17.2690,17.1087,17.2170,20600
1977-01-17,17.0005,17.0005,16.7319,16.8402,33600
1977-01-18,16.8402,16.8922,16.7319,16.8922,34000
1977-01-19,16.8922,16.9441,16.7839,16.9441,19600
1977-01-20,16.9441,17.0568,16.6193,16.8402,79200
1977-01-21,16.8402,16.8922,16.6756,16.8402,19200
1977-01-24,16.8402,16.8922,16.7319,16.8922,24000
1977-01-25,16.8922,17.0568,16.8922,17.0005,24900
1977-01-26,16.9441,16.9441,16.7839,16.8402,22800
1977-01-27,16.8402,16.8922,16.6756,16.8922,26400
1977-01-28,16.8402,16.8922,16.6756,16.8922,26400
1977-01-31,16.8402,16.8402,16.6756,16.7319,18000
1977-02-01,16.7319,16.8402,16.7319,16.8402,20100
1977-02-02,16.8402,16.8922,16.7319,16.7319,71700
1977-02-03,16.7319,16.8922,16.5673,16.7319,186200
1977-02-04,16.7319,16.8922,16.6756,16.7839,35500
1977-02-07,16.7839,16.8922,16.7319,16.8402,20600
1977-02-08,16.8402,16.9441,16.7839,16.8922,23500
1977-02-09,16.8922,16.8922,16.7319,16.7839,17200
1977-02-10,16.7839,17.0005,16.7839,17.0005,16300
1977-02-11,17.0005,17.0005,16.8402,16.9441,24700
1977-02-14,16.9441,16.9441,16.8402,16.8922,17200
1977-02-15,16.8922,16.8922,16.7839,16.8922,16800
1977-02-16,16.8922,16.9441,16.7839,16.8922,25200
1977-02-17,16.8922,16.9441,16.8402,16.8402,22300
1977-02-18,16.8402,17.0005,16.7839,17.0005,26100
1977-02-22,17.0005,17.0005,16.8922,17.0005,17500
1977-02-23,17.0005,17.0568,16.9441,17.0568,44100
1977-02-24,17.0568,17.0568,16.9441,17.0568,80400
1977-02-25,17.0005,17.0005,16.8922,16.8922,18000
1977-02-28,16.8922,17.0005,16.6756,16.8402,35000
1977-03-01,16.8402,17.0005,16.7319,16.8922,47000
1977-03-02,16.8922,17.0568,16.8922,17.0568,36200
1977-03-03,17.0568,17.0568,16.9441,17.0568,68100
1977-03-04,17.0568,17.1650,17.0005,17.1650,43400
1977-03-07,17.1650,17.2170,17.0568,17.1650,21100
1977-03-08,17.1650,17.2690,17.0568,17.0568,43400
1977-03-09,17.0568,17.0568,16.9441,17.0005,21600
1977-03-10,17.0005,17.0568,16.8402,16.9441,25400
1977-03-11,16.9441,17.0568,16.9441,17.0005,24700
1977-03-14,17.0005,17.1087,16.9441,17.1087,28800
1977-03-15,17.1650,17.3253,17.1650,17.2170,103200
1977-03-16,17.2170,17.4336,17.2170,17.3253,85600
1977-03-17,17.3253,17.3816,17.1650,17.2690,40800
1977-03-18,17.2690,17.3253,17.2170,17.2170,22500
1977-03-21,17.2170,17.3816,17.2170,17.2690,31600
1977-03-22,17.2690,17.2690,17.1087,17.1650,33100
1977-03-23,17.1650,17.2690,17.1650,17.2170,29200
1977-03-24,17.2170,17.2170,17.1650,17.2170,30900
1977-03-25,17.2170,17.2170,16.9441,17.0568,20400
1977-03-28,17.0005,17.0005,16.8402,17.0005,33600
1977-03-29,17.0005,17.0568,16.9441,17.0568,13600
1977-03-30,17.0568,17.0568,17.0005,17.0005,15800
1977-03-31,17.0005,17.1087,17.0005,17.0005,43900
1977-04-01,17.0005,17.1650,17.0005,17.1087,31400
1977-04-04,17.1087,17.1650,17.0005,17.0568,17700
1977-04-05,17.0568,17.1087,16.8402,17.0568,37400
1977-04-06,17.0568,17.2170,17.0568,17.1087,21300
1977-04-07,17.1650,17.2690,17.1650,17.2690,24200
1977-04-11,17.2690,17.3816,17.1650,17.2170,42200
1977-04-12,17.2170,17.5419,17.2170,17.5419,24400
1977-04-13,17.5419,17.6502,17.3253,17.6502,143700
1977-04-14,17.6502,17.9187,17.6502,17.7584,49200
1977-04-15,17.7584,17.9187,17.6502,17.6502,32800
1977-04-18,17.4336,17.4336,17.2170,17.2690,36900
1977-04-19,17.2170,17.2170,17.1087,17.1087,56800
1977-04-20,17.2170,17.3253,17.2170,17.3253,28500
1977-04-21,17.3253,17.3253,17.2170,17.2690,16500
1977-04-22,17.2690,17.3253,17.1650,17.1650,24900
1977-04-25,17.1650,17.2170,16.9441,16.9441,22500
1977-04-26,16.9441,17.1087,16.8922,17.1087,23700
1977-04-27,17.1087,17.3253,17.0568,17.1650,27600
1977-04-28,17.1650,17.2690,17.1087,17.1650,19900
1977-04-29,17.1650,17.2690,17.1087,17.2170,34000
1977-05-02,17.2170,17.4336,17.1650,17.3253,34000
1977-05-03,17.3253,17.4336,17.2690,17.3253,21300
1977-05-04,17.3253,17.4336,17.2690,17.3816,21100
1977-05-05,17.3816,17.3816,17.2690,17.3253,20600
1977-05-06,17.3253,17.3253,17.1650,17.3253,14400
1977-05-09,17.3253,17.4899,17.2170,17.3816,48900
1977-05-10,17.3816,17.4899,17.3816,17.3816,16300
1977-05-11,17.3816,17.4899,17.3253,17.4336,17000
1977-05-12,17.4336,17.4899,17.2690,17.3816,39300
1977-05-13,17.3816,17.4336,17.3253,17.3253,11500
1977-05-16,17.3253,17.3816,17.3253,17.3253,24200
1977-05-17,17.3253,17.4899,17.3253,17.4336,29700
1977-05-18,17.4336,17.4899,17.3816,17.4336,35200
1977-05-19,17.4336,17.5938,17.3816,17.4336,53200
1977-05-20,17.5419,17.6502,17.5419,17.6502,19600
1977-05-23,17.5938,17.5938,17.4336,17.4899,23000
1977-05-24,17.4899,17.5419,17.3253,17.4336,23700
1977-05-25,17.4336,17.5419,17.3816,17.4899,25900
1977-05-26,17.4899,17.4899,17.3253,17.4336,14100
1977-05-27,17.4336,17.4336,17.3253,17.3253,15800
1977-05-31,17.3253,17.3253,17.0568,17.2170,28800
1977-06-01,17.2170,17.3253,17.1650,17.2690,14600
1977-06-02,17.2690,17.3816,17.2170,17.3816,30000
1977-06-03,17.3816,17.4336,17.3253,17.4336,26400
1977-06-06,17.4336,17.4336,17.1087,17.1650,35500
1977-06-07,17.1650,17.3816,17.1087,17.3253,43200
1977-06-08,17.3253,17.3816,17.2170,17.2690,25400
1977-06-09,17.2690,17.3253,17.2170,17.3253,14400
1977-06-10,17.3253,17.3253,17.2170,17.3253,11500
1977-06-13,17.3253,17.3253,17.2170,17.3253,13900
1977-06-14,17.3253,17.3253,17.1087,17.3253,16300
1977-06-15,17.3253,17.3253,17.1650,17.2170,19600
1977-06-16,17.2170,17.2170,17.0568,17.2170,73400
1977-06-17,17.2170,17.2690,17.1650,17.2690,40300
1977-06-20,17.2690,17.2690,17.1087,17.2170,14600
1977-06-21,17.2170,17.3253,17.2170,17.2170,32800
1977-06-22,17.2170,17.2690,17.1650,17.2690,16300
1977-06-23,17.2690,17.3253,17.2170,17.3253,20100
1977-06-24,17.3253,17.3816,17.2170,17.3253,47000
1977-06-27,17.3253,17.3816,17.2170,17.2170,22300
1977-06-28,17.2170,17.2690,17.2170,17.2170,19600
1977-06-29,17.2170,17.3253,17.0568,17.3253,16300
1977-06-30,17.3253,17.3253,17.2690,17.2690,46300
1977-07-01,17.3253,17.4336,17.3253,17.4336,22000
1977-07-05,17.4336,17.5419,17.3816,17.4899,27800
1977-07-06,17.5938,17.7065,17.5938,17.5938,24200
1977-07-07,17.5938,17.7584,17.5938,17.7584,46500
1977-07-08,17.7584,17.8147,17.6502,17.7584,20400
1977-07-11,17.7584,17.8667,17.7065,17.8667,23000
1977-07-12,17.8667,17.9187,17.7584,17.8667,33800
1977-07-13,17.8667,17.9187,17.8147,17.9187,22500
1977-07-15,17.9187,17.9750,17.8667,17.9187,27100
1977-07-18,17.7584,17.7584,17.4899,17.5938,18900
1977-07-19,17.5938,17.8667,17.5938,17.8667,19600
1977-07-20,17.8667,18.0313,17.8667,17.9750,36700
1977-07-21,17.9750,18.0833,17.9750,18.0833,23700
1977-07-22,18.0313,18.0313,17.8147,17.8147,30400
1977-07-25,17.8147,17.9187,17.8147,17.8667,53200
1977-07-26,17.8667,17.9750,17.8147,17.9187,19200
1977-07-27,17.9187,18.0313,17.8147,17.8667,15800
1977-07-28,17.8667,17.8667,17.6502,17.7065,39100
1977-07-29,17.7065,17.8147,17.4899,17.5938,34300
1977-08-01,17.5938,17.7065,17.5419,17.5419,31600
1977-08-02,17.5419,17.5938,17.4336,17.5938,17200
1977-08-03,17.5938,17.7065,17.4336,17.6502,19400
1977-08-04,17.6502,17.8147,17.5938,17.8147,20400
1977-08-05,17.8147,18.0313,17.7584,18.0313,21100
1977-08-08,18.0313,18.0313,17.8667,17.8667,18000
1977-08-09,17.8667,17.9187,17.5938,17.5938,19200
1977-08-10,17.5938,17.8667,17.5938,17.8667,17200
1977-08-11,17.8667,18.0313,17.7065,17.7065,25400
1977-08-12,17.7065,17.7065,17.5419,17.5938,10000
1977-08-15,17.5938,17.6502,17.2170,17.4336,12700
1977-08-16,17.1650,17.1650,16.7319,16.7319,15100
1977-08-17,16.5673,16.5673,16.1905,16.5673,46300
1977-08-18,16.5673,16.6193,16.5153,16.6193,14800
1977-08-19,16.6193,16.6756,16.4590,16.5153,31400
1977-08-22,16.5153,16.6756,16.4590,16.5673,18200
1977-08-23,16.5673,16.6756,16.5153,16.6756,13200
1977-08-24,16.6756,16.7319,16.5673,16.6756,13200
1977-08-25,16.6756,16.7319,16.6193,16.6756,12700
1977-08-26,16.7319,17.0005,16.7319,16.9441,37600
1977-08-29,16.9441,17.1087,16.9441,17.0005,18200
1977-08-30,17.0005,17.0568,17.0005,17.0005,53000
1977-08-31,17.0005,17.1650,17.0005,17.1650,26400
1977-09-01,17.2170,17.3253,17.2170,17.2170,26800
1977-09-02,17.3253,17.4899,17.3253,17.4336,17700
1977-09-06,17.4336,17.4899,17.3253,17.3816,32400
1977-09-07,17.3816,17.5419,17.3253,17.5419,14800
1977-09-08,17.5419,17.8667,17.4899,17.5419,23000
1977-09-09,17.4899,17.4899,17.3253,17.4336,30000
1977-09-12,17.3816,17.3816,17.2690,17.3253,24900
1977-09-13,17.3253,17.4336,17.1650,17.3816,34500
1977-09-14,17.3816,17.4336,17.2690,17.3816,19900
1977-09-15,17.3816,17.3816,17.3253,17.3253,35700
1977-09-16,17.3253,17.3816,17.3253,17.3816,47200
1977-09-19,17.3816,17.3816,17.2690,17.3253,17500
1977-09-20,17.3253,17.3816,17.2170,17.3253,34800
1977-09-21,17.3253,17.4336,17.1650,17.2170,104600
1977-09-22,17.2170,17.2170,17.0005,17.0568,58300
1977-09-23,17.0568,17.0568,16.9441,17.0005,9600
1977-09-26,17.0005,17.0005,16.7839,16.8402,28300
1977-09-27,16.8402,16.9441,16.6756,16.7839,27600
1977-09-28,16.7839,16.8402,16.6756,16.6756,14400
1977-09-29,16.6756,16.8402,16.6193,16.8402,19900
1977-09-30,16.8402,16.8922,16.7319,16.8922,21800
1977-10-03,16.9441,17.1650,16.9441,17.1650,22800
1977-10-04,17.1650,17.2690,16.8922,17.1650,23700
1977-10-05,17.1650,17.2170,17.0568,17.1087,17000
1977-10-06,17.1087,17.3253,17.0568,17.2170,67600
1977-10-07,17.2170,17.2690,17.1087,17.2170,155000
1977-10-10,17.2170,17.2690,17.1650,17.2170,7900
1977-10-11,17.2170,17.2690,17.0568,17.0568,23500
1977-10-12,16.9441,16.9441,16.7319,16.8922,24000
1977-10-13,16.8402,16.8402,16.6193,16.6193,30900
