date,open,high,low,close,volume
1984-09-07,0.8123,0.8175,0.7991,0.8095,221400
1984-09-10,0.8095,0.8200,0.7991,0.8070,189797
1984-09-11,0.8123,0.8252,0.8095,0.8252,645206
1984-09-12,0.8252,0.8252,0.8148,0.8227,1055606
1984-09-13,0.8227,0.8227,0.8095,0.8148,310406
1984-09-14,0.8148,0.8252,0.8095,0.8148,445406
1984-09-17,0.8148,0.8148,0.7939,0.7966,334800
1984-09-18,0.7966,0.7991,0.7861,0.7861,186206
1984-09-19,0.7861,0.7914,0.7834,0.7861,334800
1984-09-20,0.7861,0.7861,0.7834,0.7834,118800
1984-09-21,0.7834,0.8043,0.7834,0.8043,901800
1984-09-24,0.8043,0.8095,0.8043,0.8043,264600
1984-09-25,0.8043,0.8095,0.8043,0.8095,36005
1984-09-26,0.8095,0.8148,0.8018,0.8018,234806
1984-09-27,0.8070,0.8148,0.8070,0.8123,138605
1984-09-28,0.8200,0.8227,0.8175,0.8200,265397
1984-10-01,0.8200,0.8252,0.8123,0.8123,259200
1984-10-02,0.8123,0.8200,0.8070,0.8070,391406
1984-10-03,0.8070,0.8123,0.8018,0.8043,567000
1984-10-04,0.8043,0.8123,0.7966,0.8070,553406
1984-10-05,0.8070,0.8070,0.7966,0.8043,22397
1984-10-08,0.7966,0.7966,0.7809,0.7809,621797
1984-10-09,0.7809,0.7809,0.7782,0.7809,183600
1984-10-10,0.7809,0.7914,0.7809,0.7914,140400
1984-10-11,0.7966,0.8123,0.7966,0.8123,394200
1984-10-12,0.8200,0.8409,0.8200,0.8304,778397
1984-10-15,0.8304,0.8384,0.8252,0.8279,364406
1984-10-16,0.8279,0.8332,0.8252,0.8304,87197
1984-10-17,0.8304,0.8332,0.8252,0.8279,83606
1984-10-18,0.8332,0.8409,0.8332,0.8409,380606
1984-10-19,0.8461,0.8593,0.8461,0.8488,388800
1984-10-22,0.8461,0.8461,0.8384,0.8409,124997
1984-10-23,0.8409,0.8540,0.8384,0.8384,95405
1984-10-24,0.8384,0.8409,0.8304,0.8384,162797
1984-10-25,0.8384,0.8540,0.8384,0.8540,100805
1984-10-26,0.8409,0.8409,0.8304,0.8384,367200
1984-10-29,0.8384,0.8409,0.8384,0.8384,138605
1984-10-30,0.8384,0.8384,0.8252,0.8252,205200
1984-10-31,0.8252,0.8304,0.8252,0.8304,170006
1984-11-01,0.8304,0.8593,0.8304,0.8593,281597
1984-11-02,0.8593,0.8593,0.8488,0.8488,124200
1984-11-05,0.8488,0.8593,0.8461,0.8461,65597
1984-11-06,0.8461,0.8593,0.8461,0.8540,117005
1984-11-07,0.8540,0.8670,0.8409,0.8670,216000
1984-11-08,0.8670,0.8670,0.8540,0.8618,154805
1984-11-09,0.8618,0.8618,0.8513,0.8513,95405
1984-11-12,0.8513,0.8593,0.8461,0.8461,97200
1984-11-13,0.8461,0.8461,0.8409,0.8409,45806
1984-11-14,0.8409,0.8409,0.8384,0.8384,67406
1984-11-15,0.8384,0.8384,0.8279,0.8304,65597
1984-11-16,0.8304,0.8332,0.8252,0.8332,102600
1984-11-19,0.8332,0.8332,0.8279,0.8279,91800
1984-11-20,0.8279,0.8304,0.8252,0.8279,46805
1984-11-21,0.8252,0.8252,0.8070,0.8123,110606
1984-11-23,0.8123,0.8123,0.8070,0.8123,22397
1984-11-26,0.8123,0.8123,0.8018,0.8018,378000
1984-11-27,0.8018,0.8018,0.7914,0.7966,213206
1984-11-28,0.8043,0.8043,0.8043,0.8043,245606
1984-11-29,0.8043,0.8123,0.8043,0.8043,249197
1984-11-30,0.7966,0.7966,0.7887,0.7914,213206
1984-12-03,0.7914,0.7966,0.7914,0.7914,198005
1984-12-04,1.1871,1.1949,1.1516,1.1673,238131
1984-12-05,1.1673,1.1871,1.1673,1.1830,392400
1984-12-06,1.1830,1.1830,1.1752,1.1830,72801
1984-12-07,1.1830,1.2106,1.1830,1.1949,189000
1984-12-10,1.1949,1.2457,1.1949,1.2378,90000
1984-12-11,1.2457,1.2613,1.2457,1.2497,175401
1984-12-12,1.2576,1.2613,1.2576,1.2576,292401
1984-12-13,1.2613,1.2732,1.2613,1.2692,1101600
1984-12-14,1.2692,1.2692,1.2457,1.2613,288801
1984-12-17,1.2613,1.2732,1.2497,1.2692,68400
1984-12-18,1.2613,1.2613,1.2497,1.2613,341001
1984-12-19,1.2576,1.2576,1.2300,1.2378,176400
1984-12-20,1.2378,1.2457,1.2300,1.2300,468000
1984-12-21,1.2300,1.2576,1.2300,1.2300,165600
1984-12-24,1.2378,1.2497,1.2378,1.2497,62001
1984-12-26,1.2497,1.2613,1.2497,1.2613,52200
1984-12-27,1.2613,1.2811,1.2497,1.2732,306000
1984-12-28,1.2732,1.2732,1.2613,1.2613,186201
1984-12-31,1.2613,1.2927,1.2576,1.2889,405000
1985-01-02,1.3005,1.3240,1.3005,1.3162,260001
1985-01-03,1.3005,1.3005,1.2576,1.2576,580401
1985-01-04,1.2576,1.2692,1.2300,1.2300,137601
1985-01-07,1.2300,1.2497,1.2184,1.2457,144000
1985-01-08,1.2457,1.2613,1.2457,1.2457,86400
1985-01-09,1.2457,1.2576,1.2300,1.2378,302400
1985-01-10,1.2378,1.2497,1.2378,1.2497,295200
1985-01-11,1.2497,1.2497,1.2378,1.2457,391401
1985-01-14,1.2457,1.2732,1.2457,1.2732,270000
1985-01-15,1.3162,1.3553,1.3162,1.3553,883800
1985-01-16,1.3553,1.3867,1.3437,1.3867,1801800
1985-01-17,1.3867,1.3986,1.3553,1.3672,396801
1985-01-18,1.3672,1.4221,1.3672,1.4064,1048401
1985-01-21,1.4064,1.4415,1.4064,1.4064,696600
1985-01-22,1.4064,1.4221,1.4064,1.4064,769401
1985-01-23,1.4064,1.4064,1.3867,1.3945,475200
1985-01-24,1.3945,1.4064,1.3788,1.3867,289800
1985-01-25,1.3553,1.3553,1.3162,1.3162,488601
1985-01-28,1.3162,1.3162,1.3005,1.3083,654201
1985-01-29,1.3083,1.3751,1.3005,1.3437,408600
1985-01-30,1.3751,1.4064,1.3751,1.3945,1259001
1985-01-31,1.3945,1.4064,1.3632,1.3986,499401
1985-02-01,1.3945,1.3945,1.3751,1.3867,302400
1985-02-04,1.3867,1.4064,1.3867,1.3986,450801
1985-02-05,1.3986,1.4064,1.3672,1.3751,300600
1985-02-06,1.3751,1.3945,1.3751,1.3867,213201
1985-02-07,1.3867,1.3945,1.3788,1.3945,635400
1985-02-08,1.3945,1.3986,1.3945,1.3986,243801
1985-02-11,1.3986,1.4064,1.3553,1.3632,210600
1985-02-12,1.3632,1.3632,1.3553,1.3632,60201
1985-02-13,1.3632,1.3751,1.3553,1.3632,64800
1985-02-14,1.3632,1.3751,1.3553,1.3672,376200
1985-02-15,1.3672,1.3788,1.3632,1.3632,233001
1985-02-19,1.3672,1.3867,1.3672,1.3751,118800
1985-02-20,1.3751,1.3986,1.3751,1.3751,315801
1985-02-21,1.3751,1.3945,1.3751,1.3867,222201
1985-02-22,1.3788,1.3788,1.3672,1.3751,81801
1985-02-25,1.3751,1.3751,1.3632,1.3632,49401
1985-02-26,1.3632,1.4064,1.3632,1.3986,173601
1985-02-27,1.3986,1.4064,1.3867,1.4064,303201
1985-02-28,1.4064,1.4064,1.3788,1.4064,200601
1985-03-01,1.4064,1.4064,1.3945,1.4064,330201
1985-03-04,1.4064,1.4064,1.3788,1.3788,76401
1985-03-05,1.3788,1.3867,1.3751,1.3788,137601
1985-03-06,1.3632,1.3632,1.3240,1.3359,294201
1985-03-07,1.3359,1.3359,1.3240,1.3240,84600
1985-03-08,1.3240,1.3359,1.3162,1.3162,542601
1985-03-11,1.3162,1.3240,1.3083,1.3162,105201
1985-03-12,1.3240,1.3359,1.3240,1.3240,52200
1985-03-13,1.3240,1.3437,1.3162,1.3240,91800
1985-03-14,1.3240,1.3437,1.3240,1.3437,200601
1985-03-15,1.3437,1.3437,1.3359,1.3359,318600
1985-03-18,1.3359,1.3751,1.3359,1.3437,534600
1985-03-19,1.3437,1.3751,1.3240,1.3437,561600
1985-03-20,1.3437,1.3751,1.3240,1.3437,889200
1985-03-21,1.3437,1.3788,1.3437,1.3788,507600
1985-03-22,1.3788,1.4064,1.3751,1.4064,591201
1985-03-25,1.4064,1.4064,1.3986,1.4064,253800
1985-03-26,1.4064,1.4064,1.3867,1.3986,152001
1985-03-27,1.3986,1.4064,1.3751,1.3751,297801
1985-03-28,1.3788,1.4064,1.3788,1.3945,60201
1985-03-29,1.3945,1.4064,1.3867,1.3986,866601
1985-04-01,1.3986,1.4064,1.3986,1.4064,154800
1985-04-02,1.4064,1.4415,1.4064,1.4221,411201
1985-04-03,1.4221,1.4299,1.4064,1.4299,924201
1985-04-04,1.4299,1.4299,1.4064,1.4221,206001
1985-04-08,1.4221,1.4299,1.4143,1.4299,268200
1985-04-09,1.4299,1.5277,1.4299,1.5120,496800
1985-04-10,1.5120,1.5120,1.4807,1.4926,313200
1985-04-11,1.4926,1.5239,1.4926,1.5120,423801
1985-04-12,1.5120,1.5277,1.5004,1.5277,192600
1985-04-15,1.5277,1.5355,1.5083,1.5083,200601
1985-04-16,1.5083,1.5239,1.5083,1.5120,67401
1985-04-17,1.5120,1.5239,1.4926,1.4926,119601
1985-04-18,1.4926,1.5083,1.4926,1.5004,126801
