date,open,high,low,close,volume
1962-01-02,1.4280,1.4417,1.4139,1.4280,163200
1962-01-03,1.4280,1.4417,1.4139,1.4417,155196
1962-01-04,1.4744,1.5208,1.4744,1.4792,355200
1962-01-05,1.4792,1.5115,1.4744,1.4929,163200
1962-01-08,1.4929,1.5159,1.4837,1.5022,203196
1962-01-09,1.5022,1.5300,1.4885,1.5159,289596
1962-01-10,1.5159,1.5252,1.4929,1.4974,182400
1962-01-11,1.4974,1.5208,1.4837,1.5208,384000
1962-01-12,1.5208,1.5486,1.5022,1.5300,351996
1962-01-15,1.5300,1.5393,1.5022,1.5252,279996
1962-01-16,1.5115,1.5115,1.4929,1.5022,163200
1962-01-17,1.5022,1.5208,1.4929,1.4974,159996
1962-01-18,1.4974,1.5300,1.4974,1.5300,260796
1962-01-19,1.5300,1.5578,1.5022,1.5578,356796
1962-01-22,1.5578,1.5764,1.5530,1.5530,260796
1962-01-23,1.5530,1.5671,1.5208,1.5208,222396
1962-01-24,1.5208,1.5208,1.4837,1.5115,120000
1962-01-25,1.5115,1.5348,1.5070,1.5208,150396
1962-01-26,1.5208,1.5348,1.5022,1.5208,107196
1962-01-29,1.5208,1.5348,1.5159,1.5348,121596
1962-01-30,1.5300,1.5300,1.5070,1.5115,120000
1962-01-31,1.5115,1.5348,1.5115,1.5208,188796
1962-02-01,1.5208,1.5578,1.5208,1.5486,111996
1962-02-02,1.5486,1.5530,1.5348,1.5393,198396
1962-02-05,1.5393,1.5441,1.5348,1.5348,96000
1962-02-06,1.5393,1.5530,1.5393,1.5441,105600
1962-02-07,1.5441,1.5530,1.5252,1.5252,121596
1962-02-08,1.5252,1.5300,1.5252,1.5252,140796
1962-02-09,1.5252,1.5300,1.5070,1.5070,115200
1962-02-12,1.5070,1.5115,1.4885,1.5115,97596
1962-02-13,1.5115,1.5159,1.4974,1.5070,86400
1962-02-14,1.5070,1.5070,1.4837,1.4929,177600
1962-02-15,1.4885,1.4885,1.4651,1.4837,59196
1962-02-16,1.4837,1.5022,1.4558,1.4929,87996
1962-02-19,1.4929,1.5070,1.4792,1.4929,169596
1962-02-20,1.4929,1.4974,1.4837,1.4885,67200
1962-02-21,1.4885,1.4885,1.4466,1.4558,97596
1962-02-23,1.4558,1.4744,1.4466,1.4558,96000
1962-02-26,1.4837,1.5115,1.4837,1.5115,158400
1962-02-27,1.5115,1.5208,1.4929,1.4974,116796
1962-02-28,1.4974,1.5159,1.4837,1.4974,139200
1962-03-01,1.4974,1.5159,1.4974,1.4974,73596
1962-03-02,1.4974,1.5022,1.4837,1.5022,105600
1962-03-05,1.5022,1.5070,1.4837,1.5022,78396
1962-03-06,1.5022,1.5159,1.4837,1.4929,97596
1962-03-07,1.4929,1.4929,1.4651,1.4744,172800
1962-03-08,1.4744,1.4792,1.4558,1.4603,97596
1962-03-09,1.4603,1.4651,1.4558,1.4558,86400
1962-03-12,1.4558,1.4603,1.4373,1.4373,96000
1962-03-13,1.4373,1.4558,1.4139,1.4466,140796
1962-03-14,1.4514,1.4792,1.4514,1.4792,116796
1962-03-15,1.4792,1.4792,1.4558,1.4651,139200
1962-03-16,1.4651,1.4792,1.4651,1.4792,78396
1962-03-19,1.4792,1.4974,1.4696,1.4792,105600
1962-03-20,1.4837,1.5115,1.4837,1.5115,177600
1962-03-21,1.5115,1.5159,1.4651,1.4744,231996
1962-03-22,1.4837,1.5070,1.4837,1.4974,268800
1962-03-23,1.4974,1.5115,1.4885,1.4974,188796
1962-03-26,1.4974,1.5022,1.4744,1.4885,124800
1962-03-27,1.4885,1.4929,1.4837,1.4885,111996
1962-03-28,1.4885,1.5159,1.4885,1.5159,145596
1962-03-29,1.5159,1.5159,1.4929,1.4974,91200
1962-03-30,1.4974,1.5159,1.4929,1.5159,86400
1962-04-02,1.5115,1.5115,1.4792,1.4885,230400
1962-04-03,1.4885,1.5070,1.4792,1.4837,168000
1962-04-04,1.4837,1.4974,1.4792,1.4885,115200
1962-04-05,1.4885,1.5022,1.4837,1.5022,192000
1962-04-06,1.4974,1.4974,1.4792,1.4974,148800
1962-04-09,1.4974,1.4974,1.4792,1.4792,124800
