date,open,high,low,close,volume
2010-06-15,28.0451,28.8574,27.6176,27.7800,17022500
2010-06-16,27.6774,28.0366,27.3354,27.4209,2158800
2010-06-17,27.6603,27.7715,26.7198,26.9336,1467700
2010-06-18,26.8908,27.0613,26.3008,26.5146,1132200
2010-06-21,27.0704,28.2161,26.5146,27.3953,1066900
2010-06-22,27.6860,28.3444,27.1986,27.9511,1008800
2010-06-23,28.2161,28.6436,27.3611,28.6265,1029400
2010-06-24,28.6351,29.2251,28.0109,28.4641,1600800
2010-06-25,28.4726,28.5154,27.4209,27.4209,640100
2010-06-28,27.7629,28.2589,27.1559,28.0280,718200
2010-06-29,27.5748,27.6176,26.7369,27.1559,622300
2010-06-30,27.3525,27.9169,27.0618,27.8313,402400
2010-07-01,27.5748,27.7886,25.6510,25.9161,1023200
2010-07-02,25.8648,26.5060,25.6681,26.3863,483700
2010-07-06,26.8481,26.8481,25.3945,25.4800,805200
2010-07-07,25.4800,26.0187,24.9413,24.9926,583700
2010-07-08,24.8387,25.9246,24.3257,24.8045,2176300
2010-07-09,24.9841,25.0781,24.5053,24.7703,448600
2010-07-12,24.5822,24.6592,22.8037,22.9149,1194500
2010-07-13,23.4108,23.9153,23.0175,23.8127,877900
2010-07-14,23.8298,23.8298,23.1971,23.3766,885100
2010-07-15,23.2569,23.2997,22.3164,22.6584,642100
2010-07-16,22.4532,23.2142,22.4147,22.6156,708700
2010-07-19,23.0261,23.0261,22.2822,22.6498,306000
2010-07-20,22.4361,22.8294,22.2309,22.2993,490100
2010-07-21,22.3249,23.1543,22.3249,22.7524,854200
2010-07-22,23.0004,23.5989,22.8722,23.1116,322600
2010-07-23,22.9919,23.2484,22.7695,23.2142,233300
2010-07-26,23.0859,23.2055,22.3249,22.6584,631200
2010-07-27,22.5814,23.6417,22.4446,23.2484,537900
2010-07-28,23.1287,23.2740,22.7182,23.2142,131300
2010-07-29,23.0859,23.2655,22.4874,22.8037,296200
2010-07-30,22.6327,23.2484,22.5045,22.7439,220100
2010-08-02,23.2056,23.6246,22.8123,23.5476,356600
2010-08-03,23.3766,23.6246,23.2142,23.2997,254100
2010-08-04,23.3424,23.5134,22.7866,22.8380,412500
2010-08-05,22.4532,22.4532,20.7260,21.2048,1554200
2010-08-06,20.7346,20.8252,19.7684,20.3498,1221700
2010-08-09,20.5208,20.6833,20.1189,20.4952,436800
2010-08-10,20.4268,20.4268,19.6658,19.6658,396600
2010-08-11,19.5461,19.8111,19.1357,19.6230,578900
2010-08-12,19.6145,20.1360,19.4093,19.9308,515200
2010-08-13,19.7513,19.9736,19.4948,19.6658,322000
2010-08-16,19.4862,19.8539,19.4349,19.4862,190700
2010-08-17,19.5546,19.7940,19.2041,19.7684,329500
2010-08-18,19.5632,19.8197,19.2383,19.7598,361500
2010-08-19,20.0334,20.2215,19.4948,19.6658,655000
2010-08-20,19.5888,19.6743,19.3494,19.5546,326700
2010-08-23,19.4777,19.8368,19.4777,19.6658,279500
2010-08-24,19.2383,19.3836,18.1695,18.6312,762400
2010-08-25,18.2037,18.6654,18.1695,18.5286,242700
2010-08-26,18.6055,19.0502,18.1695,18.1951,213900
2010-08-27,18.2635,18.3148,17.3144,17.8446,378500
2010-08-30,17.8446,18.1011,17.3999,17.6308,273200
2010-08-31,17.5367,17.9386,17.4512,17.8788,110300
2010-09-01,18.0903,18.8891,17.9958,18.5713,257000
