date,open,high,low,close,volume
2004-06-10,6.3333,6.3367,6.0333,6.1167,35097600
2004-06-14,6.0833,6.1267,6.0533,6.0667,2313600
2004-06-15,6.0700,6.2500,6.0700,6.2500,2499600
2004-06-16,6.2500,6.3667,6.2500,6.3333,2810100
2004-06-17,6.3533,6.3667,6.2667,6.3500,1390200
2004-06-18,6.3500,6.3967,6.3333,6.3433,708300
2004-06-21,6.3300,6.3667,6.3000,6.3633,508500
2004-06-22,6.3300,6.3633,6.3000,6.3533,1125900
2004-06-23,6.2833,6.2967,6.1567,6.2967,1033500
2004-06-24,6.2667,6.3500,6.2500,6.3333,857700
2004-06-25,6.3333,6.3500,6.2500,6.3333,809100
2004-06-28,6.2500,6.3567,6.2167,6.3333,1184400
2004-06-29,6.3333,6.3667,6.3333,6.3667,608700
2004-06-30,6.3500,6.4000,6.3467,6.3667,552600
2004-07-01,6.3500,6.3833,6.3333,6.3667,380100
2004-07-02,6.3500,6.3833,6.2667,6.3833,246600
2004-07-06,6.3533,6.3667,6.3333,6.3633,137100
2004-07-07,6.3400,6.3500,6.3333,6.3500,181200
2004-07-08,6.3633,6.3633,6.3367,6.3500,190500
2004-07-09,6.3500,6.3567,6.3333,6.3333,226500
2004-07-12,6.3333,6.3500,6.3033,6.3033,176700
2004-07-13,6.2833,6.3533,6.2600,6.3533,578100
2004-07-14,6.3400,6.3733,6.3233,6.3667,303600
2004-07-15,6.3433,6.3500,6.3033,6.3500,312900
2004-07-16,6.3433,6.3600,6.3000,6.3000,268800
2004-07-19,6.3000,6.3333,6.2933,6.3333,212700
2004-07-20,6.3267,6.3467,6.2900,6.3333,505200
2004-07-21,6.3267,6.3500,6.3233,6.3367,165000
2004-07-22,6.3333,6.4067,6.3233,6.4067,231000
2004-07-23,6.2500,6.3000,6.1633,6.3000,1555800
2004-07-26,6.2167,6.2600,6.2133,6.2600,420900
2004-07-27,6.2567,6.2800,6.2567,6.2600,113700
2004-07-28,6.2533,6.3033,6.2333,6.2867,131100
2004-07-29,6.2567,6.3000,6.2567,6.3000,91800
2004-07-30,6.3000,6.3467,6.2767,6.3133,1072200
2004-08-02,6.2967,6.3467,6.2833,6.3400,203100
2004-08-03,6.3400,6.4067,6.3333,6.3900,222900
2004-08-04,6.3500,6.3667,6.3267,6.3500,386400
2004-08-05,6.5000,6.6667,6.3867,6.5700,1145100
2004-08-06,6.5333,6.5333,6.4333,6.4733,144900
2004-08-09,6.4400,6.4400,6.3567,6.3600,469800
2004-08-10,6.3333,6.4800,6.3333,6.4333,328800
2004-08-11,6.4500,6.4800,6.4167,6.4333,138900
2004-08-12,6.4500,6.5000,6.4167,6.4167,279600
2004-08-13,6.4500,6.4533,6.3733,6.4000,420300
2004-08-16,6.3500,6.4167,6.3500,6.3867,473700
2004-08-17,6.3867,6.3967,6.2567,6.2833,743400
2004-08-18,6.3000,6.3167,6.2600,6.3033,68100
2004-08-19,6.3033,6.4067,6.3033,6.3733,119700
2004-08-20,6.3933,6.4667,6.3800,6.4667,150300
2004-08-23,6.4333,6.4367,6.3500,6.3933,663300
2004-08-24,6.3967,6.4433,6.3500,6.4333,185400
2004-08-25,6.4500,6.4667,6.3733,6.4467,91800
2004-08-26,6.4667,6.4967,6.4467,6.4800,188100
2004-08-27,6.4800,6.4967,6.4167,6.4433,211800
2004-08-30,6.4600,6.4767,6.4233,6.4733,63300
2004-08-31,6.4733,6.5333,6.4667,6.4967,717900
2004-09-01,6.5333,6.6133,6.5333,6.5800,650400
2004-09-02,6.5467,6.6667,6.5467,6.6567,1025700
2004-09-03,6.6667,6.9667,6.6300,6.8667,161100
2004-09-07,6.9000,6.9233,6.8467,6.9133,445200
2004-09-08,6.8333,6.8433,6.7667,6.7733,191700
2004-09-09,6.8567,7.2367,6.8567,7.1333,963000
2004-09-10,7.1667,7.5333,7.1667,7.4533,961800
2004-09-13,7.6133,7.6333,7.4533,7.5200,852000
2004-09-14,7.4667,7.6300,7.4433,7.5900,709200
2004-09-15,7.5600,7.5833,7.4833,7.4967,530700
2004-09-16,7.4967,7.4967,7.3500,7.3967,688800
2004-09-17,7.3767,7.3767,7.3000,7.3333,565200
2004-09-20,7.3667,7.5600,7.3667,7.4667,696600
