date,open,high,low,close,volume
1998-08-18,9.8875,10.0717,9.8875,9.9796,5783000
1998-08-19,9.9796,10.1715,9.9796,9.9796,388700
1998-08-20,10.0717,10.1715,9.9796,9.9796,348500
1998-08-21,9.9796,9.9796,9.9796,9.9796,804000
1998-08-24,9.9796,9.9796,9.9796,9.9796,119700
1998-08-25,9.9796,9.9796,9.8875,9.9796,294100
1998-08-26,9.9796,9.9796,9.3040,9.4038,383800
1998-08-27,9.4038,9.5036,8.2523,8.5364,435300
1998-08-28,8.7360,8.7360,7.6766,7.6766,192400
1998-08-31,7.6766,7.7764,5.8572,6.2411,150800
1998-09-01,6.3332,6.9089,5.1356,6.5251,440700
1998-09-02,6.5251,8.0604,6.5251,7.3388,509200
1998-09-03,7.4847,7.4847,6.5251,6.7170,165900
1998-09-04,6.9089,6.9089,6.2411,6.4330,155700
1998-09-08,6.9089,7.6766,6.7170,7.5845,149300
1998-09-09,7.5845,7.6766,7.2928,7.2928,116900
1998-09-10,7.2006,7.2006,6.9089,7.1008,80700
1998-09-11,7.1469,7.2006,6.9089,6.9089,84800
1998-09-14,7.1008,7.3926,6.9089,6.9089,90800
1998-09-15,7.0087,7.1008,6.6249,6.7170,200400
1998-09-16,6.7170,6.7170,5.9494,6.0492,221300
1998-09-17,6.0492,6.6249,6.0492,6.3562,87300
1998-09-18,6.4330,6.6710,5.9494,6.3332,147300
1998-09-21,6.0492,6.1413,5.2815,5.3736,472900
1998-09-22,5.4734,6.2411,5.4197,6.1413,728300
1998-09-23,6.3332,6.6249,6.1413,6.4330,382500
1998-09-24,6.5251,7.2006,6.5251,6.9550,280800
1998-09-25,6.7170,7.2467,6.7170,7.2006,44400
1998-09-28,7.2928,7.5845,7.2006,7.2006,26500
1998-09-29,7.2928,7.4847,7.1008,7.3158,88300
1998-09-30,7.2928,7.7227,7.2006,7.3926,172300
1998-10-01,7.3926,7.3926,6.8168,6.8168,85500
1998-10-02,6.8168,7.1008,6.8168,6.8168,58700
1998-10-05,6.7170,6.8168,6.1413,6.1413,63000
1998-10-06,6.9089,7.0087,6.1413,6.4330,129500
