date,open,high,low,close,volume
1989-01-05,1.9139,1.9288,1.8815,1.9288,124000
1989-01-06,1.9139,1.9288,1.8977,1.9139,180400
1989-01-09,1.9437,1.9437,1.8977,1.9288,236400
1989-01-10,1.9437,1.9761,1.8977,1.9761,409600
1989-01-11,1.9761,2.0383,1.9761,2.0060,892000
1989-01-12,2.0060,2.0532,1.9910,2.0532,1088400
1989-01-13,2.0682,2.1005,2.0532,2.0844,372800
1989-01-16,2.0844,2.0844,2.0383,2.0682,529600
1989-01-17,2.0682,2.0844,2.0221,2.0532,388400
1989-01-18,2.0682,2.1155,2.0383,2.1155,572800
1989-01-19,2.1155,2.1155,2.0682,2.0682,100400
1989-01-20,2.0844,2.1005,2.0682,2.1005,452400
1989-01-23,2.1005,2.1005,2.0532,2.0682,238000
1989-01-24,2.0682,2.0682,2.0383,2.0682,402000
1989-01-25,2.0844,2.1466,2.0532,2.1155,194400
1989-01-26,2.1304,2.1926,2.1155,2.1926,1333600
1989-01-27,2.1926,2.3171,2.1777,2.2710,2786800
1989-01-30,2.2399,2.2548,2.2250,2.2399,1008400
1989-01-31,2.2710,2.2872,2.2088,2.2399,724800
1989-02-01,2.2250,2.2399,2.2088,2.2250,398800
1989-02-02,2.2250,2.2399,2.2088,2.2250,76000
1989-02-03,2.2250,2.2548,2.2088,2.2548,285600
1989-02-06,2.2548,2.2548,2.1926,2.2088,270800
1989-02-07,2.1926,2.2250,2.1777,2.2088,1048800
1989-02-08,2.2250,2.2250,2.1628,2.1777,124400
1989-02-09,2.1628,2.1777,2.1005,2.1005,137200
1989-02-10,2.0682,2.1005,2.0383,2.0682,282400
1989-02-13,2.0532,2.0532,2.0221,2.0532,272000
1989-02-14,2.0383,2.1155,2.0383,2.1005,130400
1989-02-15,2.1155,2.1304,2.1005,2.1155,431600
1989-02-16,2.1155,2.1304,2.0844,2.1005,168400
1989-02-17,2.0844,2.1005,2.0844,2.1005,114800
1989-02-21,2.0844,2.1005,2.0532,2.0532,193200
1989-02-22,2.0508,2.0508,2.0032,2.0508,193600
1989-02-23,2.0508,2.0658,2.0182,2.0658,544800
1989-02-24,2.0658,2.0971,2.0508,2.0808,882000
1989-02-27,2.0808,2.0971,2.0658,2.0808,449600
1989-02-28,2.0808,2.0808,2.0345,2.0658,569600
1989-03-01,2.0508,2.0658,2.0345,2.0508,110000
1989-03-02,2.0508,2.0508,2.0345,2.0508,508400
1989-03-03,2.0345,2.0658,2.0345,2.0658,1703200
1989-03-06,2.0508,2.0658,2.0182,2.0345,1486400
1989-03-07,2.0345,2.0345,1.9556,1.9719,271200
1989-03-08,1.9882,2.0032,1.9406,2.0032,521200
1989-03-09,1.9990,2.0307,1.9990,2.0307,863600
1989-03-10,2.0307,2.0307,1.9990,1.9990,339200
1989-03-13,1.9825,2.0155,1.9673,1.9990,587200
1989-03-14,2.0155,2.0307,2.0155,2.0307,219200
1989-03-15,2.0307,2.0460,2.0155,2.0307,1554400
1989-03-16,2.0460,2.0460,2.0155,2.0307,823600
1989-03-17,2.0155,2.0155,1.9520,1.9673,311200
1989-03-20,1.9673,1.9673,1.9190,1.9355,268800
1989-03-21,1.9355,1.9673,1.9355,1.9355,808400
1989-03-22,1.9520,1.9673,1.9038,1.9355,2554800
1989-03-23,1.9520,1.9673,1.9038,1.9190,876400
1989-03-27,1.9355,1.9520,1.8886,1.9038,173200
1989-03-28,1.9190,2.0155,1.9038,1.9673,518000
1989-03-29,1.9990,2.0625,1.9990,2.0460,1122800
1989-03-30,2.0625,2.0625,2.0155,2.0460,284000
1989-03-31,2.0307,2.0790,2.0307,2.0307,540000
1989-04-03,2.0460,2.0625,2.0307,2.0460,158400
1989-04-04,2.0625,2.0790,2.0460,2.0460,596000
1989-04-05,2.0625,2.0625,2.0460,2.0625,230400
1989-04-06,2.0790,2.0790,2.0460,2.0625,209200
1989-04-07,2.0790,2.0790,2.0155,2.0307,199200
1989-04-10,2.0307,2.0790,2.0307,2.0625,672000
1989-04-11,2.0625,2.0625,2.0460,2.0625,401200
1989-04-12,2.0625,2.0790,2.0307,2.0460,563600
1989-04-13,2.0625,2.0625,2.0155,2.0460,374400
1989-04-14,2.0460,2.0942,2.0460,2.0942,781600
1989-04-17,2.0942,2.2059,2.0942,2.2059,781600
1989-04-18,2.2211,2.2998,2.2059,2.2846,758000
1989-04-19,2.2528,2.2998,2.2363,2.2846,657600
1989-04-20,2.2846,2.2846,2.2059,2.2211,610800
1989-04-21,2.2059,2.2211,2.1894,2.1894,720400
1989-04-24,2.2059,2.2528,2.2059,2.2528,260000
1989-04-25,2.2528,2.2846,2.2363,2.2528,1207600
1989-04-26,2.2528,2.2528,2.2059,2.2363,772000
1989-04-27,2.2528,2.2846,2.2528,2.2693,840000
1989-04-28,2.2693,2.2693,2.1729,2.2211,232800
1989-05-01,2.2211,2.2211,2.1576,2.1576,117200
1989-05-02,2.1894,2.2059,2.1576,2.1576,148400
1989-05-03,2.1424,2.1576,2.1424,2.1576,278000
1989-05-04,2.1576,2.1729,2.1424,2.1424,86000
1989-05-05,2.1424,2.2059,2.1424,2.1729,452000
1989-05-08,2.1729,2.1729,2.1424,2.1729,295200
1989-05-09,2.1729,2.1894,2.1424,2.1576,193200
1989-05-10,2.1576,2.1729,2.1576,2.1576,159600
1989-05-11,2.1576,2.2059,2.1424,2.2059,226000
1989-05-12,2.2363,2.2846,2.2211,2.2846,382400
1989-05-15,2.2846,2.2998,2.2528,2.2693,887600
1989-05-16,2.2528,2.2693,2.2363,2.2363,189600
1989-05-17,2.2693,2.2846,2.2211,2.2693,608800
1989-05-18,2.2363,2.2998,2.2363,2.2693,855600
