date,open,high,low,close,volume
2005-01-21,12.9500,13.1119,12.5453,12.9500,22145000
2005-01-24,12.9905,13.0148,12.9500,12.9500,3509900
2005-01-25,12.9500,12.9581,12.5453,12.6667,2995500
2005-01-26,12.5858,12.6505,12.5453,12.6182,1467500
2005-01-27,12.6182,12.8286,12.2216,12.7720,858000
2005-01-28,12.7881,12.9662,12.7720,12.9500,697300
2005-01-31,12.9905,13.1605,12.9662,13.0552,1641900
2005-02-01,13.0552,13.1766,12.9500,13.1119,838100
2005-02-02,13.1119,13.2252,13.0795,13.1119,759200
2005-02-03,13.1200,13.1200,12.9419,12.9581,729500
2005-02-04,12.9824,13.0067,12.9500,12.9824,926600
2005-02-07,12.9743,13.0310,12.7477,12.7477,1128300
2005-02-08,12.7477,12.9500,12.7153,12.7881,274900
2005-02-09,12.8124,12.9015,12.6910,12.7800,410500
2005-02-10,12.7072,12.7153,12.5453,12.6101,551600
2005-02-11,12.5615,12.7396,12.3430,12.6020,842000
2005-02-14,12.3835,12.6667,12.2216,12.6263,652500
2005-02-15,12.6020,12.9500,12.5858,12.9015,438400
2005-02-16,12.9095,13.0633,12.7962,13.0310,514800
2005-02-17,13.0714,13.5166,13.0390,13.3547,928500
2005-02-18,13.4114,13.5975,13.2738,13.5490,2403100
2005-02-22,13.3709,13.5894,13.2495,13.3142,782700
2005-02-23,13.2738,13.5570,13.2333,13.4356,474500
2005-02-24,13.3628,13.5570,13.3142,13.5570,482900
2005-02-25,13.5570,13.9779,13.5570,13.9779,1240600
2005-02-28,13.9617,13.9617,13.3952,13.5166,993300
2005-03-01,13.5004,13.5004,13.0471,13.0795,916800
2005-03-02,13.3952,13.5247,12.9905,13.2414,1275400
2005-03-03,13.3547,13.5166,13.1524,13.1524,836400
2005-03-04,13.2738,13.5651,13.2333,13.3628,1138700
2005-03-07,13.5004,13.8889,13.4923,13.8322,1395900
2005-03-08,14.1236,14.1236,13.9213,13.9617,1201500
2005-03-09,14.1641,14.7630,14.0508,14.5283,1465300
2005-03-10,14.5283,14.6416,14.0750,14.4878,966700
2005-03-11,14.6092,14.6335,14.4878,14.5688,722300
2005-03-14,14.5930,14.6983,14.0993,14.4474,1093100
2005-03-15,14.5526,14.7711,14.1803,14.2855,687800
2005-03-16,14.1236,14.3260,13.9051,14.0184,726300
2005-03-17,13.9375,14.1641,13.9375,14.0750,301200
2005-03-18,14.0427,14.0831,13.8970,13.9698,383200
2005-03-21,13.9698,14.0427,13.5651,13.7189,394800
2005-03-22,13.8160,13.8727,13.7513,13.7513,282500
2005-03-23,13.7594,14.0022,13.5166,13.6785,766900
2005-03-24,14.6902,15.0949,14.3664,14.6416,2373600
2005-03-28,14.8116,14.8440,14.3907,14.4312,732200
2005-03-29,14.3907,14.5688,14.0831,14.0912,457300
2005-03-30,14.1398,14.4474,14.1236,14.3260,522800
2005-03-31,14.3260,14.7306,14.3260,14.5607,1568500
2005-04-01,14.5607,14.6983,14.1641,14.6497,472000
2005-04-04,14.5850,14.6092,13.8889,14.0750,317800
2005-04-05,14.0750,14.1074,13.8808,14.0265,294300
2005-04-06,14.0831,14.1479,13.9213,13.9617,339900
2005-04-07,13.9617,14.0750,13.8646,13.9860,148700
2005-04-08,13.9051,13.9051,13.7756,13.7756,256800
2005-04-11,13.7999,13.8727,13.7432,13.8241,198600
2005-04-12,13.8160,14.0103,13.5328,14.0103,353500
2005-04-13,14.0103,14.0103,13.5894,13.6056,307000
2005-04-14,13.5975,13.6542,13.0512,13.0957,393000
2005-04-15,13.0876,13.0876,12.5696,12.6667,367600
2005-04-18,12.1406,12.4320,12.1002,12.3835,887200
2005-04-19,12.5453,12.6263,12.4239,12.6263,583900
2005-04-20,12.6505,12.6991,12.1811,12.2216,186800
2005-04-21,12.3025,12.4239,12.1973,12.3511,980800
2005-04-22,12.2620,12.3106,11.8978,12.1406,858800
2005-04-25,12.1811,12.3592,12.1406,12.3592,438900
2005-04-26,12.3592,12.3996,11.9407,11.9626,408600
2005-04-27,11.9626,11.9626,11.4931,11.5741,496200
2005-04-28,11.5903,11.6631,11.3798,11.4122,445600
2005-04-29,11.7360,11.8978,11.5660,11.7764,874600
2005-05-02,11.8169,12.2378,11.8169,12.2378,862700
2005-05-03,12.1568,12.4239,12.1568,12.2378,353400
2005-05-04,12.2620,12.3106,12.1406,12.3106,573700
2005-05-05,12.3187,12.6020,12.2701,12.5453,517700
2005-05-06,12.5858,12.7639,12.4725,12.5210,335500
2005-05-09,12.5453,12.9500,12.5453,12.8772,839900
2005-05-10,12.7477,13.1119,11.8978,12.2620,1417000
2005-05-11,12.2540,12.3349,12.1406,12.2135,816500
2005-05-12,12.1973,12.3673,11.8816,12.0192,770900
2005-05-13,12.0192,12.0597,11.5336,11.5417,420000
2005-05-16,11.5741,11.7440,11.3798,11.3798,592700
2005-05-17,11.3960,11.4608,10.9589,11.4608,805600
2005-05-18,11.5012,11.9869,11.3960,11.8493,640000
2005-05-19,12.5049,12.5049,12.2297,12.3673,698600
2005-05-20,12.4644,12.6829,12.3430,12.5858,381100
2005-05-23,12.6263,13.1928,12.5534,13.1524,756600
2005-05-24,13.1524,13.1524,12.7881,13.0310,604300
2005-05-25,12.9662,13.0390,12.7720,12.9015,336200
2005-05-26,12.9824,12.9824,12.4725,12.6425,330900
2005-05-27,12.6263,12.6505,12.3025,12.5696,297500
2005-05-31,12.5615,12.5696,12.3996,12.5291,261900
2005-06-01,12.5453,12.9015,12.5453,12.7558,457000
2005-06-02,12.7072,12.9095,12.6586,12.9095,333500
2005-06-03,12.8691,12.8691,12.7881,12.8529,195900
2005-06-06,12.8448,12.8448,12.7881,12.8286,295100
2005-06-07,12.8691,12.8691,12.6991,12.8043,247100
2005-06-08,12.7962,12.7962,12.7396,12.7800,575200
2005-06-09,12.7881,12.8205,12.7477,12.7881,492300
2005-06-10,12.7881,12.7881,12.7396,12.7881,236700
2005-06-13,12.7477,12.7720,12.5777,12.6586,149600
2005-06-14,12.6263,12.7881,12.5858,12.7072,528500
2005-06-15,12.7558,12.8448,12.7234,12.8448,1340000
2005-06-16,12.8448,13.2576,12.8448,13.1928,633500
2005-06-17,13.2333,13.2333,12.4644,12.6667,354400
2005-06-20,12.6586,12.7477,12.3025,12.4482,248200
2005-06-21,12.4239,12.6263,12.3430,12.5210,191100
2005-06-22,12.5615,12.8367,12.5615,12.8367,277900
2005-06-23,12.8286,12.8691,12.6020,12.7720,235400
2005-06-24,12.7477,12.8286,12.6667,12.8205,481100
2005-06-27,12.8205,12.8205,12.5453,12.6829,145700
2005-06-28,12.5939,12.7558,12.5939,12.7234,468700
2005-06-29,12.7315,12.8367,12.6667,12.7881,713200
2005-06-30,12.7881,12.9176,12.7881,12.8610,788200
2005-07-01,12.9015,12.9500,12.8610,12.9257,237100
2005-07-05,12.8853,12.9986,12.8529,12.9824,244000
2005-07-06,12.9662,13.1362,12.9257,13.1281,333500
2005-07-07,12.9743,13.0390,12.8529,13.0310,311100
2005-07-08,13.0310,13.1524,12.8853,13.1362,1252400
2005-07-11,13.2738,13.7675,13.2738,13.7108,766000
2005-07-12,13.8403,14.1641,13.7594,14.0993,1072800
2005-07-13,14.0912,14.4474,14.0831,14.3907,676900
2005-07-14,14.4716,14.4797,14.2045,14.3826,353300
2005-07-15,14.3826,14.5526,14.3745,14.4555,281700
2005-07-18,13.8808,14.3988,13.8808,14.3179,480900
2005-07-19,14.4393,14.6416,14.2936,14.5526,499400
2005-07-20,14.5283,14.9492,14.3826,14.9087,1111800
2005-07-21,14.9735,15.1353,14.7549,14.9977,600400
2005-07-22,14.9735,14.9735,14.8601,14.9087,139000
2005-07-25,14.8925,15.0139,14.8763,14.8925,1887400
2005-07-26,14.8925,14.9492,14.6497,14.8925,408800
2005-07-27,14.8925,15.2567,14.8925,15.2082,331000
2005-07-28,15.1353,15.2001,15.0220,15.1353,219700
2005-07-29,15.1353,15.2325,14.9735,15.2325,197300
2005-08-01,15.2729,15.2729,15.0787,15.2244,199200
2005-08-02,15.2485,15.3945,15.2485,15.3134,251200
2005-08-03,15.3134,15.4107,15.0620,15.0782,530700
2005-08-04,15.0863,15.0863,14.8673,14.9565,1220900
2005-08-05,14.9890,14.9971,14.8105,14.9565,61700
2005-08-08,14.9971,15.0538,14.8430,14.9403,92700
2005-08-09,15.6135,15.6541,15.1836,15.4188,910100
2005-08-10,15.6135,15.6378,15.4269,15.5081,270500
2005-08-11,15.4513,15.9217,15.4513,15.8812,320700
2005-08-12,15.8000,15.9055,15.6541,15.9055,343100
2005-08-15,15.9136,16.1326,15.8163,16.0109,223800
2005-08-16,15.9055,16.0353,15.8568,15.8974,742100
2005-08-17,15.8812,15.8812,15.6703,15.7676,445000
2005-08-18,15.7433,15.7676,15.5243,15.5973,331800
2005-08-19,15.5973,15.5973,15.4594,15.5811,180500
2005-08-22,15.5811,15.9947,15.4999,15.7838,582200
2005-08-23,15.8568,16.2705,15.8568,16.2705,468100
2005-08-24,16.1650,16.1975,15.9866,16.0190,437900
2005-08-25,16.0515,16.1001,15.2404,15.5324,633400
2005-08-26,15.5324,15.7189,15.1917,15.2728,307300
2005-08-29,15.1431,15.1674,14.6077,15.0944,387600
2005-08-30,15.0863,15.1431,14.8105,14.9322,273300
2005-08-31,14.9322,15.0457,14.6402,14.9484,451000
2005-09-01,15.0052,15.2485,14.8835,15.1268,433400
2005-09-02,15.1268,15.1674,14.9646,15.0782,115900
2005-09-06,15.1350,15.1998,14.9890,15.1350,190400
2005-09-07,15.0863,15.4351,15.0782,15.2647,230200
2005-09-08,15.3053,15.4513,15.2728,15.3215,211300
2005-09-09,15.3296,15.4513,15.1674,15.4351,108100
2005-09-12,15.4918,15.6216,15.2242,15.5973,144600
2005-09-13,15.5973,15.6784,15.4675,15.6216,219300
2005-09-14,15.5324,15.6865,15.4594,15.5162,885000
2005-09-15,15.5162,15.5243,14.8754,14.9890,540500
2005-09-16,15.0133,15.1106,14.8835,14.9403,114400
2005-09-19,14.9727,14.9727,14.4942,14.7213,210300
2005-09-20,14.6807,14.6807,14.3158,14.3401,684900
2005-09-21,14.2509,14.2590,13.7480,13.8778,259500
2005-09-22,13.8778,13.9589,13.5047,13.8697,413500
2005-09-23,13.8048,14.2184,13.7561,14.0724,554600
2005-09-26,14.1535,14.1535,13.8129,13.8778,296100
2005-09-27,13.8291,13.9021,13.4398,13.7480,288900
2005-09-28,13.7561,13.8372,13.5777,13.6750,319100
2005-09-29,13.7074,13.8210,13.5371,13.8129,174800
2005-09-30,13.8129,14.2103,13.7480,13.9913,232700
2005-10-03,14.0319,14.0643,13.5371,13.6020,207900
2005-10-04,13.5614,13.9345,13.5452,13.7237,96600
2005-10-05,13.7237,13.7237,13.5047,13.6750,186000
2005-10-06,13.6750,13.6750,13.3911,13.5452,309100
2005-10-07,13.5290,13.9345,13.5290,13.8129,141300
2005-10-10,13.8534,13.8534,13.4398,13.5290,111800
2005-10-11,13.5290,13.9345,13.5290,13.6669,251400
2005-10-12,13.6671,13.7159,13.5533,13.5614,159400
