date,open,high,low,close,volume
2005-08-11,2.4547,2.5001,2.4170,2.4472,76671500
2005-08-12,2.4547,2.7191,2.4547,2.7085,29113500
2005-08-15,2.6813,2.6964,2.6073,2.6134,10596500
2005-08-16,2.5529,2.6134,2.5529,2.5907,5141000
2005-08-17,2.5907,2.5982,2.5378,2.5454,6423500
2005-08-18,2.5605,2.5650,2.4547,2.4698,12727000
2005-08-19,2.4910,2.5212,2.4547,2.5076,3029500
2005-08-22,2.5152,2.5711,2.4789,2.5680,2909500
2005-08-23,2.6436,2.7100,2.6134,2.6526,13466000
2005-08-24,2.6436,2.6813,2.6179,2.6436,3083000
2005-08-25,2.6738,2.6798,2.6285,2.6375,4667000
2005-08-26,2.6511,2.6602,2.6285,2.6390,2704000
2005-08-29,2.5529,2.5952,2.5439,2.5680,5458000
2005-08-30,2.5847,2.6270,2.5605,2.5726,2581000
2005-08-31,2.5771,2.5771,2.5091,2.5363,3004500
2005-09-01,2.5454,2.5454,2.3460,2.4547,12468500
2005-09-02,2.4789,2.5046,2.4185,2.4276,5748500
2005-09-06,2.4472,2.4850,2.4427,2.4774,2726500
2005-09-07,2.4789,2.4819,2.4200,2.4457,3643500
2005-09-08,2.4547,2.4955,2.4547,2.4653,2558500
2005-09-09,2.5001,2.5076,2.4804,2.5031,2468500
2005-09-12,2.4850,2.4955,2.4185,2.4306,3300500
2005-09-13,2.4351,2.4351,2.3717,2.3988,3798500
2005-09-14,2.3792,2.3973,2.3641,2.3747,2055500
2005-09-15,2.3792,2.3883,2.2704,2.2810,6004000
2005-09-16,2.2750,2.3173,2.1979,2.3143,9555000
2005-09-19,2.3037,2.4094,2.2946,2.3414,5559000
2005-09-20,2.3414,2.4215,2.3339,2.3868,4178000
2005-09-21,2.3717,2.3717,2.2206,2.2659,8313500
2005-09-22,2.2659,2.2765,2.1904,2.1919,7184000
2005-09-23,2.1904,2.3717,2.1874,2.3550,4830500
2005-09-26,2.3566,2.3868,2.3037,2.3414,7826500
2005-09-27,2.3339,2.3505,2.3173,2.3354,4505000
2005-09-28,2.3233,2.3233,2.2629,2.2886,3055000
2005-09-29,2.2946,2.3414,2.2387,2.2659,6141000
2005-09-30,2.2735,2.2810,2.2146,2.2372,12109000
2005-10-03,2.2433,2.2433,2.1677,2.1904,4279000
2005-10-04,2.1828,2.1904,2.1194,2.1254,2002000
2005-10-05,2.1149,2.1149,1.9374,1.9865,10826000
2005-10-06,1.9940,2.0378,1.9789,2.0257,4121000
2005-10-07,2.0846,2.0846,2.0333,2.0393,2174500
2005-10-10,2.0499,2.0605,1.8792,1.8958,2443000
2005-10-11,1.9109,1.9109,1.8142,1.8354,3256500
2005-10-12,1.8309,1.8399,1.7825,1.8037,2545500
2005-10-13,1.8022,1.8022,1.6904,1.7070,3555000
2005-10-14,1.7130,1.8883,1.7100,1.8671,7229500
2005-10-17,1.8671,1.8716,1.8278,1.8429,3007000
2005-10-18,1.8429,1.8429,1.8037,1.8127,2575000
2005-10-19,1.8278,1.8520,1.8037,1.8369,5052000
2005-10-20,1.8429,1.9774,1.8414,1.9366,7568500
2005-10-21,1.9381,1.9744,1.9290,1.9578,4029500
2005-10-24,1.9578,1.9940,1.9578,1.9834,2160000
2005-10-25,1.9985,2.0257,1.9759,1.9940,2629500
2005-10-26,1.9865,2.0167,1.9562,1.9774,2839500
2005-10-27,1.9713,1.9910,1.9562,1.9638,810000
2005-10-28,1.9940,2.0333,1.9940,2.0167,1664500
2005-10-31,2.0393,2.1133,2.0393,2.0877,3915000
2005-11-01,2.1375,2.1526,2.0469,2.0544,2830000
2005-11-02,2.0575,2.0771,2.0016,2.0454,3455000
2005-11-03,2.0242,2.0393,1.9955,2.0091,1815000
2005-11-04,2.0091,2.0816,1.9970,2.0242,2600500
2005-11-07,2.0242,2.0862,2.0182,2.0439,1783500
2005-11-08,2.0287,2.0469,2.0121,2.0423,1599500
2005-11-09,2.0469,2.0847,2.0363,2.0469,2294000
2005-11-10,2.0575,2.1770,2.0136,2.0802,4019000
2005-11-11,2.0862,2.1407,2.0862,2.1240,1347500
2005-11-14,2.1150,2.1482,2.1059,2.1286,1282500
2005-11-15,2.1407,2.2768,2.1271,2.2330,7032000
2005-11-16,2.2844,2.3449,2.2693,2.2950,4794000
2005-11-17,2.3071,2.4025,2.2874,2.3903,8077500
2005-11-18,2.3903,2.3903,2.2920,2.3615,3764000
2005-11-21,2.4054,2.4130,2.3691,2.3933,4266000
2005-11-22,2.3933,2.4054,2.3464,2.3797,1920000
2005-11-23,2.3827,2.3827,2.3404,2.3449,1068000
2005-11-25,2.3525,2.3706,2.3525,2.3631,154000
2005-11-28,2.3691,2.3737,2.3222,2.3434,1477000
