date,open,high,low,close,volume
1986-03-06,0.4859,0.5164,0.4859,0.5031,1498800
1986-03-07,0.5076,0.5251,0.5076,0.5251,1009200
1986-03-10,0.5251,0.5293,0.5164,0.5293,528000
1986-03-11,1.0586,1.0586,1.0327,1.0502,227400
1986-03-12,1.0502,1.0586,1.0418,1.0586,1291200
1986-03-13,1.0586,1.0586,1.0418,1.0502,333600
1986-03-14,1.0502,1.0502,1.0418,1.0502,322800
1986-03-17,1.0502,1.0677,1.0418,1.0677,804000
1986-03-18,1.0586,1.0586,1.0502,1.0586,105600
1986-03-19,1.0586,1.0586,1.0236,1.0236,342000
1986-03-20,1.0236,1.0418,1.0236,1.0327,82800
1986-03-21,1.0327,1.0418,1.0236,1.0418,430800
1986-03-24,1.0418,1.0418,1.0152,1.0327,332400
1986-03-25,1.0236,1.0236,1.0061,1.0152,110400
1986-03-26,1.0152,1.0236,0.9718,1.0061,565200
1986-03-27,1.0061,1.0236,0.9802,0.9802,400800
1986-03-31,0.9802,1.0061,0.9802,1.0061,140400
1986-04-01,1.0061,1.0152,0.9977,1.0061,502800
1986-04-02,1.0061,1.0152,0.9802,1.0152,56400
1986-04-03,1.0152,1.0152,0.9802,1.0061,196800
1986-04-04,0.9977,0.9977,0.9368,0.9536,440400
1986-04-07,0.9536,0.9536,0.9011,0.9277,766800
1986-04-08,0.9277,0.9452,0.9102,0.9452,337200
1986-04-09,0.9452,0.9536,0.9277,0.9452,308400
1986-04-10,0.9452,0.9452,0.9277,0.9368,254400
1986-04-11,0.9368,0.9718,0.9277,0.9627,364800
1986-04-14,0.9627,1.0236,0.9536,1.0236,343200
1986-04-15,1.0327,1.0586,1.0327,1.0586,573600
1986-04-16,1.0586,1.0677,1.0418,1.0586,1015200
1986-04-17,1.0586,1.0677,1.0502,1.0502,123600
1986-04-18,1.0502,1.0586,1.0236,1.0236,193200
1986-04-21,1.0236,1.0586,1.0236,1.0418,195600
1986-04-22,1.0418,1.0586,1.0152,1.0152,153600
1986-04-23,1.0152,1.0586,1.0061,1.0236,534000
1986-04-24,1.0236,1.0327,1.0152,1.0327,76800
1986-04-25,1.0327,1.0418,1.0152,1.0418,348000
1986-04-28,1.0418,1.0586,1.0327,1.0327,160800
1986-04-29,1.0327,1.0586,1.0327,1.0502,63600
1986-04-30,1.0502,1.0586,1.0418,1.0418,63600
1986-05-01,1.0418,1.0586,1.0152,1.0152,254400
1986-05-02,1.0152,1.0327,0.9977,1.0327,333600
1986-05-05,1.0327,1.0418,1.0236,1.0327,72000
1986-05-06,1.0327,1.0502,1.0152,1.0236,247200
1986-05-07,1.0236,1.0418,1.0236,1.0327,170400
1986-05-08,1.0327,1.0418,1.0236,1.0236,18000
1986-05-09,1.0236,1.0327,1.0236,1.0327,106800
1986-05-12,1.0327,1.0327,1.0236,1.0236,139200
1986-05-13,1.0236,1.0327,1.0236,1.0327,88800
1986-05-14,1.0236,1.0236,0.9977,0.9977,376800
1986-05-15,0.9977,1.0152,0.9802,0.9977,418800
1986-05-16,0.9977,1.0061,0.9802,0.9802,100800
1986-05-19,0.9802,0.9802,0.9102,0.9277,256800
1986-05-20,0.9277,0.9277,0.9102,0.9102,224400
1986-05-21,0.9102,0.9186,0.9102,0.9186,44400
1986-05-22,0.9186,0.9186,0.9011,0.9102,111600
1986-05-23,0.9102,0.9102,0.9011,0.9011,181200
1986-05-27,0.9011,0.9186,0.9011,0.9186,478800
1986-05-28,0.9186,0.9186,0.9102,0.9186,207600
1986-05-29,0.9186,0.9186,0.9102,0.9186,61200
1986-05-30,0.9186,0.9277,0.9011,0.9277,559200
1986-06-02,0.9277,0.9368,0.9186,0.9368,208800
1986-06-03,0.9368,0.9718,0.9277,0.9627,438000
1986-06-04,0.9627,1.0061,0.9536,1.0061,157200
1986-06-05,1.0061,1.0152,0.9802,1.0152,152400
1986-06-06,1.0152,1.0502,1.0152,1.0418,382800
1986-06-09,1.0418,1.0418,1.0327,1.0418,706800
1986-06-10,1.0418,1.0418,1.0152,1.0327,93600
1986-06-11,1.0327,1.0327,1.0152,1.0327,49200
1986-06-12,1.0327,1.0327,1.0152,1.0152,201600
1986-06-13,1.0152,1.0327,1.0152,1.0236,97200
1986-06-16,1.0236,1.0236,1.0152,1.0152,93600
1986-06-17,1.0152,1.0236,1.0061,1.0061,488400
1986-06-18,1.0061,1.0236,1.0061,1.0152,28800
1986-06-19,1.0152,1.0152,0.9718,0.9718,331200
1986-06-20,0.9718,0.9802,0.9536,0.9627,741600
1986-06-23,0.9627,0.9718,0.9536,0.9718,33600
1986-06-24,0.9718,0.9718,0.9536,0.9718,67200
1986-06-25,0.9718,0.9718,0.9536,0.9536,40800
1986-06-26,0.9536,0.9802,0.9536,0.9718,526800
1986-06-27,0.9718,1.0152,0.9627,1.0061,547200
1986-06-30,1.0061,1.0152,0.9977,0.9977,242400
1986-07-01,0.9977,1.0152,0.9977,1.0152,280800
1986-07-02,1.0152,1.0152,0.9977,1.0152,13200
1986-07-03,1.0152,1.0152,0.9977,0.9977,97200
1986-07-07,0.9977,1.0152,0.9627,0.9627,123600
1986-07-08,0.9627,0.9718,0.9011,0.9277,495600
1986-07-09,0.9277,0.9277,0.8752,0.8752,1797600
1986-07-10,0.8752,0.9277,0.8752,0.9102,889200
1986-07-11,0.9102,0.9277,0.9011,0.9102,588000
1986-07-14,0.9102,0.9186,0.8843,0.9102,1444800
1986-07-15,0.9102,0.9186,0.8486,0.8668,2682000
1986-07-16,0.8668,0.8752,0.8486,0.8668,476400
1986-07-17,0.8668,0.8668,0.8486,0.8486,120000
1986-07-18,0.8577,0.8668,0.8577,0.8668,339600
1986-07-21,0.8668,0.8668,0.8577,0.8668,91200
1986-07-22,0.8668,0.8843,0.8668,0.8752,34800
1986-07-23,0.8752,0.9102,0.8752,0.9102,30000
1986-07-24,0.9102,0.9102,0.8668,0.8843,370800
1986-07-25,0.8843,0.8843,0.8752,0.8752,188400
1986-07-28,0.8752,0.8843,0.8486,0.8486,170400
1986-07-29,0.8486,0.8668,0.8486,0.8486,36000
1986-07-30,0.8486,0.8577,0.8486,0.8577,285600
1986-07-31,0.8577,0.8577,0.8486,0.8486,39600
1986-08-01,0.8486,0.8577,0.8486,0.8486,166800
1986-08-04,0.8486,0.8577,0.8486,0.8486,296400
1986-08-05,0.8486,0.8668,0.8486,0.8577,504000
1986-08-06,0.8577,0.8668,0.8486,0.8577,150000
1986-08-07,0.8577,0.8577,0.8486,0.8577,16800
1986-08-08,0.8577,0.8577,0.8486,0.8577,52800
1986-08-11,0.8577,0.8577,0.8486,0.8486,164400
1986-08-12,0.8486,0.8577,0.8486,0.8486,351600
1986-08-13,0.8486,0.8486,0.8486,0.8486,194400
1986-08-14,0.8486,0.8486,0.8486,0.8486,111600
1986-08-15,0.8486,0.8486,0.8486,0.8486,118800
1986-08-18,0.8486,0.8486,0.8486,0.8486,183600
1986-08-19,0.8486,0.8486,0.8486,0.8486,259200
1986-08-20,0.8486,0.8486,0.8402,0.8402,174000
1986-08-21,0.8402,0.8486,0.8402,0.8486,789600
1986-08-22,0.8486,0.8486,0.8402,0.8486,54000
1986-08-25,0.8486,0.8486,0.8402,0.8402,36000
1986-08-26,0.8402,0.8486,0.8402,0.8486,19200
1986-08-27,0.8486,0.8486,0.8402,0.8402,294000
1986-08-28,0.8402,0.8486,0.8402,0.8402,157200
1986-08-29,0.8402,0.8486,0.8402,0.8486,166800
1986-09-02,0.8486,0.8486,0.8402,0.8486,91200
1986-09-03,0.8486,0.8486,0.8402,0.8402,144000
1986-09-04,0.8402,0.8486,0.8402,0.8486,33600
1986-09-05,0.8486,0.8486,0.8402,0.8402,181200
1986-09-08,0.8402,0.8486,0.8402,0.8486,412800
1986-09-09,0.8486,0.8486,0.8402,0.8402,39600
1986-09-10,0.8402,0.8402,0.8402,0.8402,14400
1986-09-11,0.8402,0.8486,0.8402,0.8486,195600
1986-09-12,0.8486,0.8486,0.8227,0.8486,439200
1986-09-15,0.8486,0.8486,0.8227,0.8227,58800
1986-09-16,0.8227,0.8402,0.8227,0.8318,1315200
1986-09-17,0.8318,0.8402,0.8136,0.8227,259200
1986-09-18,0.8227,0.8402,0.8227,0.8227,166800
1986-09-19,0.8227,0.8486,0.8227,0.8486,912000
1986-09-22,0.8486,0.9368,0.8402,0.9102,580800
1986-09-23,0.9102,0.9186,0.8843,0.9011,250800
1986-09-24,0.9011,0.9102,0.8486,0.8668,549600
1986-09-25,0.8668,0.8668,0.8402,0.8402,79200
1986-09-26,0.8402,0.8486,0.8318,0.8486,198000
1986-09-29,0.8486,0.8486,0.8136,0.8227,172800
1986-09-30,0.8227,0.8486,0.8136,0.8486,315600
1986-10-01,0.8486,0.8577,0.8318,0.8486,699600
1986-10-02,0.8668,0.8752,0.8668,0.8752,232800
1986-10-03,0.8752,0.8752,0.8668,0.8752,26400
1986-10-06,0.8752,0.8752,0.8668,0.8752,19200
1986-10-07,0.8752,0.8752,0.8668,0.8752,81600
1986-10-08,0.8752,0.8752,0.8577,0.8668,342000
1986-10-09,0.8668,0.8668,0.8577,0.8668,216000
1986-10-10,0.8668,0.8668,0.8577,0.8577,79200
1986-10-13,0.8577,0.8668,0.8577,0.8668,2400
1986-10-14,0.8668,0.8668,0.8577,0.8668,38400
1986-10-15,0.8668,0.9186,0.8577,0.9186,279600
1986-10-16,0.9186,0.9452,0.9102,0.9368,205200
1986-10-17,0.9368,0.9368,0.9186,0.9277,146400
1986-10-20,0.9277,0.9277,0.9011,0.9186,45600
1986-10-21,0.9186,0.9186,0.9011,0.9186,74400
1986-10-22,0.9102,0.9102,0.9011,0.9011,75600
1986-10-23,0.9011,0.9102,0.8843,0.8843,308400
1986-10-24,0.8843,0.9102,0.8843,0.9011,172800
1986-10-27,0.9011,0.9011,0.8843,0.9011,105600
1986-10-28,0.9011,0.9011,0.8843,0.9011,1249200
1986-10-29,0.9011,0.9011,0.8843,0.8843,51600
1986-10-30,0.8843,0.9011,0.8843,0.9011,638400
1986-10-31,0.9011,0.9011,0.8843,0.8843,111600
1986-11-03,0.8843,0.9011,0.8843,0.8843,123600
1986-11-04,0.8843,0.9011,0.8752,0.9011,1087200
1986-11-05,0.9011,0.9011,0.8843,0.8843,171600
1986-11-06,0.8843,0.9011,0.8843,0.9011,74400
1986-11-07,0.9011,0.9011,0.8843,0.9011,211200
1986-11-10,0.9011,0.9011,0.8843,0.8843,270000
1986-11-11,0.8843,0.9011,0.8843,0.9011,258000
1986-11-12,0.9011,0.9011,0.8843,0.9011,177600
1986-11-13,0.9011,0.9011,0.8843,0.9011,230400
1986-11-14,0.9011,0.9102,0.8843,0.9011,504000
1986-11-17,0.9011,0.9011,0.8843,0.9011,104400
1986-11-18,0.8843,0.8843,0.8577,0.8668,306000
1986-11-19,0.8668,0.8668,0.8486,0.8486,346800
1986-11-20,0.8486,0.8577,0.8486,0.8577,208800
1986-11-21,0.8486,0.8486,0.8486,0.8486,193200
1986-11-24,0.8486,0.8486,0.8402,0.8402,30000
1986-11-25,0.8402,0.8486,0.8402,0.8486,156000
1986-11-26,0.8486,0.8486,0.8486,0.8486,250800
1986-11-28,0.8486,0.8668,0.8486,0.8486,406800
1986-12-01,0.8486,0.8577,0.8486,0.8577,216000
1986-12-02,0.8577,0.8843,0.8486,0.8843,1035600
1986-12-03,0.8843,0.9102,0.8752,0.9011,1912800
1986-12-04,0.8843,0.8843,0.8668,0.8843,445200
1986-12-05,0.8843,0.8843,0.8668,0.8752,265200
1986-12-08,0.8752,0.8752,0.8577,0.8668,391200
1986-12-09,0.8668,0.8668,0.8486,0.8577,1180800
1986-12-10,0.8577,0.8668,0.8486,0.8577,751200
1986-12-11,0.8577,0.8668,0.8577,0.8668,246000
1986-12-12,0.8668,0.8668,0.8577,0.8668,280800
1986-12-15,0.8668,0.8668,0.8486,0.8668,444000
1986-12-16,0.8577,0.8577,0.8402,0.8486,268800
1986-12-17,0.8486,0.8486,0.8227,0.8486,1634400
1986-12-18,0.8486,0.8486,0.8402,0.8486,406800
1986-12-19,0.8486,0.8486,0.8227,0.8486,1278000
1986-12-22,0.8486,0.8486,0.8318,0.8402,840000
1986-12-23,0.8402,0.8402,0.8227,0.8402,1680000
1986-12-24,0.8402,0.8402,0.8318,0.8402,654000
1986-12-26,0.8402,0.8402,0.8318,0.8402,210000
1986-12-29,0.8402,0.8402,0.8318,0.8402,120000
1986-12-30,0.8402,0.8486,0.8318,0.8486,2473200
1986-12-31,0.8486,0.9011,0.8402,0.9011,2137200
1987-01-02,0.9011,0.9102,0.8843,0.9011,307200
1987-01-05,0.9011,0.9277,0.9011,0.9277,1200000
1987-01-06,0.9277,0.9368,0.9186,0.9368,498000
1987-01-07,0.9368,0.9368,0.9277,0.9368,294000
1987-01-08,0.9368,0.9368,0.9277,0.9277,3030000
1987-01-09,0.9277,0.9718,0.9277,0.9718,793200
1987-01-12,0.9718,0.9718,0.9627,0.9718,482400
1987-01-13,0.9718,0.9718,0.9627,0.9718,291600
1987-01-14,0.9718,0.9718,0.9627,0.9627,135600
1987-01-15,0.9627,1.0327,0.9627,1.0327,1422000
1987-01-16,1.0327,1.0418,1.0236,1.0418,598800
1987-01-19,1.0418,1.0418,1.0327,1.0418,632400
1987-01-20,1.0418,1.0418,1.0327,1.0418,259200
1987-01-21,1.0418,1.0418,1.0327,1.0418,506400
1987-01-22,1.0418,1.0418,1.0236,1.0327,679200
1987-01-23,1.0327,1.0418,1.0327,1.0418,1422000
1987-01-26,1.0418,1.0418,1.0327,1.0418,267600
1987-01-27,1.0418,1.0418,1.0327,1.0327,202800
1987-01-28,1.0327,1.0418,1.0327,1.0418,265200
1987-01-29,1.0418,1.0418,1.0152,1.0418,346800
1987-01-30,1.0418,1.0418,1.0327,1.0418,909600
1987-02-02,1.0418,1.0418,1.0327,1.0418,583200
1987-02-03,1.0418,1.0418,1.0236,1.0418,885600
1987-02-04,1.0418,1.0418,1.0327,1.0418,50400
1987-02-05,1.0418,1.0418,1.0327,1.0418,36000
1987-02-06,1.0418,1.0418,1.0152,1.0418,2023200
1987-02-09,1.0418,1.0418,1.0327,1.0418,840000
1987-02-10,1.0418,1.0418,1.0327,1.0418,2030400
1987-02-11,1.0418,1.0418,1.0327,1.0418,1057200
1987-02-12,1.0418,1.0418,1.0327,1.0327,333600
1987-02-13,1.0327,1.0418,1.0327,1.0418,247200
1987-02-17,1.0418,1.0418,1.0327,1.0418,837600
1987-02-18,1.0418,1.0418,1.0327,1.0418,1639200
1987-02-19,1.0418,1.0418,1.0061,1.0327,297600
1987-02-20,1.0327,1.0327,1.0152,1.0236,145200
1987-02-23,1.0236,1.0236,0.9977,1.0152,249600
1987-02-24,1.0152,1.0152,0.9977,1.0152,356400
1987-02-25,1.0152,1.0152,0.9977,1.0061,267600
1987-02-26,1.0061,1.0152,1.0061,1.0061,426000
1987-02-27,1.0061,1.0236,1.0061,1.0236,710400
1987-03-02,1.0236,1.0236,1.0061,1.0152,308400
1987-03-03,1.0152,1.0152,1.0061,1.0152,219600
1987-03-04,1.0152,1.0152,0.9977,1.0061,710400
1987-03-05,1.0061,1.0061,0.9977,0.9977,468000
1987-03-06,0.9977,0.9977,0.9718,0.9977,673200
1987-03-09,0.9802,0.9802,0.9718,0.9802,1706400
1987-03-10,0.9802,0.9802,0.9718,0.9718,1060800
1987-03-11,0.9718,0.9802,0.9718,0.9718,566400
1987-03-12,0.9718,0.9802,0.9718,0.9718,278400
1987-03-13,0.9718,0.9802,0.9718,0.9802,222000
1987-03-16,0.9802,0.9802,0.9718,0.9802,1120800
1987-03-17,0.9802,0.9802,0.9718,0.9802,777600
1987-03-18,0.9802,0.9802,0.9718,0.9802,1068000
1987-03-19,0.9802,0.9802,0.9718,0.9802,628800
1987-03-20,0.9802,0.9802,0.9718,0.9802,789600
1987-03-23,0.9802,0.9802,0.9718,0.9802,915600
1987-03-24,0.9802,0.9802,0.9718,0.9802,517200
1987-03-25,0.9802,0.9802,0.9718,0.9802,777600
1987-03-26,0.9802,0.9802,0.9718,0.9802,438000
1987-03-27,0.9802,0.9802,0.9627,0.9802,970800
1987-03-30,0.9802,0.9802,0.9718,0.9802,492000
1987-03-31,0.9802,1.0236,0.9718,1.0236,1057200
1987-04-01,1.0236,1.0236,1.0152,1.0152,937200
1987-04-02,1.0152,1.0236,1.0152,1.0236,806400
1987-04-03,1.0236,1.0418,1.0061,1.0418,2301600
1987-04-06,1.0418,1.0418,1.0236,1.0418,384000
1987-04-07,1.0418,1.0418,1.0236,1.0327,271200
1987-04-08,1.0327,1.0327,1.0236,1.0236,1683600
1987-04-09,1.0236,1.0418,1.0236,1.0418,507600
1987-04-10,1.0418,1.0418,1.0327,1.0418,255600
1987-04-13,1.0418,1.0418,1.0327,1.0327,703200
1987-04-14,1.0327,1.0418,1.0327,1.0418,1354800
1987-04-15,1.0418,1.0586,1.0327,1.0586,511200
1987-04-16,1.0586,1.0943,1.0418,1.0502,906000
1987-04-20,1.0502,1.0502,1.0418,1.0418,472800
1987-04-21,1.0418,1.0502,1.0418,1.0502,290400
1987-04-22,1.0502,1.0502,1.0418,1.0418,190800
1987-04-23,1.0418,1.0502,1.0418,1.0418,36000
1987-04-24,1.0418,1.0502,1.0418,1.0502,538800
1987-04-27,1.0502,1.0586,1.0418,1.0502,644400
1987-04-28,1.0502,1.0586,1.0418,1.0502,56400
1987-04-29,1.0502,1.0502,1.0418,1.0502,72000
1987-04-30,1.0502,1.0502,1.0418,1.0502,858000
1987-05-01,1.0502,1.0502,1.0418,1.0502,549600
1987-05-04,1.0502,1.0502,1.0418,1.0418,103200
1987-05-05,1.0418,1.0502,1.0418,1.0502,361200
1987-05-06,1.0502,1.0502,1.0418,1.0502,733200
1987-05-07,1.0502,1.0502,1.0418,1.0502,561600
1987-05-08,1.0502,1.0502,1.0418,1.0502,141600
1987-05-11,1.0502,1.0502,1.0418,1.0502,49200
1987-05-12,1.0502,1.0502,1.0418,1.0502,130800
1987-05-13,1.0502,1.0502,1.0418,1.0502,1046400
