date,open,high,low,close,volume
1982-03-31,3.0333,3.0997,2.9663,3.0997,1474200
1982-04-01,3.0333,3.0997,2.9663,3.0997,1474200
1982-04-02,3.1739,3.2332,3.1146,3.2036,1710900
1982-04-05,3.2332,3.2629,3.2036,3.2332,1604700
1982-04-06,3.1964,3.2184,3.1739,3.2184,1361700
1982-04-07,3.2332,3.2558,3.2113,3.2332,1206000
1982-04-08,3.2481,3.2854,3.2113,3.2629,1188000
1982-04-12,3.2481,3.2777,3.2113,3.2184,805500
1982-04-13,3.2332,3.2558,3.2113,3.2481,1282500
1982-04-14,3.2261,3.2409,3.2113,3.2332,207000
1982-04-15,3.2113,3.2332,3.1887,3.2261,331200
1982-04-16,3.2332,3.2481,3.2113,3.2261,576900
1982-04-19,3.2481,3.2629,3.2261,3.2332,713700
1982-04-20,3.2261,3.2409,3.2113,3.2261,508500
1982-04-21,3.2036,3.2184,3.1887,3.1887,254700
1982-04-22,3.2036,3.2184,3.1816,3.1964,576000
1982-04-23,3.0333,3.0404,3.0185,3.0404,3060900
1982-04-26,2.9888,3.0404,2.9366,2.9740,3427200
1982-04-27,2.9443,2.9740,2.9146,2.9218,2219400
1982-04-28,2.9295,2.9514,2.9069,2.9069,542700
1982-04-29,2.9218,2.9443,2.8921,2.8921,423900
1982-04-30,2.8624,2.8773,2.8476,2.8553,2470500
1982-05-03,2.8328,2.8553,2.8108,2.8257,1687500
1982-05-04,2.8257,2.8328,2.8179,2.8328,1632600
1982-05-05,2.8179,2.8328,2.8031,2.8257,587700
1982-05-06,2.8257,2.8476,2.8031,2.8328,1586700
1982-05-07,2.8031,2.8328,2.7734,2.7883,2665800
1982-05-10,2.8031,2.8257,2.7812,2.7960,1100700
1982-05-11,2.8405,2.8624,2.8179,2.8553,941400
1982-05-12,2.7883,2.8624,2.7141,2.7141,2474100
1982-05-13,2.4549,2.4845,2.4175,2.4400,15327900
1982-05-14,2.4994,2.5142,2.4768,2.5065,4312800
1982-05-17,2.5065,2.5213,2.4917,2.5065,1360800
1982-05-18,2.4994,2.5065,2.4845,2.4917,1487700
1982-05-19,2.4620,2.4768,2.4400,2.4472,2322900
1982-05-20,2.4175,2.4400,2.3955,2.4323,2007900
1982-05-21,2.4027,2.4175,2.3878,2.3955,1656000
1982-05-24,2.3659,2.3955,2.3285,2.3362,3863700
1982-05-25,2.3659,2.3807,2.3433,2.3433,2444400
1982-05-26,2.3214,2.3433,2.2917,2.3066,2028600
1982-05-27,2.2917,2.3066,2.2769,2.2988,1105200
1982-05-28,2.2917,2.3066,2.2692,2.2769,1545300
1982-06-01,2.2544,2.2692,2.2324,2.2544,1088100
1982-06-02,2.2692,2.2840,2.2544,2.2692,1796400
1982-06-03,2.2544,2.2769,2.2247,2.2621,1359000
1982-06-04,2.2176,2.2621,2.1654,2.1802,1927800
1982-06-07,2.1209,2.1434,2.0912,2.1209,1387800
1982-06-08,2.0615,2.1060,2.0171,2.0467,1832400
1982-06-09,2.0248,2.0615,1.9874,1.9874,3247200
1982-06-10,2.0248,2.0615,1.9874,2.0022,2754900
1982-06-11,2.0467,2.0693,2.0171,2.0467,3304800
1982-06-14,2.0022,2.0396,1.9577,1.9577,4736700
1982-06-15,1.9874,2.0022,1.9726,2.0022,1662300
1982-06-16,2.0022,2.0248,1.9726,2.0099,1773000
1982-06-17,1.9803,2.0099,1.9429,1.9577,3891600
1982-06-18,1.9281,1.9577,1.8907,1.8984,1819800
1982-06-21,1.9209,1.9429,1.8984,1.8984,1149300
1982-06-22,1.9281,1.9803,1.8687,1.9803,2377800
1982-06-23,1.9803,2.0022,1.9506,2.0022,1052100
1982-06-24,2.0319,2.0544,2.0022,2.0022,1432800
1982-06-25,2.0248,2.0467,2.0022,2.0248,535500
1982-06-28,2.0248,2.0319,2.0099,2.0248,373500
1982-06-29,2.0171,2.0396,1.9951,2.0171,1080000
1982-06-30,2.0319,2.0544,2.0099,2.0171,1343700
1982-07-01,1.9951,2.0171,1.9726,1.9874,2231100
1982-07-02,1.9577,1.9726,1.9358,1.9577,353700
1982-07-06,1.8907,1.9429,1.8391,1.9132,1067400
1982-07-07,1.8836,1.9132,1.8539,1.8539,2426400
1982-07-08,1.9132,1.9726,1.8462,1.9429,3788100
1982-07-09,1.9577,1.9874,1.9281,1.9429,2414700
1982-07-12,1.9209,1.9429,1.8984,1.9281,5817600
1982-07-13,1.9281,1.9654,1.8984,1.9132,2309400
1982-07-14,1.9209,1.9429,1.8984,1.9281,5817600
1982-07-15,1.9429,1.9506,1.9358,1.9506,5258700
1982-07-16,1.9506,1.9654,1.9358,1.9654,2407500
1982-07-19,1.9726,1.9874,1.9577,1.9654,729000
1982-07-20,1.9654,1.9803,1.9506,1.9506,1065600
1982-07-21,1.9803,1.9874,1.9654,1.9726,2344500
1982-07-22,2.0022,2.0396,1.9577,2.0396,2825100
1982-07-23,2.0544,2.0693,2.0319,2.0544,1725300
1982-07-26,2.0248,2.0467,1.9951,2.0022,655200
1982-07-27,1.9951,2.0022,1.9874,2.0022,2628900
1982-07-28,1.9726,1.9874,1.9577,1.9726,2241900
1982-07-29,2.0022,2.0248,1.9726,2.0099,2802600
1982-07-30,2.0099,2.0248,1.9874,1.9874,583200
1982-08-02,2.0248,2.0396,2.0022,2.0248,3060000
1982-08-03,2.0319,2.0544,2.0099,2.0099,851400
1982-08-04,2.0248,2.0396,2.0022,2.0319,1365300
1982-08-05,2.0022,2.0171,1.9874,2.0022,1467900
1982-08-06,1.9951,2.0099,1.9803,1.9874,827100
1982-08-09,1.9654,1.9874,1.9429,1.9577,1173600
1982-08-10,1.9577,1.9803,1.9358,1.9358,1104300
1982-08-11,1.9803,2.0171,1.9358,2.0171,1999800
1982-08-12,2.0467,2.0912,2.0022,2.0319,1404000
1982-08-13,2.0693,2.0989,2.0319,2.0989,783000
1982-08-16,2.0989,2.1209,2.0693,2.0693,773100
1982-08-17,2.1505,2.1879,2.1060,2.1879,2520900
1982-08-18,2.2544,2.3433,2.1582,2.2099,2708100
1982-08-19,2.1731,2.2099,2.1357,2.1357,897300
1982-08-20,2.1950,2.2395,2.1434,2.2395,1468800
1982-08-23,2.2099,2.2395,2.1731,2.2247,1809000
1982-08-24,2.2472,2.2692,2.2176,2.2395,1518300
1982-08-25,2.2395,2.2692,2.2099,2.2176,3152700
1982-08-26,2.2769,2.3285,2.2176,2.2917,1206000
1982-08-27,2.2544,2.2769,2.2324,2.2395,1261800
1982-08-30,2.2395,2.2544,2.2176,2.2324,994500
1982-08-31,2.2472,2.2840,2.2027,2.2840,1538100
1982-09-01,2.2621,2.2917,2.2324,2.2544,1389600
1982-09-02,2.2176,2.2621,2.1731,2.2544,2134800
1982-09-03,2.2472,2.2917,2.1950,2.2027,3523500
1982-09-07,2.1434,2.1654,2.1209,2.1434,1977300
1982-09-08,2.1138,2.1357,2.0912,2.0912,1879200
1982-09-09,2.0989,2.1060,2.0912,2.0989,1242000
1982-09-10,2.0912,2.0989,2.0764,2.0912,1122300
1982-09-13,2.1286,2.1731,2.0764,2.1731,516600
1982-09-14,2.1654,2.1802,2.1434,2.1434,639000
1982-09-15,2.1731,2.2247,2.1209,2.2247,1977300
1982-09-16,2.2176,2.2395,2.1879,2.1879,3915000
1982-09-17,2.2099,2.2395,2.1802,2.1802,885600
1982-09-20,2.1731,2.1879,2.1582,2.1802,791100
1982-09-21,2.2099,2.2324,2.1802,2.2324,1564200
1982-09-22,2.2769,2.3137,2.2324,2.2395,2683800
1982-09-23,2.2324,2.2472,2.2099,2.2247,1050300
1982-09-24,2.2324,2.2395,2.2176,2.2395,888300
1982-09-27,2.2544,2.2692,2.2324,2.2692,850500
1982-09-28,2.2769,2.2988,2.2544,2.2621,637200
1982-09-29,2.2472,2.2621,2.2324,2.2472,1419300
1982-09-30,2.2395,2.2544,2.2176,2.2247,630900
1982-10-01,2.2472,2.2840,2.2099,2.2840,1710900
1982-10-04,2.2917,2.3285,2.2544,2.3214,859500
1982-10-05,2.3137,2.3285,2.2917,2.3214,767700
1982-10-06,2.3659,2.4027,2.3214,2.4027,1665900
1982-10-07,2.4620,2.5065,2.4104,2.4994,3037500
1982-10-08,2.4994,2.5361,2.4620,2.5142,1383300
1982-10-11,2.5658,2.6032,2.5290,2.5658,2195100
1982-10-12,2.5658,2.5884,2.5142,2.5806,1688400
1982-10-13,2.6180,2.6773,2.5510,2.6400,1706400
1982-10-14,2.6477,2.6696,2.6251,2.6328,1208700
1982-10-15,2.5884,2.6103,2.5587,2.5735,2032200
1982-10-18,2.5735,2.6477,2.5658,2.6400,817200
1982-10-19,2.6180,2.6548,2.5806,2.6251,866700
1982-10-20,2.6032,2.6251,2.5806,2.6251,942300
1982-10-21,2.6845,2.7218,2.6477,2.6845,1361700
1982-10-22,2.6328,2.6625,2.5955,2.6400,2244600
1982-10-25,2.5658,2.6328,2.4917,2.4917,948600
1982-10-26,2.5361,2.6032,2.4620,2.5955,1147500
1982-10-27,2.5361,2.5806,2.4845,2.5361,873900
1982-10-28,2.5142,2.5361,2.4845,2.5065,555300
1982-10-29,2.4845,2.5213,2.4472,2.5065,1212300
1982-11-01,2.4845,2.4994,2.4620,2.4917,1039500
1982-11-02,2.5587,2.6103,2.5065,2.5806,1164600
1982-11-03,2.6548,2.7438,2.5658,2.7438,1597500
1982-11-04,2.7734,2.8328,2.7141,2.7367,2401200
1982-11-05,2.8031,2.8624,2.7367,2.8624,1604700
1982-11-08,2.7960,2.8328,2.7586,2.7663,1977300
1982-11-09,2.8031,2.8405,2.7663,2.8031,1512000
1982-11-10,2.8405,2.8773,2.7960,2.8108,1639800
1982-11-11,2.8108,2.8405,2.7734,2.8405,1164600
1982-11-12,2.8701,2.8850,2.8476,2.8476,1006200
1982-11-15,2.8257,2.8476,2.8031,2.8328,804600
1982-11-16,2.8179,2.8624,2.7734,2.8624,633600
1982-11-17,2.8701,2.8850,2.8476,2.8624,884700
1982-11-18,2.8553,2.8701,2.8405,2.8476,313200
1982-11-19,2.8257,2.8553,2.7960,2.8031,862200
1982-11-22,2.7812,2.8328,2.7290,2.7586,1496700
1982-11-23,2.7367,2.7734,2.6993,2.7141,1287000
1982-11-24,2.6625,2.6993,2.6251,2.6696,2166300
1982-11-26,2.6032,2.6696,2.5361,2.6251,1178100
1982-11-29,2.5884,2.6400,2.5361,2.5658,1032300
1982-11-30,2.6625,2.7586,2.5658,2.7586,1105200
1982-12-01,2.7070,2.7663,2.6400,2.6548,789300
1982-12-02,2.6773,2.7141,2.6328,2.6845,2011500
1982-12-03,2.7367,2.7734,2.6993,2.7367,691200
1982-12-06,2.7367,2.8405,2.7218,2.8328,849600
1982-12-07,2.8257,2.8624,2.7883,2.7883,1969200
1982-12-08,2.8031,2.8405,2.7663,2.7663,931500
1982-12-09,2.7141,2.7663,2.6548,2.6548,580500
1982-12-10,2.5884,2.6548,2.5213,2.5290,1918800
1982-12-13,2.5439,2.5658,2.5213,2.5290,1178100
1982-12-14,2.5439,2.5658,2.5213,2.5510,3229200
1982-12-15,2.5806,2.6180,2.5439,2.5806,1011600
1982-12-16,2.5361,2.5806,2.4917,2.5065,810900
1982-12-17,2.5290,2.5510,2.5065,2.5510,1262700
1982-12-20,2.5142,2.5361,2.4845,2.4917,609300
1982-12-21,2.5065,2.5510,2.4620,2.5361,721800
1982-12-22,2.5735,2.6180,2.5213,2.5884,1197000
1982-12-23,2.6548,2.6845,2.6251,2.6696,849600
1982-12-27,2.6845,2.6993,2.6696,2.6845,1510200
1982-12-28,2.6696,2.6845,2.6548,2.6696,1283400
1982-12-29,2.6400,2.6625,2.6180,2.6251,2007900
1982-12-30,2.5884,2.6180,2.5510,2.5884,725400
1982-12-31,2.6032,2.6251,2.5806,2.6251,193500
1983-01-03,2.5658,2.5884,2.5361,2.5361,1038600
1983-01-04,2.5587,2.5735,2.5361,2.5510,948600
1983-01-05,2.5735,2.6032,2.5361,2.5439,1707300
1983-01-06,2.5735,2.5955,2.5510,2.5884,2188800
1983-01-07,2.5658,2.6032,2.5213,2.5806,2857500
1983-01-10,2.6328,2.6548,2.6032,2.6328,1428300
1983-01-11,2.6328,2.6477,2.6103,2.6400,2412000
1983-01-12,2.7218,2.7812,2.6548,2.7438,1208700
1983-01-13,2.7070,2.7290,2.6773,2.6993,1253700
1983-01-14,2.6845,2.7290,2.6400,2.6993,1239300
1983-01-17,2.6477,2.6845,2.6103,2.6103,2043000
1983-01-18,2.5955,2.5955,2.4323,2.4994,3400200
1983-01-19,2.4845,2.4994,2.4620,2.4917,917100
1983-01-20,2.4620,2.5142,2.4104,2.4845,1988100
1983-01-21,2.4620,2.4917,2.4252,2.4400,716400
1983-01-24,2.3659,2.3878,2.3362,2.3433,1373400
1983-01-25,2.3433,2.3730,2.3137,2.3433,1715400
1983-01-26,2.3137,2.3511,2.2692,2.2692,1635300
1983-01-27,2.2917,2.3214,2.2621,2.3137,1766700
1983-01-28,2.2917,2.3285,2.2472,2.2692,1116000
1983-01-31,2.2988,2.3362,2.2544,2.3362,1836900
1983-02-01,2.3214,2.3433,2.2917,2.2917,2278800
1983-02-02,2.2840,2.2988,2.2692,2.2917,2288700
1983-02-03,2.3285,2.3659,2.2917,2.3582,1470600
1983-02-04,2.3807,2.4027,2.3582,2.4027,2121300
1983-02-07,2.3878,2.4323,2.3433,2.4252,1463400
1983-02-08,2.3955,2.4323,2.3582,2.3659,754200
1983-02-09,2.2840,2.3285,2.2324,2.2917,5403600
1983-02-10,2.3433,2.3659,2.3214,2.3511,2809800
1983-02-11,2.3955,2.4175,2.3659,2.3955,6250500
1983-02-14,2.4175,2.4620,2.3730,2.4549,2197800
1983-02-15,2.4845,2.5142,2.4472,2.5142,3636000
1983-02-16,2.5213,2.5439,2.4917,2.5213,2264400
1983-02-17,2.5658,2.6103,2.5142,2.6103,2357100
1983-02-18,2.6180,2.6696,2.5587,2.6696,4657500
1983-02-22,2.7070,2.7290,2.6773,2.7070,4330800
1983-02-23,2.7218,2.7438,2.6922,2.7438,3110400
1983-02-24,2.7218,2.7438,2.6993,2.7290,1982700
1983-02-25,2.6400,2.7218,2.5510,2.6103,4371300
1983-02-28,2.5587,2.5955,2.5213,2.5510,2099700
1983-03-01,2.6032,2.6696,2.5361,2.6625,3824100
1983-03-02,2.6328,2.6548,2.6103,2.6548,2260800
1983-03-03,2.6625,2.6773,2.6400,2.6696,2965500
1983-03-04,2.6922,2.7290,2.6548,2.6696,3045600
1983-03-07,2.6477,2.6625,2.6328,2.6548,877500
1983-03-08,2.6180,2.6548,2.5735,2.5955,898200
1983-03-09,2.6032,2.6251,2.5806,2.6103,537300
1983-03-10,2.6251,2.6548,2.5884,2.6328,1135800
1983-03-11,2.6180,2.6548,2.5806,2.6032,1038600
1983-03-14,2.5884,2.6103,2.5658,2.5806,601200
1983-03-15,2.5587,2.6032,2.5142,2.6032,1537200
1983-03-16,2.6251,2.6548,2.5884,2.6400,1077300
1983-03-17,2.6400,2.6696,2.6032,2.6180,2246400
1983-03-18,2.6773,2.7141,2.6400,2.6696,1575000
1983-03-21,2.7141,2.7438,2.6845,2.7290,1119600
1983-03-22,2.7438,2.7883,2.7367,2.7663,1368000
1983-03-23,2.7883,2.9069,2.7883,2.8921,1540800
1983-03-24,2.8773,2.8998,2.8476,2.8773,2044800
1983-03-25,2.8476,2.8850,2.7960,2.8476,2066400
1983-03-28,2.7960,2.8405,2.7734,2.7812,381600
1983-03-29,2.7960,2.8179,2.7812,2.7883,729900
1983-03-30,2.8405,2.8624,2.8179,2.8328,740700
1983-03-31,2.8328,2.8850,2.8328,2.8405,909000
1983-04-04,2.8257,2.8328,2.7883,2.8328,262800
1983-04-05,2.8773,2.8921,2.8405,2.8553,1064700
1983-04-06,2.8405,2.8405,2.8108,2.8108,1268100
1983-04-07,2.8257,2.8405,2.8179,2.8257,545400
1983-04-08,2.8257,2.8476,2.8108,2.8405,657900
1983-04-11,2.8405,2.8624,2.8179,2.8405,722700
1983-04-12,2.8553,2.8624,2.7883,2.8328,1197900
1983-04-13,2.8328,2.8553,2.8031,2.8257,1172700
1983-04-14,2.8257,2.9514,2.8108,2.9218,1716300
1983-04-15,2.9514,2.9811,2.9366,2.9663,2249100
1983-04-18,2.9663,2.9811,2.9366,2.9591,5827500
1983-04-19,2.9591,2.9663,2.9366,2.9366,1411200
1983-04-20,2.9443,3.0256,2.9443,3.0107,1532700
1983-04-21,3.0552,3.0552,2.9740,2.9811,1150200
1983-04-22,2.9888,2.9888,2.9514,2.9663,746100
1983-04-25,2.9443,2.9740,2.9069,2.9146,576000
1983-04-26,2.9663,2.9959,2.9295,2.9959,760500
1983-04-27,3.0036,3.0404,2.9591,2.9811,4080600
1983-04-28,3.0036,3.0256,2.9811,3.0107,1527300
1983-04-29,3.0036,3.0256,2.9740,2.9888,3043800
1983-05-02,2.9366,2.9888,2.8850,2.8998,1136700
1983-05-03,2.8998,2.9069,2.8328,2.9069,1467000
1983-05-04,2.9443,2.9514,2.9366,2.9514,1073700
1983-05-05,2.9591,2.9811,2.9366,2.9591,813600
1983-05-06,2.9740,3.0185,2.9663,2.9740,9065700
1983-05-09,2.9740,2.9888,2.9514,2.9514,747900
1983-05-10,2.9591,2.9591,2.9295,2.9366,2509200
1983-05-11,2.9218,2.9295,2.8328,2.8701,938700
1983-05-12,2.8701,2.8701,2.7734,2.7883,3081600
1983-05-13,2.7883,2.8553,2.7812,2.8405,3456900
1983-05-16,2.8328,2.8328,2.7960,2.8031,2332800
1983-05-17,2.8031,2.8179,2.7883,2.8108,2420100
1983-05-18,2.8108,2.8773,2.8108,2.8553,2327400
1983-05-19,2.8624,2.8701,2.8257,2.8257,1639800
1983-05-20,2.8179,2.8179,2.7663,2.8031,2959200
1983-05-23,2.7734,2.8701,2.7586,2.8476,2120400
1983-05-24,2.8921,2.9218,2.8850,2.9069,1147500
1983-05-25,2.9146,2.9218,2.8773,2.9069,2724300
1983-05-26,2.9663,2.9663,2.9069,2.9295,2057400
1983-05-27,2.9295,2.9295,2.8850,2.8921,1297800
1983-05-31,2.8773,2.9295,2.8773,2.9218,1474200
1983-06-01,2.9218,2.9591,2.9146,2.9443,2415600
1983-06-02,2.9591,2.9663,2.8921,2.8998,3438000
1983-06-03,2.8921,2.8998,2.8773,2.8773,1095300
1983-06-06,2.8405,2.8998,2.8328,2.8850,4672800
1983-06-07,2.9069,2.9366,2.9069,2.9146,940500
1983-06-08,2.9295,2.9295,2.8921,2.8998,368100
1983-06-09,2.9069,2.9295,2.8624,2.8850,3980700
1983-06-10,2.8850,2.9069,2.8476,2.8773,2783700
1983-06-13,2.8773,2.9069,2.8476,2.9069,2150100
1983-06-14,2.8998,2.8998,2.8476,2.8921,488700
1983-06-15,2.8998,2.8998,2.8476,2.8921,1746000
1983-06-16,2.9069,2.9295,2.8624,2.9295,1499400
1983-06-17,2.9146,2.9218,2.8701,2.8998,609300
1983-06-20,2.8921,2.8921,2.8476,2.8773,1023300
1983-06-21,2.8624,2.8701,2.8031,2.8328,3078000
1983-06-22,2.8179,2.8405,2.7960,2.8328,1684800
1983-06-23,2.8179,2.8328,2.7883,2.8179,566100
1983-06-24,2.8179,2.8773,2.7960,2.8624,743400
1983-06-27,2.8850,2.8998,2.8031,2.8257,684900
1983-06-28,2.8328,2.8405,2.7960,2.8179,465300
1983-06-29,2.8031,2.8257,2.7960,2.8257,465300
1983-06-30,2.8476,2.8850,2.8405,2.8553,489600
1983-07-01,2.8405,2.8476,2.8179,2.8257,711000
1983-07-05,2.8031,2.8179,2.7960,2.7960,477000
1983-07-06,2.8031,2.8773,2.8031,2.8773,598500
1983-07-07,2.8773,2.8998,2.8553,2.8624,928800
1983-07-08,2.8553,2.8850,2.8553,2.8773,377100
1983-07-11,2.8921,2.9069,2.8624,2.8773,495900
1983-07-12,2.8624,2.8773,2.7883,2.8108,1206000
1983-07-13,2.8257,2.8257,2.7586,2.7812,707400
1983-07-14,2.7812,2.8031,2.7734,2.7812,1023300
1983-07-15,2.7812,2.7812,2.7290,2.7515,956700
1983-07-18,2.7663,2.8257,2.7663,2.7812,622800
1983-07-19,2.7883,2.8179,2.7812,2.7960,932400
1983-07-20,2.8108,2.8405,2.7960,2.8257,1873800
1983-07-21,2.8328,2.8405,2.7734,2.7960,1273500
1983-07-22,2.7812,2.8031,2.7586,2.7960,581400
1983-07-25,2.8108,2.9069,2.7812,2.8624,873000
1983-07-26,2.8476,2.8476,2.7883,2.8179,557100
1983-07-27,2.5510,2.6032,2.5290,2.5361,6727500
1983-07-28,2.5213,2.5361,2.4620,2.5065,7978500
1983-07-29,2.4697,2.4845,2.3730,2.4472,4424400
1983-08-01,2.4323,2.5065,2.4175,2.4697,2729700
1983-08-02,2.4917,2.5065,2.4472,2.4697,1534500
1983-08-03,2.4845,2.4917,2.4472,2.4620,3186900
1983-08-04,2.4549,2.4549,2.3730,2.3807,3270600
1983-08-05,2.3807,2.3878,2.3511,2.3730,4544100
1983-08-08,2.3433,2.3659,2.3433,2.3582,1408500
1983-08-09,2.3511,2.3730,2.3433,2.3659,2888100
1983-08-10,2.3582,2.4549,2.3433,2.4472,1584900
1983-08-11,2.4472,2.4472,2.4027,2.4175,776700
1983-08-12,2.4175,2.4549,2.4027,2.4472,897300
1983-08-15,2.4620,2.5290,2.4620,2.4620,2246400
1983-08-16,2.4697,2.4994,2.4620,2.4768,1214100
1983-08-17,2.4917,2.5510,2.4917,2.5213,6282900
1983-08-18,2.5361,2.5439,2.5065,2.5142,612900
1983-08-19,2.4768,2.4845,2.4252,2.4620,1166400
1983-08-22,2.4697,2.4768,2.3878,2.4175,918900
1983-08-23,2.3730,2.4027,2.3582,2.3807,1400400
1983-08-24,2.3659,2.3955,2.3659,2.3878,747000
1983-08-25,2.3878,2.4104,2.3730,2.4104,587700
1983-08-26,2.4323,2.4620,2.4104,2.4620,1226700
1983-08-29,2.4400,2.4400,2.4027,2.4252,562500
1983-08-30,2.4549,2.4917,2.4323,2.4472,672300
1983-08-31,2.4472,2.5065,2.4323,2.4917,970200
1983-09-01,2.4994,2.5361,2.4994,2.4994,1646100
1983-09-02,2.4697,2.5213,2.4697,2.5065,10271700
1983-09-06,2.5510,2.6328,2.5439,2.6328,1510200
1983-09-07,2.5955,2.6032,2.5290,2.5510,3297600
1983-09-08,2.5587,2.6180,2.5439,2.5806,934200
1983-09-09,2.5884,2.6032,2.5735,2.5884,917100
1983-09-12,2.6328,2.6400,2.5510,2.5735,1967400
1983-09-13,2.5884,2.6180,2.5884,2.6103,607500
1983-09-14,2.6103,2.6251,2.6103,2.6251,1230300
1983-09-15,2.6103,2.6103,2.5361,2.5361,1629000
1983-09-16,2.5361,2.5735,2.5213,2.5361,1395900
1983-09-19,2.5439,2.5806,2.5290,2.5658,590400
1983-09-20,2.5806,2.6032,2.5587,2.5806,1080000
1983-09-21,2.5884,2.5955,2.5658,2.5735,1619100
1983-09-22,2.5658,2.5884,2.5658,2.5884,1693800
1983-09-23,2.5884,2.6032,2.5510,2.6032,792000
1983-09-26,2.6400,2.6625,2.5955,2.6103,2339100
1983-09-27,2.6251,2.6251,2.5955,2.5955,885600
1983-09-28,2.6032,2.6180,2.5884,2.6180,604800
1983-09-29,2.6180,2.6400,2.6103,2.6251,780300
1983-09-30,2.6180,2.6251,2.6103,2.6251,1088100
1983-10-03,2.6103,2.6251,2.6032,2.6032,1120500
1983-10-04,2.6180,2.6400,2.6103,2.6400,953100
1983-10-05,2.6400,2.7218,2.6103,2.7070,1479600
1983-10-06,2.7290,2.7515,2.6993,2.7515,1034100
1983-10-07,2.7515,2.7960,2.7290,2.7883,1630800
1983-10-10,2.7883,2.8031,2.7515,2.8031,690300
1983-10-11,2.7883,2.7883,2.7515,2.7586,1205100
1983-10-12,2.7438,2.7515,2.6993,2.7070,774900
1983-10-13,2.6922,2.7141,2.6845,2.6922,657000
1983-10-14,2.7070,2.7367,2.6922,2.7367,847800
1983-10-17,2.7218,2.7812,2.7218,2.7586,2037600
1983-10-18,2.7586,2.7586,2.6773,2.7070,2315700
1983-10-19,2.6993,2.7070,2.6773,2.6922,2601900
1983-10-20,2.6922,2.7070,2.6922,2.6993,1014300
1983-10-21,2.6993,2.6993,2.6625,2.6773,1710000
1983-10-24,2.6922,2.6922,2.6400,2.6773,1508400
1983-10-25,2.6773,2.6922,2.6477,2.6696,507600
1983-10-26,2.6773,2.6845,2.6548,2.6773,1258200
1983-10-27,2.6845,2.7290,2.6548,2.7218,2412900
1983-10-28,2.7290,2.7367,2.6922,2.7070,1263600
1983-10-31,2.7218,2.7218,2.6845,2.7141,804600
1983-11-01,2.7290,2.7438,2.6993,2.7438,1752300
1983-11-02,2.7438,2.7586,2.7218,2.7218,1194300
1983-11-03,2.7218,2.7218,2.6625,2.6625,484200
1983-11-04,2.6625,2.6922,2.6180,2.6773,856800
1983-11-07,2.6922,2.6922,2.6625,2.6773,529200
1983-11-08,2.6548,2.6625,2.6103,2.6103,873900
