date,open,high,low,close,volume
1990-03-26,3.1715,3.1715,3.1398,3.1398,19098
1990-03-27,3.1715,3.1715,3.1187,3.1187,93501
1990-03-28,3.1504,3.1504,3.1187,3.1187,59796
1990-03-29,3.1398,3.2138,3.1398,3.1927,339597
1990-03-30,3.1821,3.2350,3.1821,3.2350,236997
1990-04-02,3.2350,3.2350,3.2032,3.2032,52101
1990-04-03,3.2032,3.2772,3.2032,3.2772,338598
1990-04-04,3.2561,3.2561,3.2561,3.2561,61803
1990-04-05,3.2667,3.2667,3.2244,3.2561,82602
1990-04-06,3.2350,3.2455,3.1715,3.1715,271197
1990-04-09,3.1609,3.1821,3.1504,3.1715,84897
1990-04-10,3.1609,3.1715,3.1504,3.1715,19098
1990-04-11,3.1504,3.1715,3.1504,3.1609,17100
1990-04-12,3.1504,3.1715,3.1504,3.1504,69696
1990-04-16,3.1715,3.1715,3.1504,3.1504,75996
1990-04-17,3.1715,3.1715,3.1504,3.1609,109998
1990-04-18,3.1821,3.1927,3.1715,3.1715,245700
1990-04-19,3.1715,3.1821,3.1609,3.1715,269802
1990-04-20,3.1821,3.1821,3.1609,3.1609,103401
1990-04-23,3.1609,3.1715,3.0975,3.1292,627597
1990-04-24,3.0975,3.1081,3.0869,3.0975,119997
1990-04-25,3.0869,3.1081,3.0764,3.0764,234702
1990-04-26,3.0764,3.1081,3.0129,3.0341,944802
1990-04-27,3.0341,3.0552,3.0341,3.0341,261801
1990-04-30,3.0341,3.0341,2.9707,3.0129,280701
1990-05-01,3.0024,3.0129,3.0024,3.0129,369297
1990-05-02,3.0290,3.0552,3.0235,3.0502,346203
1990-05-03,3.0552,3.0764,3.0447,3.0658,324396
1990-05-04,3.0713,3.1187,3.0658,3.0869,487503
1990-05-07,3.0975,3.1292,3.0975,3.1292,93501
1990-05-08,3.1292,3.1821,3.1292,3.1609,654696
1990-05-09,3.1398,3.1398,3.1081,3.1187,178902
1990-05-10,3.1292,3.1292,3.0869,3.1081,201996
1990-05-11,3.0869,3.1187,3.0869,3.1030,341901
1990-05-14,3.0975,3.1609,3.0975,3.1609,287298
1990-05-15,3.1398,3.1609,3.1398,3.1398,73998
1990-05-16,3.1398,3.1609,3.1398,3.1609,122004
1990-05-17,3.1821,3.2350,3.1664,3.2138,199701
1990-05-18,3.2032,3.2138,3.1927,3.2138,311202
1990-05-21,3.2032,3.2350,3.2032,3.2244,112401
1990-05-22,3.2455,3.2772,3.2455,3.2772,113400
1990-05-23,3.2455,3.2984,3.2455,3.2878,401004
1990-05-24,3.2772,3.2878,3.2667,3.2667,80604
1990-05-25,3.2667,3.2984,3.2667,3.2984,403398
1990-05-29,3.2933,3.3195,3.2878,3.2984,220599
1990-05-30,3.3195,3.3618,3.3195,3.3407,253197
1990-05-31,3.3407,3.4358,3.3407,3.4252,526698
1990-06-01,3.4147,3.4464,3.4147,3.4252,641898
1990-06-04,3.4464,3.4730,3.4358,3.4675,454698
1990-06-05,3.4570,3.4887,3.4570,3.4675,219501
1990-06-06,3.4675,3.4781,3.4147,3.4147,277398
1990-06-07,3.4252,3.4358,3.4147,3.4358,125604
1990-06-08,3.4147,3.4358,3.4041,3.4252,168300
1990-06-11,3.4041,3.4464,3.4041,3.4464,148401
1990-06-12,3.4464,3.5521,3.4358,3.5521,502704
1990-06-13,3.5732,3.5838,3.5521,3.5838,136098
1990-06-14,3.5627,3.6261,3.5627,3.6155,330003
1990-06-15,3.6155,3.6367,3.6155,3.6261,158004
1990-06-18,3.6205,3.6205,3.5566,3.5779,239004
1990-06-19,3.5779,3.5885,3.5672,3.5672,55503
1990-06-20,3.5779,3.5885,3.5566,3.5672,166896
1990-06-21,3.5672,3.5885,3.5672,3.5672,19098
1990-06-22,3.5779,3.5885,3.5672,3.5672,129501
1990-06-25,3.5566,3.5779,3.5353,3.5353,363699
1990-06-26,3.5353,3.5566,3.5247,3.5247,335601
1990-06-27,3.5247,3.5460,3.5034,3.5034,186399
1990-06-28,3.5247,3.5247,3.4821,3.4821,60696
1990-06-29,3.4821,3.4821,3.4501,3.4714,358398
1990-07-02,3.4927,3.4927,3.4608,3.4663,177804
1990-07-03,3.4608,3.4821,3.4608,3.4608,20097
1990-07-05,3.4501,3.4501,3.4075,3.4288,158004
1990-07-06,3.3756,3.4182,3.3756,3.3969,259803
1990-07-09,3.4288,3.4288,3.3969,3.4288,150399
1990-07-10,3.4288,3.4288,3.4288,3.4288,900
1990-07-11,3.4075,3.4288,3.4075,3.4182,65097
1990-07-12,3.4501,3.4714,3.4395,3.4714,346203
1990-07-13,3.4608,3.5247,3.4608,3.5247,154998
1990-07-16,3.5566,3.5885,3.5566,3.5885,208602
1990-07-17,3.5672,3.6311,3.5672,3.6311,207297
1990-07-18,3.6205,3.6205,3.6205,3.6205,91503
1990-07-19,3.6311,3.6311,3.5885,3.6047,119997
1990-07-20,3.5992,3.6205,3.5992,3.6205,21402
1990-07-23,3.6205,3.6205,3.5779,3.6098,371601
1990-07-24,3.6098,3.6844,3.6098,3.6524,309204
1990-07-25,3.6844,3.7802,3.6737,3.7802,309204
1990-07-26,3.7802,3.8228,3.7696,3.7909,323298
1990-07-27,3.7802,3.7802,3.7270,3.7270,65097
1990-07-30,3.7270,3.7270,3.6524,3.6524,153999
1990-07-31,3.6524,3.6950,3.6311,3.6844,752400
1990-08-01,3.6631,3.6844,3.6631,3.6631,84897
1990-08-02,3.6737,3.6950,3.6737,3.6844,103401
1990-08-03,3.6844,3.6950,3.6524,3.6844,1375803
1990-08-06,3.6844,3.6844,3.6311,3.6367,336600
1990-08-07,3.6418,3.6418,3.6098,3.6098,725904
1990-08-08,3.6098,3.6205,3.5672,3.5992,1829601
1990-08-09,3.6098,3.6844,3.5885,3.6686,305802
1990-08-10,3.6844,3.6844,3.6631,3.6844,335601
