date,open,high,low,close,volume
1977-01-03,0.8015,0.8086,0.8015,0.8015,700800
1977-01-04,0.8015,0.8050,0.7939,0.7939,1313600
1977-01-05,0.7939,0.8015,0.7904,0.7939,2211200
1977-01-06,0.7939,0.7939,0.7831,0.7869,2172800
1977-01-07,0.7869,0.7904,0.7831,0.7904,355200
1977-01-10,0.7869,0.7869,0.7793,0.7869,1091200
1977-01-11,0.7869,0.7869,0.7465,0.7538,2372800
1977-01-12,0.7538,0.7538,0.7319,0.7354,1172800
1977-01-13,0.7354,0.7354,0.7245,0.7319,1300800
1977-01-14,0.7319,0.7319,0.7172,0.7319,1534400
1977-01-17,0.7319,0.7354,0.7245,0.7283,1169600
1977-01-18,0.7207,0.7207,0.7061,0.7172,1534400
1977-01-19,0.7172,0.7245,0.7137,0.7207,945600
1977-01-20,0.7207,0.7245,0.7172,0.7245,1540800
1977-01-21,0.7245,0.7354,0.7172,0.7319,788800
1977-01-24,0.7319,0.7319,0.7207,0.7319,1478400
1977-01-25,0.7283,0.7283,0.7172,0.7245,2955200
1977-01-26,0.7245,0.7245,0.7099,0.7099,1377600
1977-01-27,0.7099,0.7099,0.6991,0.7026,905600
1977-01-28,0.7026,0.7061,0.6844,0.6879,1465600
1977-01-31,0.6879,0.6991,0.6844,0.6991,1038400
1977-02-01,0.6991,0.7099,0.6953,0.7099,1150400
1977-02-02,0.7099,0.7538,0.7099,0.7207,1040000
1977-02-03,0.7172,0.7172,0.7099,0.7099,1100800
1977-02-04,0.7099,0.7245,0.7099,0.7207,668800
1977-02-07,0.7207,0.7283,0.6953,0.7207,1099200
1977-02-08,0.7207,0.7245,0.7172,0.7207,763200
1977-02-09,0.7207,0.7319,0.7172,0.7245,1057600
1977-02-10,0.7245,0.7245,0.7172,0.7245,472000
1977-02-11,0.7172,0.7172,0.6879,0.7172,672000
1977-02-14,0.7172,0.7245,0.7137,0.7245,505600
1977-02-15,0.7245,0.7392,0.7245,0.7283,2582400
1977-02-16,0.7283,0.7465,0.7283,0.7392,768000
1977-02-17,0.7392,0.7430,0.7319,0.7392,876800
1977-02-18,0.7354,0.7354,0.7283,0.7319,483200
1977-02-22,0.7319,0.7392,0.7319,0.7392,414400
1977-02-23,0.7392,0.7430,0.7354,0.7430,1128000
1977-02-24,0.7430,0.7430,0.7354,0.7392,742400
1977-02-25,0.7392,0.7430,0.7319,0.7392,489600
1977-02-28,0.7392,0.7430,0.7319,0.7430,2172800
1977-03-01,0.7430,0.7465,0.7392,0.7465,870400
1977-03-02,0.7465,0.7538,0.7430,0.7430,750400
1977-03-03,0.7430,0.7500,0.7392,0.7465,934400
1977-03-04,0.7465,0.7500,0.7430,0.7465,832000
1977-03-07,0.7465,0.7500,0.7392,0.7500,489600
1977-03-08,0.7500,0.7538,0.7354,0.7465,779200
1977-03-09,0.7465,0.7465,0.7354,0.7354,376000
1977-03-10,0.7354,0.7392,0.7283,0.7319,1145600
1977-03-11,0.7319,0.7354,0.7207,0.7207,742400
1977-03-14,0.7207,0.7283,0.7207,0.7245,436800
1977-03-15,0.7245,0.7354,0.7245,0.7283,782400
1977-03-16,0.7283,0.7319,0.7245,0.7245,819200
1977-03-17,0.7245,0.7319,0.7245,0.7283,800000
1977-03-18,0.7283,0.7319,0.7245,0.7245,614400
1977-03-21,0.7245,0.7245,0.7207,0.7207,392000
1977-03-22,0.7207,0.7283,0.7207,0.7245,518400
1977-03-23,0.7245,0.7245,0.7172,0.7207,260800
1977-03-24,0.7207,0.7207,0.7137,0.7172,379200
