date,open,high,low,close,volume
2002-12-06,4.4879,4.9712,4.4764,4.9367,27551000
2002-12-09,4.9137,4.9252,4.7342,4.8355,3149500
2002-12-10,4.8389,4.9828,4.7929,4.9195,1723000
2002-12-11,4.9137,5.2359,4.8677,5.1853,2549000
2002-12-12,5.1853,5.1853,5.0173,5.0529,1355500
2002-12-13,5.0529,5.0599,4.9770,5.0230,987500
2002-12-16,5.0058,5.0345,4.9425,4.9597,798000
2002-12-17,4.9482,5.0633,4.9252,4.9793,1646000
2002-12-18,4.9712,4.9712,4.8964,4.9103,742000
2002-12-19,4.8964,4.9137,4.8527,4.8677,684000
2002-12-20,4.8792,5.1324,4.8332,5.1151,904500
2002-12-23,5.1036,5.1266,4.9885,4.9943,638500
2002-12-24,5.0173,5.0173,4.9436,4.9540,218000
2002-12-26,4.9597,4.9655,4.8964,4.9022,325000
2002-12-27,4.8907,4.8907,4.8044,4.8332,830500
2002-12-30,4.8677,4.9310,4.8447,4.8700,1076500
2002-12-31,4.8642,5.0403,4.8642,5.0242,1778000
2003-01-02,5.0242,5.0576,5.0000,5.0311,315000
2003-01-03,5.0311,5.2704,5.0081,5.2704,861500
2003-01-06,5.1818,5.5639,5.1818,5.5351,1874500
2003-01-07,5.5236,5.5927,5.4373,5.5259,1383000
2003-01-08,5.5271,5.5547,5.4856,5.5248,411000
2003-01-09,5.5351,5.6617,5.4845,5.6444,649000
2003-01-10,5.6214,5.6790,5.6053,5.6375,844000
2003-01-13,5.6387,5.7169,5.6237,5.7100,810000
2003-01-14,5.7100,5.7538,5.6467,5.6502,554000
2003-01-15,5.5696,5.5696,5.3809,5.4143,1459000
2003-01-16,5.4085,5.4085,5.2095,5.2221,725000
2003-01-17,5.2071,5.2382,5.1554,5.1807,590500
2003-01-21,5.1841,5.2014,5.0932,5.1151,468000
2003-01-22,5.0978,5.1093,5.0748,5.0806,163500
2003-01-23,5.0863,5.2647,5.0783,5.2279,476000
2003-01-24,5.2187,5.4200,5.1784,5.4074,685000
2003-01-27,5.3844,5.3970,5.3165,5.3222,209000
2003-01-28,5.2716,5.3038,5.2382,5.2394,364500
2003-01-29,5.3280,5.3602,5.2935,5.2946,401500
2003-01-30,5.3510,5.3614,5.0403,5.0863,735000
2003-01-31,5.0633,5.0691,4.8343,4.8907,2886000
2003-02-03,4.8849,4.9367,4.8516,4.8734,780000
2003-02-04,4.8562,4.8562,4.7814,4.8332,740000
2003-02-05,4.8274,4.8332,4.7584,4.8032,1159000
2003-02-06,4.7986,4.8355,4.7699,4.7756,1077500
2003-02-07,4.7871,4.8504,4.7814,4.8458,744500
2003-02-10,4.8458,4.9943,4.8389,4.9482,278500
2003-02-11,4.9482,5.0092,4.9367,4.9379,222500
2003-02-12,4.9195,4.9425,4.8884,4.9379,355500
2003-02-13,4.9310,5.0311,4.9275,5.0058,265500
2003-02-14,5.0288,5.1554,5.0288,5.1208,958000
2003-02-18,5.1496,5.1554,5.0806,5.1231,753500
2003-02-19,5.1243,5.1784,5.1093,5.1519,420500
2003-02-20,5.1554,5.1899,5.1439,5.1818,159000
2003-02-21,5.1830,5.2543,5.1784,5.2198,206000
2003-02-24,5.1784,5.2704,5.1784,5.2405,182500
2003-02-25,5.2359,5.2704,5.2187,5.2612,144500
2003-02-26,5.2635,5.2935,5.1899,5.2175,214000
2003-02-27,5.2060,5.2071,4.9828,4.9828,945000
2003-02-28,4.9770,5.0403,4.9333,4.9540,565000
2003-03-03,4.9551,5.0127,4.9482,4.9632,211000
2003-03-04,4.9597,4.9758,4.9275,4.9275,151000
2003-03-05,4.9287,4.9436,4.8562,4.8619,269500
2003-03-06,4.8618,4.9242,4.8618,4.8884,352500
2003-03-07,4.8895,4.9346,4.8734,4.8872,175500
2003-03-10,4.8815,4.9253,4.8803,4.8907,163000
2003-03-11,4.8919,4.9300,4.8688,4.8803,104500
2003-03-12,4.8953,4.9126,4.8376,4.8930,312000
2003-03-13,4.9069,4.9300,4.8965,4.9092,204000
2003-03-14,4.9069,5.0108,4.9069,4.9877,471500
2003-03-17,4.9877,5.3329,4.9877,5.3052,607000
2003-03-18,5.3075,5.4068,5.2763,5.3167,478500
2003-03-19,5.3225,5.4206,5.3225,5.4206,149500
2003-03-20,5.4218,5.4218,5.2590,5.2590,571000
2003-03-21,5.2763,5.4414,5.2763,5.4380,632500
2003-03-24,5.4264,5.5661,5.3952,5.5419,1112000
2003-03-25,5.5361,5.6054,5.5361,5.5915,545500
2003-03-26,5.5881,5.6469,5.5881,5.5996,1076000
2003-03-27,5.5881,5.6458,5.5188,5.6458,777500
2003-03-28,5.6342,5.6342,5.5881,5.6169,306500
2003-03-31,5.6054,5.6054,5.5142,5.5592,435000
2003-04-01,5.5603,5.5638,5.4934,5.5384,232000
2003-04-02,5.4691,5.5765,5.4530,5.5603,536000
2003-04-03,5.5650,5.6804,5.5650,5.5742,633000
2003-04-04,5.5823,5.6342,5.5719,5.5881,321500
2003-04-07,5.6227,5.6400,5.3883,5.3918,1109500
2003-04-08,5.3802,5.3999,5.3283,5.3641,398000
2003-04-09,5.3745,5.4149,5.3398,5.3976,390000
2003-04-10,5.4033,5.4437,5.3745,5.4403,224500
2003-04-11,5.4495,5.4495,5.3837,5.3999,178500
2003-04-14,5.3999,5.4957,5.3918,5.4853,212500
2003-04-15,5.4807,5.5038,5.4761,5.4841,198500
2003-04-16,5.4899,5.5315,5.4865,5.4968,280000
2003-04-17,5.6123,5.7347,5.6042,5.6619,1067500
2003-04-21,5.6389,5.6446,5.5730,5.6250,243500
2003-04-22,5.6585,5.8363,5.5627,5.7485,1607000
2003-04-23,5.8063,5.9171,5.7728,5.8305,1540000
2003-04-24,5.8305,5.9575,5.8305,5.9575,644000
2003-04-25,5.9575,6.0845,5.9575,6.0556,905000
2003-04-28,6.0787,6.4875,6.0787,6.3962,2717500
2003-04-29,6.3974,6.4794,6.3247,6.4251,1455000
2003-04-30,6.4193,6.5521,6.3639,6.5279,885500
2003-05-01,6.5279,6.5579,6.4401,6.4401,1156500
2003-05-02,6.4251,6.6375,6.4251,6.5810,740500
2003-05-05,6.5867,6.6964,6.5417,6.5579,693000
2003-05-06,6.5579,6.5579,6.4690,6.5232,661000
2003-05-07,6.5002,6.5348,6.3847,6.4193,704500
2003-05-08,6.3962,6.4170,6.3443,6.3939,707000
2003-05-09,6.4078,6.5002,6.3558,6.4332,461000
2003-05-12,6.4251,6.6098,6.4078,6.5463,457500
2003-05-13,6.5348,6.8119,6.5348,6.7657,1083500
2003-05-14,6.7588,6.8396,6.7357,6.7530,763000
2003-05-15,6.7484,6.7969,6.7195,6.7680,279500
2003-05-16,6.7622,6.9273,6.7080,6.9273,498000
2003-05-19,6.8581,6.8685,6.7391,6.7599,547500
2003-05-20,6.7484,6.8465,6.7484,6.7588,461500
2003-05-21,6.7484,6.8350,6.7034,6.8315,355000
2003-05-22,6.8604,6.9504,6.8465,6.8927,583000
2003-05-23,6.8985,6.9539,6.8950,6.9481,161000
2003-05-27,6.8869,6.8869,6.8350,6.8731,409000
2003-05-28,6.8731,7.0024,6.8731,6.9793,506500
2003-05-29,6.9793,6.9989,6.9123,6.9550,856500
2003-05-30,6.9550,7.1352,6.9504,7.0982,820000
2003-06-02,7.1063,7.2483,7.1063,7.1640,704500
2003-06-03,7.1409,7.2218,7.1409,7.1952,741000
2003-06-04,7.1987,7.3268,7.1952,7.2968,547000
2003-06-05,7.2968,7.3441,7.2564,7.2749,363000
2003-06-06,7.2754,7.2754,7.0590,7.0590,1028000
2003-06-09,7.0416,7.1967,7.0335,7.1747,1836500
2003-06-10,7.1805,7.2615,7.1168,7.1978,1206000
2003-06-11,7.1863,7.2395,7.1863,7.2152,1197500
2003-06-12,7.2325,7.4640,7.2082,7.4223,999000
