date,open,high,low,close,volume
1984-12-31,1.6690,1.7643,1.6690,1.7643,791000
1985-01-02,1.7643,1.7643,1.7147,1.7643,99500
1985-01-03,1.7643,1.7643,1.7147,1.7643,48900
1985-01-04,1.7643,1.7643,1.7147,1.7643,60300
1985-01-07,1.7147,1.7643,1.7147,1.7147,76300
1985-01-08,1.7147,1.7643,1.6690,1.7147,155900
1985-01-09,1.7147,1.7643,1.6690,1.7147,181400
1985-01-10,1.7643,1.8595,1.7643,1.8595,266300
1985-01-11,1.8595,1.9548,1.8100,1.9548,293600
1985-01-14,1.9548,2.0005,1.8595,1.9053,237900
1985-01-15,1.9548,2.0501,1.9548,2.0005,585100
1985-01-16,2.0005,2.1453,2.0005,2.0958,562500
1985-01-17,2.2406,2.2863,2.1911,2.2863,337900
1985-01-18,2.2863,2.3359,2.2406,2.3359,432200
1985-01-21,2.3359,2.4311,2.3359,2.4311,258900
1985-01-22,2.5264,2.5721,2.3359,2.3816,480800
1985-01-23,2.3816,2.4311,2.3359,2.4311,246700
1985-01-24,2.4311,2.4768,2.3816,2.3816,412400
1985-01-25,2.3816,2.4311,2.3359,2.3816,387600
1985-01-28,2.3359,2.3816,2.2406,2.2406,263500
1985-01-29,2.2406,2.2863,2.1453,2.2406,197100
1985-01-30,2.2863,2.4311,2.2406,2.4311,306000
1985-01-31,2.4768,2.4768,2.4311,2.4311,158600
1985-02-01,2.4311,2.4768,2.3816,2.4311,182200
1985-02-04,2.4311,2.4768,2.3816,2.4311,131900
1985-02-05,2.4311,2.4768,2.3816,2.4311,96300
1985-02-06,2.4311,2.4768,2.4311,2.4311,80300
1985-02-07,2.4311,2.4768,2.4311,2.4768,79100
1985-02-08,2.4311,2.4768,2.3816,2.3816,73900
1985-02-11,2.3816,2.4311,2.3816,2.3816,76700
1985-02-12,2.3816,2.4311,2.3816,2.3816,71900
1985-02-13,2.3816,2.4311,2.3816,2.3816,60900
1985-02-14,2.3816,2.4768,2.3816,2.4311,187800
1985-02-15,2.4311,2.6216,2.3816,2.3816,122900
1985-02-19,2.3816,2.4311,2.3816,2.4311,70900
1985-02-20,2.4311,2.4311,2.3816,2.3816,138200
1985-02-21,2.3816,2.4311,2.3359,2.3816,63300
1985-02-22,2.3816,2.3816,2.3359,2.3359,45400
1985-02-25,2.3359,2.3816,2.2863,2.2863,94200
1985-02-26,2.2863,2.3359,2.2863,2.2863,92100
1985-02-27,2.2863,2.3359,2.2406,2.2863,75700
1985-02-28,2.2863,2.3359,2.2406,2.2863,63100
1985-03-01,2.2863,2.3816,2.2863,2.3359,268700
1985-03-04,2.3359,2.3816,2.3359,2.3359,99000
1985-03-05,2.3359,2.3816,2.2863,2.3359,227600
1985-03-06,2.3359,2.3816,2.3359,2.3816,96900
1985-03-07,2.3816,2.3816,2.3359,2.3816,161500
1985-03-08,2.3816,2.3816,2.3359,2.3359,109900
1985-03-11,2.3816,2.3816,2.3359,2.3359,143600
1985-03-12,2.3359,2.3816,2.3359,2.3359,79500
1985-03-13,2.3359,2.3816,2.3359,2.3359,129100
1985-03-14,2.3359,2.3816,2.3359,2.3359,217000
1985-03-15,2.3359,2.3816,2.3359,2.3359,93000
1985-03-18,2.3816,2.4311,2.3359,2.3816,145800
1985-03-19,2.3816,2.4311,2.3816,2.3816,82600
1985-03-20,2.3816,2.4311,2.3816,2.3816,71200
1985-03-21,2.3816,2.4311,2.3816,2.3816,105500
1985-03-22,2.3816,2.4311,2.3816,2.4311,73900
1985-03-25,2.4311,2.4311,2.3816,2.4311,66000
1985-03-26,2.3816,2.4311,2.3816,2.4311,178600
1985-03-27,2.3816,2.4768,2.3816,2.4768,150400
1985-03-28,2.4311,2.5264,2.4311,2.5264,355600
1985-03-29,2.5721,2.6674,2.5264,2.6216,270000
1985-04-01,2.4311,2.5264,2.3359,2.4768,626400
1985-04-02,2.4768,2.4768,2.3816,2.4311,239100
1985-04-03,2.4311,2.4768,2.4311,2.4768,133500
1985-04-04,2.4768,2.5264,2.4768,2.4768,99400
1985-04-08,2.4768,2.5264,2.4311,2.4311,104300
1985-04-09,2.3816,2.4768,2.3816,2.4311,216700
1985-04-10,2.3816,2.4768,2.3816,2.3816,524700
1985-04-11,2.3816,2.4311,2.3816,2.3816,92600
1985-04-12,2.3816,2.4768,2.3816,2.4311,118200
1985-04-15,2.4311,2.4768,2.3359,2.4311,121200
1985-04-16,2.4311,2.4768,2.4311,2.4311,60600
1985-04-17,2.4311,2.4768,2.4311,2.4311,96500
1985-04-18,2.4311,2.4768,2.4311,2.4311,81100
1985-04-19,2.4311,2.4768,2.4311,2.4768,78000
1985-04-22,2.4311,2.4768,2.4311,2.4311,155000
1985-04-23,2.4311,2.4768,2.4311,2.4768,161900
1985-04-24,2.4311,2.4768,2.4311,2.4768,326600
1985-04-25,2.4311,2.4768,2.4311,2.4768,76900
1985-04-26,2.4311,2.6674,2.4311,2.5721,429000
1985-04-29,2.5721,2.6216,2.4768,2.5264,327500
1985-04-30,2.5264,2.5721,2.5264,2.5264,57400
1985-05-01,2.5264,2.5721,2.5264,2.5264,62000
1985-05-02,2.5264,2.5721,2.4768,2.5721,62000
1985-05-03,2.5264,2.6216,2.5264,2.5721,195400
1985-05-06,2.5721,2.6216,2.5721,2.6216,465300
1985-05-07,2.5721,2.6216,2.5721,2.6216,141800
1985-05-08,2.5721,2.6216,2.5721,2.5721,63800
1985-05-09,2.5721,2.6216,2.5721,2.5721,93600
1985-05-10,2.5721,2.6216,2.5721,2.5721,145400
1985-05-13,2.5721,2.6216,2.5721,2.6216,93200
1985-05-14,2.5721,2.6216,2.5721,2.5721,90800
1985-05-15,2.5721,2.6216,2.5721,2.5721,151500
1985-05-16,2.5721,2.6216,2.5721,2.5721,133200
1985-05-17,2.5721,2.6216,2.5721,2.5721,97700
1985-05-20,2.5721,2.6216,2.5264,2.5721,122700
1985-05-21,2.5264,2.5721,2.5264,2.5264,245200
1985-05-22,2.5264,2.5721,2.5264,2.5264,102000
1985-05-23,2.5264,2.5721,2.5264,2.5264,56200
1985-05-24,2.5264,2.5721,2.5264,2.5721,52900
1985-05-28,2.5721,2.5721,2.4768,2.5264,260800
1985-05-29,2.5264,2.5721,2.4768,2.4768,104200
1985-05-30,2.4768,2.6216,2.4768,2.5264,131700
1985-05-31,2.5264,2.6674,2.5264,2.6674,459300
1985-06-03,2.6674,2.6674,2.6216,2.6216,107600
1985-06-04,2.6216,2.6674,2.6216,2.6216,94200
1985-06-05,2.6216,2.6674,2.5721,2.5721,191500
1985-06-06,2.5721,2.6216,2.5721,2.5721,54200
1985-06-07,2.5721,2.6216,2.5721,2.6216,60700
1985-06-10,2.5721,2.6216,2.5721,2.5721,42800
1985-06-11,2.5721,2.6216,2.5721,2.6216,65300
1985-06-12,2.6216,2.6674,2.5721,2.5721,233700
1985-06-13,2.5721,2.6216,2.5721,2.6216,43400
1985-06-14,2.5721,2.6216,2.5721,2.6216,135800
1985-06-17,2.5721,2.6216,2.5721,2.5721,57700
1985-06-18,2.5721,2.6674,2.5721,2.6216,172300
1985-06-19,2.6216,2.7626,2.6216,2.7169,409900
1985-06-20,2.6674,2.8122,2.6674,2.8122,294700
1985-06-21,2.7626,2.8122,2.7169,2.8122,90600
1985-06-24,2.8122,2.9532,2.7626,2.9532,277300
1985-06-25,2.9532,3.0980,2.9532,3.0484,332900
1985-06-26,3.0484,3.1932,3.0484,3.1437,238800
1985-06-27,3.1932,3.1932,3.0484,3.0980,200400
1985-06-28,3.1437,3.1437,3.0980,3.0980,102000
1985-07-01,3.0980,3.2885,3.0980,3.1932,143400
1985-07-02,3.1932,3.2389,3.1437,3.1932,88600
1985-07-03,3.2389,3.2389,3.1437,3.2389,121300
1985-07-05,3.2389,3.2389,3.1932,3.2389,81100
1985-07-08,3.2389,3.3342,3.1932,3.2389,136000
1985-07-09,3.2885,3.3837,3.2389,3.2885,190300
1985-07-10,3.2885,3.2885,3.1932,3.1932,145500
1985-07-11,3.2389,3.2389,3.1932,3.1932,89300
1985-07-12,3.1932,3.2389,3.1437,3.1437,91500
1985-07-15,3.1932,3.2885,3.1437,3.2885,140700
1985-07-16,3.2885,3.3342,3.2389,3.3342,120400
1985-07-17,3.2885,3.3342,3.2389,3.2389,77700
1985-07-18,3.2389,3.2389,3.1932,3.1932,158700
1985-07-19,3.1932,3.1932,3.0980,3.1437,269700
1985-07-22,3.1437,3.1932,3.0027,3.0980,323700
1985-07-23,3.0980,3.2389,3.0980,3.0980,130800
1985-07-24,3.0980,3.1437,3.0980,3.1437,106100
1985-07-25,3.1437,3.1932,3.0980,3.1437,145900
1985-07-26,3.0980,3.1932,3.0027,3.0027,166900
1985-07-29,3.0027,3.0027,2.8122,2.9074,218900
1985-07-30,2.9532,2.9532,2.9074,2.9532,92000
1985-07-31,2.9532,3.0027,2.9074,2.9532,81500
1985-08-01,3.0027,3.0484,2.9532,3.0484,74400
1985-08-02,3.0027,3.0484,2.9074,2.9532,197800
1985-08-05,2.9074,2.9532,2.9074,2.9532,184100
1985-08-06,2.9074,2.9532,2.9074,2.9074,122200
1985-08-07,2.9074,2.9074,2.8579,2.8579,72200
1985-08-08,2.8122,2.9074,2.8122,2.9074,77000
1985-08-09,2.9074,2.9074,2.8579,2.9074,54700
1985-08-12,2.8579,2.9074,2.8122,2.8122,68600
1985-08-13,2.8122,2.8579,2.7626,2.8122,164800
1985-08-14,2.8122,2.8579,2.7626,2.8122,81700
1985-08-15,2.8579,2.8579,2.8122,2.8122,54000
1985-08-16,2.8122,2.8579,2.7626,2.7626,96000
1985-08-19,2.7626,2.8579,2.7169,2.7169,354900
1985-08-20,2.7626,2.9074,2.7626,2.8122,53100
1985-08-21,2.7626,2.8579,2.7626,2.8579,159700
1985-08-22,2.8122,2.8579,2.8122,2.8579,45300
1985-08-23,2.8122,2.8579,2.8122,2.8122,145600
1985-08-26,2.8579,2.8579,2.7626,2.8579,498600
1985-08-27,2.8579,2.8579,2.8122,2.8122,73100
1985-08-28,2.8122,2.8579,2.8122,2.8122,163300
1985-08-29,2.8122,2.9074,2.7626,2.8579,50700
1985-08-30,2.8579,2.8579,2.8122,2.8579,50500
1985-09-03,2.8579,2.8579,2.8122,2.8122,124500
1985-09-04,2.8122,2.8579,2.8122,2.8122,111200
1985-09-05,2.8122,2.8579,2.8122,2.8579,46800
1985-09-06,2.8122,2.8579,2.8122,2.8579,44600
1985-09-09,2.8122,2.8579,2.7626,2.7626,60600
1985-09-10,2.7626,2.8122,2.7626,2.7626,54200
1985-09-11,2.7626,2.8122,2.7626,2.8122,88800
1985-09-12,2.7626,2.8122,2.7169,2.7626,94400
1985-09-13,2.7626,2.8122,2.7169,2.7169,122600
1985-09-16,2.7626,2.7626,2.7169,2.7169,64500
1985-09-17,2.7169,2.7626,2.7169,2.7169,94700
1985-09-18,2.7169,2.7626,2.7169,2.7169,261800
1985-09-19,2.7626,2.8122,2.7169,2.7626,104600
1985-09-20,2.8122,2.8122,2.7626,2.8122,110800
1985-09-23,2.7626,2.8579,2.7626,2.7626,128000
1985-09-24,2.7626,2.8122,2.6674,2.7169,85100
1985-09-25,2.7169,2.7626,2.6674,2.6674,68000
1985-09-26,2.7169,2.7626,2.6674,2.6674,95300
1985-09-30,2.6674,2.7169,2.5721,2.6216,111600
1985-10-01,2.6216,2.7169,2.6216,2.6674,120200
1985-10-02,2.6674,2.7169,2.5721,2.5721,610000
1985-10-03,2.6216,2.6216,2.5721,2.5721,310000
1985-10-04,2.5721,2.6216,2.5721,2.5721,73800
1985-10-07,2.5721,2.6216,2.5264,2.5721,80500
1985-10-08,2.5721,2.6216,2.5721,2.5721,74000
1985-10-09,2.6216,2.6216,2.5721,2.5721,52100
1985-10-10,2.5721,2.6216,2.5264,2.6216,224600
1985-10-11,2.5721,2.6216,2.5721,2.5721,41000
1985-10-14,2.6216,2.6216,2.5721,2.5721,89400
1985-10-15,2.5721,2.6216,2.5721,2.5721,91300
1985-10-16,2.5721,2.6216,2.5721,2.6216,61800
1985-10-17,2.6674,2.6674,2.5721,2.6216,122200
1985-10-18,2.6216,2.6674,2.5721,2.6216,52100
1985-10-21,2.5721,2.6216,2.5721,2.5721,46300
1985-10-22,2.5721,2.6216,2.5721,2.5721,71300
1985-10-23,2.5721,2.6216,2.5721,2.5721,92700
1985-10-24,2.5721,2.6216,2.4768,2.5721,103100
1985-10-25,2.5264,2.5721,2.5264,2.5264,48400
1985-10-28,2.5264,2.6216,2.5264,2.6216,129200
1985-10-29,2.6216,2.7626,2.5721,2.7169,320400
1985-10-30,2.8122,2.8122,2.7626,2.8122,161300
1985-10-31,2.8122,2.8579,2.7626,2.7626,173500
1985-11-01,2.7626,2.8579,2.7626,2.8122,115700
1985-11-04,2.8122,2.8579,2.8122,2.8579,222100
1985-11-05,2.8122,2.8579,2.8122,2.8579,97000
1985-11-06,2.8122,2.8579,2.8122,2.8579,186300
1985-11-07,2.8579,2.9532,2.8579,2.9532,427200
1985-11-08,2.9532,3.1437,2.9074,3.0980,312700
1985-11-11,3.0980,3.1437,3.0484,3.0484,227500
1985-11-12,3.0980,3.0980,3.0484,3.0484,140400
1985-11-13,3.0484,3.0980,2.9074,2.9532,149600
1985-11-14,2.9532,3.0484,2.9532,3.0027,112200
1985-11-15,3.0027,3.0484,2.9532,2.9532,89300
1985-11-18,2.9532,3.0484,2.9532,3.0484,365800
1985-11-19,3.0027,3.0980,3.0027,3.0484,176500
1985-11-20,3.0484,3.0980,2.9532,3.0027,136400
1985-11-21,3.0027,3.0484,2.9532,3.0027,372700
1985-11-22,3.0027,3.0484,2.9532,3.0027,198500
1985-11-25,3.0027,3.1437,2.9532,3.1437,385300
1985-11-26,3.0980,3.0980,3.0027,3.0484,60900
1985-11-27,3.0484,3.0980,3.0027,3.0484,209600
1985-11-29,3.0980,3.0980,3.0484,3.0980,175900
1985-12-02,3.0980,3.1932,3.0484,3.0980,440500
1985-12-03,3.0980,3.0980,3.0484,3.0484,128100
1985-12-04,3.0484,3.1932,3.0027,3.0027,126100
1985-12-05,3.0027,3.0980,3.0027,3.0484,144900
1985-12-06,3.0484,3.0980,3.0027,3.0484,94800
1985-12-09,3.0027,3.0484,3.0027,3.0027,307900
1985-12-10,3.0027,3.0484,2.9532,3.0484,704200
