date,open,high,low,close,volume
2001-12-13,1.1892,1.4750,1.1892,1.4333,56373600
2001-12-14,1.4342,1.4408,1.3708,1.3917,11307204
2001-12-17,1.3917,1.4250,1.3833,1.4150,1756800
2001-12-18,1.4083,1.4475,1.3917,1.4383,3585600
2001-12-19,1.4375,1.7750,1.4333,1.7258,3352800
2001-12-20,1.7000,1.9000,1.6458,1.6542,3855204
2001-12-21,1.6742,1.6750,1.6542,1.6583,3245604
2001-12-24,1.6617,1.6875,1.6342,1.6625,968004
2001-12-26,1.6583,1.7167,1.6517,1.6933,2115204
2001-12-27,1.7083,1.7408,1.6900,1.7333,2372004
2001-12-28,1.7208,1.8167,1.7208,1.7917,1108800
2001-12-31,1.8233,1.9250,1.7725,1.8292,451200
2002-01-02,1.8892,1.8892,1.8200,1.8333,1448004
2002-01-03,1.8242,1.8375,1.8242,1.8333,328800
2002-01-04,1.8367,1.8367,1.7825,1.8125,549600
2002-01-07,1.7875,1.8075,1.7000,1.7142,789600
2002-01-08,1.7175,1.7667,1.7125,1.7667,1184004
2002-01-09,1.7667,1.7667,1.7267,1.7267,696804
2002-01-10,1.7375,1.7375,1.6533,1.7133,552000
2002-01-11,1.6883,1.8083,1.6875,1.7667,194400
2002-01-14,1.7833,1.7833,1.7317,1.7467,129600
2002-01-15,1.7500,1.7542,1.7333,1.7500,94404
2002-01-16,1.7500,1.7550,1.6708,1.6708,149604
2002-01-17,1.6683,1.7100,1.5167,1.6292,1036800
2002-01-18,1.6100,1.6408,1.5933,1.6250,833604
2002-01-22,1.6083,1.6833,1.6000,1.6833,470400
2002-01-23,1.6550,1.8092,1.6550,1.8092,231204
2002-01-24,1.7992,1.8200,1.7500,1.7958,108000
2002-01-25,1.7958,1.8042,1.7625,1.8042,252804
2002-01-28,1.7875,1.7875,1.6458,1.6933,1384800
2002-01-29,1.6867,1.7500,1.6867,1.7083,742404
2002-01-30,1.7092,1.7092,1.6758,1.6767,1068000
2002-01-31,1.6717,1.6967,1.5083,1.5417,3235200
2002-02-01,1.6000,1.6667,1.5833,1.6167,1817604
2002-02-04,1.6167,1.6333,1.5458,1.5667,7305600
2002-02-05,1.5675,1.5933,1.5675,1.5917,45600
2002-02-06,1.5917,1.6808,1.5917,1.6750,571200
2002-02-07,1.6625,1.6750,1.6008,1.6008,98400
2002-02-08,1.6008,1.6008,1.6008,1.6008,8004
2002-02-11,1.6333,1.6533,1.6042,1.6042,36000
2002-02-12,1.6000,1.6208,1.5858,1.6058,48804
2002-02-13,1.6000,1.6000,1.5625,1.5650,837600
2002-02-14,1.5750,1.6058,1.5750,1.6058,139200
2002-02-15,1.5950,1.5958,1.5500,1.5833,963204
2002-02-19,1.5875,1.5917,1.5633,1.5633,31200
2002-02-20,1.5642,1.5875,1.5633,1.5717,363204
2002-02-21,1.5825,1.5958,1.5633,1.5792,554400
2002-02-22,1.5792,1.5900,1.5667,1.5667,571200
2002-02-25,1.5792,1.5892,1.5633,1.5750,2069604
2002-02-26,1.5750,1.5950,1.5675,1.5758,225600
2002-02-27,1.5683,1.5833,1.5642,1.5692,1328004
2002-02-28,1.5667,1.5708,1.5583,1.5625,1432800
2002-03-01,1.5750,1.5833,1.5633,1.5650,1160004
2002-03-04,1.5650,1.5783,1.5458,1.5700,664800
2002-03-05,1.5708,1.5917,1.5667,1.5742,310404
2002-03-06,1.5750,1.5992,1.5625,1.5750,268800
2002-03-07,1.6000,1.6000,1.5750,1.5750,72804
2002-03-08,1.5717,1.5917,1.5542,1.5917,158400
2002-03-11,1.5625,1.5908,1.5417,1.5725,178404
2002-03-12,1.5875,1.6250,1.5708,1.6250,693600
2002-03-13,1.6283,1.7283,1.6250,1.7283,725604
2002-03-14,1.7125,1.8392,1.7125,1.8333,1497600
2002-03-15,1.8292,1.9042,1.8292,1.8833,874404
2002-03-18,1.9150,1.9633,1.9000,1.9083,994404
2002-03-19,1.9250,1.9250,1.9025,1.9250,403200
2002-03-20,1.9133,1.9342,1.8975,1.9167,236004
2002-03-21,1.9167,1.9208,1.8875,1.9208,972000
2002-03-22,1.8975,1.9275,1.8917,1.9233,420000
2002-03-25,1.9208,1.9208,1.8908,1.9125,60804
2002-03-26,1.9042,1.9208,1.8908,1.9167,140004
2002-03-27,1.9217,1.9258,1.9058,1.9125,247200
2002-03-28,1.9158,1.9367,1.7750,1.9083,1668804
2002-04-01,1.9117,1.9125,1.8900,1.9125,326400
2002-04-02,1.9125,1.9125,1.9017,1.9083,108000
2002-04-03,1.9083,1.9167,1.9083,1.9142,576000
