date,open,high,low,close,volume
1970-01-02,1.9973,2.0165,1.9786,2.0099,20601
1970-01-05,2.0099,2.0413,2.0099,2.0413,11601
1970-01-06,2.0352,2.0352,1.9847,2.0034,12801
1970-01-07,1.9973,1.9973,1.9275,1.9720,9000
1970-01-08,1.9720,1.9720,1.9528,1.9720,15201
1970-01-09,1.9720,1.9720,1.9594,1.9594,6000
1970-01-12,1.9847,2.0034,1.9847,2.0034,11001
1970-01-13,2.0034,2.0099,1.9912,1.9973,15201
1970-01-14,1.9973,1.9973,1.9720,1.9720,20601
1970-01-15,1.9720,1.9973,1.9467,1.9467,9201
1970-01-16,1.9467,1.9720,1.9341,1.9720,21201
1970-01-19,1.9720,1.9720,1.9341,1.9341,16800
1970-01-20,1.9341,1.9720,1.9341,1.9467,7401
1970-01-21,1.9467,1.9467,1.9215,1.9467,15000
1970-01-22,1.9467,1.9467,1.9275,1.9275,9600
1970-01-23,1.9275,1.9467,1.8896,1.8962,27600
1970-01-26,1.8962,1.9088,1.8770,1.8770,8400
1970-01-27,1.8770,1.8896,1.8709,1.8835,2601
1970-01-28,1.8770,1.8770,1.8709,1.8709,19200
1970-01-29,1.8896,1.9027,1.8896,1.8896,12201
1970-01-30,1.8896,1.9215,1.8835,1.8835,17400
1970-02-02,1.8835,1.8835,1.8583,1.8835,10401
1970-02-03,1.8896,1.9154,1.8896,1.9027,11601
1970-02-04,1.9027,1.9467,1.8962,1.9154,24600
1970-02-05,1.9154,1.9275,1.8583,1.8896,24801
1970-02-06,1.8709,1.8709,1.8517,1.8583,28800
1970-02-09,1.8583,1.9215,1.8517,1.8770,14001
1970-02-10,1.8709,1.8709,1.8517,1.8517,17400
1970-02-11,1.8517,1.8709,1.8395,1.8709,18600
1970-02-12,1.8709,1.8709,1.8583,1.8583,3201
1970-02-13,1.8709,1.8896,1.8709,1.8709,7800
1970-02-16,1.8709,1.9275,1.8583,1.9215,75000
1970-02-17,1.9215,1.9407,1.9154,1.9407,9801
1970-02-18,1.9407,1.9720,1.9215,1.9720,83400
1970-02-19,1.9720,1.9786,1.9467,1.9786,36600
1970-02-20,1.9786,2.0034,1.9786,2.0034,11400
1970-02-24,2.0034,2.0984,1.9973,2.0226,31800
1970-02-25,2.0479,2.1111,2.0479,2.0858,46401
1970-02-26,2.0858,2.1237,2.0544,2.0984,53001
1970-02-27,2.0984,2.1237,2.0984,2.1111,55800
1970-03-02,2.1237,2.1616,2.1237,2.1429,31200
1970-03-03,2.1429,2.2122,2.0924,2.2122,33600
1970-03-04,2.1996,2.1996,2.1429,2.1429,21201
1970-03-05,2.1429,2.1429,2.1045,2.1237,18600
1970-03-06,2.1490,2.1682,2.1490,2.1682,10401
1970-03-09,2.1682,2.1869,2.1551,2.1616,8400
1970-03-10,2.1616,2.1869,2.1490,2.1682,16200
1970-03-11,2.1682,2.1743,2.1490,2.1743,19401
1970-03-12,2.1743,2.1930,2.1743,2.1743,15801
1970-03-13,2.1743,2.1743,2.1364,2.1743,17001
1970-03-16,2.1682,2.1682,2.1045,2.1237,12801
1970-03-17,2.1237,2.1364,2.1237,2.1237,12201
1970-03-18,2.1237,2.1490,2.1237,2.1490,11400
1970-03-19,2.1490,2.1743,2.1364,2.1616,12600
1970-03-20,2.1616,2.1682,2.1490,2.1490,30600
1970-03-23,2.1490,2.1682,2.1364,2.1682,7401
1970-03-24,2.1682,2.1803,2.1682,2.1743,8601
1970-03-25,2.1869,2.2375,2.1869,2.2248,51000
1970-03-26,2.2248,2.2375,2.2248,2.2309,84201
1970-03-30,2.2309,2.2501,2.2248,2.2375,24801
1970-03-31,2.2375,2.2501,2.2248,2.2501,25200
1970-04-01,2.2501,2.2628,2.2501,2.2562,15600
1970-04-02,2.2562,2.2562,2.2248,2.2248,14001
1970-04-03,2.2248,2.2248,2.1996,2.2188,19200
1970-04-06,2.2061,2.2061,2.1551,2.1930,41601
1970-04-07,2.1930,2.2188,2.1743,2.1803,11601
1970-04-08,2.1869,2.2188,2.1869,2.1996,15600
1970-04-09,2.1996,2.2248,2.1869,2.1869,24801
1970-04-10,2.1869,2.2188,2.1803,2.1869,14001
1970-04-13,2.1869,2.1996,2.1743,2.1743,13800
1970-04-14,2.1743,2.1743,2.1551,2.1743,13200
1970-04-15,2.1743,2.1743,2.1429,2.1743,7401
1970-04-16,2.1490,2.1490,2.1237,2.1237,11400
1970-04-17,2.0984,2.0984,2.0352,2.0413,18600
1970-04-20,2.0413,2.0732,2.0226,2.0479,7800
1970-04-21,2.0479,2.1045,2.0479,2.0479,14001
1970-04-22,2.0287,2.0287,1.9973,2.0226,46800
1970-04-23,2.0226,2.0413,2.0226,2.0413,62001
1970-04-24,2.0352,2.0352,2.0226,2.0352,3000
1970-04-27,2.0352,2.0479,2.0352,2.0352,11601
1970-04-28,2.0352,2.0413,2.0226,2.0226,23400
1970-04-29,2.0226,2.0413,1.9847,2.0226,47601
1970-04-30,2.0226,2.0479,2.0226,2.0226,29601
1970-05-01,2.0226,2.0226,1.9594,1.9654,39201
1970-05-04,1.9594,1.9594,1.9215,1.9407,71400
1970-05-05,1.9407,1.9528,1.9215,1.9275,39201
1970-05-06,1.9275,1.9467,1.9088,1.9088,23400
1970-05-07,1.9088,1.9407,1.8770,1.9154,15801
1970-05-08,1.9154,1.9215,1.8962,1.9027,6000
1970-05-11,1.9027,1.9215,1.9027,1.9027,5601
1970-05-12,1.9027,1.9154,1.8962,1.8962,8001
1970-05-13,1.8962,1.9027,1.8709,1.8709,13800
1970-05-14,1.8709,1.8962,1.8456,1.8962,4800
1970-05-15,1.8962,1.9154,1.8709,1.8709,23400
1970-05-18,1.8835,1.9088,1.8835,1.9088,2601
1970-05-19,1.9088,1.9154,1.8709,1.8709,28800
1970-05-20,1.8456,1.8456,1.8203,1.8203,23400
1970-05-21,1.8203,1.8330,1.7824,1.8203,35001
1970-05-22,1.8203,1.8203,1.8011,1.8203,14001
1970-05-25,1.8203,1.8203,1.7950,1.7950,14400
1970-05-26,1.7950,1.7950,1.7698,1.7950,11601
1970-05-27,1.7950,1.8709,1.7698,1.8709,21201
1970-05-28,1.8709,1.8896,1.8269,1.8269,9000
1970-05-29,1.8269,1.8709,1.8077,1.8330,20601
1970-06-01,1.8330,1.8648,1.8077,1.8648,12201
1970-06-02,1.8648,1.8709,1.8330,1.8456,20001
1970-06-03,1.8456,1.8709,1.8330,1.8709,34401
1970-06-04,1.8962,1.9594,1.8962,1.9027,17601
1970-06-05,1.9027,1.9154,1.8203,1.8709,28800
1970-06-08,1.8583,1.8583,1.8395,1.8395,9000
1970-06-09,1.8330,1.8330,1.8077,1.8077,16401
1970-06-10,1.8203,1.8330,1.8203,1.8203,17601
1970-06-11,1.8138,1.8138,1.7950,1.7950,6801
1970-06-12,1.8011,1.8203,1.8011,1.8203,33000
1970-06-15,1.7950,1.7950,1.7192,1.7571,19401
1970-06-16,1.7571,1.7758,1.7445,1.7445,10200
1970-06-17,1.7445,1.7824,1.7253,1.7824,21801
1970-06-18,1.7824,1.8330,1.7698,1.7698,19200
1970-06-19,1.7698,1.8138,1.7698,1.7698,20400
1970-06-22,1.7698,1.8077,1.7571,1.7758,16200
1970-06-23,1.7758,1.7890,1.7698,1.7698,15600
1970-06-24,1.7758,1.8203,1.7758,1.8203,23601
1970-06-25,1.8203,1.8456,1.8203,1.8203,7800
1970-06-26,1.8203,1.8203,1.8077,1.8077,4800
1970-06-29,1.8077,1.8203,1.8077,1.8203,18000
1970-06-30,1.8203,1.8395,1.8011,1.8138,24201
1970-07-01,1.8138,1.8583,1.8011,1.8583,27201
1970-07-02,1.8583,1.9341,1.8517,1.9341,8601
1970-07-06,1.9341,1.9407,1.8962,1.9215,18201
1970-07-07,1.9215,1.9467,1.9215,1.9275,5601
1970-07-08,1.9341,1.9654,1.9341,1.9654,7401
1970-07-09,2.0034,2.0413,2.0034,2.0226,55200
1970-07-10,2.0226,2.0479,2.0226,2.0287,16401
1970-07-13,2.0287,2.0413,2.0165,2.0165,26001
1970-07-14,2.0226,2.0352,2.0226,2.0287,6000
1970-07-15,2.0287,2.0352,2.0034,2.0352,22800
1970-07-16,2.0352,2.0479,2.0352,2.0352,17001
1970-07-17,2.0352,2.0352,1.9594,1.9720,13800
1970-07-20,1.9973,2.0413,1.9973,2.0413,39801
1970-07-21,2.0352,2.0352,2.0165,2.0226,29400
1970-07-22,2.0226,2.0352,2.0226,2.0226,15000
1970-07-23,2.0352,2.1171,2.0352,2.1111,55200
1970-07-24,2.1111,2.1429,2.0858,2.0984,21600
1970-07-27,2.0792,2.0792,2.0732,2.0732,8001
1970-07-28,2.0732,2.1045,2.0732,2.0732,86601
1970-07-29,2.0732,2.0924,2.0479,2.0479,22401
1970-07-30,2.0479,2.0479,2.0226,2.0226,29001
1970-07-31,2.0226,2.0605,2.0034,2.0605,18201
1970-08-03,2.0605,2.0671,2.0479,2.0605,3600
1970-08-04,2.0479,2.0479,1.9912,1.9912,11400
1970-08-05,1.9912,2.0352,1.9912,2.0352,7200
1970-08-06,2.0352,2.0352,2.0099,2.0226,15600
1970-08-07,2.0226,2.0352,2.0099,2.0352,24000
1970-08-10,2.0352,2.0352,2.0165,2.0226,28800
1970-08-11,2.0226,2.0226,2.0034,2.0165,11001
1970-08-12,2.0226,2.0413,2.0226,2.0352,7800
1970-08-13,2.0352,2.0544,2.0287,2.0544,11601
1970-08-14,2.0479,2.0479,2.0226,2.0352,10800
1970-08-17,2.0544,2.0858,2.0544,2.0732,9600
1970-08-18,2.0732,2.0732,2.0352,2.0605,22200
1970-08-19,2.0605,2.0792,2.0605,2.0792,7401
1970-08-20,2.0984,2.1490,2.0984,2.1111,16401
1970-08-21,2.1111,2.1303,2.1111,2.1111,19200
1970-08-24,2.1490,2.1743,2.1490,2.1743,22401
1970-08-25,2.1682,2.1682,2.0792,2.0792,21600
1970-08-26,2.0792,2.1111,2.0544,2.0984,6801
1970-08-27,2.0984,2.1171,2.0924,2.1111,9000
1970-08-28,2.1111,2.1364,2.0924,2.1237,10200
1970-08-31,2.1237,2.1429,2.0984,2.0984,5601
1970-09-01,2.0984,2.1171,2.0732,2.1111,14001
1970-09-02,2.1111,2.1171,2.0858,2.1171,5601
1970-09-03,2.1171,2.1429,2.0984,2.0984,25401
1970-09-04,2.0984,2.1237,2.0732,2.0924,14601
1970-09-08,2.0732,2.0732,2.0226,2.0479,36000
1970-09-09,2.0479,2.0479,2.0287,2.0413,5400
1970-09-10,2.0413,2.0605,2.0226,2.0605,45600
1970-09-11,2.0605,2.1045,2.0479,2.0732,12801
1970-09-14,2.0732,2.0858,2.0479,2.0479,282600
1970-09-15,2.0479,2.0605,2.0479,2.0479,7401
1970-09-16,2.0479,2.0605,2.0226,2.0479,13800
1970-09-17,2.0479,2.0544,2.0099,2.0352,314001
1970-09-18,2.0479,2.0671,2.0479,2.0605,12201
1970-09-21,2.0479,2.0479,2.0226,2.0226,43401
1970-09-22,2.0226,2.0226,2.0034,2.0165,6600
1970-09-23,2.0165,2.0352,1.9973,2.0165,13401
1970-09-24,2.0165,2.0479,1.9912,2.0287,11400
1970-09-25,2.0479,2.0732,2.0479,2.0732,38001
1970-09-28,2.0732,2.0732,2.0544,2.0544,3201
1970-09-29,2.0544,2.0924,2.0352,2.0792,13401
1970-09-30,2.0732,2.0732,2.0671,2.0671,4200
1970-10-01,2.0671,2.0858,2.0671,2.0858,20400
1970-10-02,2.0858,2.0984,2.0792,2.0792,9000
1970-10-05,2.0792,2.1045,2.0792,2.1045,55800
1970-10-06,2.0984,2.0984,2.0924,2.0924,26001
1970-10-07,2.0858,2.0858,2.0479,2.0732,41601
1970-10-08,2.0732,2.0858,2.0544,2.0544,16800
1970-10-09,2.0544,2.0924,2.0479,2.0671,20601
1970-10-12,2.0671,2.0792,2.0605,2.0792,38001
1970-10-13,2.0732,2.0732,2.0605,2.0732,18801
1970-10-14,2.0671,2.0671,2.0479,2.0671,31401
1970-10-15,2.0605,2.0605,2.0352,2.0479,13401
1970-10-16,2.0544,2.0858,2.0544,2.0732,12801
1970-10-19,2.0671,2.0671,2.0287,2.0287,5400
1970-10-20,2.0479,2.0924,2.0479,2.0858,8400
1970-10-21,2.0858,2.1111,2.0858,2.0858,28401
1970-10-22,2.0858,2.0858,2.0413,2.0413,4200
1970-10-23,2.0413,2.0605,2.0287,2.0479,11601
1970-10-26,2.0479,2.0605,2.0226,2.0479,8400
1970-10-27,2.0479,2.0605,2.0479,2.0605,35400
1970-10-28,2.0352,2.0352,2.0099,2.0287,7401
1970-10-29,2.0226,2.0226,1.9720,1.9847,17601
1970-10-30,1.9847,2.0226,1.9654,2.0226,15000
1970-11-02,2.0226,2.0413,2.0226,2.0226,8601
1970-11-03,2.0226,2.0479,2.0099,2.0287,5001
1970-11-04,2.0352,2.0732,2.0352,2.0544,428001
1970-11-05,2.0544,2.0732,2.0287,2.0605,59400
1970-11-06,2.0732,2.1111,2.0732,2.0984,11001
1970-11-09,2.0984,2.1045,2.0605,2.1045,16200
1970-11-10,2.1045,2.1237,2.1045,2.1237,6201
1970-11-11,2.1490,2.2248,2.1490,2.1996,26001
1970-11-12,2.1996,2.2061,2.1803,2.2061,16800
1970-11-13,2.1869,2.1869,2.1429,2.1743,28401
1970-11-16,2.1803,2.1930,2.1803,2.1803,3600
1970-11-17,2.1803,2.2061,2.1743,2.1996,23601
1970-11-18,2.1803,2.1803,2.1111,2.1111,31200
1970-11-19,2.1237,2.1616,2.1237,2.1303,13200
1970-11-20,2.1364,2.1996,2.1364,2.1996,12201
1970-11-23,2.2122,2.2248,2.2122,2.2122,31200
1970-11-24,2.2122,2.2248,2.1996,2.2188,26601
1970-11-25,2.2188,2.2248,2.1930,2.1996,7800
1970-11-27,2.1996,2.2309,2.1930,2.2309,12000
1970-11-30,2.2248,2.2248,2.1996,2.2248,12201
1970-12-01,2.2248,2.2688,2.2061,2.2688,30801
1970-12-02,2.2688,2.2880,2.2501,2.2628,39000
1970-12-03,2.2880,2.3513,2.2880,2.3199,21201
1970-12-04,2.3199,2.3199,2.2628,2.2820,13800
1970-12-07,2.2820,2.3199,2.2688,2.2754,24000
1970-12-08,2.2688,2.2688,2.2122,2.2248,14601
1970-12-09,2.2309,2.2501,2.2309,2.2501,12801
1970-12-10,2.2562,2.2880,2.2562,2.2880,9201
1970-12-11,2.3007,2.3260,2.3007,2.3133,64800
1970-12-14,2.2946,2.2946,2.2248,2.2309,13401
1970-12-15,2.2441,2.2628,2.2441,2.2628,8601
1970-12-16,2.2628,2.2628,2.2309,2.2501,6201
1970-12-17,2.2501,2.2628,2.2248,2.2248,9201
1970-12-18,2.2375,2.3133,2.2375,2.2820,48000
1970-12-21,2.2820,2.2880,2.2501,2.2820,47400
1970-12-22,2.2820,2.3199,2.2820,2.2820,18600
1970-12-23,2.2820,2.3133,2.2754,2.2820,15000
1970-12-24,2.3007,2.3447,2.3007,2.3447,16200
1970-12-28,2.3447,2.3447,2.2946,2.3068,21600
1970-12-29,2.3068,2.3199,2.3007,2.3199,4800
1970-12-30,2.3199,2.3386,2.3068,2.3260,41601
1970-12-31,2.3260,2.3260,2.3133,2.3199,4401
1971-01-04,2.3199,2.3199,2.2754,2.2820,10800
1971-01-05,2.2820,2.2946,2.2754,2.2820,6801
1971-01-06,2.2820,2.3133,2.2754,2.2880,16200
1971-01-07,2.2880,2.2880,2.2754,2.2754,7800
1971-01-08,2.2820,2.3199,2.2820,2.3007,12801
1971-01-11,2.3007,2.3007,2.2820,2.2820,4200
1971-01-12,2.2880,2.3260,2.2880,2.3007,59400
1971-01-13,2.3260,2.3639,2.3260,2.3447,78600
1971-01-14,2.3447,2.3513,2.3320,2.3513,32001
