date,open,high,low,close,volume
1981-12-31,1.6847,1.7158,1.6743,1.6793,1420602
1982-01-04,1.6640,1.6743,1.6482,1.6536,2069202
1982-01-05,1.6121,1.6432,1.5810,1.5914,4173798
1982-01-06,1.5810,1.6324,1.5292,1.5603,3855798
1982-01-07,1.5445,1.5603,1.5292,1.5445,1511100
1982-01-08,1.5391,1.5603,1.5134,1.5134,1861398
1982-01-11,1.4823,1.5188,1.4409,1.4512,2428098
1982-01-12,1.4359,1.4670,1.4044,1.4255,3504000
1982-01-13,1.4409,1.4616,1.4152,1.4201,1692198
1982-01-14,1.4305,1.4616,1.3994,1.4616,2596500
1982-01-15,1.5499,1.6275,1.4720,1.6067,7508598
1982-01-18,1.6171,1.6640,1.5653,1.6640,7078098
1982-01-19,1.6482,1.6897,1.6067,1.6171,7444098
1982-01-20,1.5603,1.6013,1.5188,1.5391,5527602
1982-01-21,1.5702,1.5914,1.5445,1.5702,7028502
1982-01-22,1.5810,1.5964,1.5603,1.5653,2916798
1982-01-25,1.5810,1.6225,1.5391,1.6225,3098700
1982-01-26,1.6275,1.6586,1.5964,1.6067,3584298
1982-01-27,1.6171,1.6378,1.5964,1.6171,2958600
1982-01-28,1.6225,1.6378,1.6013,1.6275,4318602
1982-01-29,1.6378,1.6640,1.6121,1.6171,6637398
1982-02-01,1.5702,1.5964,1.5391,1.5702,2565000
1982-02-02,1.5549,1.5702,1.5342,1.5342,2463498
1982-02-03,1.5080,1.5499,1.4670,1.4769,2934198
1982-02-04,1.5031,1.5342,1.4670,1.5292,4710600
1982-02-05,1.5238,1.5499,1.4981,1.5342,4278498
1982-02-08,1.4927,1.5342,1.4512,1.4566,2663400
1982-02-09,1.4305,1.4566,1.4044,1.4255,4531098
1982-02-10,1.4459,1.4566,1.4305,1.4409,3217500
1982-02-11,1.5238,1.5964,1.4459,1.5964,5796798
1982-02-12,1.5445,1.5964,1.4877,1.5292,8000598
1982-02-16,1.5080,1.5445,1.4720,1.5342,3146700
1982-02-17,1.4877,1.5292,1.4409,1.4616,3310398
1982-02-18,1.4616,1.4823,1.4359,1.4459,2898702
1982-02-19,1.4098,1.4566,1.3633,1.3890,4030602
1982-02-22,1.3219,1.3944,1.2489,1.2750,3710202
1982-02-23,1.3372,1.3994,1.2750,1.3787,4094298
1982-02-24,1.3841,1.4201,1.3476,1.3733,5476398
1982-02-25,1.3422,1.3733,1.3111,1.3268,2432802
1982-02-26,1.3322,1.3476,1.3111,1.3322,2063700
1982-03-01,1.3219,1.3372,1.3061,1.3061,2313198
1982-03-02,1.2908,1.3219,1.2543,1.2647,2203002
1982-03-03,1.2286,1.2489,1.2025,1.2286,4190298
1982-03-04,1.2389,1.2543,1.2178,1.2286,4446102
1982-03-05,1.2232,1.2489,1.1921,1.2078,2695698
1982-03-08,1.1871,1.2286,1.1452,1.1560,2157300
1982-03-09,1.1610,1.2025,1.1195,1.1714,2588598
1982-03-10,1.1610,1.1763,1.1403,1.1403,3031800
1982-03-11,1.1452,1.1610,1.1249,1.1452,4148598
1982-03-12,1.1506,1.1714,1.1299,1.1714,2238402
1982-03-15,1.2025,1.2439,1.1610,1.2439,2013300
