date,open,high,low,close,volume
1986-07-09,6.6671,6.9011,6.5892,6.8621,1116801
1986-07-10,6.9011,6.9401,6.6671,6.8231,595600
1986-07-11,6.7841,6.8231,6.5892,6.5892,800400
1986-07-14,6.6281,6.6281,6.3162,6.3942,738000
1986-07-15,6.3552,6.3552,5.8094,6.1993,2059201
1986-07-16,6.1993,6.5502,6.1993,6.3162,1160401
1986-07-17,6.3162,6.3942,6.2383,6.3552,1046002
1986-07-18,6.3552,6.4535,6.2383,6.3942,1420002
1986-07-21,6.3942,6.4332,6.3552,6.3942,322802
1986-07-22,6.3942,6.4145,6.3552,6.3552,390800
1986-07-23,6.3942,6.3942,6.2383,6.2772,1004001
1986-07-24,6.2772,6.3162,6.1213,6.1993,1071599
1986-07-25,6.1993,6.3162,6.1603,6.2772,688401
1986-07-28,6.2772,6.3942,6.2195,6.3162,414802
1986-07-29,6.2383,6.3552,6.2383,6.3552,278401
1986-07-30,6.2772,6.3162,6.1603,6.3162,459199
1986-07-31,6.3162,6.3942,6.2383,6.2772,1213598
1986-08-01,6.2383,6.3162,6.0823,6.0823,1117999
1986-08-04,6.1213,6.1213,5.9466,6.0823,892400
1986-08-05,6.0823,6.0823,5.9263,5.9653,868799
1986-08-06,5.9653,6.0043,5.6924,5.6924,550401
1986-08-07,5.6144,5.6534,5.0686,5.2245,7560000
1986-08-08,5.2635,5.5754,5.2245,5.5364,2801998
1986-08-11,5.6144,5.6924,5.5364,5.6924,1428001
1986-08-12,5.6924,5.8874,5.6924,5.8484,1155199
1986-08-13,5.8874,6.2975,5.8484,6.0433,865601
1986-08-14,6.0823,6.1213,5.8484,5.9263,761998
1986-08-15,5.9263,5.9263,5.7314,5.8484,654400
1986-08-18,5.8874,6.1603,5.7704,6.0433,606801
1986-08-19,6.0823,6.0823,5.9263,5.9653,2743999
1986-08-20,5.9653,5.9653,5.8484,5.9263,500001
1986-08-21,5.9263,5.9653,5.8874,5.8874,353200
1986-08-22,5.9263,5.9653,5.8484,5.8484,285999
1986-08-25,5.9263,5.9263,5.6924,5.7704,766399
1986-08-26,5.7314,5.8484,5.7314,5.8484,408798
1986-08-27,5.8484,5.8484,5.7314,5.8094,686402
1986-08-28,5.8094,5.8094,5.6924,5.7314,285999
1986-08-29,5.6924,5.7704,5.6534,5.6924,1128800
1986-09-02,5.7314,5.7314,5.4195,5.4585,916798
1986-09-03,5.4585,5.5754,5.4195,5.5754,684402
1986-09-04,5.6144,5.8094,5.5364,5.8094,576800
1986-09-05,5.8094,5.8874,5.6144,5.6144,961600
1986-09-08,5.6924,5.6924,5.3805,5.4585,1793200
1986-09-09,5.4195,5.4585,5.3025,5.3805,387998
1986-09-10,5.3805,5.3805,5.3025,5.3025,802400
1986-09-11,5.3415,5.3415,4.8346,4.9516,6240002
1986-09-12,4.9126,4.9516,4.7177,4.7567,2066799
1986-09-15,4.7567,4.8346,4.6397,4.7567,1746799
1986-09-16,4.7177,4.7567,4.5617,4.6397,1547201
1986-09-17,4.6787,4.6787,4.4058,4.6007,997601
1986-09-18,4.6007,5.4585,4.6007,5.4585,833198
1986-09-19,5.4585,5.4585,5.1076,5.3415,928000
1986-09-22,5.3415,5.4195,5.2245,5.3025,464000
1986-09-23,5.3415,5.3415,5.0296,5.1466,436399
1986-09-24,5.1466,5.3415,5.0686,5.3025,649599
1986-09-25,5.3025,5.3025,5.1855,5.1855,305601
1986-09-26,5.1855,5.2635,5.1466,5.1855,278401
1986-09-29,5.2245,5.2245,5.0296,5.1466,724799
1986-09-30,5.1076,5.4585,5.1076,5.3415,773200
1986-10-01,5.4195,5.4585,5.3415,5.3415,668399
1986-10-02,5.3415,5.3805,5.3415,5.3415,592001
1986-10-03,5.3805,5.3805,5.1466,5.2245,228000
1986-10-06,5.3025,5.3025,5.1855,5.2635,467599
1986-10-07,5.2245,5.3025,5.2245,5.2635,176001
1986-10-08,5.3025,5.3805,5.2635,5.3805,558801
1986-10-09,5.3805,5.3805,5.2245,5.2635,243202
1986-10-10,5.2635,5.2635,5.1466,5.1855,238400
1986-10-13,5.2245,5.2245,5.0296,5.0296,362798
1986-10-14,5.0296,5.3805,5.0296,5.3025,611999
1986-10-15,5.3415,5.4975,5.3025,5.4585,606801
1986-10-16,5.4585,5.4975,5.4195,5.4195,269199
1986-10-17,5.4585,5.4585,5.2635,5.3025,216001
1986-10-20,5.2635,5.3025,5.0296,5.1855,595199
1986-10-21,5.1855,5.1855,5.1076,5.1076,327198
1986-10-22,5.1855,5.1855,5.1076,5.1466,396002
1986-10-23,5.1855,5.1855,5.1466,5.1668,1358400
1986-10-24,5.1855,5.2245,5.1466,5.1855,809601
1986-10-27,5.2245,5.2245,5.1466,5.1855,305200
1986-10-28,5.1466,5.3025,5.1466,5.3025,329202
1986-10-29,5.3025,5.6144,5.3025,5.5364,835599
1986-10-30,5.5364,5.7314,5.4975,5.6534,973198
1986-10-31,5.6534,5.6534,5.5364,5.6144,632398
1986-11-03,5.5364,5.6534,5.5364,5.6144,408798
1986-11-04,5.5754,5.6534,5.5754,5.5754,283202
1986-11-05,5.6144,5.6144,5.5364,5.5364,231198
1986-11-06,5.5364,5.5754,5.3415,5.4975,433998
1986-11-07,5.4975,5.5754,5.4585,5.4787,517202
1986-11-10,5.4975,5.4975,5.3805,5.4585,503199
1986-11-11,5.4975,5.5754,5.4195,5.5754,142000
1986-11-12,5.5754,5.6347,5.5364,5.5957,669602
1986-11-13,5.5754,5.6144,5.2245,5.2245,578800
1986-11-14,5.1855,5.2635,5.1076,5.2245,805998
1986-11-17,5.2245,5.2635,5.1466,5.2245,734402
1986-11-18,5.2635,5.2635,5.1076,5.1466,605599
1986-11-19,5.1855,5.2245,5.1076,5.1855,495600
1986-11-20,5.1855,5.3025,5.1855,5.3025,828401
1986-11-21,5.3415,5.6144,5.3025,5.5754,666800
1986-11-24,5.4975,5.7704,5.4975,5.6924,715602
1986-11-25,5.6144,5.6924,5.5754,5.6144,423999
1986-11-26,5.5754,5.6534,5.5754,5.6534,171600
1986-11-28,5.6534,5.6534,5.5364,5.6144,236000
1986-12-01,5.6144,5.6534,5.4975,5.5364,596001
1986-12-02,5.5754,5.5957,5.5177,5.5754,845598
1986-12-03,5.5364,5.6534,5.5364,5.6534,1016802
1986-12-04,5.6144,5.7314,5.4975,5.5754,643199
1986-12-05,5.5364,5.5754,5.3025,5.3415,636402
1986-12-08,5.3025,5.3805,5.1855,5.3025,711998
1986-12-09,5.2635,5.3415,5.2635,5.2635,302399
1986-12-10,5.3025,5.3025,5.1855,5.2245,341201
1986-12-11,5.2635,5.2635,4.9516,5.0296,1171999
1986-12-12,5.1076,5.1076,5.0296,5.0296,331999
