date,open,high,low,close,volume
1985-07-01,1.9558,1.9881,1.9558,1.9881,833600
1985-07-02,1.9881,1.9881,1.9752,1.9783,232000
1985-07-03,1.9783,1.9850,1.9721,1.9752,265600
1985-07-05,1.9752,1.9881,1.9721,1.9816,273600
1985-07-08,1.9850,2.0041,1.9850,2.0041,825600
1985-07-09,2.0075,2.0591,2.0075,2.0591,577600
1985-07-10,2.0591,2.0785,2.0526,2.0624,683200
1985-07-11,2.0624,2.0655,2.0591,2.0624,478400
1985-07-12,2.0591,2.0591,2.0526,2.0526,227200
1985-07-15,2.0526,2.0655,2.0428,2.0428,236800
1985-07-16,2.0428,2.0526,2.0428,2.0526,507200
1985-07-17,2.0526,2.0686,2.0495,2.0686,555200
1985-07-18,2.0655,2.0655,2.0526,2.0526,137600
1985-07-19,2.0526,2.0591,2.0204,2.0366,371200
1985-07-22,2.0237,2.0237,2.0041,2.0139,411200
1985-07-23,2.0075,2.0075,1.9300,1.9525,422400
1985-07-24,1.9525,1.9687,1.9364,1.9364,534400
1985-07-25,1.9364,1.9494,1.9137,1.9204,417600
1985-07-26,1.9204,1.9395,1.9171,1.9266,348800
1985-07-29,1.9266,1.9266,1.8913,1.9075,697600
1985-07-30,1.8946,1.8946,1.8492,1.8492,865600
1985-07-31,1.8559,1.9266,1.8559,1.9235,910400
1985-08-01,1.9106,1.9106,1.8719,1.9106,242000
1985-08-02,1.9168,1.9561,1.9168,1.9303,316800
1985-08-05,1.9303,1.9494,1.9044,1.9426,345600
1985-08-06,1.9426,1.9623,1.8848,1.8848,540000
1985-08-07,1.8848,1.9426,1.8786,1.9426,575200
1985-08-08,1.9426,1.9881,1.9303,1.9881,474400
1985-08-09,1.9881,2.0077,1.9623,1.9819,486400
1985-08-12,1.9819,1.9881,1.9364,1.9819,485600
1985-08-13,1.9819,1.9819,1.9623,1.9623,345600
1985-08-14,1.9623,1.9623,1.9364,1.9426,308800
1985-08-15,1.9426,1.9561,1.9426,1.9561,183200
1985-08-16,1.9561,1.9561,1.9235,1.9235,168800
1985-08-19,1.9235,1.9426,1.9235,1.9426,200000
1985-08-20,1.9426,1.9494,1.9364,1.9364,493600
1985-08-21,1.9364,2.0526,1.9303,1.9426,460000
1985-08-22,1.9426,1.9494,1.9303,1.9364,243200
1985-08-23,1.9364,1.9426,1.9303,1.9303,69600
1985-08-26,1.9303,1.9364,1.9303,1.9303,134400
1985-08-27,1.9303,1.9364,1.9303,1.9364,121600
1985-08-28,1.9364,1.9364,1.9168,1.9364,301600
1985-08-29,1.9364,1.9494,1.9303,1.9426,168000
1985-08-30,1.9426,1.9494,1.9235,1.9303,326400
1985-09-03,1.9303,1.9303,1.9168,1.9235,128000
1985-09-04,1.9235,1.9364,1.9106,1.9168,328000
1985-09-05,1.9168,1.9303,1.9168,1.9235,141600
1985-09-06,1.9235,1.9426,1.9168,1.9235,100000
1985-09-09,1.9303,1.9819,1.9303,1.9819,185600
1985-09-10,1.9819,2.0139,1.9752,1.9752,178400
1985-09-11,1.9752,2.0010,1.9685,1.9685,178400
1985-09-12,1.9685,1.9881,1.9494,1.9623,451200
1985-09-13,1.9623,1.9685,1.8719,1.9303,308000
1985-09-16,1.9303,1.9364,1.9044,1.9364,158400
1985-09-17,1.9364,1.9819,1.9168,1.9561,384000
1985-09-18,1.9561,1.9561,1.9106,1.9235,396800
1985-09-19,1.9235,1.9426,1.9168,1.9303,56800
1985-09-20,1.9303,1.9561,1.8786,1.8786,327200
1985-09-23,1.8786,1.9235,1.8590,1.8590,392800
1985-09-24,1.8719,1.9364,1.8719,1.9364,488000
1985-09-25,1.9364,1.9819,1.9168,1.9685,439200
1985-09-26,1.9685,1.9819,1.9623,1.9752,371200
1985-09-30,1.9819,2.0335,1.9819,2.0077,495200
1985-10-01,2.0593,2.1817,1.9943,2.1688,748000
1985-10-02,2.1688,2.1817,2.0785,2.1234,996800
1985-10-03,2.1234,2.1688,2.1172,2.1688,724800
1985-10-04,2.1430,2.1430,2.1172,2.1172,264000
1985-10-07,2.1172,2.1172,2.0335,2.0717,420800
1985-10-08,2.0785,2.1430,2.0785,2.1172,417600
1985-10-09,2.1430,2.2334,2.1430,2.1817,1524000
1985-10-10,2.1817,2.2143,2.1492,2.1817,984000
1985-10-11,2.1750,2.1750,2.1559,2.1750,309600
1985-10-14,2.1750,2.1884,2.1688,2.1817,232800
1985-10-15,2.1817,2.3237,2.1626,2.3237,1702400
1985-10-16,2.3237,2.3950,2.2592,2.3175,1347200
1985-10-17,2.3175,2.3175,2.2783,2.2979,1089600
1985-10-18,2.2979,2.4012,2.2850,2.3950,1172000
1985-10-21,2.3950,2.3950,2.3237,2.3558,422400
1985-10-22,2.3558,2.3625,2.3041,2.3237,591200
1985-10-23,2.3108,2.3108,2.2525,2.2525,504000
1985-10-24,2.2525,2.2659,2.2075,2.2463,255200
1985-10-25,2.2463,2.2659,2.2334,2.2463,275200
1985-10-28,2.2334,2.2334,2.1817,2.1817,409600
1985-10-29,2.1817,2.2143,2.1492,2.1559,548800
1985-10-30,2.1559,2.1946,2.0976,2.1110,710400
1985-10-31,2.1110,2.1234,2.0785,2.1172,592000
1985-11-01,2.1234,2.2008,2.1234,2.2008,596800
1985-11-04,2.2008,2.2075,2.1688,2.1946,227200
1985-11-05,2.1946,2.2075,2.1817,2.1946,360000
1985-11-06,2.1946,2.2008,2.1301,2.1626,305600
1985-11-07,2.1626,2.1884,2.1430,2.1750,589600
1985-11-08,2.1946,2.2917,2.1946,2.2659,872000
1985-11-11,2.2783,2.4012,2.2783,2.3816,1057600
1985-11-12,2.3816,2.3816,2.3366,2.3496,1874400
1985-11-13,2.3496,2.3625,2.3108,2.3366,815200
1985-11-14,2.3366,2.3558,2.3299,2.3558,890400
1985-11-15,2.3496,2.3496,2.3108,2.3175,457600
1985-11-18,2.3175,2.3434,2.2979,2.3366,402400
1985-11-19,2.3366,2.3434,2.3237,2.3434,235200
1985-11-20,2.3434,2.3754,2.3299,2.3754,568000
1985-11-21,2.3754,2.3883,2.3434,2.3883,2128000
1985-11-22,2.3883,2.7627,2.3883,2.6139,6428800
1985-11-25,2.5819,2.5819,2.4983,2.5303,1434400
1985-11-26,2.5303,2.5365,2.4787,2.5303,1399200
1985-11-27,2.5303,2.7172,2.5303,2.6594,5197600
1985-11-29,2.7498,2.8339,2.7498,2.7947,3688800
1985-12-02,2.7885,2.7885,2.6981,2.7368,2356800
1985-12-03,2.7368,2.7368,2.6981,2.7048,746400
1985-12-04,2.7172,2.8659,2.7172,2.8401,3550400
1985-12-05,2.8401,3.0012,2.8081,2.9496,2484800
1985-12-06,2.9305,2.9305,2.8272,2.8659,1635200
1985-12-09,2.8659,2.8659,2.8205,2.8530,1139200
1985-12-10,2.8401,2.8401,2.6594,2.6656,2234400
1985-12-11,2.6656,2.7627,2.6594,2.7368,1385600
1985-12-12,2.7368,2.7430,2.6723,2.7306,785600
1985-12-13,2.7306,2.7430,2.7048,2.7110,670400
1985-12-16,2.7110,2.7430,2.6790,2.7172,828800
1985-12-17,2.7172,2.7172,2.6336,2.6336,988000
1985-12-18,2.6336,2.6790,2.6336,2.6594,1058400
1985-12-19,2.6594,2.8272,2.6465,2.7239,3170400
1985-12-20,2.7239,2.7627,2.6723,2.6981,1696800
1985-12-23,2.6981,2.7110,2.6723,2.7110,1481600
1985-12-24,2.6981,2.6981,2.6656,2.6852,584000
1985-12-26,2.6723,2.6723,2.5819,2.6016,786400
1985-12-27,2.6016,2.6336,2.5948,2.6139,921600
1985-12-30,2.6139,2.6207,2.5561,2.5757,708000
1985-12-31,2.5757,2.5881,2.5365,2.5499,2476000
1986-01-02,2.5499,2.5499,2.5303,2.5499,478400
1986-01-03,2.5499,2.5948,2.5174,2.5881,494400
1986-01-06,2.5881,2.6016,2.5561,2.5881,1338400
1986-01-07,2.5881,2.6016,2.5881,2.5881,938400
1986-01-08,2.5881,2.6016,2.4916,2.4916,1683200
1986-01-09,2.4916,2.4916,2.3816,2.4208,1512800
1986-01-10,2.4208,2.4466,2.3883,2.3883,442400
1986-01-13,2.3883,2.4466,2.3496,2.4141,1158400
1986-01-14,2.4141,2.4332,2.3883,2.4074,392800
1986-01-15,2.4074,2.4270,2.3883,2.4074,253600
1986-01-16,2.4074,2.4141,2.3816,2.3883,347200
1986-01-17,2.3883,2.4208,2.3434,2.3754,424800
1986-01-20,2.3754,2.4332,2.3496,2.4208,696800
1986-01-21,2.4208,2.4332,2.3625,2.4012,624800
1986-01-22,2.4012,2.4074,2.2979,2.3108,950400
1986-01-23,2.3108,2.3434,2.2721,2.2721,534400
1986-01-24,2.2721,2.3299,2.2721,2.3299,871200
1986-01-27,2.3299,2.3883,2.2917,2.3754,694400
1986-01-28,2.3754,2.3754,2.3366,2.3692,447200
1986-01-29,2.3692,2.3950,2.3496,2.3692,597600
1986-01-30,2.3692,2.4074,2.3625,2.4074,666400
1986-01-31,2.4074,2.4916,2.4012,2.4270,1110400
1986-02-03,2.4399,2.5107,2.4399,2.5045,760000
1986-02-04,2.5045,2.5432,2.4528,2.5107,1006400
1986-02-05,2.5107,2.5432,2.4916,2.5365,394400
1986-02-06,2.5303,2.5303,2.4725,2.4916,388000
1986-02-07,2.4916,2.5107,2.4590,2.5045,523200
1986-02-10,2.5045,2.5107,2.4590,2.4657,339200
1986-02-11,2.4657,2.4916,2.4657,2.4787,966400
1986-02-12,2.4787,2.4916,2.4657,2.4787,356000
1986-02-13,2.4787,2.5303,2.4787,2.5303,655200
1986-02-14,2.5303,2.5561,2.5241,2.5303,1326400
1986-02-18,2.5174,2.5174,2.4787,2.5045,805600
1986-02-19,2.5045,2.5365,2.4983,2.5303,775200
1986-02-20,2.5303,2.6077,2.5241,2.6077,1056800
1986-02-21,2.6077,2.6336,2.5690,2.5881,1487200
1986-02-24,2.5819,2.5819,2.5174,2.5561,1431200
1986-02-25,2.5561,2.5757,2.5499,2.5690,748800
1986-02-26,2.5690,2.5881,2.5561,2.5623,828800
1986-02-27,2.5623,2.6398,2.5561,2.6336,1190400
1986-02-28,2.6465,2.6852,2.6465,2.6852,1195200
1986-03-03,2.6852,2.7048,2.6790,2.6914,760000
1986-03-04,2.6914,2.7565,2.6852,2.7048,1530400
1986-03-05,2.7048,2.7565,2.6914,2.7498,1052800
1986-03-06,2.7498,2.7823,2.7048,2.7368,636800
1986-03-07,2.7368,2.7756,2.7110,2.7306,457600
1986-03-10,2.7306,2.7565,2.7172,2.7172,460800
1986-03-11,2.7306,2.7885,2.7306,2.7689,544800
1986-03-12,2.7689,2.8530,2.7627,2.7885,1350400
1986-03-13,2.7885,2.8143,2.7498,2.7498,658400
1986-03-14,2.7498,2.7627,2.7172,2.7565,1136800
1986-03-17,2.7565,2.7565,2.7110,2.7368,485600
1986-03-18,2.7368,2.7498,2.7048,2.7306,410400
1986-03-19,2.7306,2.7430,2.6981,2.7110,1204800
1986-03-20,2.7172,2.7565,2.7172,2.7306,673600
1986-03-21,2.7306,2.7306,2.6914,2.6914,775200
1986-03-24,2.7048,2.7306,2.7048,2.7306,492800
1986-03-25,2.7306,2.7498,2.7172,2.7368,697600
1986-03-26,2.7627,2.8530,2.7627,2.8081,1821600
1986-03-27,2.8143,2.8918,2.8143,2.8659,1560000
1986-03-31,2.9114,2.9114,2.8401,2.8918,624800
1986-04-01,2.8789,2.9630,2.8789,2.9047,1349600
1986-04-02,2.8918,2.8918,2.8205,2.8856,1610400
1986-04-03,2.8856,2.9176,2.8143,2.8401,1012800
1986-04-04,2.8401,2.8401,2.7110,2.7306,1196800
1986-04-07,2.7306,2.7756,2.7048,2.7498,708000
1986-04-08,2.7498,2.7947,2.7498,2.7885,1068800
1986-04-09,2.7947,2.8659,2.7947,2.8014,1568800
1986-04-10,2.8014,2.8014,2.7627,2.7627,496000
1986-04-11,2.7627,2.7885,2.7430,2.7689,1811200
1986-04-14,2.7689,2.8597,2.7689,2.8530,516000
1986-04-15,2.8530,2.8918,2.8272,2.8272,717600
1986-04-16,2.8272,2.8721,2.8272,2.8401,716000
1986-04-17,2.8401,2.8789,2.8205,2.8659,2097600
1986-04-18,2.8659,2.9176,2.8272,2.9047,916000
1986-04-21,2.9047,3.0209,2.9047,2.9950,790400
1986-04-22,2.9950,3.0338,2.9114,2.9630,1300000
1986-04-23,2.9630,2.9630,2.8980,2.9563,931200
1986-04-24,2.9563,2.9950,2.9434,2.9496,442400
1986-04-25,2.9563,3.0079,2.9563,2.9754,783200
1986-04-28,2.9754,2.9950,2.9630,2.9692,462400
1986-04-29,2.9692,2.9692,2.8918,2.9238,852800
1986-04-30,2.9176,2.9176,2.8143,2.8205,1136800
1986-05-01,2.8081,2.8081,2.7430,2.7823,402400
1986-05-02,2.7823,2.8143,2.7689,2.7885,1018400
1986-05-05,2.7885,2.8272,2.7823,2.7947,404800
1986-05-06,2.7947,2.8081,2.7756,2.7823,1376800
1986-05-07,2.7823,2.7823,2.7430,2.7627,488000
1986-05-08,2.7627,2.7689,2.7430,2.7498,629600
1986-05-09,2.7498,2.7627,2.6914,2.7110,716000
1986-05-12,2.7110,2.7306,2.6981,2.7110,460800
1986-05-13,2.7110,2.7239,2.6594,2.6852,493600
1986-05-14,2.6852,2.7823,2.6790,2.7756,994400
1986-05-15,2.7756,2.8014,2.6981,2.6981,1848800
1986-05-16,2.6852,2.6852,2.6077,2.6532,1362400
1986-05-19,2.6532,2.6594,2.6336,2.6336,968800
1986-05-20,2.6336,2.6981,2.6207,2.6852,612000
1986-05-21,2.6852,2.7306,2.6656,2.7048,1324000
1986-05-22,2.7110,2.8272,2.7110,2.8272,1240000
1986-05-23,2.8272,2.8918,2.8143,2.8721,885600
1986-05-27,2.8721,2.9047,2.8721,2.9047,552000
1986-05-28,2.9047,2.9047,2.8205,2.8856,1551200
1986-05-29,2.8856,2.9176,2.8597,2.9176,968800
1986-05-30,2.9176,2.9950,2.9114,2.9950,2166400
