date,open,high,low,close,volume
1994-03-17,0.5625,0.6200,0.5417,0.6096,47085600
1994-03-18,0.6250,0.6354,0.5992,0.6354,9048000
1994-03-21,0.6354,0.6563,0.6200,0.6354,2292000
1994-03-22,0.6563,0.6667,0.6354,0.6354,3621600
1994-03-23,0.6458,0.6458,0.6250,0.6354,1608000
1994-03-24,0.6408,0.6408,0.6250,0.6408,1303200
1994-03-25,0.6408,0.6667,0.6250,0.6667,1293600
1994-03-28,0.6667,0.6667,0.6250,0.6304,2419200
1994-03-29,0.6354,0.6354,0.5938,0.5938,849600
1994-03-30,0.5938,0.6146,0.5938,0.6042,1144800
1994-03-31,0.5992,0.5992,0.5625,0.5783,986400
1994-04-04,0.5729,0.5729,0.5521,0.5679,2080800
1994-04-05,0.5679,0.5833,0.5625,0.5833,484800
1994-04-06,0.5888,0.6042,0.5833,0.5888,436800
1994-04-07,0.6042,0.6146,0.5992,0.6146,98400
1994-04-08,0.6146,0.6250,0.6042,0.6096,189600
1994-04-11,0.6250,0.6250,0.6096,0.6250,148800
1994-04-12,0.6250,0.6304,0.6146,0.6200,842400
1994-04-13,0.6200,0.6200,0.6042,0.6200,744000
1994-04-14,0.6042,0.6146,0.6042,0.6146,16800
1994-04-15,0.6096,0.6096,0.5938,0.6096,828000
1994-04-18,0.5938,0.6096,0.5888,0.6042,880800
1994-04-19,0.6042,0.6042,0.5729,0.5938,422400
1994-04-20,0.5833,0.5938,0.5833,0.5833,76800
1994-04-21,0.5833,0.5888,0.5729,0.5833,3355200
1994-04-22,0.5729,0.5833,0.5729,0.5833,516000
1994-04-25,0.5833,0.5938,0.5754,0.5833,4816800
1994-04-26,0.5938,0.6042,0.5833,0.6042,2601600
1994-04-28,0.6146,0.6146,0.6042,0.6096,192000
1994-04-29,0.6096,0.6250,0.6042,0.6042,1262400
1994-05-02,0.6200,0.6250,0.6146,0.6250,600000
1994-05-03,0.6250,0.6563,0.6250,0.6458,1214400
1994-05-04,0.6354,0.6563,0.6354,0.6563,2052000
1994-05-05,0.6563,0.6667,0.6513,0.6667,2388000
1994-05-06,0.6667,0.6667,0.6458,0.6563,528000
1994-05-09,0.6458,0.6563,0.6458,0.6458,204000
1994-05-10,0.6563,0.6667,0.6458,0.6667,158400
1994-05-11,0.6563,0.6563,0.6304,0.6458,5947200
1994-05-12,0.6458,0.6563,0.6354,0.6354,1833600
1994-05-13,0.6563,0.6563,0.6563,0.6563,9600
1994-05-16,0.6354,0.6563,0.6354,0.6354,415200
1994-05-17,0.6354,0.6563,0.6354,0.6354,194400
1994-05-18,0.6563,0.6563,0.6354,0.6354,453600
1994-05-19,0.6354,0.6354,0.6354,0.6354,81600
1994-05-20,0.6354,0.6563,0.6354,0.6408,763200
1994-05-23,0.6354,0.6354,0.6354,0.6354,180000
1994-05-24,0.6354,0.6354,0.6354,0.6354,4800
1994-05-25,0.6354,0.6513,0.6354,0.6513,45600
1994-05-26,0.6563,0.6563,0.6354,0.6458,482400
1994-05-27,0.6354,0.6408,0.6354,0.6408,84000
1994-05-31,0.6563,0.6563,0.6408,0.6563,2220000
1994-06-01,0.6563,0.6563,0.6458,0.6458,144000
1994-06-02,0.6458,0.6875,0.6458,0.6825,900000
1994-06-03,0.6667,0.7033,0.6667,0.6929,948000
1994-06-06,0.7083,0.7083,0.6929,0.7083,914400
1994-06-07,0.6979,0.6979,0.6875,0.6979,520800
1994-06-08,0.7083,0.7083,0.6875,0.6875,324000
1994-06-09,0.6875,0.6875,0.6304,0.6304,1596000
1994-06-10,0.6304,0.6458,0.6250,0.6354,765600
1994-06-13,0.6250,0.6458,0.6250,0.6458,1204800
1994-06-14,0.6458,0.6563,0.6354,0.6458,170400
1994-06-15,0.6563,0.6563,0.6354,0.6563,326400
1994-06-16,0.6458,0.6563,0.6354,0.6563,835200
1994-06-17,0.6379,0.6379,0.6354,0.6354,28800
1994-06-20,0.6563,0.6563,0.6563,0.6563,4800
1994-06-21,0.6563,0.6563,0.6146,0.6250,1188000
1994-06-22,0.6096,0.6250,0.6096,0.6250,117600
1994-06-23,0.6146,0.6146,0.5938,0.6096,549600
1994-06-24,0.5938,0.6042,0.5888,0.5938,501600
1994-06-27,0.5992,0.5992,0.5888,0.5938,96000
1994-06-28,0.5938,0.6200,0.5888,0.6200,1456800
1994-06-29,0.6096,0.6200,0.5992,0.6200,998400
1994-06-30,0.6200,0.6408,0.6146,0.6304,964800
1994-07-01,0.6408,0.6408,0.6200,0.6408,189600
1994-07-05,0.6304,0.6304,0.6146,0.6200,249600
1994-07-06,0.6146,0.6146,0.5888,0.6096,748800
1994-07-07,0.6096,0.6096,0.6096,0.6096,213600
1994-07-08,0.6092,0.6092,0.6092,0.6092,0
1994-07-11,0.5888,0.6042,0.5833,0.5938,650400
1994-07-12,0.5938,0.5938,0.5888,0.5888,93600
1994-07-13,0.5833,0.6146,0.5833,0.6146,2781600
1994-07-14,0.5992,0.6146,0.5992,0.6146,168000
1994-07-15,0.6096,0.6146,0.5992,0.6146,1142400
1994-07-18,0.6146,0.6146,0.6146,0.6146,0
1994-07-19,0.6096,0.6146,0.6096,0.6146,48000
1994-07-20,0.6146,0.6146,0.6146,0.6146,14400
1994-07-21,0.6146,0.6146,0.6146,0.6146,0
1994-07-22,0.6096,0.6096,0.5992,0.5992,168000
1994-07-25,0.5992,0.6042,0.5992,0.6042,396000
1994-07-26,0.6096,0.6146,0.5992,0.6096,252000
1994-07-27,0.6146,0.6146,0.5992,0.6042,463200
1994-07-28,0.6096,0.6146,0.5992,0.6042,616800
1994-07-29,0.5992,0.6042,0.5992,0.6042,132000
1994-08-01,0.5992,0.6146,0.5992,0.6096,302400
1994-08-02,0.6042,0.6096,0.6042,0.6096,540000
1994-08-03,0.6146,0.6200,0.6042,0.6200,112800
1994-08-04,0.6200,0.6200,0.6042,0.6042,208800
1994-08-05,0.5992,0.5992,0.5783,0.5938,674400
1994-08-08,0.5833,0.5938,0.5833,0.5938,21600
1994-08-09,0.5938,0.5938,0.5888,0.5888,72000
1994-08-10,0.5888,0.5938,0.5888,0.5888,240000
1994-08-11,0.5833,0.5888,0.5833,0.5888,112800
1994-08-12,0.5833,0.5938,0.5833,0.5938,972000
1994-08-15,0.5833,0.5888,0.5833,0.5888,1104000
1994-08-16,0.5833,0.5938,0.5833,0.5833,108000
1994-08-17,0.5833,0.5938,0.5833,0.5938,3160800
1994-08-18,0.5992,0.6146,0.5992,0.6042,1512000
1994-08-19,0.6042,0.6146,0.6042,0.6096,2892000
1994-08-22,0.6096,0.6146,0.6042,0.6096,1128000
1994-08-23,0.6250,0.6250,0.6042,0.6042,705600
1994-08-24,0.6250,0.6250,0.6042,0.6096,818400
1994-08-25,0.6042,0.6096,0.6042,0.6096,331200
1994-08-26,0.6042,0.6096,0.6042,0.6096,408000
1994-08-29,0.6250,0.6538,0.6250,0.6458,1005600
1994-08-30,0.6563,0.6563,0.6250,0.6304,2748000
1994-08-31,0.6304,0.6458,0.6250,0.6458,1200000
1994-09-01,0.6458,0.6458,0.6304,0.6304,823200
1994-09-02,0.6304,0.6304,0.6304,0.6304,240000
1994-09-06,0.6250,0.6354,0.6250,0.6354,9600
1994-09-07,0.6458,0.6458,0.6458,0.6458,4800
1994-09-08,0.6250,0.6275,0.6250,0.6275,777600
1994-09-09,0.6250,0.6304,0.6250,0.6250,804000
1994-09-12,0.6354,0.6354,0.6354,0.6354,120000
1994-09-13,0.6250,0.6408,0.6250,0.6408,398400
1994-09-14,0.6250,0.6250,0.6250,0.6250,199200
1994-09-15,0.6250,0.6250,0.6096,0.6200,652800
1994-09-16,0.6146,0.6146,0.6042,0.6146,216000
1994-09-19,0.6042,0.6146,0.6042,0.6096,393600
1994-09-20,0.6146,0.6146,0.6042,0.6096,60000
1994-09-21,0.6042,0.6146,0.6042,0.6146,374400
1994-09-22,0.6042,0.6146,0.6042,0.6146,110400
1994-09-23,0.6042,0.6146,0.6042,0.6146,177600
1994-09-26,0.6146,0.6146,0.6042,0.6096,28800
1994-09-27,0.6146,0.6200,0.6067,0.6200,2011200
1994-09-28,0.6250,0.6458,0.6250,0.6458,1809600
1994-09-29,0.6250,0.6458,0.6250,0.6250,2565600
1994-09-30,0.6458,0.6563,0.6408,0.6563,1492800
1994-10-03,0.6563,0.6563,0.6354,0.6513,405600
1994-10-04,0.6563,0.6563,0.6354,0.6458,105600
1994-10-05,0.6354,0.6563,0.6354,0.6563,1480800
1994-10-06,0.6408,0.6458,0.6408,0.6458,787200
1994-10-07,0.6354,0.6354,0.6354,0.6354,7200
1994-10-10,0.6354,0.6354,0.6354,0.6354,0
1994-10-11,0.6458,0.6825,0.6458,0.6825,1608000
1994-10-12,0.6771,0.6825,0.6667,0.6825,2587200
1994-10-13,0.6721,0.6875,0.6721,0.6875,2546400
1994-10-14,0.6875,0.6875,0.6771,0.6771,14400
1994-10-17,0.6850,0.6875,0.6850,0.6875,2476800
1994-10-18,0.6771,0.6875,0.6771,0.6875,79200
1994-10-19,0.6825,0.6875,0.6771,0.6771,211200
1994-10-20,0.6875,0.6979,0.6875,0.6929,458400
1994-10-21,0.6979,0.7292,0.6954,0.7138,1231200
1994-10-24,0.7292,0.7292,0.7242,0.7292,410400
1994-10-25,0.7292,0.7500,0.7138,0.7450,1053600
1994-10-26,0.7450,0.7500,0.7346,0.7500,1780800
1994-10-27,0.7500,0.7763,0.7450,0.7554,2491200
1994-10-28,0.7708,0.7708,0.7554,0.7554,52800
1994-10-31,0.7763,0.7763,0.7500,0.7708,2155200
1994-11-01,0.7763,0.7763,0.7604,0.7763,357600
1994-11-02,0.7763,0.7763,0.7500,0.7500,811200
1994-11-03,0.7450,0.7500,0.7292,0.7396,412800
1994-11-04,0.7396,0.7396,0.7242,0.7292,444000
1994-11-07,0.7188,0.7188,0.6979,0.7138,1082400
1994-11-08,0.7138,0.7242,0.7083,0.7242,489600
1994-11-09,0.7346,0.7346,0.7188,0.7242,400800
1994-11-10,0.7138,0.7346,0.7138,0.7188,624000
1994-11-11,0.7188,0.7346,0.7188,0.7346,230400
1994-11-14,0.7138,0.7396,0.7138,0.7396,2882400
1994-11-15,0.7292,0.7292,0.7292,0.7292,69600
1994-11-16,0.7292,0.7292,0.7292,0.7292,69600
1994-11-17,0.7292,0.7292,0.7292,0.7292,2400
1994-11-18,0.7242,0.7346,0.7242,0.7346,28800
1994-11-21,0.7396,0.7396,0.7396,0.7396,124800
1994-11-22,0.7242,0.7242,0.7188,0.7242,444000
1994-11-23,0.7188,0.7242,0.7083,0.7242,228000
1994-11-25,0.7242,0.7242,0.7242,0.7242,0
1994-11-28,0.7188,0.7188,0.7033,0.7033,244800
1994-11-29,0.7188,0.7346,0.7188,0.7242,856800
1994-11-30,0.7346,0.7346,0.7083,0.7242,631200
1994-12-01,0.7108,0.7108,0.7108,0.7108,2400
1994-12-02,0.7292,0.7292,0.7083,0.7292,79200
1994-12-05,0.7292,0.7292,0.7292,0.7292,129600
1994-12-06,0.7083,0.7138,0.7083,0.7138,43200
1994-12-07,0.7292,0.7292,0.7292,0.7292,0
1994-12-08,0.7292,0.7292,0.6979,0.6979,439200
1994-12-09,0.7083,0.7083,0.7083,0.7083,168000
1994-12-12,0.7004,0.7083,0.6979,0.6979,225600
1994-12-13,0.7033,0.7083,0.6979,0.7083,112800
1994-12-14,0.7083,0.7083,0.7083,0.7083,0
1994-12-15,0.7138,0.7138,0.6875,0.6979,170400
1994-12-16,0.7033,0.7033,0.6825,0.6875,139200
1994-12-19,0.6875,0.6875,0.6721,0.6721,187200
1994-12-20,0.6563,0.6563,0.6408,0.6458,2817600
1994-12-21,0.6513,0.6563,0.6458,0.6563,1500000
1994-12-22,0.6617,0.6617,0.6563,0.6617,110400
1994-12-23,0.6563,0.6692,0.6563,0.6692,631200
1994-12-27,0.6721,0.6825,0.6721,0.6825,496800
1994-12-28,0.6875,0.6875,0.6667,0.6825,465600
1994-12-29,0.6825,0.6929,0.6667,0.6929,398400
1994-12-30,0.6929,0.7346,0.6929,0.7346,914400
1995-01-03,0.7346,0.7500,0.7292,0.7396,1060800
1995-01-04,0.7450,0.7450,0.7292,0.7346,376800
1995-01-05,0.7346,0.7346,0.7292,0.7292,384000
1995-01-06,0.7346,0.7346,0.7213,0.7267,3948000
1995-01-09,0.7292,0.7292,0.7083,0.7188,477600
1995-01-10,0.7188,0.7188,0.7033,0.7138,700800
1995-01-11,0.7138,0.7138,0.7004,0.7004,326400
1995-01-12,0.6979,0.6979,0.6979,0.6979,463200
1995-01-13,0.7083,0.7083,0.7083,0.7083,249600
1995-01-16,0.7083,0.7708,0.7033,0.7629,11880000
1995-01-17,0.7708,0.8179,0.7604,0.8179,5841600
1995-01-18,0.8333,0.8333,0.7917,0.8075,3124800
1995-01-19,0.7917,0.8075,0.7867,0.8021,1533600
1995-01-20,0.8021,0.8021,0.7867,0.7917,124800
1995-01-23,0.7917,0.7971,0.7917,0.7971,117600
1995-01-24,0.7971,0.7971,0.7971,0.7971,9600
1995-01-25,0.7971,0.7971,0.7867,0.7917,57600
1995-01-26,0.7763,0.7763,0.7554,0.7604,1118400
1995-01-27,0.7604,0.7604,0.7500,0.7554,295200
1995-01-30,0.7579,0.7658,0.7500,0.7658,134400
1995-01-31,0.7658,0.7813,0.7658,0.7708,1077600
1995-02-01,0.7763,0.7763,0.7554,0.7604,823200
1995-02-02,0.7708,0.7708,0.7604,0.7683,957600
1995-02-03,0.7683,0.7708,0.7683,0.7708,216000
1995-02-06,0.7604,0.7763,0.7604,0.7604,216000
1995-02-07,0.7763,0.7763,0.7763,0.7763,2400
1995-02-08,0.7604,0.7604,0.7604,0.7604,45600
1995-02-09,0.7708,0.7763,0.7658,0.7658,705600
1995-02-10,0.7763,0.8179,0.7763,0.8075,1358400
1995-02-13,0.8075,0.8179,0.7917,0.8021,4886400
1995-02-14,0.7971,0.8125,0.7971,0.8021,2198400
1995-02-15,0.8125,0.8125,0.7971,0.7971,3938400
1995-02-16,0.7971,0.8075,0.7971,0.8075,381600
1995-02-17,0.7917,0.8075,0.7917,0.7971,48000
1995-02-21,0.8075,0.8075,0.8075,0.8075,180000
1995-02-22,0.8075,0.8075,0.7917,0.7917,43200
1995-02-23,0.8075,0.8075,0.8075,0.8075,67200
1995-02-24,0.8075,0.8075,0.7942,0.8075,69600
1995-02-27,0.8075,0.8075,0.7867,0.7917,1411200
1995-02-28,0.7867,0.7867,0.7867,0.7867,316800
1995-03-01,0.8021,0.8021,0.7917,0.8021,216000
1995-03-02,0.7867,0.7867,0.7763,0.7763,26400
1995-03-03,0.7917,0.7917,0.7917,0.7917,33600
1995-03-06,0.7763,0.7763,0.7763,0.7763,14400
1995-03-07,0.7763,0.7763,0.7763,0.7763,33600
1995-03-08,0.7763,0.7763,0.7763,0.7763,21600
1995-03-09,0.7917,0.7917,0.7917,0.7917,14400
1995-03-10,0.7917,0.7917,0.7917,0.7917,0
