date,open,high,low,close,volume
2000-06-23,19.5000,23.6300,18.5000,22.0000,7986500
2000-06-26,21.7500,21.8800,20.8800,21.8800,1005000
2000-06-27,21.9400,21.9400,21.1300,21.5600,421000
2000-06-28,21.6300,21.6900,20.6300,21.5600,567500
2000-06-29,21.5000,21.5000,21.1900,21.1900,140300
2000-06-30,21.1900,22.7500,20.8800,22.1900,528300
2000-07-03,22.1900,22.2500,21.7500,22.1900,81800
2000-07-05,22.0000,24.2500,21.5000,22.4400,198800
2000-07-06,22.5000,23.7500,22.0000,23.7500,155000
2000-07-07,23.7500,24.5000,23.0000,23.6300,302900
2000-07-10,23.3800,24.8100,23.2500,24.7500,65200
2000-07-11,25.0000,26.8800,24.6900,25.2500,325000
2000-07-12,25.5000,26.5000,24.7500,24.8800,244500
2000-07-13,25.0000,26.3800,24.4400,26.2500,199100
2000-07-14,26.0000,26.0000,24.1900,24.2500,93900
2000-07-17,24.5000,24.6300,23.3100,23.6900,499600
2000-07-18,23.6900,25.0000,23.6900,24.7500,299500
2000-07-19,24.8800,25.6900,24.7500,24.8800,202700
2000-07-20,24.8800,24.8800,24.5000,24.5600,25900
2000-07-21,24.5000,24.5000,24.0000,24.1900,69400
2000-07-24,24.1900,26.3800,24.1900,25.5000,366400
2000-07-25,25.5000,25.5000,24.8100,24.8100,82200
2000-07-26,24.7500,27.3800,24.6300,27.2500,196700
2000-07-27,27.3100,28.6300,27.3100,28.2500,212200
2000-07-28,28.1900,28.1900,27.5000,27.5600,109000
2000-07-31,27.4400,30.1900,27.3100,30.1900,437600
2000-08-01,30.0000,30.0000,27.8800,28.5000,170000
2000-08-02,28.4400,28.5000,28.1300,28.1900,54500
2000-08-03,28.5000,30.5000,28.5000,30.3800,351900
2000-08-04,30.6300,31.0000,29.2500,29.8800,91700
2000-08-07,29.7500,33.5000,29.7500,33.0000,422500
2000-08-08,33.0000,33.5000,32.8100,33.0600,138100
2000-08-09,33.1900,33.1900,31.3800,31.6900,126100
2000-08-10,31.8100,31.8800,30.6300,30.6300,117500
2000-08-11,30.5600,30.6300,29.3800,29.3800,54500
2000-08-14,29.1300,29.1300,27.9400,27.9400,72300
2000-08-15,27.9400,27.9400,24.5000,26.3800,396200
2000-08-16,26.3800,26.4400,25.5000,25.5000,160700
2000-08-17,25.8100,25.8800,25.5600,25.8100,92200
2000-08-18,25.6900,26.7500,24.7500,26.2500,214500
2000-08-21,26.3100,26.3100,24.6300,25.5000,183200
2000-08-22,25.6300,26.4400,25.0000,26.3800,56000
2000-08-23,26.3800,28.1300,26.3800,27.9400,149200
2000-08-24,27.8800,28.6300,27.3800,28.0000,101800
2000-08-25,27.8800,27.8800,27.5000,27.5600,35000
2000-08-28,27.5600,27.9400,27.2500,27.9400,47600
2000-08-29,27.9400,27.9400,27.6900,27.8800,92100
2000-08-30,27.8800,27.8800,27.5000,27.5000,72500
2000-08-31,27.3800,27.4400,27.3100,27.4400,18200
2000-09-01,27.5600,27.7500,27.3100,27.6900,40800
2000-09-05,27.7500,27.7500,27.1300,27.4400,57400
2000-09-06,27.5000,27.6300,27.5000,27.5000,58300
2000-09-07,27.5600,27.5600,27.1900,27.2500,62200
2000-09-08,27.2500,27.2500,26.3800,26.6300,124500
2000-09-11,26.8100,26.8800,26.6300,26.8100,48000
2000-09-12,26.8100,26.8100,26.4400,26.4400,43900
2000-09-13,26.3100,26.3800,26.0000,26.0000,190600
2000-09-14,26.0000,26.1300,25.7500,25.8100,25200
2000-09-15,25.9400,25.9400,24.8800,24.8800,72200
2000-09-18,24.6300,24.6300,22.9400,23.0000,128000
2000-09-19,22.8800,22.8800,21.5000,21.5000,96800
2000-09-20,21.6300,22.3100,21.3800,22.0600,94700
2000-09-21,22.1300,22.6300,22.1300,22.5000,75000
2000-09-22,22.3800,23.8800,22.3800,23.0000,179400
2000-09-25,23.1300,26.8800,23.1300,26.7500,247300
2000-09-26,27.2500,28.6300,27.1300,28.5600,122900
2000-09-27,29.8800,30.2500,29.5600,29.5600,387300
2000-09-28,29.8100,32.5000,29.7500,31.7500,140800
2000-09-29,31.5000,34.0000,30.7500,34.0000,148000
2000-10-02,34.0000,34.0000,31.5000,31.5600,108100
2000-10-03,31.5600,31.5600,30.4400,31.1300,54500
2000-10-04,31.1300,31.1300,29.0000,29.0000,17600
2000-10-05,29.0600,29.3800,27.6300,27.8800,93500
2000-10-06,28.1300,28.1300,26.7500,26.8100,71000
2000-10-09,26.6900,26.6900,25.0600,26.1300,46600
2000-10-10,25.9400,25.9400,25.0000,25.0000,110300
2000-10-11,25.0000,25.0000,24.2500,24.4400,65200
2000-10-12,24.3800,24.4400,24.0000,24.0000,32200
2000-10-13,23.8800,24.2500,23.7500,24.1300,91900
2000-10-16,24.2500,26.1300,24.1300,25.9400,83200
2000-10-17,26.1300,26.2500,25.0000,25.3800,176700
2000-10-18,25.3100,27.3800,24.3800,27.1300,107300
2000-10-19,27.5000,28.3800,26.0000,26.1900,55800
2000-10-20,26.4400,27.4400,26.4400,27.2500,29500
2000-10-23,27.1300,27.4400,26.8100,27.3100,82700
2000-10-24,27.4400,27.5000,26.4400,26.5600,103300
2000-10-25,26.5600,26.8100,26.3100,26.5000,31500
2000-10-26,26.4400,26.5000,26.0000,26.0000,12600
2000-10-27,26.0000,26.0600,25.5000,25.5000,10200
2000-10-30,25.3800,25.5000,25.2500,25.2500,17200
2000-10-31,25.0000,26.3800,24.9400,26.2500,80700
2000-11-01,26.3800,26.3800,25.5000,25.5000,67300
2000-11-02,26.7500,26.7500,24.3800,24.5000,129500
2000-11-03,24.7500,25.1300,23.7500,24.3800,326700
2000-11-06,24.1300,24.1300,23.5000,23.7500,241300
