date,open,high,low,close,volume
1990-02-08,1.0996,1.1079,1.0836,1.0996,9012000
1990-02-09,1.1079,1.1155,1.0919,1.0919,3483204
1990-02-12,1.0996,1.0996,1.0677,1.0836,1982400
1990-02-13,1.0836,1.0836,1.0760,1.0760,2212800
1990-02-14,1.0760,1.0836,1.0677,1.0677,657600
1990-02-15,1.0760,1.0760,1.0282,1.0441,1493604
1990-02-16,1.0358,1.0518,1.0358,1.0441,638400
1990-02-20,1.0441,1.0441,1.0199,1.0199,1190400
1990-02-21,1.0199,1.0282,1.0199,1.0199,272004
1990-02-22,1.0199,1.0358,1.0199,1.0358,38400
1990-02-23,1.0199,1.0199,0.9880,0.9880,1143204
1990-02-26,0.9963,0.9963,0.9804,0.9804,316800
1990-02-27,0.9804,0.9880,0.9804,0.9880,324804
1990-02-28,0.9880,1.0282,0.9880,1.0282,475200
1990-03-01,1.0199,1.0441,1.0199,1.0441,428004
1990-03-02,1.0358,1.0518,1.0358,1.0518,1364004
1990-03-05,1.0441,1.0518,1.0358,1.0441,240804
1990-03-06,1.0441,1.0600,1.0441,1.0600,430404
1990-03-07,1.0677,1.0677,1.0518,1.0518,202404
1990-03-08,1.0518,1.0518,1.0518,1.0518,792804
1990-03-09,1.0441,1.0441,1.0199,1.0282,171204
1990-03-12,1.0122,1.0122,0.9963,0.9963,1059204
1990-03-13,1.0040,1.0199,1.0040,1.0199,89604
1990-03-14,1.0199,1.0199,1.0122,1.0122,127200
1990-03-15,1.0040,1.0199,1.0040,1.0122,571200
1990-03-16,1.0122,1.0358,1.0122,1.0358,302400
1990-03-19,1.0282,1.0358,1.0282,1.0358,14400
1990-03-20,1.0358,1.0358,1.0122,1.0122,228000
1990-03-21,1.0040,1.0040,0.9880,0.9880,328800
1990-03-22,0.9880,0.9880,0.9880,0.9880,48000
1990-03-23,0.9880,0.9880,0.9880,0.9880,0
1990-03-26,0.9880,1.0040,0.9880,1.0040,50400
1990-03-27,1.0040,1.0122,1.0040,1.0122,204000
1990-03-28,1.0122,1.0122,1.0122,1.0122,2400
1990-03-29,1.0040,1.0040,0.9963,1.0040,8004
1990-03-30,1.0040,1.0040,0.9963,1.0040,0
1990-04-02,0.9804,0.9880,0.9804,0.9804,160800
1990-04-03,0.9880,0.9963,0.9880,0.9963,36000
1990-04-04,1.0040,1.0199,1.0040,1.0122,161604
1990-04-05,1.0040,1.0199,0.9963,0.9963,151200
1990-04-06,0.9963,1.0122,0.9804,1.0040,273600
1990-04-09,1.0040,1.0199,1.0040,1.0199,64800
1990-04-10,1.0199,1.0199,1.0199,1.0199,60000
1990-04-11,1.0199,1.0199,0.9880,1.0040,297600
1990-04-12,1.0040,1.0040,0.9880,0.9880,19200
1990-04-16,0.9880,0.9880,0.9804,0.9804,288804
1990-04-17,0.9804,0.9880,0.9804,0.9804,0
1990-04-18,0.9804,0.9804,0.9561,0.9561,464004
1990-04-19,0.9402,0.9485,0.9402,0.9485,458400
1990-04-20,0.9402,0.9402,0.9402,0.9402,27204
1990-04-23,0.9402,0.9402,0.9007,0.9166,393600
1990-04-24,0.9007,0.9007,0.8924,0.8924,375204
1990-04-25,0.9083,0.9083,0.9083,0.9083,20004
1990-04-26,0.9083,0.9243,0.9083,0.9243,14400
1990-04-27,0.9083,0.9243,0.9083,0.9083,79200
1990-04-30,0.9083,0.9083,0.9007,0.9083,108000
1990-05-01,0.9083,0.9243,0.9083,0.9083,208800
1990-05-02,0.9083,0.9083,0.9083,0.9083,4800
1990-05-03,0.9083,0.9166,0.9083,0.9166,188004
1990-05-04,0.9083,0.9083,0.9083,0.9083,41604
1990-05-07,0.9166,0.9326,0.9166,0.9243,52800
1990-05-08,0.9166,0.9166,0.9166,0.9166,29604
1990-05-09,0.9166,0.9243,0.9166,0.9243,72804
1990-05-10,0.9243,0.9243,0.9243,0.9243,48000
1990-05-11,0.9243,0.9485,0.9243,0.9326,202404
1990-05-14,0.9485,0.9644,0.9485,0.9561,82404
1990-05-15,0.9561,0.9561,0.9485,0.9485,120804
1990-05-16,0.9644,0.9804,0.9644,0.9804,36000
1990-05-17,0.9804,1.0122,0.9804,1.0040,132804
1990-05-18,1.0040,1.0122,0.9804,1.0040,0
1990-05-21,1.0040,1.0199,1.0040,1.0199,60000
1990-05-22,1.0358,1.0441,1.0199,1.0199,160800
1990-05-23,1.0199,1.0358,1.0199,1.0199,200004
1990-05-24,1.0199,1.0199,1.0122,1.0199,1267200
1990-05-25,0.9988,1.0065,0.9988,1.0065,111204
1990-05-29,1.0065,1.0148,1.0065,1.0148,372000
1990-05-30,1.0225,1.0225,1.0225,1.0225,180000
1990-05-31,1.0308,1.0385,1.0225,1.0225,305604
1990-06-01,1.0308,1.0385,1.0225,1.0225,196800
1990-06-04,1.0308,1.0385,1.0308,1.0385,29604
1990-06-05,1.0385,1.0544,1.0385,1.0468,14400
1990-06-06,1.0385,1.0468,1.0385,1.0468,187200
1990-06-07,1.0468,1.0468,1.0385,1.0385,87204
1990-06-08,1.0544,1.0544,1.0385,1.0468,317604
1990-06-11,1.0544,1.0544,1.0544,1.0544,5604
1990-06-12,1.0544,1.0704,1.0544,1.0704,40800
1990-06-13,1.0787,1.0787,1.0627,1.0627,53604
1990-06-14,1.0627,1.0627,1.0627,1.0627,12804
1990-06-15,1.0627,1.0627,1.0627,1.0627,5604
1990-06-18,1.0627,1.0704,1.0627,1.0704,70404
1990-06-19,1.0627,1.0704,1.0627,1.0704,21600
1990-06-20,1.0627,1.0627,1.0544,1.0544,27204
1990-06-21,1.0627,1.0627,1.0627,1.0627,120000
1990-06-22,1.0627,1.0704,1.0544,1.0704,363204
1990-06-25,1.0704,1.0864,1.0704,1.0704,1195200
1990-06-26,1.0544,1.0627,1.0468,1.0468,111204
1990-06-27,1.0385,1.0544,1.0385,1.0468,243204
1990-06-28,1.0308,1.0308,1.0225,1.0308,360804
1990-06-29,1.0468,1.0468,1.0468,1.0468,22404
1990-07-02,1.0468,1.0468,1.0468,1.0468,804
1990-07-03,1.0385,1.0385,1.0385,1.0385,249600
1990-07-05,1.0385,1.0385,1.0385,1.0385,0
1990-07-06,1.0385,1.0385,1.0385,1.0385,0
1990-07-09,1.0468,1.0468,1.0468,1.0468,3204
1990-07-10,1.0468,1.0468,1.0468,1.0468,0
1990-07-11,1.0385,1.0468,1.0385,1.0468,22404
1990-07-12,1.0468,1.0468,1.0385,1.0385,36000
1990-07-13,1.0544,1.0864,1.0544,1.0704,276000
1990-07-16,1.0864,1.0864,1.0787,1.0787,28800
1990-07-17,1.0787,1.0864,1.0787,1.0864,60000
1990-07-18,1.0787,1.0787,1.0704,1.0787,519204
1990-07-19,1.0704,1.0704,1.0544,1.0627,328800
1990-07-20,1.0627,1.0627,1.0627,1.0627,804
1990-07-23,1.0468,1.0468,1.0468,1.0468,3204
