date,open,high,low,close,volume
1995-12-08,1.6620,1.9497,1.6301,1.9177,44502000
1995-12-11,1.9900,2.2373,1.9817,2.1095,8887200
1995-12-12,2.0935,2.2214,2.0456,2.0456,4262400
1995-12-13,2.0136,2.0616,1.9976,2.0059,2055600
1995-12-14,1.9817,2.0296,1.7100,1.8698,3476400
1995-12-15,1.8378,1.8698,1.8059,1.8059,948000
1995-12-18,1.7899,1.8059,1.5821,1.6141,2029200
1995-12-19,1.5981,1.7579,1.5981,1.7419,2164800
1995-12-20,1.7579,1.7579,1.7100,1.7260,1099200
1995-12-21,1.7100,1.7579,1.7100,1.7579,662400
1995-12-22,1.7579,1.7579,1.7100,1.7419,634800
1995-12-26,1.7579,1.7579,1.7100,1.7100,259200
1995-12-27,1.7100,1.9657,1.7100,1.9657,1314000
1995-12-28,1.9177,1.9817,1.8378,1.9337,618000
1995-12-29,1.9337,2.1095,1.9337,2.0775,855600
1996-01-02,2.0935,2.1095,2.0456,2.0456,450000
1996-01-03,2.0456,2.0775,1.8698,1.8698,692400
1996-01-04,2.0935,2.1095,2.0456,2.0456,1677600
1996-01-05,2.0456,2.0775,1.8698,1.8698,2160000
1996-01-08,1.6940,1.6940,1.6301,1.6940,477600
1996-01-09,1.6301,1.6940,1.5981,1.5981,981600
1996-01-10,1.6940,1.6940,1.6301,1.6940,1050000
1996-01-11,1.6301,1.6940,1.5981,1.5981,1106400
1996-01-12,1.6460,1.6460,1.5022,1.5502,880800
1996-01-15,1.7419,1.8698,1.7419,1.7899,1008000
1996-01-16,1.8059,1.8059,1.5821,1.6780,470400
1996-01-17,1.7419,1.8698,1.7419,1.7899,348000
1996-01-18,1.8059,1.8059,1.5821,1.6780,384000
1996-01-19,1.6620,1.7739,1.6620,1.7419,326400
1996-01-22,1.7579,1.7899,1.7579,1.7739,360000
1996-01-23,2.0775,2.0935,1.9497,1.9976,3007200
1996-01-24,1.7579,1.7899,1.7579,1.7739,610800
1996-01-25,2.0775,2.0935,1.9497,1.9976,500400
1996-01-26,1.9657,2.0136,1.9577,1.9577,156000
1996-01-29,2.0296,2.0296,1.9657,2.0296,219600
1996-01-30,2.0136,2.1095,2.0136,2.0296,434400
1996-01-31,2.0296,2.0296,1.9657,2.0296,520800
1996-02-01,2.0136,2.1095,2.0136,2.0296,62400
1996-02-02,2.0616,2.0616,1.9976,2.0296,750000
1996-02-05,2.2054,2.3332,2.2054,2.3013,529200
1996-02-06,2.3013,2.4291,2.3013,2.3972,675600
1996-02-07,2.3972,2.4291,2.3332,2.3492,842400
1996-02-08,2.3492,2.3812,2.3492,2.3492,181200
1996-02-09,2.3492,2.3812,2.3492,2.3812,246000
1996-02-12,2.3492,2.6049,2.3492,2.5090,1652400
1996-02-13,2.4930,2.5729,2.4611,2.5410,1402800
1996-02-14,2.5889,2.6848,2.5410,2.6369,723600
1996-02-15,2.6369,2.9086,2.6369,2.7008,1340400
1996-02-16,2.7487,2.8286,2.7168,2.8127,537600
1996-02-20,2.7647,2.8286,2.7647,2.7727,289200
1996-02-21,2.8127,2.8286,2.7647,2.8097,368400
1996-02-22,2.8286,3.1642,2.8127,3.1642,729600
1996-02-23,3.1962,3.3400,3.1962,3.2841,1137600
1996-02-26,3.2761,3.3400,3.1962,3.3400,1021200
1996-02-27,3.3560,3.5638,3.3241,3.4999,1328400
1996-02-28,3.4679,3.4839,2.9725,3.0204,1225200
1996-02-29,2.9885,3.0204,2.5889,2.7807,6306000
1996-03-01,2.7487,2.7967,2.5250,2.7168,2108400
1996-03-04,2.7647,2.9405,2.7328,2.9245,1191600
1996-03-05,3.0044,3.1003,2.9328,3.0204,573600
1996-03-06,2.7647,2.9405,2.7328,2.9245,306000
1996-03-07,3.0044,3.1003,2.9325,3.0204,1844400
1996-03-08,3.0204,3.0204,2.8446,2.8926,3118800
1996-03-11,2.3972,2.4771,2.3332,2.4291,3459600
1996-03-12,2.4451,2.9565,2.3972,2.9482,4461600
1996-03-13,2.3972,2.4771,2.3332,2.4291,3696000
1996-03-14,2.4451,2.9565,2.3972,2.9485,13941600
1996-03-15,3.1323,3.2841,2.8606,2.9885,4718400
1996-03-18,2.8926,2.9086,2.8523,2.8606,1386000
1996-03-19,2.9086,2.9086,2.8127,2.8127,1926000
1996-03-20,2.8926,2.9086,2.8526,2.8606,1627200
1996-03-21,2.8606,2.9086,2.8127,2.8127,756000
1996-03-22,2.8127,2.8286,2.6688,2.7487,1545600
1996-03-25,2.7487,2.7807,2.7487,2.7487,315600
1996-03-26,2.7487,2.7807,2.7168,2.7487,576000
1996-03-27,2.7487,2.7807,2.7487,2.7487,814800
1996-03-28,2.7487,2.7807,2.7168,2.7487,700800
1996-03-29,2.7168,2.7807,2.7168,2.7487,1890000
