date,open,high,low,close,volume
1984-12-17,2.2522,2.2667,2.2164,2.2522,741600
1984-12-18,2.2667,2.3389,2.2667,2.3319,784800
1984-12-19,2.3169,2.3244,2.2522,2.2742,1562400
1984-12-20,2.2522,2.2811,2.2378,2.2667,664800
1984-12-21,2.2522,2.2522,2.1367,2.1656,578400
1984-12-24,2.1800,2.1945,2.1800,2.1876,170400
1984-12-26,2.1945,2.2014,2.1800,2.1945,348000
1984-12-27,2.1945,2.2234,2.1800,2.1800,380800
1984-12-28,2.1876,2.1876,2.1512,2.1512,1130400
1984-12-31,2.1437,2.1512,2.0934,2.1512,911200
1985-01-02,2.1367,2.1367,2.0357,2.0357,1360000
1985-01-03,2.0645,2.1148,2.0645,2.1079,996800
1985-01-04,2.0934,2.1512,2.0859,2.1298,421600
1985-01-07,2.1587,2.1725,2.1367,2.1437,580000
1985-01-08,2.1512,2.1587,2.0934,2.1079,973600
1985-01-09,2.1367,2.1512,2.1298,2.1298,496800
1985-01-10,2.1298,2.1800,2.1298,2.1725,444800
1985-01-11,2.1512,2.2378,2.1512,2.2378,2984000
1985-01-14,2.2303,2.3100,2.2234,2.2955,3213600
1985-01-15,2.3031,2.3100,2.2811,2.2880,3285600
1985-01-16,2.2742,2.3100,2.2667,2.3031,1461600
1985-01-17,2.3031,2.3031,2.2880,2.3031,477600
1985-01-18,2.3031,2.3031,2.2880,2.2955,668800
1985-01-21,2.2880,2.3244,2.2811,2.3100,2425600
1985-01-22,2.3169,2.4399,2.3169,2.4110,2204000
1985-01-23,2.4035,2.4110,2.3822,2.3966,726400
1985-01-24,2.4035,2.4255,2.3966,2.4255,1661600
1985-01-25,2.4186,2.4255,2.2742,2.3897,1444800
1985-01-28,2.3966,2.4110,2.3533,2.3677,627200
1985-01-29,2.3533,2.3608,2.3244,2.3533,926400
1985-01-30,2.3677,2.4035,2.3677,2.4035,1828800
1985-01-31,2.4035,2.4035,2.3533,2.3677,827200
1985-02-01,2.3822,2.3822,2.3533,2.3608,683200
1985-02-04,2.3747,2.3966,2.3747,2.3966,736800
1985-02-05,2.4399,2.4977,2.4399,2.4763,1245600
1985-02-06,2.5052,2.5052,2.4688,2.4688,581600
1985-02-07,2.4688,2.4832,2.4544,2.4688,413600
1985-02-08,2.4688,2.4977,2.4688,2.4832,683200
1985-02-11,2.4832,2.4977,2.4832,2.4902,282400
1985-02-12,2.4977,2.5052,2.4763,2.4763,547200
1985-02-13,2.4832,2.5918,2.4832,2.5843,486400
1985-02-14,2.5918,2.6276,2.5629,2.5629,2080000
