date,open,high,low,close,volume
1984-10-03,1.5328,1.5400,1.5328,1.5328,116001
1984-10-04,1.5328,1.5777,1.5328,1.5328,147600
1984-10-05,1.5400,1.5400,1.5328,1.5328,113400
1984-10-08,1.5328,1.5549,1.5250,1.5328,454401
1984-10-09,1.5478,1.5849,1.5400,1.5777,2133801
1984-10-10,1.5777,1.5998,1.5777,1.5777,375801
1984-10-11,1.5849,1.5920,1.5849,1.5920,314601
1984-10-12,1.5920,1.6148,1.5920,1.6070,1234200
1984-10-15,1.5998,1.6225,1.5920,1.6148,366000
1984-10-16,1.6148,1.6297,1.5998,1.6070,261600
1984-10-17,1.5998,1.6375,1.5920,1.6225,435000
1984-10-18,1.6225,1.6596,1.6225,1.6518,545601
1984-10-19,1.6596,1.6895,1.5023,1.6596,639600
1984-10-22,1.6447,1.6596,1.6375,1.6375,336201
1984-10-23,1.6375,1.6518,1.6297,1.6297,231201
1984-10-24,1.6447,1.6447,1.6375,1.6447,197400
1984-10-25,1.6447,1.6447,1.6297,1.6297,336201
1984-10-26,1.6297,1.6297,1.6070,1.6070,239601
1984-10-29,1.6225,1.6297,1.5998,1.6148,250401
1984-10-30,1.6070,1.6297,1.6070,1.6297,198600
1984-10-31,1.6297,1.6375,1.6225,1.6297,165801
1984-11-01,1.6447,1.6967,1.6375,1.6817,657600
1984-11-02,1.6895,1.7493,1.6817,1.6967,3378000
1984-11-05,1.6967,1.7194,1.6967,1.7194,311001
1984-11-06,1.7344,1.7493,1.7272,1.7493,532200
1984-11-07,1.7493,1.7493,1.7045,1.7194,639600
1984-11-08,1.7045,1.7045,1.6817,1.6967,172200
1984-11-09,1.6895,1.7122,1.6895,1.6967,178200
1984-11-12,1.6895,1.7045,1.6895,1.7045,789201
1984-11-13,1.6967,1.7122,1.6967,1.6967,497400
1984-11-14,1.6967,1.7045,1.6967,1.7045,287400
1984-11-15,1.7045,1.7122,1.6967,1.7045,285000
1984-11-16,1.7045,1.7122,1.6895,1.6895,1615200
1984-11-19,1.6895,1.6967,1.6746,1.6746,989400
1984-11-20,1.6817,1.6895,1.6674,1.6817,3180000
1984-11-21,1.6817,1.6967,1.6817,1.6817,2886201
1984-11-23,1.6375,1.6674,1.6375,1.6596,1119801
1984-11-26,1.6817,1.6895,1.6596,1.6746,188601
1984-11-27,1.6746,1.6895,1.6674,1.6817,660201
1984-11-28,1.6817,1.6967,1.6817,1.6895,553401
1984-11-29,1.6817,1.6895,1.6674,1.6674,350001
1984-11-30,1.6674,1.6746,1.6596,1.6746,209601
1984-12-03,1.6895,1.6895,1.6596,1.6895,1299000
1984-12-04,1.6967,1.7045,1.6817,1.6967,230400
1984-12-05,1.6895,1.6895,1.6817,1.6895,98001
1984-12-06,1.6817,1.7272,1.6674,1.6746,345801
1984-12-07,1.6746,1.6746,1.6674,1.6746,228000
1984-12-10,1.6674,1.6746,1.6596,1.6674,583800
1984-12-11,1.6746,1.6746,1.6674,1.6674,206001
1984-12-12,1.6746,1.6817,1.6596,1.6596,343800
1984-12-13,1.6596,1.6674,1.6447,1.6596,228000
1984-12-14,1.6674,1.6967,1.6596,1.6817,513801
1984-12-17,1.6817,1.6895,1.6746,1.6895,332001
1984-12-18,1.6895,1.7272,1.6895,1.7122,376800
1984-12-19,1.7122,1.7344,1.7122,1.7194,409401
1984-12-20,1.7272,1.7344,1.7194,1.7344,169800
1984-12-21,1.7344,1.7344,1.6817,1.6967,329400
1984-12-24,1.6895,1.7045,1.6895,1.6895,84000
1984-12-26,1.6967,1.7045,1.6817,1.6895,154800
1984-12-27,1.6817,1.6967,1.6817,1.6967,729801
1984-12-28,1.6967,1.7122,1.6895,1.7045,283800
1984-12-31,1.7272,1.7272,1.6967,1.7272,336600
1985-01-02,1.7194,1.7272,1.7045,1.7045,155001
1985-01-03,1.6895,1.7122,1.6895,1.7122,567801
1985-01-04,1.6967,1.7122,1.6967,1.7045,192000
1985-01-07,1.7122,1.7493,1.7045,1.7415,464001
1985-01-08,1.7344,1.7415,1.7272,1.7272,614001
1985-01-09,1.7272,1.7415,1.7272,1.7344,325200
1985-01-10,1.7344,1.7571,1.7344,1.7571,392400
1985-01-11,1.7571,1.7643,1.7493,1.7571,623400
1985-01-14,1.7493,1.7792,1.7415,1.7643,413001
1985-01-15,1.7571,1.7714,1.7571,1.7643,265200
1985-01-16,1.7571,1.7714,1.7493,1.7571,239400
1985-01-17,1.7493,1.7571,1.7344,1.7571,220800
1985-01-18,1.7415,1.7792,1.7415,1.7714,357201
1985-01-21,1.7643,1.7792,1.7643,1.7714,243600
1985-01-22,1.7714,1.8019,1.7643,1.7942,535401
1985-01-23,1.7792,1.7864,1.7714,1.7792,229401
1985-01-24,1.7714,1.7714,1.7493,1.7643,243600
1985-01-25,1.7493,1.7643,1.7415,1.7493,1801200
1985-01-28,1.7415,1.7493,1.7122,1.7272,1052001
1985-01-29,1.7194,1.7493,1.7194,1.7493,390600
1985-01-30,1.7493,1.7493,1.7415,1.7493,428400
1985-01-31,1.7344,1.7415,1.7272,1.7344,216600
1985-02-01,1.7194,1.7344,1.7045,1.7194,2178000
1985-02-04,1.7194,1.7344,1.7194,1.7194,243801
1985-02-05,1.7194,1.7344,1.7045,1.7045,228801
1985-02-06,1.7122,1.7194,1.6967,1.6967,214401
1985-02-07,1.7122,1.7194,1.7045,1.7194,357000
1985-02-08,1.7122,1.7272,1.7122,1.7194,394401
1985-02-11,1.7194,1.7344,1.7122,1.7122,486600
1985-02-12,1.7122,1.7194,1.7045,1.7045,459600
1985-02-13,1.7194,1.7272,1.7122,1.7194,287001
1985-02-14,1.7272,1.7272,1.6967,1.7045,571800
1985-02-15,1.7122,1.7194,1.7045,1.7194,203601
1985-02-19,1.7272,1.7344,1.7194,1.7272,672000
1985-02-20,1.7194,1.7272,1.7045,1.7272,1083000
1985-02-21,1.7045,1.7194,1.7045,1.7122,153000
1985-02-22,1.7194,1.7194,1.7045,1.7122,828000
1985-02-25,1.6596,1.6674,1.6375,1.6375,863001
1985-02-26,1.6447,1.6518,1.6225,1.6375,295401
1985-02-27,1.6447,1.6596,1.6375,1.6447,999801
1985-02-28,1.6447,1.6518,1.6375,1.6447,937200
1985-03-01,1.6375,1.6596,1.6375,1.6447,1131600
1985-03-04,1.6375,1.6447,1.6225,1.6297,806601
1985-03-05,1.6297,1.6375,1.6148,1.6148,375801
1985-03-06,1.6297,1.6375,1.6148,1.6297,131601
1985-03-07,1.6225,1.6297,1.6070,1.6225,5439000
1985-03-08,1.6297,1.6375,1.6225,1.6297,656601
1985-03-11,1.6225,1.6447,1.6225,1.6375,351000
1985-03-12,1.6375,1.6447,1.6297,1.6297,171600
1985-03-13,1.6297,1.6375,1.6225,1.6297,396201
1985-03-14,1.6297,1.6375,1.6225,1.6297,711201
1985-03-15,1.6297,1.6447,1.6297,1.6297,819801
1985-03-18,1.6375,1.6447,1.6375,1.6447,204600
1985-03-19,1.6518,1.6674,1.6447,1.6596,302601
1985-03-20,1.6596,1.6895,1.6596,1.6746,630000
1985-03-21,1.6895,1.7045,1.6746,1.7045,254601
1985-03-22,1.7045,1.7194,1.6895,1.7045,216600
1985-03-25,1.7122,1.7122,1.7045,1.7045,240600
1985-03-26,1.6967,1.7122,1.6967,1.7122,170001
1985-03-27,1.7122,1.7272,1.7122,1.7194,135801
1985-03-28,1.7194,1.7272,1.7122,1.7272,98400
1985-03-29,1.7272,1.7643,1.7194,1.7643,712401
1985-04-01,1.7571,1.7792,1.7493,1.7714,418200
1985-04-02,1.7792,1.7792,1.7571,1.7643,383001
1985-04-03,1.7643,1.7643,1.7493,1.7571,137400
1985-04-04,1.7643,1.7864,1.7571,1.7792,917001
1985-04-08,1.7643,1.7714,1.7415,1.7493,391401
1985-04-09,1.7493,1.7643,1.7493,1.7571,309000
1985-04-10,1.7643,1.7864,1.7643,1.7792,584400
1985-04-11,1.7864,1.8019,1.7571,1.7864,1160400
1985-04-12,1.7792,1.8019,1.7792,1.7942,648600
1985-04-15,1.7942,1.8019,1.7864,1.7942,158601
1985-04-16,1.7864,1.7942,1.7864,1.7942,264201
1985-04-17,1.7942,1.8019,1.7864,1.8019,324801
1985-04-18,1.8091,1.8169,1.7942,1.8091,722001
1985-04-19,1.8169,1.8390,1.8091,1.8241,407001
1985-04-22,1.8169,1.8241,1.8019,1.8091,301800
