date,open,high,low,close,volume
2007-05-03,19.3242,19.5019,18.2581,18.4091,8052800
2007-05-04,18.7023,18.9689,18.3913,18.6401,5437300
2007-05-07,18.8356,18.9155,17.9471,18.0893,2646300
2007-05-08,17.7694,17.7694,17.1475,17.4407,4166100
2007-05-09,17.5473,17.9471,17.4407,17.5828,7541100
2007-05-10,17.5828,17.7605,17.3696,17.5029,3170600
2007-05-11,17.5118,17.5917,16.9787,17.1475,3539400
2007-05-14,17.0142,17.2275,16.6588,16.7832,1924800
2007-05-15,16.5789,16.7477,16.1257,16.1702,3438700
2007-05-16,16.0458,16.4189,16.0102,16.2946,2607600
2007-05-17,16.6588,17.5473,16.5878,16.8987,8979000
2007-05-18,17.1031,17.3163,16.4723,17.1564,6562200
2007-05-21,17.0586,17.1830,16.8809,16.8809,2077700
2007-05-22,16.9698,17.3518,16.8809,17.3074,4014700
2007-05-23,17.3252,17.5029,16.9698,17.0675,2387100
2007-05-24,17.0675,17.1741,16.7477,16.8987,2362000
2007-05-25,16.8987,16.9254,16.6055,16.6677,895000
2007-05-29,16.8010,17.0586,16.7477,16.9609,2918800
2007-05-30,16.9254,17.0142,16.7121,16.8632,2829300
2007-05-31,17.0142,17.1297,16.9076,16.9254,3435200
2007-06-01,16.9698,17.5917,16.9254,17.3696,2299400
2007-06-04,16.6411,16.9254,16.6055,16.7388,5692700
2007-06-05,16.7477,16.9165,16.6411,16.8365,4510000
2007-06-06,16.6144,16.8188,16.5700,16.8188,2595300
2007-06-07,16.6766,16.7477,16.1257,16.4189,3062100
2007-06-08,16.1702,16.7299,16.1702,16.7299,2124100
2007-06-11,16.4811,16.7210,16.1879,16.3301,1870000
2007-06-12,16.0191,16.6233,16.0102,16.3479,8636200
2007-06-13,16.4189,16.6144,16.3123,16.5611,3110200
2007-06-14,16.4367,16.8898,16.3701,16.7921,8069700
2007-06-15,16.7832,17.0053,16.3923,16.7743,3418900
2007-06-18,16.5700,16.7921,16.4367,16.4723,1339900
2007-06-19,16.5167,16.9520,16.4811,16.7654,3113000
2007-06-20,16.8809,17.3163,16.7210,17.2008,4031500
2007-06-21,17.0586,17.4140,16.8987,17.3341,3985700
2007-06-22,17.3252,17.6361,17.2097,17.5473,11822000
2007-06-25,17.4940,17.5384,16.9787,17.2630,1974400
2007-06-26,17.3252,17.4673,17.1208,17.3163,2237000
2007-06-27,17.2363,17.4051,16.9964,17.2541,2216000
2007-06-28,17.5473,17.6717,17.4340,17.4762,2547200
2007-06-29,17.3696,17.6184,17.3341,17.5029,2022200
2007-07-02,17.3874,17.5562,17.3518,17.3963,1831600
2007-07-03,17.5118,18.0004,17.5118,17.9915,2960900
2007-07-05,17.7783,18.4180,17.6983,18.2314,2640100
2007-07-06,18.2581,18.5690,18.1070,18.5069,1966900
2007-07-09,18.6046,19.0044,18.5291,18.9511,2872800
2007-07-10,18.8178,18.8800,18.2403,18.3469,2367100
2007-07-11,17.9293,18.2936,17.7694,17.8760,2387700
2007-07-12,18.1515,18.3292,17.8672,18.1515,3455400
2007-07-13,18.0804,18.2492,17.8405,18.2137,1751700
2007-07-16,18.1692,18.6579,18.0448,18.6046,2891700
2007-07-17,18.6579,18.8800,18.4624,18.8267,4383100
2007-07-18,19.3598,19.3687,18.7912,18.9866,9011300
2007-07-19,19.0844,19.3687,19.0133,19.1110,8636500
2007-07-20,19.0222,19.1732,18.6579,19.0133,4248400
2007-07-23,19.0133,19.1021,18.6668,18.7556,4399000
2007-07-24,18.7912,19.1910,18.4180,18.9511,6101200
2007-07-25,18.9244,18.9333,18.1692,18.4624,2779100
2007-07-26,18.2670,18.2670,16.7654,17.2008,9754300
2007-07-27,17.5118,17.5206,16.3212,16.5167,4562800
2007-07-30,16.4367,16.5167,15.3883,16.0369,8926900
2007-07-31,16.2412,16.4723,15.7437,15.8326,3582900
2007-08-01,15.9925,16.5700,15.2639,16.3034,7082200
2007-08-02,16.5878,17.3252,16.2235,16.7743,7427800
2007-08-03,16.7743,17.0320,16.1613,16.6144,3412800
2007-08-06,16.8276,16.8809,15.7348,16.0102,5659800
2007-08-07,15.8592,16.6766,15.8592,16.3923,2725000
2007-08-08,16.3301,16.7477,16.0369,16.4278,2724100
2007-08-09,16.0280,16.1080,15.6815,15.8770,3314300
2007-08-10,15.5482,15.6460,15.0596,15.6016,3903000
2007-08-13,15.6815,16.0369,15.2639,15.3617,2050800
2007-08-14,15.3617,15.6184,14.1800,15.0774,5720100
2007-08-15,14.9707,15.0596,13.3448,13.9934,3556000
2007-08-16,13.5492,14.3932,13.2738,14.1445,6312100
2007-08-17,14.7042,14.7486,13.3448,14.2155,4152000
2007-08-20,14.3044,14.7930,14.0911,14.2866,1933600
2007-08-21,14.2244,15.8414,14.1711,15.7348,5527200
2007-08-22,16.1257,16.5700,15.6726,16.0813,4715900
2007-08-23,15.9925,16.1257,15.5927,15.9925,2271300
2007-08-24,15.8059,16.2412,15.6549,16.2057,983600
2007-08-27,15.6460,16.1968,15.5482,15.7259,1321100
2007-08-28,15.5927,15.7082,15.3084,15.4150,1240500
2007-08-29,15.5127,15.6726,15.3794,15.4239,1092700
2007-08-30,15.1484,15.3705,14.9441,15.0862,1210500
2007-08-31,15.1484,15.3439,14.9441,14.9974,1239900
2007-09-04,15.1395,15.7082,15.0774,15.5749,1992800
2007-09-05,15.5482,15.9747,15.5482,15.6549,1847900
2007-09-06,15.7704,16.2590,15.3350,16.0547,2205500
2007-09-07,15.6193,15.7615,15.4505,15.6549,1533800
2007-09-10,15.7526,15.9836,15.3350,15.4949,2483400
2007-09-11,15.4594,15.9036,15.3794,15.7171,2066700
2007-09-12,15.6815,15.6815,15.1573,15.2373,2217800
2007-09-13,15.3794,15.6549,15.2462,15.6282,1365600
2007-09-14,15.4061,15.7259,15.3439,15.6815,873900
2007-09-17,15.6104,15.6993,15.2017,15.2373,939100
2007-09-18,15.4150,15.6016,14.9885,15.5038,1800800
2007-09-19,15.5482,16.2946,15.5482,16.2501,3484000
2007-09-20,16.1435,16.1524,15.6726,15.7437,1631700
2007-09-21,16.1613,16.1613,15.5127,15.6016,1767300
2007-09-24,15.5660,15.6104,14.2244,14.2422,5237600
2007-09-25,14.2155,15.1751,14.1267,15.1751,3470300
2007-09-26,15.2373,15.9481,15.0596,15.8770,4915600
2007-09-27,15.9303,16.0280,15.6104,15.8326,1443000
2007-09-28,15.6371,15.9569,15.3439,15.9481,1505000
2007-10-01,15.9925,16.2857,15.8237,16.1879,2277700
2007-10-02,16.3479,16.8809,16.3212,16.8632,2982300
2007-10-03,16.9076,17.1386,16.4456,17.1297,3078200
2007-10-04,16.9876,17.3696,16.3479,16.5344,4998500
2007-10-05,16.5522,17.5029,16.5522,17.0498,3334700
2007-10-08,16.9876,17.4673,16.9791,17.3074,1546800
2007-10-09,17.2541,17.5740,17.0675,17.4051,1839200
2007-10-10,17.1031,17.4940,17.0764,17.4407,2415800
2007-10-11,17.4496,17.4850,17.0942,17.2275,2948600
2007-10-12,17.1031,17.7516,16.9520,17.7339,2331600
2007-10-15,17.5651,17.7694,17.0320,17.7694,3955300
2007-10-16,17.9915,18.2137,17.1475,17.8405,7945800
2007-10-17,18.0893,18.2670,17.7961,18.1248,5631600
2007-10-18,18.0804,18.1248,17.5828,17.7339,2480600
2007-10-19,17.8050,17.8050,17.3163,17.3252,2029600
2007-10-22,17.0675,17.9915,17.0586,17.7694,3344200
2007-10-23,17.9293,18.6579,17.8583,18.4980,5704400
2007-10-24,18.4180,18.7023,18.1870,18.2847,3971300
2007-10-25,18.1248,18.4358,17.6361,17.8227,2479300
2007-10-26,17.9915,18.0271,17.2452,17.5384,2171200
2007-10-29,17.4051,18.0893,17.3252,17.6361,1893500
2007-10-30,17.6895,18.6046,17.6806,18.3736,3845600
2007-10-31,17.7872,18.5246,17.7161,18.4802,4577700
2007-11-01,18.1692,18.5335,17.9027,17.9471,2519000
2007-11-02,17.9649,18.0271,17.4851,17.7072,1623200
2007-11-05,17.5917,17.8494,17.1208,17.3341,1633800
2007-11-06,17.3252,17.6361,16.0991,16.4456,3132100
2007-11-07,16.4101,16.4278,15.0685,15.5038,6915500
2007-11-08,15.5038,15.5749,14.3932,15.1040,7390600
2007-11-09,14.6598,15.2284,14.5709,14.6598,3750000
2007-11-12,14.9974,15.9569,14.8997,15.8859,4727700
2007-11-13,16.2857,16.9876,16.0636,16.6588,3435700
2007-11-14,16.6144,18.7467,15.8770,17.3430,17352700
2007-11-15,17.3430,18.1781,17.0231,17.6273,8292100
2007-11-16,17.6895,18.2048,17.1120,17.7428,6111800
2007-11-19,17.3252,17.5473,16.7832,16.8898,3604800
2007-11-20,16.6411,16.7477,15.1307,15.5038,5969900
2007-11-21,14.5265,16.0813,14.4554,15.9125,4742900
2007-11-23,16.1702,16.4900,16.0280,16.1257,1118600
2007-11-26,16.3034,16.4189,15.3439,15.5305,2520600
2007-11-27,16.1702,16.3390,15.3261,15.6016,2609200
2007-11-28,15.7792,16.8987,15.5039,16.6766,5421900
2007-11-29,16.6055,17.0320,16.0991,16.5522,3546800
2007-11-30,17.3696,17.6539,16.9520,17.5562,6946400
2007-12-03,17.5473,17.7694,16.8276,17.3963,2688900
2007-12-04,16.5700,16.8632,15.8681,16.5344,6339900
2007-12-05,16.5700,16.6766,16.1879,16.2590,2176400
2007-12-06,16.2768,16.6855,16.1702,16.3301,2877000
