date,open,high,low,close,volume
2007-06-14,22.0146,23.9801,22.0146,22.6042,3279100
2007-06-15,23.1939,23.4298,22.7064,22.8637,790100
2007-06-18,23.0524,23.7443,23.0367,23.5320,1591000
2007-06-19,23.5870,23.8229,23.2725,23.3512,1585100
2007-06-20,23.6185,23.6657,23.2489,23.4376,855900
2007-06-21,23.6342,25.1202,23.2804,24.5384,842700
2007-06-22,24.7664,25.2932,24.3733,24.9236,1490700
2007-06-25,24.7664,25.1595,24.3811,24.6091,490000
2007-06-26,24.6091,24.8843,23.7836,23.9094,853900
2007-06-27,24.0588,24.2160,23.2489,23.2568,1127300
2007-06-28,23.4927,23.5084,22.9266,23.1939,488900
2007-06-29,23.5792,23.8229,21.9595,22.4077,3085200
2007-07-02,22.4470,22.9187,21.3856,21.6214,10999000
2007-07-03,21.6214,21.6214,20.5600,20.9689,8600100
2007-07-05,20.6387,21.1654,20.2377,20.3871,8422000
2007-07-06,20.1590,20.3320,19.8210,20.1590,7211800
2007-07-09,20.2219,20.8667,20.0018,20.0804,11675200
2007-07-10,20.1276,20.1669,19.4986,19.5772,8591800
2007-07-11,19.6716,19.8681,19.4593,19.8210,10251400
2007-07-12,20.1197,20.9060,19.8210,20.7094,10297300
2007-07-13,20.8116,21.5664,20.4578,21.3541,6752500
2007-07-16,21.3934,21.5821,20.9610,21.1025,9892000
2007-07-17,21.1969,21.2205,20.6858,20.8352,5434600
2007-07-18,20.7959,20.8352,20.2062,20.7251,4594800
2007-07-19,20.6387,21.1890,20.6387,21.0003,4868900
2007-07-20,21.0003,21.3227,20.6387,20.6780,5751300
2007-07-23,20.6780,20.8431,20.5207,20.5364,4711800
2007-07-24,20.0804,20.1276,19.6008,19.6559,5483800
2007-07-25,19.4672,19.5301,18.6731,18.9482,8391500
2007-07-26,18.2878,19.5615,17.8868,19.3571,9834900
2007-07-27,19.0740,19.4200,18.3428,18.3428,6678000
2007-07-30,18.3979,18.8146,17.5881,18.5315,5056000
2007-07-31,18.5944,18.9482,17.9497,18.1227,4132300
2007-08-01,17.8318,18.1384,17.3365,17.9890,5583900
2007-08-02,17.6903,18.9089,17.6745,18.3743,3032900
2007-08-03,17.8161,18.1699,16.9276,17.2893,5256100
2007-08-06,17.4859,18.5001,16.7075,17.4151,6010700
