date,open,high,low,close,volume
2009-11-13,20.5546,21.5823,20.3210,21.2367,22079100
2009-11-16,21.3955,21.5823,20.6761,21.5823,2080000
2009-11-17,21.5169,21.6477,21.0218,21.5263,1328000
2009-11-18,21.4889,21.5076,21.0218,21.0685,918300
2009-11-19,20.8069,21.6197,20.8069,21.3675,1031500
2009-11-20,21.0218,21.7972,21.0218,21.6851,1080900
2009-11-23,22.1429,22.4045,21.6571,21.8626,741100
2009-11-24,22.0495,22.0962,21.7225,21.9561,633100
2009-11-25,21.4889,22.2364,21.4796,22.1803,362600
2009-11-27,21.2460,21.7692,21.2460,21.6291,141400
2009-11-30,21.6010,21.6010,21.1339,21.4889,853000
2009-12-01,21.9000,22.0215,21.4889,21.7786,803500
2009-12-02,21.7599,22.1896,21.7225,22.0495,571300
2009-12-03,22.2550,22.2550,21.4889,21.7786,410000
2009-12-04,21.9280,22.4045,21.7692,22.2831,318100
2009-12-07,22.2083,22.2083,21.7505,22.0775,271500
2009-12-08,21.9561,22.1896,21.4889,22.0775,652900
2009-12-09,22.0775,22.5353,21.9561,22.4232,609400
2009-12-10,23.1426,23.1426,21.8533,22.1429,848400
2009-12-11,22.0495,22.1803,21.5945,21.8066,600300
2009-12-14,21.7599,21.7972,21.2553,21.3021,489100
2009-12-15,21.3021,21.3861,21.0405,21.1993,700100
2009-12-16,21.3394,21.5356,21.0685,21.2367,585400
2009-12-17,21.2553,21.2553,20.6294,20.9657,634000
2009-12-18,21.1245,21.1245,20.6574,21.0872,2105100
2009-12-21,21.0218,21.1245,20.7134,21.1152,536400
2009-12-22,21.0965,21.1245,20.8349,20.9283,766100
2009-12-23,21.6945,21.7225,20.9283,20.9377,1103000
2009-12-24,20.9844,21.1151,20.6480,20.6948,254300
2009-12-28,20.6948,21.1899,20.6948,21.1339,804300
2009-12-29,21.1993,21.3021,21.0498,21.1245,123500
2009-12-30,21.0405,21.3021,21.0405,21.1245,173300
2009-12-31,21.3021,21.3394,20.9097,20.9564,156700
2010-01-04,21.0685,21.8626,20.9283,21.5637,437200
2010-01-05,21.4889,21.7318,21.4515,21.7318,283600
2010-01-06,22.0495,22.3298,21.8720,22.0308,968100
2010-01-07,22.0028,22.2177,21.8626,22.1803,360700
2010-01-08,22.0869,22.5634,21.7879,22.3018,967300
2010-01-11,22.2831,22.4980,22.1990,22.4232,253500
2010-01-12,22.2831,22.4232,22.0121,22.3765,517700
2010-01-13,22.3765,22.7952,22.2457,22.7035,596300
2010-01-14,22.5914,22.6101,22.3531,22.6101,201500
2010-01-15,22.8343,22.8904,22.5166,22.7596,202100
2010-01-19,22.7969,23.2641,22.6382,22.9371,679300
2010-01-20,22.8997,23.1707,22.6568,22.8997,589800
2010-01-21,22.9184,23.0940,22.3299,22.4045,203300
2010-01-22,22.4139,22.4606,21.2740,21.8066,892700
2010-01-25,22.0869,22.0869,21.5450,21.8159,119500
2010-01-26,21.8626,22.1242,21.7879,21.9841,164800
2010-01-27,22.0495,22.0495,21.8346,22.0028,175300
2010-01-28,22.2270,22.5353,21.8533,22.2737,131400
2010-01-29,22.4232,22.4232,21.7038,21.9467,337800
2010-02-01,22.1242,22.1242,21.6104,21.8346,407500
2010-02-02,21.7972,22.1616,21.6664,22.0775,208300
2010-02-03,22.0495,22.2924,21.8720,22.2737,827700
2010-02-04,22.0869,22.1896,20.8816,20.9937,714000
2010-02-05,20.9377,21.0872,19.9006,20.2837,1137100
2010-02-08,20.4425,21.1432,20.3305,20.9190,208100
2010-02-09,21.0124,21.2647,20.8069,21.0778,220700
2010-02-10,20.9097,20.9097,20.4332,20.6013,403900
2010-02-11,20.5266,20.7227,20.5032,20.6107,107600
2010-02-12,20.4705,21.0685,20.4425,21.0685,125600
2010-02-16,21.1619,21.5543,20.8069,21.5169,248000
2010-02-17,21.5263,21.8533,21.1059,21.2647,189800
