date,open,high,low,close,volume
1996-12-26,3.0295,3.0528,2.9559,2.9559,22000
1996-12-27,2.9559,2.9559,2.9559,2.9559,800
1996-12-30,2.9811,2.9811,2.9326,2.9326,28400
1996-12-31,2.9074,2.9326,2.9074,2.9326,15600
1997-01-02,2.9074,2.9074,2.8357,2.8357,710000
1997-01-03,2.8357,2.9326,2.8357,2.9074,1579600
1997-01-06,2.9326,2.9559,2.9074,2.9326,2490800
1997-01-07,2.9559,3.1013,2.9326,3.1013,641200
1997-01-08,3.1497,3.2466,3.1245,3.1245,336000
1997-01-09,3.1245,3.1730,3.1245,3.1497,459200
1997-01-10,3.1730,3.1982,3.1497,3.1730,812800
1997-01-13,3.1730,3.1730,3.1013,3.1497,3370000
1997-01-14,3.2718,3.4405,3.2466,3.4405,2018000
1997-01-15,3.3435,3.3687,3.1749,3.1749,2648400
1997-01-16,3.1013,3.1497,3.0780,3.1013,2926000
1997-01-17,3.1013,3.1497,3.0780,3.1265,1323600
1997-01-20,3.1013,3.1265,3.0780,3.0780,2368400
1997-01-21,3.1013,3.1265,3.1013,3.1013,2347200
1997-01-22,3.1265,3.1265,3.1013,3.1013,2797600
1997-01-23,3.1497,3.2234,3.1497,3.1749,1058800
1997-01-24,3.1749,3.3203,3.1265,3.1265,1254800
1997-01-27,3.1265,3.1749,3.1265,3.1265,1658000
1997-01-28,3.1265,3.2466,3.1013,3.1013,1005600
1997-01-29,3.1013,3.1749,3.0780,3.1013,1512000
1997-01-30,3.1013,3.1497,3.0780,3.1013,2211200
1997-01-31,3.0528,3.1013,3.0295,3.0528,1540400
1997-02-03,3.0295,3.1497,3.0295,3.1497,1889600
1997-02-04,3.1497,3.1982,3.1265,3.1982,1865600
1997-02-05,3.1982,3.2234,3.1749,3.2234,458400
1997-02-06,3.1982,3.2234,3.1982,3.1982,643600
1997-02-07,3.1982,3.2718,3.1749,3.2466,2542800
1997-02-10,3.1982,3.2234,3.1749,3.1982,944000
1997-02-11,3.1497,3.2234,3.1497,3.1982,772000
1997-02-12,3.1749,3.1982,3.1497,3.1749,400400
1997-02-13,3.1749,3.3203,3.1749,3.2718,1190800
1997-02-14,3.2718,3.2718,3.1749,3.1982,1210800
1997-02-18,3.1497,3.2234,3.1497,3.1982,2076800
1997-02-19,3.1749,3.2466,3.1749,3.2234,830800
1997-02-20,3.2234,3.3920,3.1982,3.2718,1074000
1997-02-21,3.2466,3.3203,3.2466,3.2951,638800
1997-02-24,3.2951,3.4172,3.2951,3.4172,1108000
1997-02-25,3.4172,3.4657,3.3920,3.4405,462000
1997-02-26,3.3920,3.4172,3.3435,3.3687,525600
1997-02-27,3.3435,3.4405,3.2951,3.3203,854800
1997-02-28,3.2234,3.3203,3.1497,3.2718,514400
1997-03-03,3.2234,3.3435,3.2234,3.2718,385600
1997-03-04,3.2951,3.2951,3.2466,3.2718,803600
1997-03-05,3.2466,3.2718,3.1749,3.2234,1542000
1997-03-06,3.1749,3.2234,3.1749,3.1982,408800
1997-03-07,3.1749,3.1982,3.0780,3.1497,968400
1997-03-10,3.1749,3.1982,3.1497,3.1749,331200
1997-03-11,3.1749,3.2234,3.1749,3.1749,1434000
1997-03-12,3.1749,3.1982,3.1749,3.1982,558000
1997-03-13,3.1497,3.1749,3.1497,3.1497,362800
1997-03-14,3.1497,3.1982,3.1497,3.1749,964800
1997-03-17,3.1749,3.1749,3.1013,3.1013,387600
1997-03-18,3.1497,3.1497,3.1013,3.1265,303600
1997-03-19,3.1265,3.1749,3.1265,3.1497,2478000
1997-03-20,3.1749,3.1749,3.1265,3.1497,196000
