date,open,high,low,close,volume
1992-06-05,1.9330,1.9770,1.9330,1.9330,14559598
1992-06-08,1.9330,1.9770,1.9330,1.9330,1305599
1992-06-09,1.9330,1.9330,1.8452,1.8452,1940501
1992-06-10,1.8452,1.9102,1.8452,1.8452,665301
1992-06-11,1.8452,1.8452,1.7573,1.7573,1381300
1992-06-12,1.7573,1.8223,1.7573,1.7573,500900
1992-06-15,1.7573,1.8223,1.7573,1.8223,207698
1992-06-16,1.7802,1.8452,1.7573,1.7802,339700
1992-06-17,1.7802,1.8452,1.7802,1.7802,522102
1992-06-18,1.7573,1.8452,1.7573,1.7573,321699
1992-06-19,1.7573,1.8452,1.7573,1.7573,985299
1992-06-22,1.7573,1.8012,1.7573,1.7573,628400
1992-06-23,1.7573,1.8012,1.7573,1.7573,330099
1992-06-24,1.8012,1.8012,1.7573,1.7573,300502
1992-06-25,1.7573,1.8012,1.7573,1.7573,349700
1992-06-26,1.7573,1.8012,1.7573,1.8012,422398
1992-06-29,1.7802,1.8012,1.7573,1.7573,214099
1992-06-30,1.8012,1.8012,1.7573,1.8012,189601
1992-07-01,1.7573,1.8452,1.7573,1.8012,287998
1992-07-02,1.8452,1.8452,1.7573,1.7573,516802
1992-07-06,1.7573,1.8012,1.7573,1.8012,94798
1992-07-07,1.7573,1.8012,1.7573,1.7573,228001
1992-07-08,1.7573,1.7573,1.6694,1.6694,448400
1992-07-09,1.6694,1.7362,1.6255,1.6255,95298
1992-07-10,1.6255,1.7134,1.6255,1.6255,175199
1992-07-13,1.6484,1.7134,1.6255,1.7134,149302
1992-07-14,1.6694,1.7573,1.6255,1.7134,381700
1992-07-15,1.8012,1.8012,1.7134,1.8012,94798
1992-07-16,1.7134,1.7573,1.7134,1.7573,13700
1992-07-17,1.7134,1.8012,1.7134,1.8012,168101
1992-07-20,1.7802,1.8012,1.7134,1.8012,216098
1992-07-21,1.7134,1.8012,1.7134,1.7134,44398
1992-07-22,1.7134,1.8012,1.7134,1.7134,56902
1992-07-23,1.7573,1.8012,1.7573,1.7573,63601
1992-07-24,1.7573,1.8012,1.6694,1.7573,149600
1992-07-27,1.6694,1.6923,1.6694,1.6923,232898
1992-07-28,1.7573,1.7573,1.6694,1.7573,257599
1992-07-29,1.6694,1.8452,1.6694,1.8452,261601
1992-07-30,1.7573,1.8891,1.7573,1.8012,546000
1992-07-31,1.8223,1.9102,1.8223,1.8452,394901
