date,open,high,low,close,volume
2005-07-08,6.9017,7.0130,6.5677,6.8126,8135200
2005-07-11,6.8126,6.8794,6.7236,6.8349,2764800
2005-07-12,6.9907,7.2579,6.9462,7.1911,2460400
2005-07-13,7.2356,7.2356,7.0798,7.0798,2467800
2005-07-14,7.1243,7.1243,7.0352,7.0798,4623200
2005-07-15,7.0352,7.0575,6.9017,6.9907,2199200
2005-07-18,6.9239,6.9239,6.6122,6.6345,6452600
2005-07-19,6.6568,6.6790,6.6345,6.6523,8169600
2005-07-20,6.6568,6.6568,6.6122,6.6122,7192000
2005-07-21,6.4564,6.7236,6.3228,6.7191,71509600
2005-07-22,6.7013,6.7903,6.6345,6.6746,60462200
2005-07-25,6.6746,6.6790,6.2249,6.2560,43545600
2005-07-26,6.2560,6.2783,6.1180,6.2338,40044600
2005-07-27,6.2115,6.3762,6.1759,6.2338,44995400
2005-07-28,6.2338,6.4030,6.2204,6.3451,37880400
2005-07-29,6.3451,6.3762,6.2293,6.3540,9275800
2005-08-01,6.3050,6.4119,6.2293,6.2516,10354800
2005-08-02,6.1981,6.2471,6.0156,6.2249,26832000
2005-08-03,6.1447,6.3362,6.0957,6.3362,10425800
2005-08-04,6.1937,6.3451,6.1848,6.3050,15061400
2005-08-05,6.2605,6.3050,6.1892,6.2783,12237600
2005-08-08,6.1892,6.3228,6.1670,6.2560,7724600
2005-08-09,6.2605,6.2694,6.1714,6.2204,12097000
2005-08-10,6.2115,6.3139,6.2026,6.2827,37479200
2005-08-11,6.3584,6.6879,6.3584,6.4965,40394400
2005-08-12,6.5276,6.5811,6.4564,6.5410,21435800
2005-08-15,6.5276,6.8126,6.5009,6.7414,19094000
2005-08-16,6.8126,7.0174,6.6879,6.7681,20794600
2005-08-17,6.7903,6.8304,6.7057,6.7236,10860200
2005-08-18,6.6924,6.7325,6.6612,6.6879,4257600
2005-08-19,6.6790,6.8304,6.6790,6.7725,6668600
2005-08-22,6.7547,6.9685,6.7547,6.9017,4931600
2005-08-23,6.9685,7.0798,6.8482,6.9818,6961000
2005-08-24,6.9106,7.1466,6.9106,7.0486,6344200
2005-08-25,7.0798,7.0798,6.8304,7.0130,3700000
2005-08-26,7.0263,7.0753,6.7458,6.9373,5481200
2005-08-29,6.9017,6.9551,6.7859,6.8482,3294800
2005-08-30,6.7236,6.9017,6.6790,6.8215,9986200
2005-08-31,6.8527,6.8527,6.7013,6.7414,7817800
2005-09-01,6.7013,6.7547,6.6746,6.7503,7342200
2005-09-02,6.6879,6.7458,6.6434,6.7458,5189200
2005-09-06,6.7013,6.7903,6.7013,6.7725,6370400
2005-09-07,6.7503,6.7814,6.7236,6.7770,5271800
2005-09-08,6.8126,6.8794,6.7146,6.7236,9388200
2005-09-09,6.7236,6.7280,6.6657,6.6790,9173600
2005-09-12,6.6568,6.7236,6.6434,6.6657,3164000
2005-09-13,6.7325,6.7681,6.5365,6.6078,7082400
2005-09-14,6.5410,6.6790,6.5365,6.6434,3870200
2005-09-15,6.6122,6.7369,6.6122,6.6790,4241600
2005-09-16,6.6657,6.7102,6.6479,6.6790,3693200
2005-09-19,6.7191,6.7903,6.6746,6.7013,2938200
2005-09-20,6.7013,6.8171,6.6701,6.6968,5417800
2005-09-21,6.7325,6.7458,6.5677,6.5855,3758200
2005-09-22,6.5677,6.6211,6.5187,6.5454,8722000
2005-09-23,6.5454,6.5544,6.4341,6.5143,3271800
2005-09-26,6.5232,6.5410,6.4787,6.4920,3881200
2005-09-27,6.4742,6.5321,6.4341,6.4876,4022400
2005-09-28,6.5232,6.5321,6.3896,6.4163,6827600
2005-09-29,6.3985,6.4341,6.3228,6.3451,11684000
2005-09-30,6.3228,6.5232,6.3050,6.4252,11200600
2005-10-03,6.4208,6.4787,6.4163,6.4698,4976200
2005-10-04,6.4564,6.4787,6.2159,6.2427,7895400
2005-10-05,6.2338,6.2783,6.1447,6.1892,15835600
2005-10-06,6.1714,6.2338,6.1180,6.1492,5445600
2005-10-07,6.1313,6.2338,6.1313,6.2249,3998200
2005-10-10,6.1981,6.3005,6.1892,6.2204,5173200
2005-10-11,6.2115,6.3005,6.1892,6.2560,12069600
2005-10-12,6.2204,6.2649,6.2115,6.2427,4423200
2005-10-13,6.2382,6.3896,6.2293,6.3451,8237800
2005-10-14,6.3273,6.5054,6.3228,6.4519,12215200
2005-10-17,6.4341,6.4564,6.2338,6.3362,8857400
2005-10-18,6.3273,6.3762,6.2738,6.3095,3295600
2005-10-19,6.2694,6.2916,6.1670,6.2382,7190000
2005-10-20,6.2249,6.2427,6.1536,6.1803,9165400
2005-10-21,6.1670,6.4252,6.1670,6.2694,15166000
2005-10-24,6.2516,6.3584,6.2516,6.3406,2962800
2005-10-25,6.3005,6.3540,6.2249,6.2516,4899600
2005-10-26,6.1937,6.2427,6.1937,6.2249,8119600
2005-10-27,6.1981,6.3005,6.0957,6.1180,13761200
2005-10-28,6.1447,6.3495,6.1002,6.3184,8188000
2005-10-31,6.3184,6.3673,6.2159,6.2738,5788000
2005-11-01,6.2382,6.4430,6.2338,6.3317,5292600
2005-11-02,6.3629,6.4208,6.3005,6.4030,3321000
2005-11-03,6.4030,6.4831,6.2471,6.3228,3861600
2005-11-04,6.3139,6.3228,6.2204,6.2827,2924200
2005-11-07,6.2827,6.3718,6.2249,6.3005,2093200
2005-11-08,6.2605,6.4163,6.2560,6.3896,2396200
2005-11-09,6.3406,6.4030,6.1358,6.3851,9243600
2005-11-10,6.3228,6.6033,6.3184,6.5855,4377400
2005-11-11,6.5900,6.8126,6.5098,6.7948,9432400
2005-11-14,6.8349,6.8349,6.6924,6.8171,4919200
2005-11-15,6.8571,6.8749,6.7636,6.8171,5409200
2005-11-16,6.8527,6.8527,6.6390,6.6790,4819600
2005-11-17,6.6790,6.7146,6.5321,6.6300,2680600
2005-11-18,6.6122,6.8304,6.6122,6.7859,12538200
2005-11-21,6.8616,7.0085,6.7458,6.9462,6035400
2005-11-22,6.9685,7.0130,6.8571,7.0130,6235000
2005-11-23,6.9774,7.0709,6.9017,7.0397,3364800
2005-11-25,7.0130,7.1065,6.9952,7.0531,1022800
2005-11-28,7.0531,7.0531,6.9640,7.0130,7623000
2005-11-29,6.9462,7.0397,6.8838,7.0130,7712600
2005-11-30,6.9996,7.0085,6.9150,6.9506,5316000
2005-12-01,6.9774,7.0174,6.9017,6.9640,3503800
2005-12-02,7.0130,7.0219,6.8972,6.9462,2174600
2005-12-05,6.9907,7.0219,6.8260,6.8972,4752000
2005-12-06,6.8794,6.9017,6.7191,6.7280,4849800
2005-12-07,6.7102,6.9996,6.7102,6.8082,3781400
2005-12-08,6.8349,6.9462,6.7859,6.8972,1675200
2005-12-09,6.8972,6.9506,6.8082,6.8928,2072000
2005-12-12,7.0130,7.2267,6.9818,7.0352,14776600
2005-12-13,7.0709,7.1243,7.0441,7.1154,7237800
2005-12-14,7.0798,7.1777,7.0753,7.1243,6043200
2005-12-15,7.1109,7.1466,6.8660,6.9239,8783400
2005-12-16,6.9863,7.1733,6.9061,7.1466,42200400
2005-12-19,7.1020,7.1020,6.8794,6.9595,8317200
2005-12-20,6.9373,7.1198,6.8660,6.8972,6738000
2005-12-21,6.9017,7.0174,6.8082,6.8304,3115600
2005-12-22,6.8037,6.9284,6.7948,6.8037,2680400
2005-12-23,6.7948,6.9506,6.7636,6.8660,2515600
2005-12-27,6.8571,6.9640,6.7547,6.8171,3211800
2005-12-28,6.7814,6.8304,6.7681,6.7725,2373800
2005-12-29,6.8215,6.8883,6.7725,6.7903,3922200
2005-12-30,6.7636,6.8527,6.7325,6.7458,6222400
2006-01-03,6.7325,6.8082,6.7057,6.7236,9026400
2006-01-04,6.7236,6.8171,6.7057,6.8126,8789600
2006-01-05,6.8349,6.8349,6.7903,6.8126,4372000
2006-01-06,6.8838,6.8972,6.7725,6.8349,3585600
2006-01-09,6.8082,6.8349,6.7458,6.8126,4672600
2006-01-10,6.7636,6.8260,6.7636,6.8260,7774800
2006-01-11,6.7814,6.8171,6.7681,6.8037,4368000
2006-01-12,6.7859,6.8260,6.7770,6.7948,4306200
2006-01-13,6.8215,6.8215,6.7547,6.7770,4845200
2006-01-17,6.7592,6.8928,6.7592,6.8838,6098000
2006-01-18,6.8838,6.9061,6.7903,6.8838,2884600
2006-01-19,6.8705,6.9239,6.7814,6.9061,6708200
2006-01-20,6.8616,6.9462,6.7859,6.8215,3734000
2006-01-23,6.8082,6.8794,6.7636,6.8616,2551200
2006-01-24,6.8482,6.8705,6.8393,6.8616,2510400
2006-01-25,6.8438,6.8527,6.7725,6.8260,3567600
2006-01-26,6.9017,6.9017,6.8260,6.8571,2888600
2006-01-27,6.8527,6.9417,6.8527,6.9061,2507400
2006-01-30,6.9462,6.9685,6.7992,6.8349,2056400
2006-01-31,6.8616,6.8616,6.7191,6.7503,6014600
2006-02-01,6.7013,6.7592,6.6479,6.6790,4468600
2006-02-02,6.6701,6.6968,6.4653,6.4920,3940600
2006-02-03,6.4430,6.4965,6.4030,6.4876,4880400
2006-02-06,6.4608,6.4876,6.4119,6.4787,1895600
2006-02-07,6.4475,6.4876,6.4163,6.4297,2859200
2006-02-08,6.4876,6.6612,6.4341,6.6568,4571600
2006-02-09,6.6434,6.6879,6.5054,6.5900,4242800
2006-02-10,6.5677,6.5900,6.4297,6.4564,3809200
2006-02-13,6.4341,6.5143,6.4208,6.4475,2236000
2006-02-14,6.4475,6.4742,6.4074,6.4341,3886600
2006-02-15,6.4208,6.5009,6.3762,6.4475,3555400
2006-02-16,6.4386,6.5722,6.4386,6.5276,3348000
2006-02-17,6.5054,6.5410,6.4430,6.4608,2696000
2006-02-21,6.4564,6.5232,6.3985,6.4430,2912400
2006-02-22,6.4386,6.5588,6.4386,6.4698,5500000
2006-02-23,6.4430,6.5009,6.3762,6.4653,3010200
2006-02-24,6.4564,6.4698,6.3851,6.4208,4012600
2006-02-27,6.4252,6.6122,6.4252,6.6078,4112400
2006-02-28,6.5544,6.5989,6.4564,6.5009,4971600
2006-03-01,6.5365,6.6300,6.4920,6.5633,3374200
2006-03-02,6.5276,6.5276,6.4341,6.4608,2249400
2006-03-03,6.4564,6.5321,6.3985,6.4430,2500600
2006-03-06,6.4341,6.4876,6.3896,6.4386,2571400
2006-03-07,6.4564,6.5054,6.3896,6.3985,1392200
2006-03-08,6.3941,6.4208,6.2694,6.3362,4790000
2006-03-09,6.3273,6.3584,6.2382,6.3406,4073600
2006-03-10,6.3273,6.5365,6.3095,6.3896,3359800
2006-03-13,6.3851,6.5054,6.3317,6.4653,2630600
2006-03-14,6.4564,6.6256,6.4564,6.5722,2638400
2006-03-15,6.5588,6.6657,6.4831,6.6568,2574200
2006-03-16,6.6434,6.6657,6.5009,6.5410,2098200
2006-03-17,6.5677,6.5989,6.4341,6.4965,3883400
2006-03-20,6.4787,6.4965,6.4119,6.4519,2546400
2006-03-21,6.4653,6.5187,6.4163,6.4430,4883800
2006-03-22,6.4208,6.4475,6.3139,6.3985,2911200
2006-03-23,6.3673,6.5410,6.2872,6.5321,3036800
2006-03-24,6.2560,6.5187,6.1803,6.4430,22142600
2006-03-27,6.4208,6.4965,6.3807,6.4787,7869000
2006-03-28,6.4920,6.5009,6.4519,6.4787,5777000
2006-03-29,6.4564,6.6568,6.4475,6.6300,9104000
2006-03-30,6.6033,6.6924,6.5811,6.6568,6021000
2006-03-31,6.6879,6.7280,6.6211,6.6790,13124000
2006-04-03,6.7503,6.7503,6.6345,6.6612,10971400
2006-04-04,6.7102,6.7503,6.6390,6.7325,7423000
2006-04-05,6.7102,6.7458,6.6523,6.6924,7700800
2006-04-06,6.6657,6.7592,6.6122,6.6924,3192600
2006-04-07,6.7146,6.7547,6.5900,6.6746,3424800
2006-04-10,6.6657,6.7057,6.5410,6.6078,3598600
2006-04-11,6.6568,6.6746,6.5009,6.5588,4381400
2006-04-12,6.5454,6.5989,6.5276,6.5766,2562800
2006-04-13,6.5855,6.5855,6.4653,6.4920,4478400
2006-04-17,6.4698,6.5143,6.4030,6.4297,2764000
2006-04-18,6.4341,6.5098,6.4341,6.4876,6536800
2006-04-19,6.4698,6.5098,6.4475,6.5009,5886200
2006-04-20,6.4742,6.5766,6.4564,6.5410,6531000
2006-04-21,6.5633,6.5811,6.4920,6.5499,11693400
2006-04-24,6.5588,6.5722,6.4920,6.5143,4147600
2006-04-25,6.5054,6.5276,6.4386,6.4965,2740200
2006-04-26,6.4876,6.5321,6.4163,6.4698,4726600
2006-04-27,6.4341,6.7013,6.3807,6.6122,4814200
2006-04-28,6.6657,6.6968,6.5944,6.6345,2326400
2006-05-01,6.6345,6.7013,6.6033,6.6835,5035400
2006-05-02,6.6835,6.7057,6.5232,6.5588,7980600
2006-05-03,6.5187,6.5232,6.3184,6.4297,22716000
2006-05-04,6.4297,6.5544,6.4208,6.4475,3554400
2006-05-05,6.4475,6.4653,6.3540,6.4163,2925400
2006-05-08,6.3896,6.4430,6.3540,6.4208,3567200
2006-05-09,6.3941,6.4698,6.3896,6.4119,3737400
2006-05-10,6.3896,6.4297,6.3317,6.3540,3203600
2006-05-11,6.3317,6.4030,6.3317,6.3540,5686600
2006-05-12,6.3451,6.4208,6.2293,6.2338,5885800
2006-05-15,6.1937,6.4208,6.1937,6.3718,5096000
2006-05-16,6.3362,6.4297,6.3050,6.4119,3789600
2006-05-17,6.3317,6.3985,6.2427,6.2605,2984800
2006-05-18,6.2516,6.3095,6.1358,6.1536,4612200
2006-05-19,6.1670,6.2427,6.0779,6.1536,5777800
2006-05-22,6.1135,6.1714,6.0646,6.0868,2754600
2006-05-23,6.0913,6.2115,6.0913,6.1180,7621000
2006-05-24,6.0779,6.1981,6.0779,6.1625,5139400
2006-05-25,6.1670,6.1848,6.0913,6.1625,4503000
2006-05-26,6.1670,6.2293,6.1091,6.1759,5538000
2006-05-30,6.1403,6.2070,6.0868,6.1670,5013400
2006-05-31,6.1403,6.2560,6.1135,6.1759,5198200
2006-06-01,6.1581,6.3317,6.1224,6.3228,5253000
2006-06-02,6.3629,6.4252,6.2338,6.4030,3694800
2006-06-05,6.3540,6.3941,6.1981,6.2338,3017000
2006-06-06,6.2204,6.2694,6.1803,6.2338,2294000
2006-06-07,6.2249,6.2605,6.1536,6.1581,2739800
2006-06-08,6.1269,6.2382,6.0601,6.1492,5174400
2006-06-09,6.1536,6.2338,6.0868,6.1313,3603200
2006-06-12,6.1714,6.2338,6.1091,6.1358,3918400
2006-06-13,6.1269,6.2204,6.0779,6.1892,3940200
2006-06-14,6.1625,6.2249,6.0913,6.1803,4835400
2006-06-15,6.1848,6.5544,6.1848,6.4876,5384800
2006-06-16,6.4653,6.4653,6.3050,6.3495,6121800
2006-06-19,6.3228,6.4341,6.2783,6.3896,5241600
2006-06-20,6.3851,6.5054,6.3139,6.4252,2624800
2006-06-21,6.4831,6.5588,6.4208,6.5054,4367600
2006-06-22,6.4519,6.4965,6.3362,6.3629,4102600
2006-06-23,6.3985,6.4653,6.3406,6.3540,2765600
2006-06-26,6.3406,6.4653,6.3406,6.4030,4615400
2006-06-27,6.4252,6.4742,6.3273,6.3362,3364800
2006-06-28,6.3273,6.4698,6.3139,6.3985,3153600
2006-06-29,6.3941,6.6167,6.3495,6.6122,4566800
2006-06-30,6.6122,6.6523,6.4564,6.5143,15148800
2006-07-03,6.5009,6.5989,6.5009,6.5633,2375000
2006-07-05,6.5232,6.5499,6.4386,6.4742,4253800
2006-07-06,6.4475,6.4564,6.3184,6.4163,6885600
2006-07-07,6.3584,6.4030,6.3005,6.3540,6037400
2006-07-10,6.3495,6.3495,6.2382,6.2961,5584200
2006-07-11,6.2783,6.3406,6.2516,6.2827,4315600
2006-07-12,6.2560,6.2694,6.1670,6.2516,5815000
2006-07-13,6.2338,6.3451,6.2026,6.2471,4223200
2006-07-14,6.2338,6.2338,6.1224,6.1803,3261600
2006-07-17,6.1937,6.1937,6.1002,6.1180,3516000
2006-07-18,6.1224,6.1447,6.0557,6.0957,2806000
2006-07-19,6.0824,6.1536,6.0557,6.0913,3922600
2006-07-20,6.0378,6.1046,5.9978,6.0423,2758200
2006-07-21,5.9933,6.1135,5.9800,6.0156,4728800
2006-07-24,6.0156,6.0779,5.9755,6.0156,2524600
2006-07-25,6.0200,6.1358,5.9933,6.0690,1914400
2006-07-26,6.0735,6.1269,6.0111,6.0289,2970000
2006-07-27,6.0334,6.0779,5.9043,6.0111,7347800
2006-07-28,6.0156,6.0957,5.9755,6.0022,2926800
2006-07-31,6.0022,6.0067,5.9221,5.9310,3277600
2006-08-01,5.9221,5.9577,5.8686,5.9087,3991800
2006-08-02,5.8642,6.1046,5.8642,6.0200,5249400
2006-08-03,6.0022,6.1358,5.9978,6.0378,2987200
2006-08-04,6.1536,6.2338,6.0423,6.0646,3328400
2006-08-07,6.1002,6.2338,6.0378,6.1670,3373400
2006-08-08,6.2204,6.2204,5.9443,6.0512,3277600
2006-08-09,6.0735,6.1135,5.7039,5.8998,7723800
2006-08-10,5.8998,6.0824,5.8998,6.0200,3381400
2006-08-11,5.9354,6.3896,5.9087,6.2516,5444800
2006-08-14,6.2738,6.3228,6.1581,6.1581,4306200
2006-08-15,6.1447,6.3317,6.1447,6.3184,3513200
2006-08-16,6.3673,6.3673,6.1981,6.3050,3408800
2006-08-17,6.3050,6.4386,6.2249,6.4163,4475600
2006-08-18,6.4252,6.4297,6.3139,6.3406,3582000
2006-08-21,6.3228,6.3851,6.2249,6.3584,2658800
2006-08-22,6.3362,6.4119,6.2872,6.3317,2982000
2006-08-23,6.3540,6.3718,6.2338,6.2783,1673200
