date,open,high,low,close,volume
1995-06-21,1.5960,1.5960,1.5073,1.5073,23654400
1995-06-22,1.5073,1.5295,1.3743,1.4186,6014400
1995-06-23,1.4186,1.4408,1.4186,1.4186,1333600
1995-06-26,1.4408,1.4408,1.4186,1.4408,1188000
1995-06-27,1.4408,1.4408,1.2635,1.3300,2978400
1995-06-28,1.3300,1.3415,1.2856,1.3078,1576000
1995-06-29,1.3078,1.3521,1.3078,1.3521,291200
1995-06-30,1.3521,1.3521,1.3078,1.3521,420800
1995-07-03,1.3521,1.3521,1.3078,1.3078,192000
1995-07-05,1.3521,1.3521,1.2856,1.2856,2457600
1995-07-06,1.3300,1.3300,1.2856,1.2856,1080800
1995-07-07,1.3415,1.3415,1.2856,1.2856,108000
1995-07-10,1.2856,1.3415,1.2856,1.3078,540800
1995-07-11,1.3415,1.3415,1.2856,1.2856,422400
1995-07-12,1.2856,1.3300,1.2856,1.3300,1376800
1995-07-13,1.3300,1.3521,1.2856,1.3521,107200
1995-07-14,1.3300,1.3743,1.3300,1.3743,200000
1995-07-17,1.3637,1.3965,1.3300,1.3743,343200
1995-07-18,1.3743,1.4408,1.3415,1.3743,1123200
1995-07-19,1.4186,1.4186,1.3300,1.3300,499200
1995-07-20,1.3965,1.3965,1.2856,1.2856,609600
1995-07-21,1.3521,1.3521,1.2856,1.3078,911200
1995-07-24,1.3521,1.3521,1.2856,1.3521,37600
1995-07-25,1.2856,1.3521,1.2856,1.2856,48000
1995-07-26,1.3521,1.3521,1.2856,1.2856,692000
1995-07-27,1.2856,1.3521,1.2856,1.2856,48800
1995-07-28,1.2856,1.3521,1.2856,1.3300,993600
1995-07-31,1.2856,1.3521,1.2856,1.3521,162400
1995-08-01,1.3078,1.3521,1.3078,1.3078,105600
1995-08-02,1.3521,1.3521,1.3078,1.3521,351200
1995-08-03,1.3521,1.3521,1.3078,1.3078,112000
1995-08-04,1.3078,1.3521,1.3078,1.3521,68800
1995-08-07,1.3521,1.3521,1.3078,1.3078,315200
1995-08-08,1.3521,1.3521,1.3193,1.3521,138400
1995-08-09,1.3078,1.3521,1.3078,1.3521,314400
1995-08-10,1.3521,1.3521,1.3078,1.3300,699200
1995-08-11,1.3521,1.3521,1.3300,1.3521,97600
1995-08-14,1.3521,1.3521,1.3415,1.3415,107200
1995-08-15,1.3300,1.3743,1.3300,1.3300,454400
1995-08-16,1.3300,1.3521,1.3300,1.3300,400800
1995-08-17,1.3521,1.3521,1.3300,1.3521,86400
1995-08-18,1.3521,1.3521,1.3300,1.3300,37600
1995-08-21,1.3300,1.3521,1.3300,1.3300,75200
1995-08-22,1.3300,1.3521,1.3300,1.3300,189600
1995-08-23,1.3300,1.3743,1.3078,1.3300,3002400
1995-08-24,1.3300,1.4186,1.3300,1.3965,869600
1995-08-25,1.4408,1.4630,1.3743,1.3743,269600
1995-08-28,1.3743,1.4408,1.3743,1.3743,228000
1995-08-29,1.4408,1.4408,1.3521,1.4186,264800
1995-08-30,1.3300,1.4408,1.3300,1.4408,2692800
1995-08-31,1.4408,1.4408,1.3521,1.4186,176000
1995-09-01,1.4408,1.4408,1.3521,1.3965,59200
1995-09-05,1.4408,1.4408,1.3521,1.3743,449600
1995-09-06,1.4186,1.4186,1.3521,1.4186,657600
1995-09-07,1.4080,1.4408,1.3743,1.3743,311200
1995-09-08,1.4408,1.4630,1.3965,1.4301,530400
1995-09-11,1.4186,1.4630,1.3965,1.4630,52800
1995-09-12,1.4630,1.4630,1.3965,1.4186,201600
1995-09-13,1.3965,1.4630,1.3965,1.4630,206400
1995-09-14,1.4523,1.4630,1.3965,1.4301,266400
1995-09-15,1.3965,1.4630,1.3965,1.3965,392000
1995-09-18,1.3965,1.4408,1.3965,1.3965,218400
1995-09-19,1.3965,1.4630,1.3965,1.4408,2748800
1995-09-20,1.5073,1.5073,1.4630,1.5073,1516800
1995-09-21,1.5073,1.5073,1.4630,1.4630,136000
1995-09-22,1.4630,1.5073,1.4630,1.4630,257600
1995-09-25,1.5073,1.5073,1.4408,1.4408,216000
1995-09-26,1.4408,1.4630,1.1748,1.2085,908000
1995-09-27,1.2191,1.2413,1.0640,1.2413,1094400
1995-09-28,1.2413,1.2413,1.1748,1.1970,1549600
1995-09-29,1.2413,1.3078,1.2191,1.2856,861600
1995-10-02,1.2856,1.2856,1.2413,1.2856,599200
1995-10-03,1.2856,1.3078,1.2413,1.2856,378400
1995-10-04,1.3078,1.3078,1.2191,1.2413,412800
1995-10-05,1.2635,1.2635,1.1970,1.1970,136800
1995-10-06,1.2635,1.2635,1.1748,1.2085,177600
1995-10-09,1.2635,1.2635,1.0861,1.1526,334400
1995-10-10,1.1526,1.1526,1.0861,1.1526,84000
1995-10-11,1.1526,1.1526,1.0861,1.0861,153600
1995-10-12,1.0861,1.1526,1.0861,1.1526,395200
1995-10-13,1.0861,1.1526,1.0861,1.1305,119200
1995-10-16,1.1526,1.3965,1.1083,1.3743,1646400
1995-10-17,1.3743,1.3743,1.2856,1.3078,3222400
1995-10-18,1.3078,1.3743,1.2972,1.3743,440800
1995-10-19,1.3078,1.3743,1.3078,1.3743,81600
1995-10-20,1.3521,1.3743,1.2856,1.2856,458400
1995-10-23,1.3521,1.3521,1.2856,1.3521,180000
1995-10-24,1.3521,1.3521,1.2856,1.3521,25600
1995-10-25,1.3521,1.3521,1.2635,1.2635,18400
1995-10-26,1.3300,1.3300,1.2635,1.2635,726400
1995-10-27,1.2635,1.3300,1.2635,1.2635,87200
1995-10-30,1.3300,1.3521,1.2635,1.2972,393600
1995-10-31,1.3193,1.3521,1.2856,1.2856,76800
1995-11-01,1.3521,1.3521,1.2856,1.2856,117600
1995-11-02,1.2856,1.3743,1.2856,1.2856,131200
1995-11-03,1.3521,1.3521,1.2635,1.3078,573600
1995-11-06,1.3521,1.3521,1.3521,1.3521,12800
1995-11-07,1.3521,1.3521,1.2635,1.3521,42400
1995-11-08,1.3521,1.3965,1.3193,1.3965,185600
1995-11-09,1.3965,1.3965,1.2856,1.2972,304000
1995-11-10,1.3521,1.3521,1.2856,1.3521,36000
1995-11-13,1.3521,1.3521,1.2635,1.3300,142400
1995-11-14,1.3300,1.3300,1.2635,1.3300,69600
1995-11-15,1.3300,1.3743,1.2972,1.3300,196000
1995-11-16,1.3300,1.3300,1.2856,1.2972,653600
1995-11-17,1.3300,1.3300,1.2856,1.3300,41600
1995-11-20,1.3300,1.3743,1.3078,1.3078,204800
1995-11-21,1.3078,1.3743,1.2413,1.2635,686400
1995-11-22,1.2413,1.3078,1.2413,1.3078,42400
1995-11-24,1.3078,1.3078,1.2413,1.2856,20000
1995-11-27,1.2413,1.3743,1.2413,1.3300,306400
1995-11-28,1.3743,1.4408,1.3300,1.3965,1104000
1995-11-29,1.3743,1.3965,1.3521,1.3521,660000
1995-11-30,1.3965,1.3965,1.3415,1.3415,192800
1995-12-01,1.3300,1.3743,1.3300,1.3743,59200
1995-12-04,1.3743,1.3743,1.3300,1.3743,232800
1995-12-05,1.3415,1.3743,1.3078,1.3743,1767200
1995-12-06,1.3300,1.3965,1.3300,1.3743,658400
1995-12-07,1.3743,1.3743,1.3521,1.3637,579200
1995-12-08,1.3743,1.3743,1.3521,1.3521,108800
1995-12-11,1.3743,1.3965,1.3521,1.3521,291200
1995-12-12,1.3965,1.3965,1.3521,1.3521,420000
1995-12-13,1.3521,1.3965,1.3521,1.3965,316000
1995-12-14,1.3965,1.3965,1.3521,1.3637,916800
1995-12-15,1.3965,1.3965,1.3521,1.3965,146400
1995-12-18,1.3965,1.4186,1.3521,1.4186,140000
1995-12-19,1.4408,1.5738,1.4408,1.5516,843200
1995-12-20,1.5738,1.7068,1.5738,1.6624,1258400
1995-12-21,1.7511,1.8176,1.6846,1.6961,1508800
1995-12-22,1.6846,1.8619,1.6846,1.7954,764800
1995-12-26,1.8398,1.9284,1.7733,1.7954,851200
1995-12-27,1.8398,1.8398,1.7733,1.8291,989600
1995-12-28,2.2166,2.2166,1.9728,2.1279,4288000
1995-12-29,2.2831,2.2831,2.1279,2.1501,1620000
1996-01-02,2.2166,2.2166,2.0614,2.0836,736800
1996-01-03,2.0836,2.1723,2.0836,2.1279,620000
1996-01-04,2.2166,2.2166,2.0614,2.0836,730400
1996-01-05,2.0836,2.1723,2.0836,2.1279,213600
1996-01-08,2.0393,2.0393,1.9506,2.0393,56000
1996-01-09,2.0597,2.0614,1.9284,2.0171,428000
1996-01-10,2.0393,2.0393,1.9506,2.0393,229600
1996-01-11,2.0601,2.0614,1.9284,2.0171,4432000
1996-01-12,2.0171,2.0171,1.9284,1.9728,526400
1996-01-15,2.0393,2.0393,1.9063,1.9116,257600
1996-01-16,1.9506,1.9506,1.9063,1.9506,150400
1996-01-17,2.0393,2.0393,1.9063,1.9118,1091200
1996-01-18,1.9506,1.9506,1.9063,1.9506,332800
1996-01-19,1.9063,1.9506,1.9063,1.9174,568000
1996-01-22,2.1501,2.3496,2.0836,2.3496,3196800
1996-01-23,2.3274,2.3274,2.1501,2.1723,1214400
1996-01-24,2.1501,2.3496,2.0836,2.3496,2332000
1996-01-25,2.3274,2.3274,2.1501,2.1723,4997600
1996-01-26,2.1723,2.2609,2.1723,2.2388,891200
1996-01-29,2.4161,2.8816,2.4161,2.8816,4735200
1996-01-30,2.9037,3.2584,2.8151,3.2584,6849600
1996-01-31,2.4161,2.8816,2.4161,2.8816,3738400
1996-02-01,2.9037,3.2584,2.8151,3.2584,6084000
1996-02-02,3.1697,3.3027,3.1032,3.3027,1236800
1996-02-05,3.3692,3.4357,2.9481,2.9481,1902400
1996-02-06,2.9481,3.1032,2.6378,3.0146,1464800
1996-02-07,3.0367,3.0367,2.7264,2.8151,628000
1996-02-08,2.7929,2.8816,2.7929,2.8705,191200
1996-02-09,2.8816,3.0367,2.8151,3.0035,1284800
1996-02-12,3.0257,3.1254,3.0257,3.1032,979200
1996-02-13,3.0146,3.0811,2.9481,2.9481,211200
1996-02-14,3.0367,3.0367,2.8372,2.9148,1030400
1996-02-15,2.9148,2.9924,2.9037,2.9037,176800
1996-02-16,2.8594,2.9702,2.8594,2.9370,764800
1996-02-20,2.9037,2.9592,2.8594,2.9481,623200
1996-02-21,2.9481,2.9481,2.8594,2.8816,1175200
1996-02-22,2.8705,3.0146,2.8594,2.9813,2365600
1996-02-23,2.9259,3.0146,2.9259,2.9481,2054400
1996-02-26,3.0367,3.0367,2.9481,3.0146,261600
1996-02-27,3.0367,3.0811,2.9481,3.0700,1102400
1996-02-28,3.0811,3.2362,3.0700,3.1919,1842400
1996-02-29,3.2141,3.2806,3.1476,3.1919,853600
1996-03-01,3.1919,3.2584,2.9702,2.9924,927200
1996-03-04,3.0146,3.0811,2.8816,3.0146,572800
1996-03-05,2.9481,3.0146,2.7929,2.8151,576000
1996-03-06,3.0146,3.0811,2.8816,3.0146,1272000
1996-03-07,2.9481,3.0146,2.7929,2.8151,396000
1996-03-08,2.8594,2.8594,2.6156,2.6599,3693600
1996-03-11,2.5491,2.6599,2.5269,2.5713,1163200
1996-03-12,2.5713,2.6599,2.5713,2.6156,433600
1996-03-13,2.5491,2.6599,2.5269,2.5713,540800
1996-03-14,2.5713,2.6599,2.5713,2.6156,220000
1996-03-15,2.5934,2.6378,2.5934,2.5934,2312000
1996-03-18,3.1032,3.2141,3.0589,3.2025,1821600
1996-03-19,3.2141,3.2806,3.1032,3.1697,1346400
1996-03-20,3.1032,3.2141,3.0589,3.2030,220000
1996-03-21,3.2141,3.2806,3.1032,3.1697,288800
1996-03-22,3.1919,3.1919,3.1032,3.1476,45600
1996-03-25,3.0589,3.1476,2.8151,2.8816,1123200
1996-03-26,2.8594,3.0367,2.8372,3.0146,1524000
1996-03-27,3.0589,3.1476,2.8151,2.8816,503200
1996-03-28,2.8594,3.0367,2.8372,3.0146,526400
1996-03-29,3.0367,3.1032,2.9702,3.0811,764000
1996-04-01,2.9924,3.2025,2.9924,3.1476,1780800
1996-04-02,2.9924,3.2030,2.9924,3.1476,1393600
1996-04-03,3.1476,3.2141,3.1476,3.1697,265600
1996-04-04,3.1476,3.2141,3.1476,3.1476,341600
1996-04-08,3.0589,3.1476,3.0146,3.1476,544000
1996-04-09,3.0589,3.1476,3.0146,3.1476,127200
1996-04-10,3.1254,3.1919,3.1254,3.1476,1596000
1996-04-11,3.1919,3.1919,3.0367,3.0478,337600
1996-04-12,3.0146,3.1032,3.0146,3.1032,74400
1996-04-15,3.1032,3.1476,3.0146,3.0589,243200
1996-04-16,3.1032,3.1476,3.0146,3.0589,84000
1996-04-17,3.0589,3.1254,3.0589,3.0811,177600
1996-04-18,3.0589,3.1254,3.0367,3.0811,171200
1996-04-19,3.1254,3.1254,3.0367,3.0811,270400
1996-04-22,3.0367,3.0589,2.9924,2.9924,1521600
