date,open,high,low,close,volume
2019-03-20,45.3455,45.9902,42.5517,42.8096,2350838
2019-03-21,42.9729,42.9815,41.4342,42.1047,1764671
2019-03-22,41.9499,42.9385,41.3998,41.7780,844690
2019-03-25,41.7780,42.4657,41.2622,42.2508,440892
2019-03-26,42.1219,42.7666,41.4170,41.9929,504734
2019-03-27,42.1219,43.6520,42.1219,43.0675,1788588
2019-03-28,43.7552,43.8411,42.9084,43.7122,585438
2019-03-29,42.5689,45.1134,42.2766,44.3827,1769027
2019-04-01,44.9586,46.7553,44.0560,45.9902,19663442
2019-04-02,47.3828,49.3342,46.6779,48.3542,17413221
2019-04-03,49.0677,49.1708,47.7181,48.8958,15065850
2019-04-04,49.1708,52.0248,49.0849,51.3285,13310773
2019-04-05,50.1938,50.7010,48.3714,49.2052,17000458
2019-04-08,48.5691,50.1938,48.3714,49.1279,10764569
2019-04-09,48.8270,49.1708,48.2081,48.3714,9179431
2019-04-10,48.1307,48.4917,47.3656,47.8900,9081860
2019-04-11,47.8814,48.3198,47.1335,47.1851,7345374
2019-04-12,48.0791,50.1422,48.0791,50.1164,9240871
2019-04-15,50.3485,50.5892,49.2482,49.6694,5726760
2019-04-16,50.4689,50.7096,49.7210,50.2884,6681333
2019-04-17,50.6752,50.7612,50.0305,50.1336,6420363
2019-04-18,50.1680,50.3829,49.4717,49.6608,5178855
2019-04-22,49.4115,50.2110,49.2224,49.7640,4401749
2019-04-23,49.2482,49.7210,48.9989,49.5491,5687218
2019-04-24,49.4201,49.7640,48.0232,48.1221,5429895
2019-04-25,47.9330,48.1221,47.1249,47.5633,6260460
2019-04-26,47.5375,47.7954,47.2367,47.4946,4009795
2019-04-29,47.3226,47.8685,47.1077,47.7095,5935245
2019-04-30,47.9330,49.1751,47.7954,48.7668,6454064
2019-05-01,48.8442,49.4115,48.0361,48.2510,7644453
2019-05-02,47.7438,48.5605,44.7265,45.3025,13932682
2019-05-03,45.7323,45.8613,44.4601,45.8183,7401726
2019-05-06,44.8297,46.4458,44.4429,45.9558,6089501
2019-05-07,45.4400,45.8398,45.2595,45.5174,7330671
2019-05-08,45.8441,45.8999,44.9672,45.1134,5390660
2019-05-09,44.9243,45.6807,44.3139,45.5002,4579758
2019-05-10,45.5088,46.1743,45.1220,45.6206,4758086
2019-05-13,44.9415,45.1736,43.6348,43.7981,4213102
2019-05-14,44.1248,45.5604,43.7036,45.1134,4196135
2019-05-15,44.6836,45.8398,44.4171,45.5174,2928686
2019-05-16,45.8097,46.0332,45.3283,45.5432,3689745
2019-05-17,44.9930,45.1478,43.5489,43.6692,4440775
2019-05-20,43.3254,43.4457,42.9127,43.0503,5168422
